Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22 ;23 ;24. ;25. ;26. ;27. ;28. ;29. ;30, ;31. ;32. ;38. ;34. ;35. ;
Hângadala ;16 ;;14 ;2.083 ;10 ;1.285 ;219 ;;;;20 ;;14 ;;;;214 ;;;107 ;;;;;;;;;1,342 ;;101 ;3.219 ;;;
Härja ;13.84 ;;;12,265 ;;1,150 ;1.141 ;1,310 ;;;;;;;;;;;;;;;;;;;;;;;;6.110 ;;;
Hömb ;8,75 ;;;3.008 ;12 ;987 ;640 ;712 ;;;;;;;;;;;;;;;;;;;;;;;;2,300 ;;;
Karleby ;30,13 ;;;3.471 ;12 ;;246 ;;;;;;;;;;;;;150 ;;;;;;;;;;;;8,200 ;;;
Kelfvene ;9,50 ;;;1,389 ;;;100 ;;;;;;;;;;;;;;;;;;;;;;;;;3.450 ;;;
Kungslena ;29.75 ;;;4,397 ;16 ;2,517 ;300 ;1,200 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korsberga ;20,63 ;;;8,563 ;7 ;2,355 ;1.700 ;3.080 ;;;;;;;;;;;;;;;;;;;;;;;;7.705 ;;;
Kylingared, del ;;;;2,546 ;;150 ;49 ;2.346 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kymbo ;13,75 ;;;4,166 ;3 ;950 ;530 ;500 ;;;;;;;;;;;;;;;;;;;;;;;;3,895 ;;;
Luttra ;20,38 ;;;3.240 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mularp ;12,88 ;;;2,314 ;;;;260 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nykyrka ;10,88 ;;;5,786 ;10 ;525 ;1,097 ;1,200 ;;;;;;;;;;;;;;;;;;;;;;;;2,450 ;;;
Näs ;11,95 ;;;2,083 ;;1.050 ;50 ;;;;;;;;;;;;;;;;;;;;;;;;;3,000 ;;;
Ottravad ;8,94 ;;;2,546 ;6 ;550 ;250 ;300 ;;;;;;;;;105 ;225 ;;;;;;;;;;;;;;2,425 ;;;
Sandhem Skörstorp ;13:13 ;;;20,828 2,265 ;20 ;1.220 ;;10,600 ;;;;;;;;;;;;;;;;;;;;;;;;8,200 3,610 ;;;
Slöta med Faleqvarna ;45,88 ;126 ;;7,868 ;40 ;6,548 ;1,200 ;80 ;;;;;;;;;;2,000 ;;;;;;;;;;;;;1.100 ;24,000 ;;;
Suntak ;9,63 ;20 ;;2,777 ;8 ;800 ;200 ;1.769 ;;;;;;;;;;;;;;;;;;;;;;;;2,000 ;;;
Tiarp ;11,75 ;;;1.620 ;5 ;1.000 ;300 ;195 ;;;;;;;;;;;10 ;;;;;;;;;;;;;3.000 ;;;
Utvängstorp ;7,44 ;;;5,554 ;;420 ;486 ;;;;;;;;;;;;;;;;;;;;;;;;;1,300 ;;;
Velinge Visttorp ;19,79 11,50 ;;120 25 ;9,720 6.480 ;20 20 ;1.600 860 ;1,380 540 ;6,396 800 ;;;;;;;;;;;;;;;;;;;;;;;;5.060 3,600 ;;;
Vättak. ;9,50 ;;23 ;2.546 ;;753 ;725 ;1,074 ;;;;;;;;;;;;;;;;;;;;;;;;8,150 ;;;
Yliestad ;21,56 ;;;6,480 ;50 ;1,000 ;600 ;750 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Isaka ;23,50 ;31 ;61 ;3,934 ;15 ;1,410 ;ao ;100 ;;15 ;;;;;;;;;;;;;;;;;;;;;;7,000 ;;;
Asle ;30,13 ;99 ;115 ;5,323 ;32 ;1458 ;258 ;318 ;10 ;70 ;;;;;;;;;;;;;;;;;;;;;420 ;5,610 ;;;
Summa Vartofta härad ;742,06 ;2,485 ;1,769 ;279,565 ;541 ;64,150 ;37,774 ;70,129 ;207 ;1,166 ;300 ;36 ;226 ;538 ;156 ;17 ;8,602 ;23,555 ;531 ;5,041 ;451 ;161 ;5,273 ;11,003 ;41 ;8,668 ;1,162 ;706 ;46,538 ;1,233 ;7,183 ;211,434 ;4,174 ;1,356 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brismene ;12.50 ;50 ;35 ;5,091 ;8 ;600 ;700 ;;;;P ;? ;;;? ;? ;;8 ;;20 ;;;;;;10 ;;;;;;2,100 ;70 ;;
Börstig. ;13,88 ;;;4,166 ;2 ;840 ;890 ;915 ;;60 ;;;;;;;;395 ;;290 ;;;;;;73 ;20 ;;;45 ;;1,950 ;160 ;10 ;
Grolanda ;19 ;87 ;;*) 8.100 ;10 ;650 ;460 ;20 ;;38 ;;;;;;;;345 ;10 ;80 ;10 ;;;;- ;60 ;;;;100 ;200 ;3,500 ;120 ;20 ;
Kinneved ;30,75 ;85 ;;8.563 ;7 ;1.160 ;1,560 ;10 ;8 ;71 ;;;;;;;135 ;730 ;2 ;75 ;8 ;;;50 ;;152 ;;;;- ;312 ;8,650 ;;10 ;
Smula ;7.68 ;24 ;;926 ;;230 ;92 ;;;10 ;;;;;;;;;;;;;;;? ;;;;;- ;24 ;450 ;12 ;4 ;
V&rkumla ;18,85 ;30 ;;2,546 ;;424 ;487 ;;;;;;;;;;40 ;261 ;;;;;;;- ;49 ;;;252 ;;115 ;1,529 ;;12 ;
Asarp ;4,50 ;12 ;;1,157 ;3 ;110 ;68 ;15 ;;10 ;;;;;;;2 ;6 ;2 ;;;;;3 ;- ;15 ;- ;;50 ;2 ;40 ;420 ;12 ;6 ;
Summa Frökinde härad ;106,51 ;351 ;139 ;3)30,549 ;35 ;4,014 ;4,257 ;978 ;23 ;215 ;4 ;- ;70 ;142 ;7 ;- ;312 ;1,675 ;26 ;534 ;34 ;24 ;27 ;182 ;- ;359 ;28 ;20 ;2,282 ;147 ;861 ;18,599 ;374 ;68 ;
Amnehärad ;30,19 ;330 ;150 ;21,060 ;15 ;2.700 ;3.660 ;14.000 ;46 ;320 ;;;;;;;;;;100 ;;;;;;;;;2,000 ;;;5,800 ;;50 ;
Beateberg ;17,50 ;;58 ;9.026 ;16 ;2,288 ;834 ;3.150 ;;;;;;;;;;;;100 ;;;;;;;;;1,150 ;;30 ;6.230 ;;115 ;
Berg ;34,44 ;100 ;;6.943 ;52 ;1.825 ;1,115 ;2.378 ;;;;;;;;;;;;;;;;;;;;;1,950 ;;500 ;3,650 ;100 ;200 ;
Bellefors ;20,25 ;53 ;52 ;10,182 ;6 ;1,445 325 ;;4,417 ;;;;;;;;;;;;;;;;;;;;;600 ;;;2,200 ;;180 ;
Binneberg ;5,50 ;22 ;8 ;1,157 ;;;300 ;300 ;;;;;;;;;;;;;;;;;;;;;270 ;;;900 ;;120 ;
Björkäng Björsäter ;18 28,88 ;140 100 ;105 ;4,629 ;;2,810 2.642 ;140 20 ;2,000 2.840 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bäck ;14,50 ;30 ;;4,860 ;50 ;2,700 ;50 ;1.000 ;;;;;;;;;;;;;;;;;;;;;1.060 ;;;4,025 ;;120 ;
Böja ;8,75 ;;;P ;;745 ;40 ;259 ;;;;;;;;;;;;;;;;;;;;;517 ;;;1,675 ;;81 ;
Karlsborg ;;;;18 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;12 ;;;
Ek ;11 ;;;5.786 ;;1.700 ;;2.700 ;;;;;;;;;;;;;;;;;;;;;1.100 ;;200 ;3.200 ;;;
Ekby ;21.38 ;;;4.166 ;17 ;2.306 ;223 ;2.060 ;;;;;;;;;;;;;;;;;;;;;;;18 ;4,750 ;;904 ;
