Table: Table_1

1. ;36. ;37. ;38 ;39. ;40. ;44. ;45. ;46 ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58. ;59. ;60 ;61. ;66. ;67. ;68 ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Härene med Skofteby ;;300 ;;1.000 ;2 ;700 ;100 ;9,300 ;- ;2.400 ;37,000 ;825 ;100 ;;300 ;;9,000 ;- ;7 ;- ;;6,000 ;170 ;30 ;58 ;6 ;310 ;200 ;160 ;;350 ;;
Källby ;;;;1,200 ;20 ;600 ;30 ;2,000 ;;760 ;8,200 ;150 ;210 ;;200 ;;6.000 ;;;8 ;;;60 ;20 ;30 ;;;90 ;175 ;;;;
Lindärfva ;;120 ;;;;200 ;;3,990 ;;375 ;13,850 ;300 ;;;480 ;;2,592 ;;;;;;;;;;;60 ;50 ;;;;
Skeby ;;50 ;;70 ;4 ;250 ;;4,200 ;;325 ;15,200 ;;150 ;;290 ;;355 ;200 ;;1 ;500 ;8,600 ;;12 ;;;;40 ;100 ;;;;
Skelfvum ;;;;900 ;;400 ;30 ;6.000 ;20 ;300 ;11,200 ;;150 ;;;;6.000 ;200 ;;;;;130 ;15 15 ;;;;100 60 ;150 240 ;;;;
Säfvare Ofva. ;;;;390 2,200 ;53 ;1,500 160 ;;3,400 3,620 ;- - ;450 360 ;24,800 14,400 ;800 252 ;1,400 252 ;;;- ;2,000 13.200 ;2,000 ;200 ;;600 ;7.160 ;52 ;18 ;28 ;5 ;;60 ;80 ;;;;
Summa Kinnefjerdings härad ;8 ;985 ;- ;15,642 ;192 ;5,925 ;733 ;48,530 ;38 ;8,940 ;235,848 ;3,427 ;3,069 ;24 ;1,920 ;- ;86,197 ;14,400 ;367 ;84 ;1,800 ;25,660 ;979 ;254 ;471 ;55 ;3,131 ;1,079 ;2,035 ;;990 ;;
Bredsäter ;- ;48 ;;584 ;15 ;15 ;;1,880 ;- ;483 ;23,400 ;;108 ;;48 ;- ;584 ;- ;45 ;;- ;- ;44 ;6 ;43 ;4 ;240 ;79 ;156 ;;;;
Forshem ;;200 ;;1,600 ;25 ;2,200 ;;10,000 ;- ;1,000 ;21,000 ;1,800 ;1,000 ;- ;700 ;- ;10,000 ;- ;50 ;12 ;10,000 ;30,000 ;120 ;20 ;200 ;12 ;500 ;200 ;300 ;;150 ;;
Fullösa ;;;- ;996 ;24 ;315 ;;900 ;- ;471 ;12,400 ;;178 ;;225 ;- ;4,730 ;;50 ;;- ;- ;45 ;8 ;40 ;;175 ;35 ;105 ;;;;
