Table: Table_1

Götene ;3 ;30 ;;460 ;6 ;280 ;30 ;1,950 ;15 ;200 ;10,400 ;20 ;100 ;20 ;;- ;2.300 ;460 ;;5 ;;;;;48 ;;220 ;82 ;155 ;;;;
Holmestad ;;150 ;- ;2,000 ;40 ;450 ;150 ;6.400 ;;100 ;33,600 ;- ;60 ;;300 ;;10,000 ;5,000 ;100 ;;2,500 ;20,000 ;100 ;25 ;100 ;;;;550 ;;;;
Kestad Klefva ;;;- ;400 ;24 ;;;1.500 2.400 ;- ==== ;750 ;8,800 ;- ;100 ;;;- ;1,600 5,000 ;170 ;40 ;3 ;10 ;960 ;28 40 ;8 8 ;;;100 ;30 ;150 ;;;;
;;;;1,000 ;- ;150 ;- - ;;;1,000 ;8,400 ;;170 ;;- ;- ;53,000 ;;;;;- ;85 ;20 ;;;;150 ;300 ;;;;
Ledajö ;;;;10,600 ;;500 ;;3,750 ;950 ;2,000 ;20,800 ;;;;;- ;;;;;;;;10 ;140 ;;560 ;200 ;500 ;;;;
Lugnas ;;;- ;1,500 ;15 ;;;2,000 ;- - ;120 ;20,000 ;100 ;90 ;;;;5,000 15,000 ;66,000 ;45 ;;;- ;;11 ;;;300 ;;200 ;;;;
Medelplana ;;;;3,400 ;- ;417 ;52 ;3,550 ;- - ;7,000 ;399 ;18,000 ;750 ;- ;;;;;;;;;;;;;;;;;;;
Sil ;;X ;;650 ;___ ;300 ;- ;1,050 ;- ;600 ;10,000 ;;150 ;;125 ;- ;6,500 ;4,200 ;;- ;- ;3,250 ;45 ;;;;;50 ;150 ;;;;
Vedum ;;;;720 ;--. ;300 ;;6.930 ;- ;;32,920 ;;260 ;;;;4,320 ;1,000 ;;6 ;;- ;;30 ;;;400 ;90 ;;;;;
Vesterplana ;;;;580 ;- ;268 ;42 ;2,273 ;- ;3,255 ;1,475 ;3.216 ;718 ;- ;312 ;- ;3,706 ;474 ;;;- ;- ;32 ;;;;;;;;;;
Vättlösa ;;50 ;;1.000 ;;600 ;100 ;1.200 ;- ;860 ;14,000 ;;250 ;;350 ;;10,000 ;;X 30 ;;;;100 ;30 ;120 ;;;100 ;;;;;
Österplana ;;20 ;;2,300 ;20 ;60 ;30 ;4.400 ;- ;2.240 ;2.240 ;5,150 ;80 ;;;- ;11,500 ;4,000 ;40 ;3 ;16 ;3,000 ;75 ;9 ;30 ;;200 ;80 ;;;;;
Summa Kinne härad ;3 ;700 ;- ;27,790 ;177 ;5,940 ;404 ;50,183 ;965 ;19,579 ;219,834 ;28,346 ;4,034 ;20 ;2,199 ;- ;143,240 ;81,304 ;415 ;29 ;12,520 ;57,210 ;1,009 ;225 ;1.021 ;69 ;4,069 ;1,342 ;3,360 ;;1,068 ;;
Edevära ;;126 ;;7,623 ;;1,336 ;- ;12,285 ;504 ;1,336 ;47,376 ;1,134 ;378 ;;630 ;;45,738 ;;;;;;X 156 ;;;;450 ;100 ;;;;;
Fyrunga ;;;;975 ;10 ;1.569 ;;5.260 ;- ;500 ;18,992 ;X 1,024 ;800 ;;2,192 ;;3,900 ;;X 30 ;;;6,600 ;;;;;;;;;;;
Gerum ;;143 ;;875 ;;650 ;- ;4.200 ;- ;420 ;30,120 ;;120 ;;715 ;;7,000 ;;;;81 ;3.000 ;X ;15 ;;;201 ;;;;;;
Händene ;;;;1,848 ;48 ;350 ;;10,506 ;- ;;17,380 ;;105 ;;105 ;- ;11,088 ;2,000 ;;;;13,344 ;126 ;;;;300 ;;200 ;;;;
;;;;;;225 ;;;- ;275 ;16,000 ;275 ;175 ;;260 ;- ;8.500 ;- ;;;200 ;400 ;48 ;12 ;;;280 ;187 ;209 ;;;;
Härlunda ;;;-- ;1.150 ;- ;;- ;6.000 ;- ;;;X ;712 ;;628 ;- ;3,780 ;;;;75 ;2.000 ;64 ;12 ;;;145 ;78 ;140 ;;;;
Härjevad ;;157 ;;630 ;;200 ;;5,500 ;;1,250 ;13,200 ;525 ;;;;;;;;;;;;;;;;;;;;;
Jung ;;325 ;;1,200 ;24 ;782 ;;12,000 ;100 ;1,800 ;37,000 ;X 1,800 ;2,520 ;;1,625 ;- ;6,000 ;3,000 ;50 ;9 ;;25,000 ;200 ;60 ;;;350 ;200 ;425 ;;;;
Marum ;;X 20 ;;500 ;5 ;200 ;- ;2.400 ;- ;200 ;12,000 ;;90 ;- ;60 ;- ;2,000 ;- ;;- ;;15,000 ;28 ;;;;190 ;;;;;;
Qvänum ;;550 ;;1,400 ;40 ;1,000 ;;7,500 ;- ;1,225 ;60,000 ;1,600 ;1,200 ;;1,675 ;- ;4,500 ;;;;;;120 ;50 ;;;310 ;;;;;;
Saleby ;;X 700 ;;3,000 ;35 ;8,170 ;- ;23,725 ;- ;3,250 ;100,000 ;3,250 ;2,000 ;;2,800 ;;12,000 ;;;15 ;;24,090 ;380 ;114 ;;10 ;;231 ;;;;;
Skara landsförsamling ;;40 ;- ;500 ;;670 ;;2,640 ;- ;480 ;7,880 ;;478 ;;160 ;;3,000 ;;;;;;;;;;;;;;;;
Skallmeja och 1¹ mtl af Gerum ;10 ;300 100 ;;200 2,000 ;20 ;860 1,800 ;60 75 ;3,250 10,572 ;- ;700 1,200 ;12,500 54,000 ;500 ;600 272 ;X 20 10 ;200 600 ;- ;1,200 12,000 ;;X 40 ;;;;130 120 ;50 ;40 ;;;;;;;;
Synnerby ;5 ;50 ;;680 ;10 ;450 ;;3,600 ;;200 ;24,500 ;360 ;240 ;;200 ;- ;5,100 ;;;3 ;;;60 ;;20 ;;;;;;;;
Travad, del ;;;;;;;;;- ;;;;;;;;;;;;;;;;;;;;;;;;
Trässberg ;;150 ;;200 ;;1,500 ;;6,700 ;;2,500 ;21,800 ;;1,000 ;;500 ;- ;1,500 ;;;;;;125 ;;20 ;5 ;;125 ;;;;;
Vinköl ;10 ;;;1,200 ;50 ;1,400 ;250 ;10,000 ;300 ;1,000 ;75,000 ;550 ;500 ;40 ;500 ;- ;6,000 ;;170 ;25 ;;8,000 ;150 ;40 ;110 ;5 ;;160 ;;;;;
yânga ;;800 ;- ;5,550 ;40 ;2,250 ;;22,750 ;;1,200 ;40,050 ;9,000 ;600 ;;3,000 ;- ;27,750 ;;100 ;;;;200 ;60 ;160 ;;600 ;175 ;700 ;;;;
Ásaka ;4 ;40 ;;400 ;10 ;1,450 ;200 ;14,000 ;140 ;1.100 ;33,000 ;560 ;500 ;X 20 ;160 ;- ;2,300 ;;;X 30 ;1,500 ;25,000 ;130 ;40 ;170 ;;;140 ;;;;;
Öttum ;;900 ;- ;150 ;5 ;1,600 ;;7,500 ;- ;528 ;55,000 ;5,000 ;1.000 ;;3.500 ;- ;2,100 ;;8 ;;- ;;128 ;45 ;21 ;;;116 ;;;;;
Summa Skânings härad ;X 29 ;5,280 ;- ;30,081 ;303 ;21,462 ;585 ;170,388 ;1,044 ;18,664 ;675,798 ;25,578 ;13,290 ;X 90 ;19,510 ;- ;185,456 ;5,000 ;581 ;157 ;1.856 ;122,434 ;2,413 ;694 ;1,037 ;104 ;6,249 ;2.240 ;5,306 ;- ;2,021 ;;
Bitterna, Vester- ;2 ;;- ;1,608 ;30 ;210 ;100 ;3.892 ;84 ;420 ;24,200 ;2.125 ;70 ;11 ;126 ;- ;8,040 ;145 ;70 ;- ;- ;- ;57 ;17 ;50 ;2 ;162 ;125 ;272 ;;;;
Bitterna, Oster- ;2 ;100 ;;180 ;25 ;375 ;100 ;1,750 ;;700 ;32,800 ;1,200 ;150 ;16 ;500 ;- ;1,440 ;- ;100 ;- ;- ;- ;80 ;12 ;30 ;;200 ;100 ;300 ;;;;
Larf ;- ;200 ;- ;500 ;40 ;720 ;240 ;8,000 ;400 ;1,500 ;126,000 ;1,920 ;520 ;;1,200 ;- ;35,000 ;- ;160 ;;;;300 ;50 ;300 ;10 ;750 ;450 ;600 ;;300 ;;
Längjum med Vessby ;- ;90 ;- ;800 ;15 ;225 ;;1,500 ;;360 ;48,000 ;600 ;150 ;;270 ;- ;3.200 ;- ;30 ;8 ;4.875 ;100 ;100 ;25 ;54 ;8 ;225 ;;150 ;- ;120 ;;
Lundby ;- ;60 ;-- ;2.000 ;15 ;240 ;18 ;4.000 ;56 ;360 ;18,600 ;900 ;150 ;;180 ;- ;12,000 ;- ;90 ;;- ;- ;100 ;20 ;70 ;5 ;250 ;100 ;200 ;- ;150 ;400 ;
Trâvad, del ;- ;16 ;- ;495 ;6 ;180 ;;1,565 ;;75 ;22,200 ;80 ;190 ;;64 ;;3,480 ;- ;18 ;3 ;- ;- ;52 ;20 ;;;110 ;;110 ;;;;
Vedum ;- ;40 ;- ;3,360 ;;150 ;;8,190 ;- ;250 ;46.600 ;;100 ;- ;120 ;- ;16.800 ;- ;;- ;- ;- ;120 ;18 ;28 ;5 ;370 ;160 ;320 ;- ;160 ;;
Summa Laske härad ;X 4 ;547 ;- ;8,943 ;131 ;2,100 ;458 ;28,897 ;540 ;3,665 ;318,400 ;6,825 ;1,330 ;27 ;2,460 ;- ;79,960 ;145 ;468 ;11 ;4,875 ;100 ;809 ;162 ;536 ;33 ;2.067 ;980 ;1,952 ;- ;860 ;- ;
Floby ;- ;575 ;- ;2,600 ;8 ;100 ;40 ;6,750 ;- ;2.880 ;41,000 ;750 ;160 ;;500 ;- ;10,400 ;- ;16 ;- ;- ;- - ;95 ;70 ;80 ;6 ;440 ;185 ;235 ;- ;100 ;- ;
Gökhem ;- ;80 ;- ;4,100 ;16 ;120 ;24 ;6.440 ;72 ;6.000 ;76,500 ;3,000 ;400 ;;320 ;- ;24,600 ;300 ;32 ;16 ;1,500 ;7.500 ;160 ;50 ;170 ;;500 ;100 ;350 ;- ;;;
Göteve ;;15 ;- ;625 ;- ;- ;;6,250 ;- ;2,020 ;16,140 ;;80 ;- ;100 ;- ;4.240 ;200 ;20 ;5 ;110 ;4,600 ;86 ;25 ;80 ;9 ;260 ;60 ;180 ;;;120 ;
Jäla ;- ;;;1.152 ;24 ;;90 ;720 ;the - ;720 ;9,600 ;;126 ;- ;;the ;9,216 ;;25 ;- ;- ;- ;;33 ;120 ;4 ;235 ;200 ;300 ;;;;
Klefva ;;;;2.000 ;- ;70 ;50 ;6,750 ;- - ;5,400 ;32,000 ;2,750 ;400 ;- ;;- ;4,000 ;12.000 ;;;- ;;100 ;25 ;100 ;3 ;200 ;200 ;300 ;;;500 ;
Marka ;;X 160 ;- ;2,200 ;;;;1,850 ;- -- ;2,150 ;22,750 ;850 ;10 ;- ;50 ;- ;9,850 ;800 ;;5 ;;;95 ;35 ;80 ;6 ;250 ;150 ;200 ;;100 ;200 ;
Sörby ;;;- ;;.... ;;;24 ;- ;;100 ;;;- ;3 ;- ;100 ;;;;;;4 ;;;1 ;8 ;;;;;;
Trevattna ;;25 ;- ;1.200 ;- ;24 ;50 ;2,640 ;180 ;240 ;14,000 ;450 ;96 ;;;... ;8.000 ;- ;;;;;75 ;35 ;80 ;10 ;300 ;170 ;150 ;;;200 ;
Ullene ;1 ;- ;- ;1.060 ;- ;32 ;- ;1,600 ;8 ;200 ;8.000 ;20 ;50 ;- - ;;- ;5,000 ;- ;- ;- ;1.000 ;- ;48 ;112 ;54 ;1 ;100 ;100 ;800 ;- ;30 ;;
Summa Vilske härad ;I ;856 ;- ;14,893 ;48 ;346 ;254 ;33.024 ;260 ;19,616 ;220,090 ;7,824 ;1,323 ;- ;973 ;- ;75,406 ;13,300 ;93 ;26 ;2.610 ;12,100 ;730 ;386 ;768 ;37 ;2,293 ;1,168 ;2,521 ;- ;643 ;- ;
Bierka ;- ;315 ;;12,285 ;- ;- ;;8.000 ;975 ;- ;18,000 ;- ;200 ;- ;- ;;70,000 ;- ;- ;- ;;;40 ;;137 ;caso ;276 ;60 ;70 ;;70 ;;
Bjurum ;- ;- ;- ;12,500 ;-- ;- ;;8,750 ;;850 ;24.000 ;- ;300 ;- ;- ;- ;100,000 ;- ;- ;-- ;- ;- ;40 ;12 ;120 ;;200 ;100 ;100 ;- ;100 ;- ;





