Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48 ;49. ;50. ;51 ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60 ;61 ;62. ;66. ;67. ;68. ;69. ;70 ;71. ;72, ;73. ;74, ;75. ;
Härja ;;;;3.500 ;32 ;;;;4,800 ;200 ;;10,000 ;120 ;;- ;- ;- ;28,000 ;;45 ;15 ;---- ;;;;;170 ;;;240 ;;;;;
Hömb ;;;;1,084 ;;- ;472 ;;4.182 ;;101 ;12.369 ;;;;;;7,106 ;5,826 ;;;;15,722 ;;;;;;;;;;;;
Karleby ;;140 ;;5.800 ;20 ;;24 ;40 ;6.600 ;;5.682 ;31.360 ;2.850 ;650 ;;560 ;;34,800 ;;60 ;15 ;200 ;600 ;;;;;;;;;;;;
Kjelfvened ;;;;1,197 ;;;;;2.461 ;;378 ;9.576 ;957 ;;;;;2,576 ;;;- ;;2,000 ;;;;;;;;;;;;
Kongslena ;;;;3,150 ;;;;;19.845 ;;945 ;64,824 ;1,008 ;315 ;;;;22,050 ;;;;;;;;;;;;;;;;;
Korsberga ;;X ;;4,075 ;;;781 ;138 ;14,067 ;119 ;;26,075 ;794 ;350 ;;;;23,467 ;;;X 22.82 ;;;;;;;;;;;;;;
Kylingared, del ;;;;1.132 ;;;;;750 ;100 ;;4,565 ;;;;;;7,924 ;;;;;;;;;;;;;;;;;
;;;;945 ;;;;;2.835 ;;;10,080 ;126 ;;;;;6,615 ;- ;;;;;;;;;;;;;;;;
Kymbo Luttra ;;;;2,600 ;;;;;4.888 ;;4.896 ;14,040 ;;150 ;;;;15,600 ;;;;;;;;;;;;;;;;;
Mularp ;;X 70 ;;1.848 ;18 ;;120 ;;3.430 ;;2,340 ;18,600 ;980 ;625 ;;X 490 ;;16.632 ;1,800 ;;12 ;;3.200 ;;;;;;;;;;;;
Nykyrk ;;;;4.968 ;;;;;3,360 ;135 ;2,556 ;11,300 ;;;;;;29.808 ;- ;- ;;;3,500 ;;;;;;;;;;;;
Nas Ottrava ;;X 15 ;;2.570 1.890 ;;;42 ;- ;5.068 2,646 ;;690 63 ;14,895 14,886 ;690 ;380 ;;;;17,990 12.285 ;- - ;;12 ;;1,300 ;;;;;;;;;;;;
Sandhem ;;;;10,000 ;;;8,300 ;;8.300 ;;180 ;13,800 ;4.300 ;;;;;60,000 ;;;;;;;;;;;;;;;;;
Skörstorp ;;;;3,780 ;;;;;4,536 ;;945 ;22,050 ;1,134 ;151 ;;;;22,680 ;2,500 ;;;;;;;;;;;;;;;;
Slöta med Faleqvarna ;5 ;110 ;5 ;8.500 ;25 ;;40 ;45 ;8,400 ;;6,750 ;55,000 ;3,000 ;1,050 ;40 ;X 660 ;30 ;51,000 ;7,000 ;100 ;20 ;;6,000 ;;;;;;;;;;;;
Suntack ;;10 ;;1.300 ;;;50 ;;4.290 ;;;5,505 ;;;;;;9,800 ;- ;;5,30 ;;;;;;;;;;;;;;
Tiarp ;;25 ;;1,000 ;;;;;3.150 ;;1.000 ;18,000 ;360 ;;;150 ;;5,000 ;- ;70 ;;;;;;;;;;;;;;;
Tidaholm ;;;;2.000) ;X ;;740 ;;4.720 ;;350 ;22,000 ;150 ;300 ;;;;11,500 ;;90 ;;;;;;;;;;;;;;;
Utvängstorp ;;;;3,240 ;;;;;840 ;164 ;;8,900 ;400 ;;;;;22,680 ;;;;;2,000 ;;;;;;;;;;;;
Velinge ;;16 ;;5,350 ;;;60 ;;10,017 ;;8á ;24,869 ;24 ;;;;;31,966 ;4,095 ;44 ;X 23 ;;1,550 ;;;;;;;;;;;;
Vistorp ;;;;1.800 ;;;100 ;;1.100 ;80 ;1,500 ;8,225 ;1.000 ;;;;;9,000 ;800 ;;;;4,000 ;;;;;;;;;;;;
