Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8 ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17 ! ;18 ;19. ;20. ;21 ;22. ;23. ;24 ;25 ;26. ;27 ;;28. ;29. : ;30 ;31. ;32. ;33. ;34 ;35 ;
Härened med Skofteby ;30.75 ;60 ;58 ;5.394 ;49 ;4,327 ;153 ;865 ;;;;5 ;;;;;557 ;2,090 ;37 ;20 ;12 ;3 ;390 ;780 ;;;444 ;438 ;;2,100 ;;580 ;10,300 ;200 ;200 ;
Källby ;14.13 ;;;1.020 ;;1,250 ;100 ;;;;;;;;;;;;20 ;40 ;;;50 ;400 ;;;150 ;130 ;10 ;560 ;;190 ;3,200 ;GO ;180 ;
Linderfva ;6,50 ;;26 ;1,755 ;;1,116 ;;;;;;;;;;;;;14 ;15 ;46 ;;139 ;278 ;;;139 ;120 ;;480 ;;;1,500 ;55 ;80 ;
Skeby ;7.63 ;;22 ;1.700 ;8 ;848 ;;;;;;;;;;;;;16 ;;;1 ;;216 ;;;120 ;35 ;;;;;3,000 ;;50 ;
Skjelfvum ;11.75 ;;;1,700 ;12 ;838 ;;;;;;;;;;;;;;;;;;240 ;;;;144 ;;150 ;;100 ;1,500 ;40 ;50 ;
Safvared ;18,25 ;;;4.947 ;40 ;2,388 ;;2.469 ;;;;;;;;;;;100 ;101 ;;20 ;;682 ;- ;;;;;65G ;;;6,400 ;300 ;500 ;
Ofva ;8.25 ;14 ;25 ;2,585 ;12 ;1.035 ;460 ;1,078 ;;;;;8 ;27 ;;;;300 ;38 ;50 ;30 ;;100 ;200 ;;;;210 ;;640 ;;190 ;2,144 ;;154 ;
Kinnefjerdlags bärad ;169.89 ;487 ;413 ;37.296 ;188 ;22,555 ;1,405 ;9,515 ;43 ;257 ;165 ;15 ;35 ;70 ;19 ;3 ;2,980 ;7,660 ;366 ;764 ;259 ;69 ;2.252 ;5.365 ;6 ;2.627 ;;2,599 ;78 ;10,336 ;33 ;2,613 ;55,521 ;1,451 ;1,834 ;
Forshem ;24,75 ;127 ;135 ;11,000 ;54 ;2,212 ;407 ;8,327 ;;X ;;;2 ;;3 ;;550 ;910 ;82 ;112 ;116 ;12 ;540 ;1,122 ;- ;;443 ;915 ;- ;1,506 ;- ;430 ;6,200 ;630 ;410 ;
Fullösa. ;16,87 ;22 ;30 ;3,285 ;6 ;1,488 ;50 ;1,741 ;;;;;;;;;248 ;455 ;60 ;62 ;18 ;3 ;80 ;358 ;;;248 ;315 ;- ;850 ;;157 ;4,096 ;;126 ;
