Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. 24. ;25 ;26. ;27. ;28. ;29. ;30. 31. ;32. ;33. ;34. ;35. ;;
;Hângsdala ;16 ;26 ;14 ;2,088 ;10 ;1.285 ;219 ;- ;;;20 ;- ;14 ;;20 ;;214 ;307 ;7 ;107 ;5 ;3 15 ;413 ;;214 ;6 ;;1,340 ;100 ;3,220 ;- ;80 ;;
;Härja ;13:84 ;94 ;30 ;12,265 ;4 ;1,248 ;1,560 ;520 ;;;;;;;;;208 ;644 ;;105 ;;;;;208 ;;;1,595 15 ;70 ;7,728 ;;;;
;Hömb ;8:75 ;;;3,008 ;30 ;1,000 ;640 ;700 ;;;;;;;;;160 ;300 ;;30 ;;;;;160 ;100 ;;700 - ;;2,100 ;;;;
;Karleby ;30'13 ;;;3,471 ;12 ;1,800 ;228 ;;;;;;;;;;218 ;1,092 ;;150 ;;;;;150 ;;;1,220 ;800 ;8,200 ;300 ;200 ;;
;Kelfvene, ;9:50 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1,389 ;;879 ;100 ;;;;;;;;;;;508 ;;45 ;;;;;;;;480 - ;95 ;5,000 ;210 ;;;
;Kungelena ;29:75 ;;;4,397 ;16 ;2,527 ;290 ;1,200 ;;;;;;;;;420 ;890 ;20 ;115 ;;;;;;;;1,900 ;189 ;6,300 ;315 ;;;
;Korsberga ;20:63 ;;;8,563 ;7 ;2,355 ;1,700 ;3,080 ;;;;;;;;;553 ;854 ;12 ;;;;;;;;;2,652 ;;7.807 ;117 ;;;
;Kylingared (länedel) ;4 ;;;2,546 ;1 ;150 ;49 ;200 ;;;;;;;;;;80 ;;;;;;;;;;;;945 ;;;;
;Kymbo. ;13:75 ;;;4,166 ;3 ;1,845 ;530 ;500 ;;;;;;;;;200 ;400 ;;200 ;;;;;;;;700 ;;3,895 ;10 ;;;
;Luttra ;20:88 ;;;3,240 ;4 ;990 ;35 ;;;;;;;;;;;;;;;X ;;;;;;;;;;;;
