Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22 ;23. ;24 ;25. ;26. ;27 ;28. ;29. ;30 ;31. ;32. ;33. ;34 ;35. ;
Broddetorp ;6,88 ;;;16 ;15 ;420 ;125 ;;;;;;;;;;;;;12 ;;;30 ;110 ;;;;;278 ;- ;95 ;1.160 ;8 ;15 ;
Brunnhem ;12,75 ;;;;;655 ;;;;;;;;;;;;;;;;;;;;;;;650 ;;349 ;1.550 ;378 ;;
Dala ;28,69 ;;;;50 ;2,150 ;100 ;700 ;;;;;;;;;;;;;;;;;;;;;1,500 ;;400 ;5,400 ;;150 ;
Edâsa ;6,85 ;;;;;1,490 ;125 ;2,394 ;;;;;;;;;;;;;;;;;;;;;1,549 ;;;3,131 ;;;
Falköpings landsförsamling ;10 ;;;;;500 ;170 ;20 ;;;;;;;;;;;;;;;;;;;;;420 ;;200 ;2,000 ;;;
Friggeraker ;17,85 ;;;;;1,915 ;869 ;;;;;;;;;;;;;;;;;;;;;;480 ;;500 ;4,500 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gudhem Hornborga ;21 15,63 ;;;;;2,200 530 ;280 445 ;1,007 ;;;;;;;;;;;;;;;;;;;;;1,110 500 ;20 ;900 250 ;4,600 2,000 ;1,000 ;;
Hâkantorp ;6,81 ;;;;;500 ;310 ;340 ;;;;;;;;;;;;;;;;;;;;;;;80 ;1,540 ;;;
Högstena ;14,75 ;;;;;1,194 ;182 ;;;;;;;;;;;;;;;;;;;;;;;;283 ;3,780 ;;;
Kyrketorp ;10,63 ;;;;;604 ;230 ;;;;;;;;;;;;;;;;;;;;;;;;220 ;2,200 ;;;
Ljunghem ;9,75 ;;;;;606 ;580 ;1,430 ;;;;;;;;;;;;;;;;;;;;;;;;1,600 ;;;
Râdene ;17,88 ;;;;28 ;780 ;750 ;500 ;;;;;;;;;;;;;;;;;;;;;;;110 ;2,750 ;;;
Segerstad ;19 ;;;;5 ;721 ;216 ;508 ;;;;;;;;;;;;;;;;;;;;;;;233 ;2,203 ;;;
Stenstorp ;15,50 ;;;;8 ;1,010 ;150 ;692 ;;;;;;;;;;;;;;;;;;;;;;;189 ;3,874 ;;;
Sjögerstad ;19,19 ;;;;75 ;1,581 ;1,050 ;754 ;;;;;;;;;;;;;;;;;;;;;;;189 ;3,820 ;;;
Sätuna ;10,88 ;;;;10 ;500 ;500 ;90 ;;;;;;;;;;;;;;;;;;;;;;;150 ;1,350 ;125 ;;
Torbjörntorp ;11,88 ;;;;;1,202 ;50 ;10 ;;;;;;;;;;;;;;;;;;;;;;;315 ;3,402 ;;;
Tunhem ;12 ;;;;;600 ;150 ;530 ;;;;;;;;;;;;;;;;;;;;;;;350 ;2,500 ;;;
Ugglum ;15,50 ;;;;;649 ;230 ;;;;;;;;;;;;;;;;;;;;;;;;300 ;17,000 ;;;
Valtorp ;14.50 ;;;;15 ;837 ;430 ;706 ;;;;;;;;;106 ;408 ;;;3 ;;;75 ;;200 ;;;;;160 ;2,350 ;;75 ;
Summa Gudhems härad ;366,68 ;1.013 ;524 ;;384 ;24,429 ;8,206 ;13,107 ;127 ;553 ;227 ;15 ;135 ;280 ;117 ;7 ;3.949 ;9,158 ;328 ;1,967 ;251 ;65 ;2,600 ;4,849 ;4 ;3,818 ;541 ;17 ;19,512 ;140 ;5,965 ;84,723 ;2,779 ;1,423 ;
Bolum ;33,25 ;112 ;50 ;;17 ;1,502 ;406 ;1,575 ;16 ;;;;;;12 ;;280 ;625 ;;80 ;20 ;;;150 ;;275 ;;;1.800 ;- ;650 ;4,230 ;1,200 ;180 ;
Eggby ;20.75 ;;;;;1,585 ;170 ;;;;;;;;;;230 ;490 ;;100 ;;;;;;;;;1,300 ;- ;300 ;3,100 ;250 ;150 ;
Häggum ;17,28 ;;;;10 ;2.280 ;780 ;980 ;;;;;;;;;175 ;;;140 ;;;;;;;;16 ;750 ;- ;115 ;5,600 ;200 ;55 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Istrum ;8,95 35,50 ;;;;15 ;1,150 1,500 ;165 350 ;2,670 ;;;;;;;;;150 350 ;360 ;;150 ;;;180 ;;;;;;900 ;- ;60 ;3,000 ;;60 ;
Lundby Skarke ;24,69 ;;;;;1,550 ;996 ;1,700 ;;;;;;;3 ;;;;;;;;;;;;;;2,960 ;- ;840 ;3,500 ;100 ;100 ;
;;;;;;;;;;;;;;;;;290 ;450 ;;150 ;20 ;;;;;;;;1.750 ;- ;500 ;2,300 ;100 ;400 ;
Skärf ;15,81 ;;;;;600 ;300 ;3.400 ;;;;;;;;;150 ;;15 ;;5 ;;;;;;;;712 ;;170 ;2,000 ;;60 ;
Stenum ;15.88 ;;;;;560 ;1,120 ;3,390 ;;;;;;;;;125 ;210 ;10 ;;10 ;;120 ;1.000 ;;;;;588 ;- ;72 ;1,980 ;;40 ;
Ving ;10,13 ;;;;;640 ;860 ;1,000 ;;;;;;;;;150 ;;;;2 ;;100 ;;;;;;725 ;;108 ;2,450 ;;20 ;
Oglunda ;13.56 ;;;;7 ;470 ;630 ;200 ;9 ;20 ;;;;;;;130 ;250 ;20 ;60 ;;;;30 ;;130 ;;;630 ;- ;130 ;1,760 ;500 ;75 ;
Summa Valle härad ;194,60 ;447 ;482 ;;265 ;11,837 ;5,277 ;14,915 ;134 ;203 ;48 ;8 ;205 ;130 ;19 ;I ;2,030 ;3,858 ;302 ;956 ;136 ;22 ;965 ;3,165 ;- ;1,795 ;396 ;51 ;12,115 ;- ;2,945 ;29,920 ;1,350 ;1.140 ;
Brevik ;17,88 ;233 ;;;;1,800 ;65 ;1,000 ;46 ;187 ;;;48 ;185 ;1 ;1 ;405 ;540 ;12 ;175 ;;8 ;40 ;175 ;;405 ;;;1,980 ;100 ;- ;5,050 ;;;
Forsby .... ;;;;;;1,503 ;250 ;485 ;;;;;;;;;340 ;;;;;;230 ;;;340 ;140 ;;1,700 ;;;2,600 ;;;
Fogelas, norra Fogelas, södra ;38.75 37,81 ;152 ;;;136 ;3.200 1,428 ;1,500 1,428 ;6,154 8.690 ;;;;;;;;;;1.000 ;;;;;118 ;;;;289 665 ;60 ;2,992 6.000 ;60 ;189 60 ;9,000 ;;;
Grefbäck ;23.31 ;;;;;2,200 ;1,000 ;3,806 ;;;;;;;;;;;;;;;;400 ;;;;;2,100 ;- ;- ;10,000 6,300 ;;;
Hagelberg ;;27 ;;;;860 ;240 ;2.340 ;;;;;;;;;;;;;;;100 ;100 ;;127 ;;;850 ;;-- ;2.440 ;;;
Hio landsförsamliug Kyrkefalla ;20,50 45 ;93 234 ;165 ;;45 ;2,550 5.782 ;2,000 6,920 ;2.116 10,557 ;;;;;;;;;400 ;900 ;;240 130 ;15 ;;200 ;;;400 ;63 ;37 ;1,827 ;63 ;6 ;3,780 ;100 ;;
;14,63 ;29 ;;;12 ;1,650 ;350 ;1.657 ;10 ;;;;;;;;200 ;1,928 ;;;;;;1.428 ;;964 ;252 ;;5,040 ;;;18,300 ;;200 ;
Kyrketorp Mofalla ;10,81 ;57 ;;;3 ;574 ;470 ;1,753 ;;;;;;;;;120 ;450 145 ;;;;;;500 140 ;2 ;200 120 ;120 60 ;15 ;1,100 480 ;40 50 ;30 ;3,600 ;;;
Ryd ;8,88 ;;;;;570 ;100 ;1,076 ;3 ;;;;;;;;81 ;209 ;;;;;;130 ;;60 ;;;324 ;;360 ;900 1,200 ;;;
Sköfde landsförsamling ;24,19 ;110 ;;;;1,530 ;428 ;550 ;;;;;;;;;300 ;660 ;;;3 ;;;100 ;;;150 ;50 ;1,440 ;75 ;30 ;5,180 ;;110 ;
