Table: Table_1

;1. ;36. ;37. ;38. ;39. ;40 ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58 ;59 ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71 ;72. ;73. ;74 ;;
;Hângadala ;- ;- ;- ;5,400 ;10 ;36 ;- ;6,710 ;- ;600 ;19,320 ;- ;300 ;- ;- ;- ;16,180 ;500 ;50 ;6 ;;5,600 ;64 ;20 ;128 ;7 ;192 ;96 ;256 ;- ;64 ;;
;Härja ;;;;4,410 ;6 ;;;4,785 ;X 45 ;280 ;27,050 ;- ;- ;- ;;- ;13,230 ;;: ;14 ;;;;;164 ;;312 ;160 ;450 ;;;;
;Hömb ;;160 ;;1,200 ;;X 598 ;;3,562 ;- ;;14,400 ;;;- ;grönfoder ;- ;3,600 ;3,000 ;;;;13,000 ;40 ;;;;244 ;100 ;160 ;;50 ;;
;Karleby ;;150 ;;5,800 ;20 ;;;3,660 ;- ;4,800 ;32,800 ;1,200 ;600 ;- ;450 ;- ;17,400 ;400 ;80 ;5 ;X 100 ;6,000 ;;;160 ;;280 ;150 ;180 ;;150 ;;
;Kelfvene ;;;;1,800 ;;;;2,400 ;- ;665 ;25,000 ;1,260 ;;;;;10,800 ;;;;1,800 ;750 ;;;;;140 ;75 ;150 ;;50 ;;
;Kungslena ;;;;3,215 ;;;;7,600 ;;1,323 ;31,500 ;1,740 ;376 ;;376 ;- ;9,645 ;;62 ;25 ;X 300 ;25,000 ;;;;;270 ;144 ;300 ;;125 ;;
;Koraberga ;;199 ;;3,106 ;;X 975 ;;13,739 ;183 ;;46,204 ;277 ;193 ;;;- ;12,618 ;1,260 ;;19 ;;29,580 ;;;;;504 ;181 ;474 ;;;;
;Kylingared (länsdel) ;;;;1.300 ;;;;560 ;;100 ;4,800 ;;;;;- ;3,000 ;;;;;;;;;;;;;;;;
;Kymbo ;;20 ;;3,700 ;;;;;100 ;310 ;19,475 ;50 ;32 ;- ;;;7,400 ;9 ;;;;;;;;;58 ;30 ;80 ;;;;
;;;;;;;;;2,100 ;;;;;;;;- ;;;;;;3,000 ;;;;;120 ;75 ;130 ;;50 ;;
;Luttra. ;;30 ;;2,500 ;4 ;;;6,860 ;- ;4,800 ;25,000 ;X 1,200 ;70 ;;100 ;- ;5,000 ;;;;;;;;;;250 ;110 ;220 ;;200 ;;
;Mularp ;;50 ;;1,670 ;P ;X ;;2,000 ;;2,060 ;15,000 ;1,000 ;500 ;P ;300 ;;2,340 ;? ;;P ;X 240 ;3,360 ;;;;;165 ;35 ;145 ;;55 ;;
;Nykyrka ;- ;;;4,620 ;;;;1,800 ;160 ;;13,000 ;2,000 ;;- ;;- ;9,000 ;- ;;;;;;;;;60 ;30 ;100 ;;;;
;Näs ;;10 ;;1,250 ;;;;5,400 ;;450 ;12,000 ;;140 ;- ;40 ;- ;3,750 ;: ;;;;;;;;;65 ;40 ;100 ;;;;
;Ottravad ;1 ;15 ;;1,960 ;6 ;;30 ;2,550 ;X 30 ;130 ;16,780 ;60 ;60 ;6 ;70 ;- ;5,900 ;;;;;;;;;;;30 ;80 ;;;;
;Sandhem ;;;;14,000 ;;;;14,400 ;400 ;300 ;50,000 ;X 1,200 ;;- ;;;40,000 ;3,000 ;;;;;;;400 ;15 ;800 ;300 ;1,100 ;;300 ;;
;Skörstorp ;;210 ;;1,800 ;;;;3,360 ;;1,750 ;21,000 ;900 ;80 ;- ;210 ;;3,600 ;;;;;4,000 ;;;;;200 ;100 ;200 ;;150 ;;
;Slöta med Faleqvarna ;;150 ;;10.000 ;12 ;;X 48 ;6,864 ;96 ;6,000 ;76,800 ;800 ;300 ;;300 ;;35,000 ;4,000 ;36 ;7 ;X 800 ;10,000 ;184 ;;360 ;12 ;552 ;300 ;1,000 ;;360 ;;
;Suntak ;;30 ;;1,300 ;;;;2,250 ;90 ;360 ;12,000 ;120 ;15 ;- ;180 ;;10,400 ;;;;;;;;;;125 ;55 ;130 ;;45 ;;
;Tiarp ;;18 ;;2,800 ;15 ;60 ;;1,400 ;;X 880 ;10,000 ;380 ;100 ;- ;100 ;;5,500 ;;30 ;12 ;;5,000 ;;;;;150 ;90 ;200 ;;45 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Utvängstorp Velinge ;6 ;- ;;2,800 6,840 ;3 30 ;72 ;;1,100 10,680 ;140 540 ;;8,100 30,360 ;140 ;12 ;P ;;- - ;12,000 20,000 ;9 ;10 90 ;65 ;X 1,000 ;3,000 8,000 ;;;134 ;10 ;150 430 ;40 220 ;160 ;;100 ;;
;Visttorp ;2 ;;;1,400 ;8 ;;16 ;1,600 ;60 ;400 ;14,050 ;400 ;30 ;5 ;;- ;5,000 ;? ;15 ;10 ;;900 ;;12 ;116 ;;195 ;150 ;;;50 ;;
;Vättak ;;63 ;;5,000 ;6 ;;;4,420 ;300 ;500 ;19,500 ;65 ;31 ;- ;grönfoder ;- ;40,000 ;? ;12 ;;;;;;76 ;;140 ;40 ;150 ;;90 ;;
;Yllestad ;;- ;;3,600 ;- ;70 ;;3,080 ;;625 ;14,400 ;- ;;;- ;- ;7,200 ;;;;;4,000 ;;30 ;110 ;;240 ;125 ;;;100 ;;
;Asaka (länsdel) ;;;;2,500 ;;;;3,600 ;- ;2,250 ;36,000 ;;90 ;- ;;;9,000 ;6,300 ;;;;;60 ;35 ;140 ;;350 ;150 ;;;130 ;;
;Asle ;;30 ;;5,000 ;12 ;60 ;;3,068 ;- ;2,700 ;23,100 ;300 ;134 ;- ;90 ;- ;24,000 ;;30 ;P ;;: ;156 ;80 ;104 ;;360 ;130 ;110 ;-- ;135 ;;
;Vartofta härad ;17 ;1,956 ;- ;160,786 ;291 ;5,873 ;981 ;246,664 ;4,596 ;41,134 ;1,070,179 ;19,983 ;4,708 ;53 ;3,347 ;- ;532,077 ;33,360 ;6or ;300 ;5,575 ;195,35C ;2,089 ;773 ;5,913 ;287 ;11,992 ;5,420 ;12,482 ;- ;4,407 ;;
;Brismene ;- ;;- ;700 ;8 ;- ;;680 ;- ;360 ;6,000 ;150 ;10 ;- ;10 ;- ;2,000 ;;18 ;: ;- ;- ;60 ;30 ;30 ;10 ;160 ;100 ;180 ;- ;50 ;;
;Börstig ;;;- ;2,400 ;;138 ;X 100 ;2,380 ;X 240 ;600 ;12,300 ;960 ;50 ;- ;10 ;;7,600 ;;8 ;;- ;;50 ;25 ;120 ;6 ;390 ;160 ;210 ;- ;130 ;;
;Grolanda ;;30 ;;1,800 ;25 ;;;3,360 ;72 ;1,050 ;13,500 ;- ;72 ;;120 ;- ;5,400 ;? ;;20 ;- ;: ;70 ;30 ;150 ;8 ;300 ;100 ;250 ;- ;20 ;;
;Kinneved ;;12 ;;3,100 ;30 ;- ;;3,400 ;;1,240 ;34.140 ;;48 ;;72 ;- ;9,800 ;p ;60 ;25 ;;5,000 ;105 ;35 ;170 ;10 ;425 ;240 ;400 ;- ;150 ;;
;Smula ;;;- ;200 ;;- ;- ;500 ;- ;150 ;2,500 ;75 ;15 ;- ;;- ;1,600 ;;;;;;19 ;15 ;38 ;;59 ;32 ;50 ;- ;11 ;;
;V&rkumla ;;12 ;- ;415 ;con ;;;1,224 ;;625 ;6,116 ;;36 ;;86 ;- ;1,245 ;48 ;6 ;P ;;;50 ;16 ;;;164 ;42 ;134 ;;;;
;Asarp ;2 ;12 ;- ;390 ;;- ;- ;360 ;10 ;290 ;2,100 ;60 ;30 ;8 ;84 ;- ;1,560 ;p ;12 ;? ;- ;500 ;63 ;10 ;15 ;2 ;70 ;35 ;38 ;- ;15 ;;
;Frökinds härad ;2 ;76 ;- ;9,005 ;77 ;138 ;X 100 ;11,904 ;322 ;4,315 ;76,656 ;1,245 ;201 ;8 ;332 ;- ;28,705 ;48 ;104 ;45 ;- ;5,500 ;417 ;161 ;651 ;43 ;1,568 ;709 ;1,262 ;- ;424 ;;
;Amnehärad ;;20 ;;4,000 ;10 ;350 ;- ;16,000 ;- ;240 ;40,600 ;- ;150 ;;40 ;- ;23,900 ;900 ;;8 ;500 ;40,000 ;80 ;8 ;200 ;8 ;600 ;300 ;150 ;- ;300 ;;
;Beateberg ;;150 ;;3,600 ;45 ;800 ;;7,200 ;- ;120 ;21,480 ;;540 ;;P ;- ;18,000 ;P ;:- ;30 ;;;60 ;;180 ;;360 ;300 ;400 ;;120 ;;
;Berg. ;;;;5,000 ;;750 ;- ;6,000 ;- ;4,550 ;15,000 ;400 ;600 ;- ;- ;- ;15,000 ;;;;- ;;54 ;16 ;160 ;9 ;330 ;125 ;100 ;;125 ;;
;Bellefors ;;;;900 ;10 ;1,300 ;50 ;3,000 ;- ;80 ;7,000 ;;300 ;;180 ;- ;3,000 ;P ;4 ;;;;40 ;10 ;120 ;5 ;200 ;30 ;100 ;;30 ;;
;Binneberg ;;;;600 ;2 ;400 ;;2,960 ;- ;;3,000 ;- ;320 ;20 ;;- ;1,800 ;;;;;;10 ;;32 ;1 ;50 ;40 ;60 ;;10 ;;
;Björkäng ;;;;4,000 ;;3,500 ;260 ;8,000 ;- ;150 ;18,000 ;- ;100 ;;;- ;16,000 ;1,800 ;20 ;8 ;;;50 ;10 ;250 ;5 ;450 ;100 ;150 ;;130 ;;
;Björsäter ;;100 ;;3,000 ;90 ;940 ;100 ;2,700 ;- ;1,000 ;34,000 ;- ;270 ;60 ;200 ;- ;12,000 ;;270 ;15 ;3,500 ;8,000 ;150 ;50 ;300 ;10 ;500 ;150 ;200 ;;150 ;;
;Back ;;40 ;;900 ;12 ;2,200 ;;4,600 ;- ;;25,050 ;- ;300 ;40 ;40 ;;3,500 ;1,200 ;;14 ;;;40 ;5 ;150 ;8 ;280 ;100 ;150 ;;50 ;;
;Böja ;;;;1,150 ;25 ;565 ;;2,600 ;- ;X 130 ;8,400 ;- ;100 ;- ;;- ;2,800 ;? ;100 ;P ;- ;;20 ;5 ;40 ;2 ;110 ;100 ;130 ;;;;
;Karlsborg ;;;;60 ;;;;30 ;- ;;;- ;;- ;;- ;360 ;;;;- ;;76 ;;;- ;;;;;17 ;;
;Ek ;;210 ;;850 ;30 ;432 ;;6,600 ;- ;1,600 ;33,600 ;- ;36 ;;650 ;- ;2,550 ;10,650 ;100 ;P ;- ;15,000 ;50 ;10 ;150 ;4 ;300 ;100 ;150 ;;100 ;;
;Ekby ;;16 ;;1,169 ;;2,262 ;;6,032 ;;108 ;19,000 ;;5,400 ;36 ;96 ;- ;3,507 ;? ;;;;;;;;;;;;;;;
;;;;;400 ;10 ;308 ;;7,500 ;;;;;;;;- ;1,200 ;;20 ;;;;49 ;15 ;170 ;4 ;300 ;100 ;;;40 ;;
;Ekeskog ;;;;;;;;;;;24,000 ;;225 ;;;;;;;P ;;;25 ;;120 ;5 ;225 ;110 ;180 ;;30 ;;
;Elgar&s ;;;;300 ;20 ;450 ;X 40 ;8,000 ;X 50 ;;20,000 ;;400 ;6 ;;;1,000 ;P ;30 ;;;;20 ;5 ;100 ;5 ;160 ;100 ;200 ;;40 ;;
;Flistad ;;;;450 ;P ;1,000 ;;2,600 ;;150 ;10,000 ;2,000 ;1,410 ;24 ;;;1,350 ;;? ;;;;36 ;20 ;144 ;3 ;150 ;;;;;;
49 ;Finnerödja ;;;;1,800 ;150 ;300 ;72 ;10,000 ;X 120 ;300 ;25,000 ;60 ;375 ;;;;3,600 ;;450 ;;;;75 ;10 ;325 ;10 ;;;;;30 ;;
50 ;Fägre ;;150 ;;600 ;10 ;14,000 ;X 200 ;28,000 ;- ;;70,000 ;;2,000 ;60 ;900 ;;1,500 ;P ;30 ;;;;160 ;50 ;600 ;15 ;1,000 1.100 ;300 700 ;400 700 ;;200 ;;
51 ;Fredsberg ;;120 ;;1,825 ;8 ;6,800 ;;21,700 ;- ;400 ;57,500 ;;500 ;75 ;150 ;;3,400 ;? ;? ;;;;80 ;18 ;520 ;12 ;1,000 ;360 ;500 ;;200 200 ;;
52 ;Frösvi ;;;;2,000 ;12 ;1,565 ;;11,400 ;- ;1,200 ;45,000 ;;960 ;;120 ;;14,000 ;;24 ;3 ;1,500 ;11,000 ;43 ;15 ;156 ;5 ;264 ;85 ;190 ;;;;
53 ;Götlunda ;;;;225 ;;4,100 ;- ;13,300 ;- ;;68,000 ;;4,400 ;50 ;420 ;;1,125 ;;? ;;;;27 ;6 ;280 ;;401 ;156 ;300 ;;;;
;Halna ;;;;2,150 ;10 ;'450 ;;7,800 ;- ;32 ;18,800 ;;1,180 ;55 ;;;12,700 ;146 ;30 ;5 ;;7,800 ;15 ;2 ;130 ;;230 ;275 ;280 ;;;;
;Hjäletad ;;;;400 ;;1,625 ;50 ;3,775 ;- ;50 ;14,700 ;150 ;750 ;25 ;250 ;;1,600 ;;;;;? ;;;120 ;;170 ;70 ;120 ;;;;
;Hassle, Berga, Färed ;;240 ;;5,280 ;;5,600 ;;27,150 ;;500 ;120,400 ;800 ;1,040 ;20 ;720 ;;15,840 ;, ;14 ;;;;;22 ;660 ;;810 ;265 ;300 ;;200 ;;
57 ;Hofva, Fagerlid ;;;;5,900 ;100 ;2,000 ;X 350 ;30,000 ;X 500 ;600 ;70,000 ;X 590 ;380 ;;350 ;;30,000 ;30,000 ;;75 ;;90,000 ;200 ;100 ;500 ;;1,500 ;700 ;1,200 ;;160 ;;
;Horn ;;;;1,500 ;10 ;1,350 ;;5,050 ;-- ..... ;400 ;15,000 ;- ;450 ;;180 ;;7,000 ;;50 ;5 ;800 ;5,500 ;48 ;10 ;140 ;;263 ;95 ;120 ;;;;
;Lekeberg ;;;;1,200 ;;1,500 ;70 ;3,600 ;- ;80 ;20,370 ;- ;200 ;;325 ;- ;3,600 ;3,700 ;;;;16,000 ;;;142 ;;350 ;80 ;70 ;;;;
;Lyrestad ;;;;4,668 ;51 ;1,000 ;;18,190 ;- - ;250 ;54,200 ;;1,590 ;;100 ;;18,350 ;;P ;50 ;;30,000 ;;;470 ;;700 ;589 ;951 ;;197 ;;
;Locketorp ;;;;3,500 ;20 ;1,165 ;160 ;6,690 ;- ;80 ;15,540 ;80 ;640 ;;270 ;;18,500 ;;;10 ;2,500 ;13,000 ;;;;;;;;;;;
;Lerdala ;;100 ;;2,600 ;4 ;1,400 ;- ;2,475 ;X 40 ;1,800 ;13,500 ;X 480 ;450 ;;;- ;7,800 ;1,200 ;;;;24,000 ;65 ;;120 ;;300 ;140 ;150 ;;;;
