Table: Table_1

Falköpings landsförsamling* ;;;;;1,260 ;;;;4,410 ;- ;5,292 ;17,325 ;- ;150 ;;;6,300 ;;;TO ;5² ;;225 ;40 ;6o ;;30 ;
Fridene* ;;;;;600 ;;;;;- ;5%8 ;;;;- ;;;;;;;13 ;;;;;;
Fröjered ;;;;;2.250 ;;600 ;58 ;15,000 ;85 ;;20,000 ;X 150 ;148 ;;125 ;15,000 ;;;;278 ;;400 ;200 ;;;100 ;
Gerum ;;;;;1.814 ;;;;1,814 ;- ;500 ;14,175 ;;125 ;;;7,245 ;;;G ;50 ;3 ;80 ;45 ;100 ;;35 ;
Fiskebäck* ;480 ;;;;5,040 ;;;;7,560 ;544 ;;15,600 ;1,120 ;- ;;;25,200 ;;;3 ;250 ;10 ;320 ;210 ;500 ;;TOO ;
Haho* ;;;;;5,288 ;;to ;16 ;;220 ;318 ;80,400 ;2,300 ;- ;;;71-440 ;;;;470 ;3:00 ;950 ;400 ;1,300 ;;320 ;
;575 ;;;;;;;;3,100 ;;360 ;12.200 ;;96 ;;;23,000 ;;;;80 ;;;50 ;96 ;;40 ;
Hvarf ;;;;;3,710 ;;120 ;;;;;;;;;;;;;;;;;;;;;
Hyalstad* Hângsdala ;;;;31 ;6,000 5,393 ;;48 ;;13,230 8,052 ;- - ;604 606 ;;- - ;532 134 ;- ;;;;;10 ;;4 ;160 ;X 36 ;256 ;;16 64 ;





