Table: Table_1

1 ;2. ;3. ;4. ;5. ;6. ;7. ;8 ;9. ;10. ;11. ;12 ;13. ;14. ;15 ;16 ;17 ;18 ;19. ;20 ;21. ;22. ;23 ;24 ;25 ;26. ;27. ;28. ;29 ;30 ;31 ;32. ;83. ;34 ;35. ;
Gudhems harad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjerka (Bjerklunda härsdel) ;19,63 ;53 ;47 ;5,528 ;16 ;780 ;1,716 ;3,016 ;;- ;2 ;2 ;- ;X 47 ;- ;- ;210 ;300 ;- ;70 ;12 ;5 ;- ;- ;15 ;200 ;81 ;- ;882 ;126 ;63 ;2,205 ;- ;19 ;
Bjurum ;15,13 ;43 ;41 ;6,500 ;12 ;1,500 ;1,200 ;600 ;;- ;- ;- ;- ;- ;- ;;185 ;345 ;X 30 ;150 ;10 ;;285 ;310 ;- ;185 ;- ;-- ;945 ;- ;126 ;2,205 ;- ;126 ;
Borgunda ;33 ;77 ;42 ;3,100 ;8 ;2.112 ;320 ;660 ;20 ;60 ;17 ;- ;42 ;X 60 ;17 ;- ;320 ;620 ;23 ;128 ;- ;1 ;100 ;X 600 ;- ;320 ;- ;- ;1,600 ;- ;403 ;4,428 ;519 ;92 ;
Broddetorp ;6,88 ;21 ;22 ;1,215 ;12 ;406 ;135 ;660 ;3 ;19 ;2 ;- ;- ;18 ;3 ;- ;68 ;184 ;13 ;22 ;10 ;1 ;38 ;X 50 ;- ;56 ;X 17 ;- ;419 ;- ;150 ;1,500 ;- ;GO ;
Brunnhem ;12,75 ;50 ;4 ;1,403 ;52 ;G24 ;24 ;702 ;2 ;35 ;13 ;- ;- ;4 ;3 ;- ;120 ;258 ;24 ;X 50 ;- ;2 ;- ;60 ;- ;120 ;- ;- ;806 ;- ;397 ;1,549 ;378 ;126 ;
Dala ;28,69 ;77 ;33 ;3,000 ;50 ;2,150 ;100 ;700 ;;- ;- ;- ;- ;- ;-- ;- ;280 ;570 ;30 ;60 ;20 ;- ;900 ;- ;- ;280 ;X 25 ;- ;1,411 ;- ;441 ;5,355 ;- ;126 ;
Edâsa ;5,38 ;27 ;38 ;3,208 ;8 ;1,000 ;200 ;2,000 ;4 ;10 ;1 ;1 ;- ;3 ;2 ;- ;155 ;300 ;3 ;20 ;- ;2 ;70 ;300 ;- ;150 ;25 ;- ;819 ;- ;- ;2,369 ;- ;15 ;
Falköpings landssocken ;9 ;26 ;1 ;525 ;2 ;325 ;196 ;2 ;1 ;9 ;6 ;- ;- ;10 ;- ;;75 ;140 ;- ;20 ;3 ;1 ;- ;5 ;- ;81 ;- ;- ;2:27 ;- ;346 ;1,071 ;31 ;31 ;
