Table: Table_1

1. ;2. ;3. ;4. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Svenneby ;8,18 ;8 ;11 ;10 ;1.150 ;480 ;760 ;- ;2 ;4 ;1 ;11 ;2 ;5 ;1 ;120 ;240 ;40 ;20 ;20 ;5 ;105 ;480 ;5 ;120 ;380 ;- ;250 ;- ;60 ;1,500 ;60 ;100 ;
Säter ;22.81 ;46 ;80 ;30 ;1,235 ;1,045 ;2,002 ;4 ;20 ;6 ;2 ;2 ;;4 ;- ;312 ;400 ;30 ;119 ;10 ;4 ;- ;160 ;- ;200 ;50 ;- ;1,660 ;- ;441 ;2,735 ;;150 ;
Torsö ;31,44 ;98 ;175 ;56 ;2,039 ;780 ;7,000 ;57 ;25 ;3 ;2 ;5 ;2 ;- ;- ;304 ;690 ;40 ;132 ;20 ;5 ;- ;557 ;- ;291 ;207 ;;1,600 ;- ;37 ;4,567 ;;130 ;
Tidavad ;12.25 ;47 ;15 ;10 ;676 ;612 ;612 ;;;;;;;- ;;247 ;350 ;;66 ;16 ;;- ;350 ;22 ;247 ;176 ;25 ;378 ;;25 ;1,300 ;;150 ;
Tived ;13.89 ;182 ;34 ;;;;- ;10 ;171 ;;;20 ;;- ;- ;166 ;260 ;12 ;75 ;15 ;25 ;;320 ;- ;160 ;65 ;50 ;900 ;25 ;25 ;2,100 ;30 ;40 ;
Trästena ;15.88 ;25 ;36 ;13 ;1,033 1.700 ;100 ;- ;1 ;16 ;3 ;3 ;;20 ;6 ;3 ;235 ;262 ;27 ;50 ;15 ;3 ;95 ;503 ;- ;212 ;350 ;- ;800 ;- ;;5,000 ;100 ;50 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timmersdala Ullervad ;9,50 24,88 ;46 73 ;12 63 ;50 ;3.140 ;50 ;1,560 ;13 ;52 ;;1 ;10 ;36 ;- ;- - ;80 ;12 ;10 35 ;40 90 ;6 10 ;4 7 ;100 280 ;218 ;- ;80 400 ;114 800 ;- ;380 2,200 ;- ;25 180 ;720 5,600 ;100 ;50 50 ;
Utby ;17,27 ;38 ;26 ;11 ;1,917 ;;900 ;;;;;;;36 ;;500 288 ;700 516 ;60 ;31 ;2 ;1 ;116 ;1.118 576 ;- ;288 ;350 ;10 ;725 ;- ;20 ;2.011 ;- ;225 ;
;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;;;;;;
Undenäs ;43 ;315 ;246 ;42 ;5,510 ;;;11 ;193 ;;4 ;;96 ;3 ;1 ;900 ;1,550 ;80 ;300 ;30 ;50 ;125 ;1,600 ;- ;875 ;140 ;30 ;4,230 ;100 ;42 ;13,896 ;- ;90 ;
Vad. ;12,75 ;24 ;8 ;16 ;1,400 ;250 ;50 ;1 ;6 ;10 ;1 ;;4 ;4 ;;250 ;400 ;40 ;25 ;5 ;- ;200 ;400 ;- ;250 ;600 ;;645 ;- ;;2,000 ;- ;120 ;
Väring ;24 ;100 ;60 ;4 ;1,820 ;50 ;2,326 ;12 ;36 ;20 ;;4 ;3 ;1 ;1 ;420 ;470 ;40 ;35 ;- ;- ;- ;605 ;- ;250 ;720 ;20 ;1,140 ;- ;20 ;2,380 ;- ;140 ;
Summa Vadabo härad ;1,006,74 ;4.638 ;3,236 ;1,018 ;107,488 ;14.792 ;93,877 ;905 ;2,490 ;570 ;49 ;498 ;986 ;294 ;18 ;17.048 ;31,058 ;3.009 ;4.110 ;523 ;436 ;8.808 ;28.734 ;III ;15,112 ;17.133 ;570 ;65,768 ;370 ;3,167 ;206,839 ;1,410 ;7,706 ;
Summa för landsbygden ;4,707,46 ;18,506 ;12.277 ;5,640 ;523,490 ;101,959 ;360.256 ;2,533 ;9,866 ;2,969 ;263 ;2,069 ;4,311 ;1,308 ;131 ;71.602 ;190,558 ;11,677 ;24,612 ;3.412 ;1,272 ;44.171 ;112,517 ;414 ;69,189 ;51,760 ;2,399 ;312.532 ;3,560 ;49,808 ;1,377,854 ;38,471 ;34,530 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;42 ;26 ;780 ;8 ;400 ;18 ;24 ;3 ;- ;6 ;4 ;1 ;- ;120 ;190 ;4 ;10 ;6 ;- ;- ;350 ;- ;100 ;160 ;- ;320 ;- ;10 ;1.300 ;- ;15 ;
Lidköping ;16 ;110 ;5 ;35 ;938 ;;1.194 ;55 ;25 ;5 ;- ;20 ;10 ;- ;- ;175 ;288 ;;20 ;16 ;- ;;439 ;- ;;;- ;700 ;- ;60 ;2,000 ;- ;;
Skara ;20,50 ;209 ;17 ;57 ;1,958 ;40 ;560 ;101 ;90 ;16 ;2 ;- ;- ;- ;- ;254 ;584 ;76 ;103 ;25 ;1 ;226 ;452 ;- ;287 ;244 ;- ;877 ;- ;195 ;2,875 ;315 ;165 ;
Sköfde ;;52 ;14 ;130 ;7,106 ;373 ;393 ;10 ;33 ;9 ;;- ;3 ;1 ;- ;1,075 ;1.637 ;50 ;301 ;20 ;- ;1,098 ;1,980 ;- ;1,075 ;50 ;- ;895 ;- ;;3,144 ;- ;40 ;
Falköping ;20.67 ;26 ;;20 ;1,735 ;199 ;;2 ;12 ;6 ;1 ;;5 ;- ;- ;110 ;700 ;5 ;50 ;60 ;- ;250 ;450 ;- ;110 ;;- ;660 ;- ;650 ;5,000 ;- ;30 ;
Hjo ;3.95 ;- ;7 ;4 ;765 ;35 ;160 ;8 ;21 ;8 ;- ;5 ;9 ;- ;- ;120 ;220 ;8 ;130 ;35 ;- ;35 ;92 ;- ;125 ;10 ;10 ;600 ;80 ;12 ;1,700 ;20 ;24 ;
Summa för staderna ;68.42 ;897 ;92 ;272 ;13,282 ;655 ;2.707 ;194 ;205 ;47 ;3 ;35 ;31 ;2 ;- ;1.854 ;3.569 ;143 ;614 ;162 ;- ;1.609 ;3,763 ;- ;1,697 ;464 ;10 ;4,052 ;so ;927 ;15.519 ;335 ;274 ;
Summa för hela länet ;4,775,88 ;19,403 ;12.819 ;5,912 ;536,772 ;102,614 ;362.963 ;2.727 ;10.071 ;I 3.016 ;266 ;2.104 ;4,342 ;1,310 ;131 ;73,456 ;194,127 ;11.820 ;25,226 ;3,574 ;1,273 ;45,780 ;116,280 ;414 ;70,886 ;52,224 ;2,409 ;316,584 ;3,640 ;50,735 ;1,393,373 ;38,806 ;34,704 ;





