Table: Table_1

34 ;Strö ;12:50 ;15 ;;4,629 ;50 ;1.245 ;356 ;1.965 ;;;;;;;4 ;;176 ;370 ;99 95 ;52 ;15 ;5 ;72 ;280 ;- ;176 ;440 ;30 ;440 - ;440 ;2,466 ;;294 ;;
35 ;Sunnersberg ;27:88 ;88 50 ;40 ;6.711 4.397 ;15 11 ;4.395 1,577 ;20 174 ;2.281 220 ;5 ;66 49 ;;;;;6 3 ;- - ;700 185 ;2,020 676 ;175 ;55 50 ;21 4 ;9 ;195 50 ;650 250 ;1 ;650 185 ;1,000 179 ;25 ;2,050 730 10 ;1,800 405 ;14,560 ;180 ;250 ;;
36 37 ;Söne Tranum ;15:00 15:13 ;63 ;23 ;3,472 ;6 ;2,258 ;8 ;1,200 ;;;21 ;;;6 ;;;285 ;980 ;170 ;70 ;8 ;8 ;150 ;240 ;- ;347 ;425 ;6 ;970 ;580 ;3,750 5,600 ;50 350 ;698 445 ;;
38 ;Tâdene ;9:25 ;15 ;30 ;2,546 ;20 ;935 ;10 ;1,581 ;;;;;;;;;130 ;356 ;45 ;30 ;8 ;;42 ;216 ;- ;108 ;150 ;;400 - ;125 ;2,100 ;53 ;115 ;;
39 ;Ufvered ;16:25 ;50 ;18 ;3.240 ;20 ;2,950 ;260 ;10 ;;;20 ;;;;3 ;;390 ;860 ;100 ;30 ;7 ;3 ;390 ;780 ;;390 ;200 ;;1,750 ;260 ;7,710 ;260 ;300 ;;
40 ;Väla med Gillstad ;16:75 ;92 ;64 ;6.249 ;24 ;2.400 ;40 ;3,785 ;14 ;102 ;9 ;;;;;;300 ;1,069 ;20 ;40 ;1 ;2 ;100 ;959 ;- ;273 ;200 ;10 ;1,540 ;200 ;9,421 ;;80 ;;
41 ;Asaka ;17:00 ;39 ;35 ;51 1,620 ;26 ;2.136 ;29 ;409 ;;;;;;;5 ;;276 ;756 ;26 ;30 ;20 ;9 ;154 ;632 ;;235 ;355 ;;1.245 ;200 ;6.350 ;;100 ;;
42 ;Orslösa ;19:75 ;80 ;79 ;5,786 ;25 ;3,600 ;25 ;2.136 ;10 ;39 ;30 ;;;5 ;8 ;- ;350 ;1,329 ;170 ;65 ;12 ;5 ;380 ;850 ;20 ;330 ;450 ;- ;1.460 - ;500 ;11,000 ;350 ;580 ;;
;Summa för Kâllands härad ;356.34 ;1,268 ;1,026 ;96,969 ;618 ;48,844 ;2,089 ;33,245 ;144 ;763 ;315 ;38 ;153 ;325 ;88 ;13 ;6,772 ;17,943 ;1,996 ;1,150 ;364 ;66 ;3,600 ;10,900 ;47 ;6,276 ;9,071 ;141 ;25,412 98 ;8,591 ;136,811 ;2,949 ;6,649 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
