Table: Table_1

1. ;36. ;37. ;38. ;39 ;40. ;44. ;;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55. ;56. ;58. ;59 ;60. ;61 ;66. ;67. ;68. ;69 ;70 ;71. ;72. ;73 ;74. ;75. ;
Broddetorp ;;;;528 ;6 ;;338 ;- ;1.807 ;;617 ;6,960 ;48 ;75 ;;10 ;;3,690 ;;7 ;2 ;;3,300 ;24 ;;;;;;12 ;;8 ;;
Brunnhem ;;30 ;;2,040 ;16 ;;54 ;- ;3,250 ;- ;2,094 ;6,200 ;1,890 ;540 ;;180 ;;12,240 ;800 ;64 ;;;;;;;;;;150 ;;;;
Dala ;;;;2,500 ;10 ;;150 ;;7,500 ;;2,400 ;32,400 ;;1,050 ;;;;17,500 ;;;;;;57 ;;;;;;228 ;;;;
Ed&sa ;;;;1,512 ;13 ;;378 ;-- ;9,294 ;- ;;18,786 ;- ;;- ;;- ;10,584 ;;78 ;;;;37 ;;116 ;;;;200 ;;;;
Falköpings landsförsamling ;;;;900 ;;;;- ;1,680 ;- ;1,200 ;8,000 ;;;;70 ;- ;6,300 ;4.000 ;;;;;39 ;10 ;;;;;;;;;
Friggeraker ;;;;1,000 ;3 ;;50 ;- ;1,920 ;- ;3,000 ;22,500 ;160 ;80 ;;180 ;- ;5,000 ;3.100 ;9 ;10 ;15,000 ;20,000 ;50 ;;;;;;;;;;
Gudhem ;;;;1.852 ;;;490 ;;7.770 ;;8,100 ;32,200 ;;192 ;;;;11.112 ;730,000 ;;;2.000 ;16,000 ;110 ;;;;;;;;;;
Hornborga ;;;;5,800 ;5 ;;350 ;48 ;4.500 ;80 ;1,000 ;9,500 ;6.000 ;400 ;;150 ;- - ;36,500 ;200 ;10 ;;100 ;5,000 ;45 ;;;;;;;;;;
Hakantorp ;;;;1,000 ;;;60 ;;3.000 ;;250 ;4,500 ;500 ;400 ;;40 ;;5,500 ;;;;;;;;;;;;;;;;
Högstena ;;;;1,984 ;25 ;;;- ;2,200 ;- ;1,039 ;15,750 ;1,260 ;378 ;;;;9,450 ;;;;;- ;50 ;10 ;;;;;130 ;;;;
Kyrketorp ;;;;945 ;;;63 ;;3,210 ;;1,540 ;13,200 ;441 ;189 ;;;;7,560 ;;;15 ;;;34 ;;;;;;;;;;
Ljunghem ;;;;800 ;;;400 ;- ;7,000 ;;;11,200 ;;60 ;;;;40,000 ;- ;;;;;45 ;;;;;;;;;;
