Table: Table_1

1. ;2. ;3. ;4. ;;5. ;G. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21 ;12. ;23 ;24 ;25. ;26. ;27. ;98. ;29. ;30, ;31. ;32. ;33. ;
Broddetorp ;6.88 ;21 ;;14 ;1,215 ;15 ;412 ;229 ;659 ;;;;;;18 ;;;45 ;165 ;;10 ;;;;107 ;;;;;240 ;;50 ;1.256 ;
Brunnhem ;12,75 ;44 ;;;1,402 ;20 ;655 ;;;;;;;;;;;;;;;;;;;;;;;;;397 ;1.550 ;
Dala ;28,60 ;;;;3,000 ;50 ;2,150 ;100 ;700 ;;;;;;;;;;;;;;;;;;;;;1,500 ;;400 ;5,400 ;
Ed&sa ;6,85 ;;;42 ;4,020 ;;1,475 ;125 ;2,408 ;;;;;;;;;;;;;;;;;;;;;212 ;;;500 ;
Falköpings landsförsamling* ;10,63 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,000 ;
Friggeräker ;17,85- ;;;;1.915 ;;1,009 ;;;;;;;;;;;;;;;;;;;;;;;;;;4,000 ;
Gudhem ;21 ;;;;3,507 ;11 ;2,170 ;300 ;1,026 ;;;;;;;;;;;;;;;;;;;;;1,107 ;;;4,624 ;
Hornborga ;;;;;;;525 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
...... ;15,63 ;;;;1,000 ;11 ;;454 ;;;;;;;;;;;;;;;;;;;;;;;;;700 ;
Hakantorp Högstena ;6.31 14,75 ;75 ;;;1,150 1.096 ;4 4 ;460 547 ;350 182 ;340 ;;;;;;;;;;;;;;;;;;;;;;;;1,510 ;
Kyrketorp ;10,63 ;;;;850 ;10 ;600 ;;;;;;;;;;;;;;;;;;;;;;;533 ;;;3,717 ;
;;;;24 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,290 ;
Ljunghem ;9,88 ;;;;2,626 ;10 ;606 ;5E6 ;1,430 ;;;;;;;;;;;;;;;;;;;;;;;;1,600 ;
Râdene ;17,38 ;29 ;;36 ;2,838 ;28 ;780 ;750 ;500 ;;;;;;;;;;;;;;;;;;;;;710 ;;110 ;2,750 ;
Segerstad ;24,75 ;52 ;;44 ;1,450 ;5 ;720 ;217 ;508 ;;;;;;;;;;;;;;;;;;;;;700 ;;236 ;2,205 ;
Stenstorp* Sjögerstad ;15,50 19,19 ;;;44 ;1,860 3,459 ;;1.950 1,580 ;1,050 ;754 ;;;;;;;;;;;;;;;;;;;;;1,218 1,350 ;;;;
Sätuna ;11,85 ;22 ;;9 ;2,020 ;10 ;450 ;550 ;40 ;;;;;;;;;;;;;;;;;;;;;600 ;;150 ;1,350 ;
Torbjörntorp ;11,85 ;34 ;;8 ;1,902 ;8 ;1,282 ;610 ;;;;;;;;;;;;;;;;;;;;;;630 ;;189 ;3,102 ;
Tunhem ;12 ;48 ;;;1,300 ;20 ;500 ;200 ;580 ;;;;;;;;;;;;;;;;;;;;;480 ;;350 ;2,400 ;
Ugglum ;15,50 ;;;;2,000 ;;600 ;240 ;10 ;;;;;;;;;;;;;;;;;;;;;550 ;;300 ;1,700 ;
Valtorp ;14,50 ;26 ;;;1,987 ;;837 ;430 ;706 ;;;;;;;;;;;;;;;;;;;;;635 ;;1GO ;2,350 ;
Suinma Gudhems härad ;371,63 ;1,014 ;560 ;;55,723 ;390 ;24,935 ;9,731 ;14,231 ;114 ;503 ;223 ;13 ;72 ;337 ;112 ;7 ;3,668 ;9,184 ;303 ;1,630 ;229 ;;2,926 ;4,616 ;4 ;3,785 ;417 ;12 ;18,004 ;10 ;5.071 ;62,165 ;
Bolum* ;32,88 ;;;;3,175 ;22 ;;;1,334 ;22 ;;;- ;;66 ;;;;;;;;;;II2 ;;;;- ;1,44° ;- ;518 ;;
Eggby ;20,75 ;37 ;;;;;;;;27 ;13 ;II ;;is ;1 ;12 ;1 ;;;;43 ;;;;;;355 ;27 ;;1.300 ;;400 ;3:588 ;
Haggum ;17.28 ;71 ;;13 ;4,050 ;10 ;2,270 ;790 ;980 ;;;;;;;;;165 ;620 ;50 ;140 ;GO ;;305 ;760 ;;170 ;25 ;10 ;700 ;;120 ;5,050 ;
Istrum* ;8,25 ;32 ;;il ;;18 ;;;2,620 ;;;;;;;;;;;;;;;;;;;ho ;;;;;;
