Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7 ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20 ;21. ;22, ;23. ;24. ;25 ;26. ;27. ;28. ;29. ;30 ;31. ;32, ;33 ;34. ;35 ;
Kinneved ;30,75 ;80 ;4:3 ;9,000 ;6 ;1,1:5 ;1,575 ;10 ;18 ;;;;;;;1 ;116 ;700 ;4 ;70 ;5 ;4 ;1,500 ;40 ;10 ;180 ;;- ;6G5 ;;800 ;7,650 ;;10 ;
Smula ;7,63 ;22 ;;900 ;;137 ;3:34 ;381 ;;;;;;;;;;;;;;;;;- ;;- ;;100 ;- ;70 ;600 ;;;
Y&rkumla ;18,25 ;;;;;305 ;580 ;10 ;- ;;;;;;;- ;30 ;206 ;2 ;85 ;2 ;2 ;;4 ;;40 ;;;283 ;;189 ;2,016 ;;;
Asarp ;4.50 ;13 ;;978 ;3 ;GO ;75 ;12 ;;6 ;;;;8 ;2 ;- ;;;- ;;;;- ;;- ;;- ;- ;23 ;3 ;16 ;210 ;15 ;;
FrökInds härad ;106,57 ;349 ;156 ;12,978 ;25 ;2,927 ;2,514 ;458 ;24 ;101 ;3 ;1 ;44 ;124 ;7 ;1 ;236 ;1,471 ;24 ;335 ;21 ;20 ;1,500 ;284 ;10 ;350 ;- ;19 ;2,255 ;122 ;1,576 ;16,378 ;346 ;59 ;
Amnehärad Beateberg ;32.19 16,75 ;304 ;212 ;12,758 7,985 ;15 15 ;2.660 2,031 ;3.657 1,000 ;6.426 3,000 ;;263 ;;;;X ;;;523 400 ;696 700 ;24 36 ;100 64 ;3 15 ;41 16 ;15 ;845 400 ;........ ;413 400 ;100 360 ;- ;2,300 1,440 ;- ;100 ;5,500 5,600 ;;;
Berg ;34,44 ;103 ;;4,400 ;50 ;1,700 ;1,220 ;2,400 ;;;;;;;;;280 ;560 ;40 ;150 ;;;60 ;330 ;;280 ;150 ;;1,530 ;;450 ;8,780 ;100 ;200 ;
Bellefors ;20,25 ;54 ;51 ;5,875 ;4 ;1,440 ;;4,422 ;;;;;;;;;169 ;365 ;67 ;51 ;9 ;4 ;167 ;439 ;- ;169 ;250 ;;600 ;;;2,550 ;;150 ;
Binneberg ;5,50 ;22 ;;750 ;;325 ;125 ;300 ;;;;;;;;;;100 ;;;;;15 ;;- ;80 ;90 ;;240 ;;;500 ;.50 ;25 ;
Björsäter med Gullsäters rotar ;28,50 ;94 ;105 ;5,580 ;28 ;2,524 ;75 ;2,903 ;;;;;;;;;3G0 ;941 ;50 ;;;13 ;104 ;600 ;;3ro ;384 ;20 ;1,382 ;;200 ;8,276 ;;160 ;
Back ;14,50 ;32 ;42 ;5,000 ;50 ;2,558 ;100 ;1.500 ;;;;;;;;;368 ;665 ;42 ;;;;354 ;714 ;4 ;370 ;700 ;;1,095 ;;40 ;5,550 ;;200 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Böja ;8,75 ;44 ;38 ;1,050 ;13 ;720 ;110 ;207 ;;;;;;;;;;120 ;16 ;;;;109 ;240 ;;90 ;39 ;;441 ;;;693 ;X 12G ;57 ;
Carlsborg ;;18 ;;45 ;;36 ;;1.025 ;;;;;;;;;;;;;;;;;;;;;;3 ;;;;;
Ek ;11 ;;;4,608 ;29 ;1.252 ;80 ;2,700 ;;;;;;;;;;250 ;;;;3 ;96 ;520 ;;160 ;100 ;;800 ;;;1,200 ;;;
Ekby ;21,63 ;80 ;;3,471 ;17 ;1.652 ;498 ;1,304 ;;;;;;;;;;485 ;136 ;;;;50 ;292 ;;;;;1,210 ;;18 ;4,826 ;;475 ;
Ekeskog ;15,13 ;56 ;;4,295 ;;2,265 ;30 ;1,994 ;;;;;;;;;;583 ;;;;;324 ;648 ;;;;;;;;4,800 ;;75 ;
Elgarâs Flistad ;19,81 18,75 ;160 89 ;148 ;16,000 2,180 ;15 5 ;2,010 1,400 ;2,400 6CO ;8,500 ;;;;;;;;;;800 380 ;;;;;10 ;400 400 ;;;;;2,400 1,600 ;;;9,600 4,400 ;;48 1GO ;
Finnerödja ;24,96 ;215 ;;;;;;;;;;;;;;;;;;;;;;;;;;;1,600 ;;;4,000 ;;160 ;
Fägred ;36,81 ;138 ;;11,340 ;75 ;6,500 ;250 ;3,500 ;;;;;;;;;;1,700 ;;;;;;1,900 ;;;1,700 ;;3,500 ;;;;;1,450 ;
Fredsberg ;60,60 ;342 ;;16,893 ;20 ;G.006 ;240 ;;;;;;;;;;;2,436 ;;;;;1.500 ;2,136 ;;1.198 ;;;5,024 ;;;18,060 ;;492 ;
Frösved ;13,60 ;;;3,637 ;10 ;1,975 ;139 ;;;;;;;;;;;;;;;;;493 ;;;;;1,415 ;;;4,815 ;;112 ;
Götlunda ;27,75 ;135 ;;5,400 ;25 ;4,000 ;100 ;;;;;;;;;;;1,500 ;;;;;;;;;;;2,400 ;;;13,500 ;;1,200 ;
Halna ;9 ;91 ;;4,000 ;6 ;1,847 ;149 ;;;;;;;;;;;;;;;;;;;;;;;;;3.528 ;;170 ;
;;;;;;;360 ;;;;;;;;;;;1,420 ;;;;;X ;2.414 ;;;;;2,534 ;;;10,680 ;;200 ;
Hialstad ;17,13 ;40 ;;2.725 ;25 ;1,415 ;;;;;;;;;;;;;;;;;;2,000 ;;;;;;;;;;300 ;
Berga och Färed ;66,75 ;133 ;;21,196 ;40 ;6,040 ;1,520 ;;;;;;X ;;;;;1,880 ;;;;;;;;;;;2,600 ;;;9,000 ;;;
Hofva med Fagerlid ;56,13 ;307 ;;;;;;;;;;;;;;;;1.428 ;;;;;;1.748 ;;;;;3,906 ;;;13,450 ;;239 ;
Horn ;18.88 ;;;2,450 ;8 ;1,425 ;100 ;;;;;;;;;;;;;;;;;;;;;;;;;2.800 ;;270 ;
Leksberg ;17,75 ;;;4,251 ;18 ;1,615 ;16G ;;;;;;;;;;;;;;;;;;;;;;1.070 ;;;3,300 ;;100 ;
Lyrestad ;43,75 ;231 ;;21,708 ;5G ;2,900 ;509 ;;;;;;;;;;;;;;;;;;;;;;1,915 ;;;7,200 ;;112 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Locketorp ;16.50 ;82 ;;8,560 ;50 ;1,690 ;80 ;4,000 ;;;;;;;;;;;;;;;;;X 40 ;;;;1,140 ;;;4,000 ;;3G0 ;
Lerdala ;15,81 ;40 ;;3,783 ;50 ;1,263 ;488 ;1,982 ;;;;;;;;;;;;;;;;;;;;;1,180 ;;210 ;2,450 ;X ;125 ;
L&stad ;11,44 ;38 ;;1,973 ;;580 ;836 ;;;;;;;;;;;;;;;;;;;;;;;;;1,563 ;;;
Mo ;;;;1,804 ;34 ;1,100 ;120 ;;;;;;;;;;;;;;;;;;;;;;;;;2,885 ;;126 ;
;11.25 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mölltorp ;21.18 ;120 ;;;;;;;;;;;;;;;;;;;;;;900 ;;;;;1,800 ;;;5,500 ;100 ;30 ;
Odensaker ;23.63 ;;;2.056 ;15 ;1,450 ;190 ;;;;;;;;;;;;;;;;;;;;;;1.008 ;;X 63 ;2,520 ;;63 ;
Ransberg ;31,44 ;287 ;135 ;7,000 ;35 ;2,570 ;425 ;600 ;;;;;;;;;;;;;;;;660 ;;;;;2,394 ;126 ;;6,300 ;;G3 ;
Svenneby ;8,88 ;10 ;12 ;2,780 ;20 ;1.100 ;600 ;1,060 ;;;;;;;;;;;;;;;;;;;;;322 ;;;2,19G ;;150 ;
Säter ;22,81 ;46 ;;4,812 ;30 ;1,178 ;1,070 ;2,034 ;;;;;;;;;;372 ;;;;;;130 ;;;;;1,600 ;;220 ;3,092 ;;134 ;





