Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17. ;18 ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26. ;27. ;28. ;29. ;30 ;31. ;32. ;33. ;34. ;35 ;
Härja ;13,34 ;111 ;25 ;4.365 ;5 ;890 ;1,740 ;1.730 ;5 ;20 ;90 ;G ;5 ;20 ;100 ;8 ;190 ;460 ;;108 ;;6 ;- ;40 ;- ;200 ;- ;- ;1.100 ;60 ;70 ;2.400 ;50 ;;
Hömb ...... ;8,75 ;25 ;;3,000 ;12 ;916 ;670 ;650 ;;;;1 ;;19 ;;;158 ;296 ;;;10 ;;59 ;179 ;;163 ;90 ;;690 ;;;2,065 ;;;
Karleby ;30,13 ;102 ;16 ;3.000 ;10 ;1,705 ;285 ;10 ;8 ;60 ;11 ;;;;;;;1,060 ;;155 ;;;;;;190 ;;10 ;1.130 ;20 ;950 ;7.850 ;490 ;130 ;
Kelfvene Kungslena ;9,50 29.75 ;28 ;;1,233 ;4 ;600 ;185 ;400 ;-- ;;;;;;;;;440 ;;;;;;100 ;;67 ;- ;;422 ;;X 94 ;2,394 ;239 ;12 ;
Korsberga ;20,68 ;;;4,033 ;7 ;2,600 ;433 ;;17 ;;;;;;;;;1.800 ;;;;;100 ;831 ;;500 ;;;2.835 ;;189 ;10,804 ;;63 ;
;;;;8331 ;;2,300 ;1,700 ;3,080 ;;;;2 ;;;;;;628 ;;;;;;;;;173 ;28 ;2,318 ;12 ;;5,887 ;;;
Kylingared, en del ;4 ;14 ;;400 ;;146 ;;;3 ;;;;;;;;;80 ;;;;;;;;;;;94 ;25 ;31 ;945 ;;;
Kymb6 ;13,75 ;31 ;;3,000 ;2 ;550 ;900 ;650 ;;;;;;;;;;310 ;;;;;;;;83 ;;- ;507 ;;31 ;2,520 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luttra Mularp ;20,88 12,88 ;52 22 ;;3,300 3,600 ;4 17 ;930 973 ;40 103 ;260 ;;;;2 ;;;;;115 ;515 329 ;;;;;;200 ;;130 80 ;20 ;- ;642 490 ;- ;644 260 ;3,510 3,100 ;;18 ;
Nykyrka ;10,38 ;49 ;;4,000 ;10 ;518 ;1,100 ;1,000 ;;;;;;;;;;208 ;;160 ;;;;;;;;- ;350 ;45 ;80 ;1,264 ;;125 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;;;;
Näs ;11,25 ;29 ;;1,696 ;4 ;1,042 ;525 ;125 ;;;;;;;;;;226 ;;;;;;;;115 ;;;724 ;;138 ;2,979 ;;;
Ottravad ;8,94 ;22 ;;1,411 ;5 ;500 ;300 ;360 ;;;;;;;;;;216 ;;;;;;;;100 ;- ;;472 ;- ;12 ;2.709 ;;10 ;
Sandhem ;42,68 ;112 ;190 ;17,430 ;80 ;2,150 ;4,500 ;10,750 ;;;;;;;;;;530 ;;344 ;;;;100 ;;400 ;- ;- ;3,000 ;- ;60 ;3,450 ;1,400 ;;
Skörstorp Slöta med Faleqvarna ;10,38 45,88 ;132 ;;2,200 4,500 ;15 ;1,718 2,950 ;100 1,435 ;100 ;;;;;;;;;;1,070 1.800 ;;450 ;;;;;;;10 ;10 ;819 1,400 ;25 ;220 1,350 ;4,795 11,000 ;;150 ;
Suntak ;9,68 ;19 ;17 ;2.100 ;;596 ;200 ;1,302 ;;;;;;;;;;;;;;;;;;103 ;10 ;;715 ;10 ;;1,835 ;;;
Tiarp ;11,75 ;46 ;;1,500 ;5 ;1.000 ;300 ;195 ;;;;;;;;;;280 ;;;;;;500 ;;;12 ;- ;450 ;;200 ;3,600 ;;200 ;
Tidaholm, del af Ängarp ;9,88 ;17 ;;4,500 ;14 ;1,230 ;450 ;;;;;;;;;;;;;;;;120 ;280 ;;;180 ;;672 ;;60 ;2,625 ;;62 ;
Utvöngstorp ;7.44 ;44 ;;;;;;;;;;;;;;;;;;150 ;;;;;;;;;210 ;48 ;;1.780 ;100 ;;
Velinge ;19,72 ;;;9,396 ;14 ;1,805 ;1,450 ;2,300 ;;;;;;;;;;;;160 ;;;;;;;20 ;;1,745 ;11 ;19 ;5.359 ;;14 ;
Visttorp ;11,50 ;;;5,508 ;15 ;602 ;900 ;1,000 ;;;;;;;;;;;;;3 ;;;115 ;;;2 ;3 ;450 ;24 ;60 ;2,640 ;270 ;16 ;
Vättak ;9.50 ;;;1.650 ;2 ;498 ;400 ;750 ;;;;;;;;;100 ;;;;;;;50 ;;;;;472 ;;;1,260 ;63 ;;
Yllestad ;21,56 ;;;6,400 ;50 ;810 ;800 ;740 ;29 ;42 ;;;53 ;4C ;;;200 ;;;100 ;;;;;;130 ;16 ;;900 ;;123 ;4.500 ;;;
Asaka ;23,50 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;841 ;;338 ;5.216 ;;;
Asle ;30,13 ;;107 ;2.100 ;32 ;1,218 ;390 ;318 ;7 ;72 ;;;;;;;103 ;;;;;;120 ;;;140 ;G ;6 ;630 ;;695 ;5,400 ;120 ;;
Vartofia bärad ;744,60 ;2,545 ;1,826 ;212,252 ;462 ;51,643 ;39,819 ;65,992 ;290 ;1,345 ;363 ;51 ;339 ;714 ;219 ;31 ;8,174 ;21,335 ;461 ;4.740 ;533 ;251 ;2,109 ;7,412 ;13 ;8222 ;1.088 ;119 ;45.991 ;1,258 ;7,937 ;170,326 ;6,938 ;1,558 ;
Brismene ;12,50 ;54 ;;- ;6 ;- ;- ;45 ;3 ;-- ;- ;- ;- ;;- ;- ;;;;;;;- ;;- ;;- ;- ;252 ;- ;125 ;1,144 ;;;
Börstig ;22,44 ;102 ;;6,000 ;11 ;1,892 ;2,046 ;1,062 ;;;- ;;;;- ;- ;132 ;462 ;;440 ;11 ;11 ;- ;11 ;- ;132 ;- ;5 ;132 ;22 ;44 ;660 ;44 ;6 ;
Grolanda ...... ;19 ;85 ;;;;300 ;;;;30 ;- ;- ;20 ;63 ;;- ;40 ;135 ;;80 ;;;;;;40 ;;- ;650 ;100 ;250 ;2,600 ;180 ;20 ;
Kinneved ;30.75 ;;;9,000 ;6 ;1,129 ;1.570 ;10 ;18 ;60 ;;;20 ;58 ;;1 ;116 ;700 ;4 ;70 ;5 ;;1,500 ;40 ;10 ;;- ;;668 ;- ;800 ;7,650 ;;10 ;
Smula ... ;7,63 ;23 ;;856 ;, ;138 ;334 ;382 ;;10 ;;;;;;- ;;;;;;;;;;;;- ;100 ;- ;;600 ;25 ;;
Varkumla ;18,25 ;29 ;;1.454 ;3 ;371 ;530 ;10 ;;;;- ;;;;;30 ;206 ;2 ;;2 ;2 ;;;;40 ;;;284 ;;189 ;2,016 ;;13 ;
Asarp ;4.50 ;12 ;;978 ;3 ;65 ;80 ;12 ;- ;8 ;- ;;;4 ;- ;- ;;;;;;;- ;- ;;;- ;- ;23 ;4 ;16 ;210 ;16 ;3 ;
Frökinds härad ;115,07 ;381 ;166 ;18,288 ;31 ;3,695 ;4.560 ;1,521 ;27 ;108 ;1 ;1 ;X 40 ;130 ;5 ;1 ;318 ;1,503 ;25 ;675 ;22 ;21 ;1,500 ;55 ;10 ;212 ;- ;X 5 ;2,109 ;126 ;1,499 ;14,880 ;265 ;52 ;
Amnehärad ;32,19 ;302 ;185 ;12.785 ;15 ;2,660 ;3,670 ;6.426 ;26 ;263 ;;;;36 ;- ;- ;530 ;700 ;;100 ;;;20 ;810 ;;450 ;100 ;-- ;2.300 ;- ;100 ;5,500 ;;70 ;
Beateberg ;16,75 ;49 ;56 ;7,985 ;15 ;2,047 ;984 ;3,000 ;;;;;18 ;6 ;;;416 ;700 ;;;;;;400 ;;400 ;360 ;;1.600 ;- ;25 ;5,600 ;;50 ;
Berg. ;34.44 ;101 ;60 ;4,400 ;50 ;1.720 ;1,200 ;;;;;;15 ;;;;300 ;560 ;;;;;;330 ;;280 ;150 ;;1,650 ;- ;450 ;3,780 ;100 ;200 ;
