Table: Table_1

Hangelösa ;- ;X 945 ;;;3,150 ;100 ;- ;;- ;- 945 ;;10.395 ;;1,260 ;25,200 ;945 ;945 ;;3,780 ;- ;15,750 ;3,150 ;-- ;X 403 ;- ;- ;- ;- ;150 ;;50 ;4 ;410 ;140 ;400, ;- ;250 ;- ;
Husaby ;2 ;200 ;;;1.600 ;- ;;;- ;- 1,050 ;X 90 ;3,400 ;;1,800 ;5,760 ;1,085 ;700 ;10 ;300 ;- ;4,800 ;10,000 ;- ;;- ;- ;- ;- ;120 ;X 20 ;120 ;5 ;340 ;150 ;800 ;- ;120 ;- ;
Hofby ;- ;X 63 ;;;1,260 ;50 ;- ;;- ;- 945 ;189 ;1,890 ;;1,260 ;26,460 ;504 ;504 ;;252 ;- ;3,780 ;- ;- ;201 ;- ;- ;- ;- ;120 ;10 ;12 ;4 ;250 ;50 ;250 ;- ;501 ;;
Härened ;X 560 ;263 ;;- ;1,076 ;25 ;;;- ;- 3.497 ;;11,325 ;;1,402 ;96,065 ;- ;1,131 ;3,450 ;1,329 ;- ;5,548 ;10,280 ;- ;- ;30 ;;X 25,590 ;;194 ;29 ;36 ;13 ;348 ;161 ;736 ;- ;151 ;;
Källby ;X 6 ;X 80 ;;- ;1,200 ;20 ;;;- ;- 600 ;X 35 ;2,800 ;;1,045 ;11,200 ;240 ;720 ;36 ;480 ;- ;4,800 ;;- ;-- ;11 ;- ;- ;- ;90 ;25 ;22 ;4 ;185 ;96 ;275 ;- ;75 ;- ;
Lindärfva ;- ;X X 189 ;;;1,134 ;25 ;;;- ;X - 1.066 ;;2,880 ;315 ;1,134 ;10,080 ;4,800 ;504 ;- ;756 ;- ;4,536 ;20,000 ;- ;X 50 ;16 ;2,000 ;11,600 ;- ;59 ;G ;25 ;4 ;225 ;62 ;85 ;- ;47 ;- ;
Skeby ;- ;25 ;;;340 ;4 ;;;- ;- 90 ;30 ;2,460 ;X 60 ;300 ;10,760 ;225 ;225 ;- ;100 ;- ;1,360 ;1,250 ;150 ;12 ;X 8 ;200 ;1,200 ;- ;38 ;5 ;24 ;1 ;126 ;36 ;85. ;- ;21 ;- ;
Skjelfvum ;- ;X 24 ;;- ;1,237 ;20 ;- ;;X - ;X - 378 ;;1,728 ;- ;900 ;10,200 ;- ;224 ;- ;96 ;- ;7,422 ;- ;- ;- ;15 ;- ;3.800 ;- ;40 ;6 ;36 ;2 ;145 ;90 ;150 ;-- ;50 ;;
Skofteby ;- ;X 35 ;;- ;130 ;- ;;;- ;158 ;;3,254 ;- ;386 ;5,845 ;- ;96 ;- ;- ;- ;850 ;640 ;- ;- ;- ;- ;2,420 ;;20 ;4 ;23 ;3 ;56 ;67 ;;- ;21 ;;
Säfvared ;- ;- ;;- ;240 ;- ;- ;;- ;- 2,220 ;- ;3,780 ;- ;6,000 ;20,100 ;- ;2,500 ;- ;- ;- ;16.800 ;- ;- ;- ;- ;- ;;- ;120 ;10 ;50 ;4 ;200 ;80 ;200 ;- ;100 ;---- ;
Ofva ;- ;X 140 ;;- ;400 ;;;;;- ;;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;- ;52 ;8 ;14 ;3 ;181 ;78 ;121 ;;68 ;- ;
S:me,Kinnefjerdingshärad a) ;X 568 ;X 1.964 ;;- ;12.087 ;X 250 ;- ;;- ;- 11,389 ;344 ;45,992 ;375 ;15,634 ;235,120 ;X 7.799 ;7,659 ;3,496 ;7.093 ;- ;66.606 ;45.320 ;150 ;666 ;80 ;2.200 ;44.610 ;- ;1,033 ;129 ;436 ;49 ;2,561 ;1.033 ;3.232 ;- ;1.013 ;- ;
Forshem ;- ;16 ;;- ;520 ;;- ;;;- 1,060 ;- ;2,074 ;- ;476 ;6,582 ;X 900 ;- ;- ;129 ;- ;3,844 ;14,791 ;819 ;9 ;- ;10.129 ;49,865 ;- ;167 ;36 ;297 ;20 ;719 ;329 ;757 ;- ;247 ;- ;
Fullösa ;- ;X 75 ;;- ;945 ;X 25 ;;;- ;- 945 ;- ;2,551 ;- ;787 ;16,380 ;- ;504 ;;- ;- ;2,835 ;- ;- ;X 252 ;- ;- ;- ;- ;65 ;10 ;40 ;4 ;250 ;50 ;400 ;- ;30 ;- ;
Götened ;X 6 ;32 ;;- ;371 ;19 ;;;- ;- 496 ;- ;1,074 ;- ;152 ;7,605 ;- ;304 ;24 ;X 124 ;- ;813 ;- ;- ;X 38 ;- ;-- ;- ;- ;34 ;8 ;56 ;3 ;116 ;118 ;250 ;- ;40 ;- ;
Holmestad ;X 42 ;60 ;;- ;360 ;X 48 ;;;- ;450 ;90 ;1,200 ;X 480 ;270 ;9,000 ;- ;570 ;X 168 ;180 ;- ;1.440 ;250 ;50 ;X 560 ;-- ;5,630 ;-- ;- ;70 ;18 ;130 ;6 ;X 200 ;215 ;350 ;5 ;85 ;- ;
Kjestad ;- ;12 ;;X - ;428 ;9 ;- ;;- ;- 151 ;- ;970 ;- ;;4,460 ;;57 ;- ;25 ;- ;1,285 ;1,260 ;- ;- ;- ;- ;-- ;;37 ;13 ;25 ;3 ;68 ;60 ;2001 ;- ;20 ;;
Klefva ;- ;X 30 ;;X X - ;750 ;X 60 ;;;- ;- 500 ;- ;3,000 ;- ;1,500 ;12,000 ;- ;150 ;- ;100 ;X - ;3,000 ;4,000 ;- ;100 ;X 30 ;150 ;6,000 ;- ;60 ;3 ;20 ;1 ;80 ;40 ;150 ;- ;100 ;- ;
Ledsjö ;- ;- ;;- ;13.000 ;48 ;;;- ;- 1,254 ;245 ;4,500 ;X 160 ;2,100 ;16,019 ;X 2.620 ;300 ;;- ;- ;65,000 ;400 ;;140 ;X 15 ;1.000 ;10,000 ;--- ;81 ;19 ;95 ;6 ;381 ;156 ;358 ;- ;191 ;;
