Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58. ;59. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Härene med Skofteby ;- ;275 ;- ;800 ;2 ;2,659 ;;13,750 ;- ;3,140 ;37,016 ;1,160 ;1,380 ;;1,190 ;- ;9,500 ;- ;8 ;- ;183 ;26 ;54 ;10 ;385 ;180 ;175 ;- ;150 ;- ;
Källby ;2 ;40 ;- ;2,000 ;18 ;800 ;X 20 ;4,000 ;- ;1,200 ;12,000 ;150 ;760 ;8 ;160 ;- ;6,000 ;- ;18 ;6 ;80 ;20 ;30 ;4 ;200 ;80 ;300 ;- ;80 ;- ;
Lindärfva ;- ;120 ;- ;432 ;;1,120 ;;5,040 ;- ;504 ;13,805 ;360 ;120 ;- ;600 ;- ;3,024 ;- ;;;50 ;9 ;20 ;5 ;260 ;70 ;80 ;- ;30 ;;
Skeby ;- ;60 ;- ;600 ;3 ;250 ;24 ;4,120 ;;810 ;14,175 ;;160 ;- ;300 ;- ;3,700 ;;10 ;1 ;50 ;13 ;26 ;2 ;114 ;42 ;90 ;- ;22 ;;
Skelfvum ;;;- ;900 ;;600 ;50 ;7,000 ;X 30 ;420 ;13,200 ;;200 ;- ;- ;- ;7,200 ;300 ;20 ;- ;48 ;15 ;40 ;4 ;170 ;100 ;150 ;- ;50 ;- ;
Säfvare. ;- ;;- ;390 ;GO ;2,300 ;;4,210 ;;500 ;35,000 ;900 ;1,000 ;;;- ;2,200 ;;X 230 ;- ;130 ;15 ;50 ;;320 ;65 ;250 ;- ;60 ;;
Ofva ;- ;226 ;- ;600 ;;2,295 ;- ;6,000 ;- ;1,750 ;8,400 ;2,450 ;180 ;- ;1,582 ;- ;4,800 ;20,000 ;- ;- ;50 ;20 ;20 ;2 ;140 ;50 ;50 ;- ;50 ;-- ;
Summa Kinnefjerdings härad ;X 4 ;1,201 ;- ;18,632 ;122 ;16,449 ;X 469 ;74,795 ;X 75 ;12,229 ;249,796 ;7,220 ;7,280 ;22 ;5,007 ;- ;120,924 ;50,300 ;X 361 ;X 29 ;1,113 ;239 ;462 ;59 ;3,204 ;1,097 ;2,245 ;- ;809 ;- ;
Bredsäter ;- ;48 ;- ;584 ;20 ;560 ;- ;8,460 ;- ;483 ;23,400 ;- ;378 ;- ;336 ;- ;12,672 ;- ;60 ;- ;44 ;6 ;86 ;4 ;282 ;130 ;300 ;- ;52 ;- ;
Forshem ;- ;150 ;- ;1,500 ;10 ;5,500 ;- ;15,700 ;- ;950 ;30,000 ;650 ;1,000 ;- ;600 ;- ;10,800 ;- ;40 ;- ;125 ;25 ;220 ;15 ;550 ;220 ;400 ;- ;150 ;- ;
Fullõea Götene ;- 8 ;75 30 ;- - ;946 460 ;24 6 ;945 1,100 ;65 ;3,400 4,200 ;- 25 ;471 250 ;12,288 12,100 ;29 ;878 550 ;X - 20 ;225 60 ;- - ;4,730 2,450 ;460 ;50 15 ;- 5 ;45 43 ;8 24 ;40 48 ;3 5 ;170 220 ;35 82 ;105 155 ;- - ;24 50 ;- - ;
Holmestad ;b ;110 ;- ;2,000 ;60 ;1,400 ;200 ;13,230 ;25 ;125 ;32,000 ;60 ;280 ;50 ;440 ;- ;12,000 ;7,400 ;240 ;;118 ;25 ;110 ;6 ;350 ;100 ;800 ;- ;125 ;- ;
Kestad ;- ;;- ;300 ;10 ;150 ;- ;1,200 ;- ;200 ;5,200 ;- ;150 ;;;- ;1,800 ;;20 ;3 ;28 ;3 ;16 ;2 ;50 ;30 ;40 ;- ;11 ;- ;
Klefva ;- ;- ;- ;1,000 ;;600 ;- ;4,800 ;;1,250 ;8,400 ;- ;150 ;- ;- ;- ;8,000 ;- ;;;44 ;9 ;38 ;2 ;133 ;50 ;150 ;;50 ;;
Ledajö ;- ;;- ;10,600 ;;1,500 ;- ;7,500 ;1,200 ;2,400 ;31,200 ;- - ;1,020 ;- ;- ;- - ;74,000 ;- ;60 ;6 ;85 ;20 ;88 ;6 ;358 ;150 ;300 ;2 ;100 ;- ;
Lugnãs ;- ;;- ;1,500 ;15 ;370 ;;3,800 ;;120 ;20,000 ;;270 ;;;- ;12,000 ;;;- ;75 ;10 ;140 ;5 ;560 ;200 ;600 ;- ;100 ;;
Medelplana ;- ;50 ;- ;545 ;;600 ;120 ;6,800 ;- ;7,200 ;;18,000 ;1,050 ;;300 ;- ;8,175 ;50,000 ;- ;;80 ;28 ;40 ;6 ;250 ;120 ;200 ;- ;200 ;;
Sil ;- ;24 ;- ;650 ;12 ;600 ;;4,050 ;- - ;700 ;10,000 ;- ;150 ;- ;125 ;- ;6,500 ;4,200 ;- ;10 ;46 ;10 ;36 ;2 ;125 ;50 ;140 ;- ;30 ;- ;
