Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46, ;47. ;48. ;49. ;50. ;51. ;52. ;53 ;51. ;55. ;56. ;58. ;59. ;60. ;61. ;62. ;GG. ;67. ;68. ;69. ;70. ;71. ;72 ;73 ;71. ;75 ;
Flo ;12 ;238 ;;3,150 ;90 ;;6,720 ;375 ;12,656 ;- ;1,944 ;72.792 ;3,780 ;2,880 ;60 ;1.666 ;;15,750 ;36,500 ;450 ;- ;244 ;6,500 ;;227 ;43 ;30 ;16 ;500 ;165 ;400 ;;165 ;;
Friel ;;;;545 ;;;420 ;;3,480 ;;GOO ;12,640 ;560 ;450 ;;X 360 ;;2,180 ;;;- ;;3,100 ;;;10 ;18 ;;90 ;;;;;;
H&le ;;;;;;;816 ;;3,600 ;;420 ;18,400 ;2,250 ;1,152 ;180 ;1,200 ;;4.000 ;;75 ;- ;;30,00.) ;;;;;;180 ;;;;;;
Karaby ;;;;;;;240 ;;2,240 ;- ;380 ;6,420 ;;1,310 ;;400 ;- ;4,200 ;;;;- ;4,500 ;;;;;;;;;;;;
Näs ;;;;2,270 ;;;1,890 ;;8,640 ;;1,200 ;18,500 ;;1,150 ;- ;360 ;;15,890 ;3,000 ;80 ;20 ;- ;- ;;182 ;;20 ;10 ;467 ;;;;;;
Sal ;;;;560 ;;;701 ;- ;6,0% ;- ;900 ;18450 ;;1,575 ;;900 ;- ;5,600 ;- ;40 ;;;;;;;;;;;;;;;
Särestad ;;;;1,080 ;;;1,610 ;;5,460 ;- ;660 ;15,750 ;880 ;2,340 ;180 ;1,075 ;;6,480 ;;;;;12,360 ;;148 ;33 ;24 ;;200 ;154 ;;;;;
Tun ;;;;2,000 ;;;4,200 ;;9,600 ;;2,400 ;20.000 ;2,100 ;2,400 ;;3,000 ;;16,000 ;30,000 ;25 ;;;;;127 ;10 ;30 ;12 ;440 ;;;;;;
Täng ;;;;;;;1,400 ;;5.200 ;- ;900 ;12,000 ;4,200 ;2,400 ;16 ;250 ;- ;1,809 ;;;;;;;;18 ;10 ;;100 ;40 ;;;;;
As ;;200 ;;600 ;;;900 ;- ;6,800 ;- ;1,200 ;38,702 ;800 ;600 ;X 20 ;1,000 ;- - ;3,600 ;- ;- ;;;6,000 ;- ;75 ;15 ;50 ;10 ;151 ;75 ;;;;;
Ase hârad ;X 95 ;1,878 ;- ;12,217 ;203 ;- ;18,896 ;375 ;63,176 ;- ;10,604 ;233,652 ;14,570 ;16,287 ;X 456 ;10,211 ;- ;75,509 ;69.500 ;678 ;24 ;244 ;62,460 ;- ;1,121 ;169 ;231 ;79 ;2,357 ;653 ;2,780 ;;879 ;;
Bjärby ;3 ;129 ;;517 ;27 ;;639 ;- ;3,667 ;- ;612 ;15,716 ;715 ;891 ;19 ;660 ;- ;1.551 ;- ;X 40 ;- ;- ;- ;- ;GG ;;26 ;;120 ;110 ;177 ;;;;
Bäreberg ;;;;1,000 ;;;240 ;;3200 ;;80 ;30 000 ;;350 ;;;- ;6.000 ;- ;;;;;;100 ;;;;850 ;GO ;360 ;;;;
Flakeberg ;;145 ;;1,000 ;30 ;;1,440 ;- ;10,080 ;- ;1,416 ;34,560 ;3,000 ;1,890 ;- ;725 ;- ;8,000 ;- ;90 ;8,12 ;- ;11,000 ;- ;120 ;;20 ;;257 ;123 ;332 ;;;;
Främmestad ;;;;;;;;- ;;- ;;;;;;;- ;;;;;- ;- ;- ;;;;;;;;;;;
Hyringa ;12 ;353 ;;1,350 ;24 ;;2,850 ;- ;8,128 ;- ;2,105 ;38,394 ;X 1,890 ;800 ;X 72 ;2,118 ;- ;9,450 ;32,000 ;192 ;19,20 ;;- ;;131 ;19 ;;;351 ;135 ;;;;;
Levene, en del. ;;170 ;;;;;1,120 ;- ;6,400 ;- ;700 ;4,800 ;1,200 ;900 ;;1,020 ;;1,200 ;;3) ;;;;;;;;;160 ;;;;;;
Lengjum ;10 ;135 ;;;;;2,520 ;;4.600 ;- ;1,330 ;24,584 ;X 590 ;200 ;X 60 ;945 ;- ;3,150 ;3,800 ;144 ;14,40 ;;;;;;;;100 ;;100 ;;;;
Malma ;;;;1.680 ;;;841 ;;9,760 ;;810 ;47,150 ;;660 ;;;- ;11.680 ;;GO ;;- ;;;147 ;;;;400 ;150 ;400 ;;;;
Sparlösa ;;330 ;;3,344 ;;;4,500 ;;16,600 ;- ;1,-90 ;64,000 ;3,183 ;5,250 ;- ;1,980 ;- ;33.410 ;18,000 ;100 ;20 ;- ;;;250 ;;;;390 ;175 ;650 ;;;;
Tengened ;;1,500 ;;1,500 ;;;2 400 ;;7,875 ;- ;2,700 ;27,000 ;9,000 ;1,800 ;- ;9.000 ;- ;12,000 ;;135 ;X 90 ;- ;- ;;120 ;;;;300 ;120 ;480 ;;;;
Trökörna ;;100 ;;2.000 ;;;2,250 ;;4,500 ;- ;600 ;23,200 ;900 ;800 ;;600 ;- ;18,000 ;--- ;- ;- ;- ;- ;- ;106 ;17 ;12 ;;220 ;55 ;210 ;;;;
Viste barad ;25 ;2,562 ;- ;12,991 ;215 ;;19,800 ;;74,810 ;- ;12,243 ;309,404, ;20,480 ;13,541 ;151 ;17,048 ;- ;104,471 ;53,800 ;791 ;150,72 ;- ;11,000 ;- ;1,143 ;171 ;224 ;57 ;2,651 ;1,033 ;3,360 ;-- ;831 ;;
Gösslunda ;5 ;;;2,405 ;;;2,440 ;;6500 ;;2,575 ;32.225 ;1.100 ;3,270 ;15 ;2,725 ;- ;9.600 ;- ;- ;- ;;;- ;140 ;;;;;175 ;225 ;;;;
Hjerpas med Höra och Vedum. ;;1,141 ;;2,020 ;;;10,000 ;;16,000 ;860 ;630 ;72,000 ;1,680 ;4,800 ;;6,846 ;- ;17,640 ;;X 120 ;70 ;X 4,000 ;25.632 ;;;;;;;200 ;470 ;;;;
Häggesled ;;15: ;;;;;;;2.310 ;- ;272 ;16,810 ;681 ;772 ;- ;613 ;- ;1,600 ;430 ;;;- ;- ;;;;;;;;229 ;;;;
Kedum ;;126 ;;;;;;;2,192 ;- ;315 ;10,581 ;;1,512 ;;504 ;;1.808 ;;9 ;;- ;;;;;;;;;;;;;
Lava ;;;;;;;;;3,510 ;;840 ;28,450 ;676 ;679 ;- ;112 ;- ;5,472 ;812 ;;4,27 ;- ;4,372 ;;;;;;;;;;;;
Levene, del ;;;;1.260 ;;;3.090 ;;11,0-8 ;- ;2,352 ;20,232 ;1,600 ;1,760 ;- ;1,704 ;- ;10,080 ;4,800 ;;- ;;;;100 ;;;;;;;;100 ;;
Mellby ;;;;;;;2,700 ;;11,250 ;;1,500 ;15,500 ;;1,800 ;- ;1,500 ;- ;5,800 ;;- ;- ;-- ;;;;;;;;;;;;195 ;
Otterstad med Senäte ;;550 ;;2,700 ;;;9,200 ;;12,200 ;;5,100 ;30,250 ;4,200 ;7,740 ;- ;3,850 ;- ;23,600 ;3,000 ;- ;- ;;3,520 ;;;;;;;;X ;;;;
;;;;;;;;;;;6,800 ;23,418 ;;;;;;4,020 ;;;;X 240 ;1,620 ;;;;;;;;;;;;
Rackeby ;;450 ;;1,005 ;;;6,800 ;;4,300 10.272 ;;4,663 ;27 862 ;1,410 ;3.150 2,613 ;49 ;4,020 ;- ;10,700 ;;;8,04 ;;18.675 ;;;;;;;;;;;;
Râda Skalunda ;;500 ;;2,140 1,800 ;;;8,601 6,800 ;;10,000 ;235 ;6,60 ;4,500 ;451 3,310 ;5,820 ;;3,000 ;- - ;14,400 ;3,000 ;- ;;;1,708 ;;;;;;;;;;;;
Sladene ;;300 ;;5,400 ;;;6,000 ;;15,000 ;;1.200 ;30,000 ;1,000 ;4,800 ;;2,100 ;- ;50,000 ;;15 ;;;100,000 ;;;;;;;;;;;;
Strö ;;1,000 ;;1,800 ;;;3,280 ;;4,480 ;;2,800 ;6 000 ;1,200 ;2,400 ;;7,000 ;- ;10,400 ;10,000 ;60 ;12 ;X 90 ;1,700 ;;;;;;;;;;120 ;;
Sunnersberg ;;150 ;;;;;2,800 ;;7,000 ;;2,820 ;6,000 ;;2,100 ;60 ;900 ;;1,740 ;;32 ;;;2.120 ;;;;;;;;;;;;
Söne. ;;700 ;;;;;4.000 ;;4,900 ;;2,400 ;18,400 ;;4,000 ;;2,114 ;- ;9,680 ;1.800 ;36 ;2,50 ;;;;;;;;;;;;;;
Tranum ;;301 ;;;;;1.638 ;;5.850 ;;1,365 ;30,400 ;1,215 ;1,890 ;- ;1.204 ;- ;4,188 ;387 ;4 ;;;11,730 ;;;;;;;;;;;;
Tâdened ;;;;;;;1.134 ;;2,550 ;- ;1.120 ;17,850 ;860 ;540 ;- ;298 ;- ;5,551 ;1,750 ;;3,21 ;;5315 ;;;;;;;;;;;;
Ufvered ;;300 ;;;;;3 150 ;;5.500 ;;1,000 ;80,000 ;1,000 ;2,100 ;- ;1.800 ;- ;7,000 ;13,800 ;48 ;15 ;;15,000 ;;;;;;;;;;;;
Väla med Gillatad ;;350 ;;;;;;;4,825 ;;1,020 ;26,141 ;;570 ;;1,750 ;- ;7,200 ;- ;;;;9,587 ;;;;;;;;;;;;
Ásaka ;;100 ;;;;;;;6.300 ;;800 ;26,800 ;;500 ;;400 ;;6,500 ;;50 ;;;;;;;;;;;;;;;
Orslösa ;;320 ;;;;;4.400 ;;6,800 ;;2,700 ;14.800 ;6,060 ;8.460 ;;2.210 ;- ;43 200 ;;;;;2,000 ;;1G0 ;;;;;;;;160 ;;
Kâllands barad ;X 75 ;7,074 ;;33,649 ;X 296 ;;77,058 ;;152,827 ;595 ;48,872 ;486,725 ;25,993 ;60,769 ;124 ;44,680 ;- ;249,679 ;39,779 ;374 ;125,02 ;4.330 ;202,979 ;- ;2,591 ;446 ;798 ;99 ;5,499 ;2,762 ;5,956 ;;1,893 ;;
Eling ;- ;;;1,890 ;;;315 ;52 ;3,180 ;250 ;630 ;22,000 ;6,800 ;78 ;- ;;- ;7,512 ;;;;- ;;- - ;80 ;;;;175 ;;X ;;;;
Essunga ;;60 ;;6,000 ;;;250 ;;8,400 ;;540 ;57,000 ;1,500 ;500 ;;480 ;;54,000 ;12,000 ;280 ;28 ;- ;;- ;175 ;20 ;;;550 ;175 ;500 ;;175 ;;
Foglum ;;;;2,640 ;;;660 ;;4,240 ;50 ;1,260 ;32,000 ;510 ;120 ;- ;;- ;13,200 ;;280 ;28 ;- ;;- ;88 ;12 ;;;250 ;155 ;150 ;;;;
