Table: Table_1

;;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. 15. ;16, ;17 ;18. ;19. ;20. ;21 ;22. ;23. 24. ;25 ;26. ;27 ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
;Härja ;13:34 ;93 ;32 ;12,265 ;12 ;1.315 ;1,477 ;550 ;9 ;20 ;43 ;;;3 ;- ;220 ;670 ;5 ;100 ;8 ;4 ;80 ;- ;228 ;;20 ;1,300 ;;50 ;6,990 ;;- ;
;Homb ;8:75 ;14 ;27 ;3,008 ;30 ;1,020 ;640 ;1,318 ;;;;;17 ;8 ;;180 ;-300 ;20 ;30 ;10 ;2 40 ;276 ;- ;162 ;70 ;;1,010 ;;15 ;2.090 ;;;
;Karleby 1) ;30113 ;102 ;13 ;3.471 ;13 ;2,113 ;408 ;- ;8 ;60 ;;;7 ;4 ;;200 ;850 ;30 ;160 ;10 ;3 200 ;400 ;;260 ;10 ;;1,240 ;;600 ;10,800 ;;140 ;
;Kelfvene ;9:50 ;27 ;;1,389 ;8 ;911 ;100 ;;;15 ;;;;;;80 ;479 ;7 ;50 ;;2 80 ;129 ;;80 ;;;504 ;;107 ;5,093 ;210 ;18 ;
;Korsberga ;20:63 ;95 ;;8,563 ;;2,365 ;1.700 ;3,080 ;14 ;57 ;;;;;;580 ;840 ;9 ;95 ;4 ;4 40 ;293 ;- ;500 ;194 ;57 ;2,577 ;10 ;;7,733 ;98 ;59 ;
;Kungslena ;29:75 ;94 ;;2) 4,397 ;16 ;2,537 ;290 ;1.200 ;2 ;86 ;;;;;? ;410 ;900 ;20 ;115 ;15 ;100 ;560 ;;410 ;60 ;;1,900 ;;189 ;6,300 ;215 ;;
;Kylingared ;4:00 ;15 ;;2,546 ;1 ;200 ;50 ;2,295 ;3 ;;;;;;;15 ;80 ;;65 ;2 ;2 ;12 ;- ;18 ;;6 ;100 ;20 ;25 ;900 ;;94 ;
;Kymbo ;13:75 ;34 ;;4,166 ;4 ;940 ;500 ;800 ;1 ;30 ;;;;;;160 ;470 ;4 ;70 ;4 ;5 2 8 ;72 ;- ;150 ;;;670 ;- ;;3,835 ;;4 ;
9 ;Luttra 1) ;20:38 ;51 ;;3,240 ;;1,200 ;40 ;;;17 ;;;;;;150 ;550 ;a ;60 ;5 ;2 100 ;180 ;;150 ;;;900 ;- ;600 ;5,200 ;200 ;9 ;
10 ;Mularp ;12:88 ;23 ;;2,314 ;16 ;1,010 ;95 ;220 ;2 ;13 ;;;;;;95 ;355 ;60 ;65 ;43 ;2 85 ;210 ;10 ;85 ;20 ;;490 ;- ;560 ;3,110 ;140 ;240 ;
11 ;Nykyrkt ;10:38 ;47 ;;5,786 ;10 ;700 ;1,200 ;1,250 ;5 ;32 ;;;;;;100 ;270 ;- ;170 ;;;60 ;;100 ;;- ;500 ;20 ;;2,700 ;540 ;;
12 ;Näs... ;11:25 ;30 ;;2,083 ;5 ;1.200 ;678 ;200 ;;17 ;;;;;;150 ;380 ;5 ;59 ;5 ;1 150 ;300 ;- ;150 ;6 ;;700 ;;75 ;3,000 ;33 ;20 ;
;;8:94 ;22 ;;2,546 ;6 ;625 ;405 ;1,400 ;2 ;17 ;;;;;;110 ;295 ;4 ;45 ;5 ;6 ;50 ;;110 ;;7 ;612 ;12 ;;2,425 ;11 ;;
13 14 ;Ottravad Sandhem ;43:13 ;130 ;106 ;20,828 ;30 ;2,800 ;4,400 ;10,500 ;;? ;;;;;? ;400 ;950 ;12 ;790 ;25 ;2 45 ;150 ;- ;426 ;11 ;;2,000 ;125 ;18 100 ;8,000 ;400 ;6 ;
15 ;Sköratorp 1) ;10:67 ;25 ;;2,265 ;5 ;1,220 ;1,040 ;;;3 ;19 ;;;;;140 ;396 ;30 ;75 ;20 ;140 ;278 ;- ;140 ;8 ;;832 ;;250 ;3,500 ;150 ;80 ;
16 ;Slöta med Faleqvarna ;,45:88 ;129 ;55 ;7.868 ;60 ;5,870 ;1,848 ;90 ;34 ;80 ;85 ;;;;4 ;495 ;2,810 ;60 ;400 ;20 ;5 290 ;990 ;;800 ;15 ;15 ;2,960 ;10 ;1,460 ;24,200 ;190 ;115 ;
17 ;Suntak ;9:63 ;20 ;11 ;2,777 ;8 ;800 ;200 ;1,769 ;;15 ;;;;;;100 ;350 ;5 ;50 ;10 ;50 ;134 ;- ;100 ;5 ;;600 ;10 ;60 ;3.150 ;20 ;;
18 ;Tiarp ;11:75 ;38 ;;1,620 ;5 ;1,000 ;420 ;195 ;;36 ;;;;1 ;- ;85 ;260 ;15 ;57 ;3 ;3 - ;489 ;- ;88 ;27 ;- ;500 ;;210 ;2,600 ;100 ;65 ;
19 ;Utvängstorp ;7:44 ;43 ;26 ;5,554 ;;413 ;135 ;50 ;;30 ;;;;;;62 ;165 ;- ;90 ;2 ;;;- ;80 ;;- ;240 ;36 ;5 ;1,350 ;38 ;;
20 ;Velinge ;19:72 ;68 ;135 ;9,720 ;20 ;1,670 ;1,370 ;6,660 ;13 ;50 ;;;;;;350 ;580 ;2 ;241 ;5 ;2 30 ;160 ;- ;300 ;18 ;6 ;2,100 ;180 ;- ;5,040 ;- ;10 ;
21 ;Visttorp ;11:50 ;28 ;18 ;6,480 ;20 ;880 ;525 ;800 ;4 ;25 ;3 ;;;;;70 ;430 ;5 ;50 ;10 ;110 ;135 ;- ;70 ;- ;;450 ;20 ;35 ;3.800 ;75 ;10 ;
22 ;Vättak ;9:50 ;18 ;23 ;2.546 ;;753 ;725 ;1,064 ;;;;;;;;170 ;280 ;2 ;80 ;1 ;4 ;46 ;- ;170 ;5 ;1 ;750 ;10 ;12 ;3,000 ;12 ;6 ;
23 ;Yllestad ;21:56 ;57 ;72 ;6,480 ;25 ;750 ;440 ;300 ;30 ;40 ;4 ;;;;;100 ;350 ;- ;100 ;;25 ;75 ;- ;100 ;15 ;;616 ;- ;125 ;3,700 ;- ;;
24 ;Angarp ;21:44 ;78 ;140 ;11,340 ;22 ;2.895 ;915 ;;;51 ;;;5 65 ;;1 ;472 ;1.035 ;12 ;85 ;8 ;8 145 ;620 ;- ;510 ;90 ;12 ;2,320 ;- ;40 ;7,650 ;- ;30 ;
25 ;Asaka ;23:50 ;31 ;56 ;3.934 ;20 ;1.415 ;150 ;100 ;3 ;14 ;;;30 ;;;160 ;700 ;5 ;80 ;20 ;100 ;200 ;;150 ;;;900 ;- ;450 ;6.000 ;;30 ;
26 ;Asle ;30:13 ;95 ;118 ;5,323 ;33 ;1,622 ;1,048 ;318 ;5 ;80 ;;2 ;2 81 ;6 ;2 ;130 ;770 ;5 ;205 ;10 ;2 90 ;270 ;- ;140 ;5 ;- ;685 ;- ;525 ;5,700 ;70 ;18 ;
;Summa för Vartofta härad ;742-85 ;2,431 ;1,803 ;279,565 ;506 ;69,160 ;43,206 ;77,491 ;229 ;1,302 ;411 ;4° ;369 698 ;161 ;15 ;9,306 ;25,588 ;481 ;6,187 ;426 ;160 4,333 ;13,203 ;25 ;9,459 ;1.043 ;263 ;49,536 ;1,205 ;7,500 ;219,513 ;3,772 ;1,498 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27 ;Brismene ;12:50 ;50 ;31 ;5,091 ;10 ;710 ;690 ;80 ;;49 ;1 ;- ;2 ;- ;- ;40 ;410 ;10 ;100 ;- ;5 ;105 ;- ;40 ;- ;- ;240 ;;320 ;4,440 ;;30 ;
28 29 ;Börstig. Grolanda ;13:94 19:00 ;66 87 ;37 50 ;4,166 8,100 ;8 10 ;1.080 2,000 ;1.100 6,000 ;1,500 90 ;3 4 ;64 36 ;- - ;;22 15 26 60 ;9 ;2 ;75 100 ;500 1,495 ;5 5 ;300 100 ;30 80 ;1 24 5 40 ;68 75 ;2 - ;75 100 ;10 - ;5 5 ;350 900 ;50 50 ;130 1,000 ;4,500 17,000 ;160 400 ;20 15 ;
30 ;Kinneved ;30175 ;93 ;28 ;8,563 ;;1,175 ;1,550 ;10 ;8 ;71 ;4 ;;15 75 ;3 ;- ;143 ;740 ;3 ;75 ;8 ;4 12 ;44 ;- ;146 ;- ;- ;875 ;- ;312 ;7.125 ;- ;6 ;
31 ;Smula ;7:63 ;24 ;2 ;926 ;2 ;227 ;248 ;;2 ;20 ;- ;- ;4 ;- ;- ;24 ;150 ;4 ;16 ;;4 ;5 ;- ;24 ;- ;- ;144 ;- ;63 ;837 ;48 ;6 ;
32 ;V&rkumla 1) ;18:25 ;30 ;6 ;2,546 ;3 ;642 ;901 ;1,000 ;2 ;21 ;;;4 ;- ;- ;70 ;384 ;;60 ;3 ;3 ;34 ;- ;75 ;- ;- ;441 ;- ;170 ;2.249 ;- ;18 ;
33 ;Asarp ;4:50 ;12 ;8 ;1.157 ;3 ;113 ;65 ;15 ;- ;9 ;- ;;3 ;- ;- ;19 ;56 ;1 ;15 ;;1 1 ;1 ;- ;19 ;- ;- ;114 ;- ;30 ;450 ;6 ;3 ;
;Summa för Frökinds härad ;106*57 ;362 ;162 ;30,549 ;43 ;5,947 ;10,554 ;2,702 ;19 ;270 ;5 ;- ;67 167 ;12 ;2 ;471 ;3,735 ;35 ;666 ;121 ;10 81 ;332 ;2 ;479 ;10 ;10 ;3,064 ;100 ;2,025 ;36,601 ;014 ;98 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34 ;Amnehärad ;32-19 ;317 ;160 ;21,060 ;15 ;2.760 ;3.600 ;14.000 ;46 ;320 ;;1 ;43 ;- ;- ;540 ;800 ;20 ;120 ;2 ;6 30 ;800 ;- ;442 ;50 ;- ;2,100 ;- ;30 ;6,200 ;- ;50 ;
35 ;Beateberg ;17:50 ;52 ;58 ;9.026 ;16 ;2.285 ;832 ;3,200 ;;19 ;;;;;;360 ;600 ;40 ;100 ;16 ;16 200 ;600 ;- ;353 ;300 ;;1,500 ;- ;- ;5,370 ;- ;90 ;
36 ;Bellefors ;20:25 ;54 ;54 ;³) 10.182 ;16 ;1.435 ;;4.417 ;12 ;30 ;14 ;;9 ;2 ;;180 ;362 ;46 ;55 ;10 ;3 160 ;434 ;- ;185 ;230 ;10 ;650 ;- ;;2.300 ;;120 ;
37 38 ;Berg Binneberg ;34:44 5:50 ;104 23 ;61 9 ;6.943 1,157 ;52 ;1,839 345 ;1.867 280 ;3,185 532 ;42 ;78 14 ;12 ;2 ;;;;351 60 ;560 90 ;40 30 ;130 40 ;;100 5 20 ;380 50 ;- ;278 50 ;210 75 ;;2,000 250 ;- - ;G50 - ;3,850 1.000 ;100 - ;200 100 ;
39 ;Björkäng ;18:00 ;149 ;57 ;4.968 ;18 ;2.850 ;100 ;2.000 ;62 ;90 ;40 ;;;;;420 ;608 ;145 ;60 ;;2 400 ;800 ;10 ;400 ;790 ;90 ;1,520 ;- ;GO ;4.800 ;- ;500 ;
40 ;Björsäter ;28:38 ;100 ;100 ;*) 4,629 ;28 ;2.654 ;20 ;2.828 ;30 ;72 ;;;;;;374 ;825 ;50 ;100 ;;6 160 ;730 ;- ;374 ;470 ;30 ;1,370 ;- ;200 ;5,825 ;;100 ;
41 ;Bäck ;12:13 ;26 ;16 ;4,860 ;10 ;1.450 ;1.000 ;1,375 ;4 ;;;;;;1 ;200 ;358 ;15 ;18 ;;150 ;450 ;- ;200 ;180 ;- ;420 ;- ;;2.500 ;;80 ;
42 ;Böja ;8:75 ;42 ;14 ;o) ;6 ;745 ;40 ;259 ;3 ;30 ;;;;;;90 ;190 ;5 ;80 ;15 ;5 120 ;150 ;- ;90 ;110 ;- ;495 ;;25 ;1,650 ;;30 ;
43 44 ;Karlsborg 1) Ek¹) ;11:00 ;12 51 ;46 ;5,786 ;3 28 ;11 2.200 ;4 15 ;1.000 3,225 ;5 ;;;;;;2 ;320 ;4 600 ;25 ;2 40 ;;4 251 ;620 ;- ;320 ;120 ;10 ;1,100 ;- - ;120 ;30 4.300 ;- ;30 ;
45 ;Ekby ;21:38 ;80 ;9 ;4.166 ;17 ;2,306 ;223 ;2,060 ;;;;;;;;377 ;600 ;154 ;42 ;2 ;150 ;604 ;;377 ;754 ;- ;1,508 ;- ;18 ;4,750 ;;900 ;
46 ;Ekeekog ;15:13 ;54 ;26 ;o) 8.563 ;G ;2,265 ;30 ;1,900 ;58 ;;;;;;;323 480 ;586 ;25 ;34 ;;2 323 ;646 ;;323 ;150 ;;1,465 ;;- ;5.274 ;;150 ;
47 ;Elgar&s ;19:81 ;153 ;206 ;19,671 ;50 ;3,305 ;150 ;6,100 ;;;;;;;;;730 ;30 ;220 ;;10 300 ;1,000 ;55 ;480 ;GO ;3 ;2,000 ;;;5.000 ;;100 ;
48 ;Finnerödja ;24:96 ;209 ;212 ;43.509 ;10 ;2.228 ;6,271 ;28,000 ;100 ;132 ;;;;;;380 ;760 ;53 ;185 ;12 ;28 ;510 ;;300 ;60 ;20 ;2.030 ;30 ;60 ;5,130 ;15 ;200 ;
49 ;Flistad ;18:75 ;60 ;13 ;2,546 ;5 ;1.700 ;500 ;175 ;;30 ;;;;;;242 ;620 ;150 ;20 ;5 ;120 ;300 ;;242 ;480 ;-- ;740 ;- ;40 ;3.000 ;1.000 ;500 ;
50 ;Fredsberg ;42:69 ;295 ;95 ;18,406 ;35 ;5,890 ;80 ;5,400 ;154 ;130 ;;;;;;770 ;1,670 ;100 ;125 ;10 ;2 645 ;1.730 ;12 ;826 ;900 ;- ;3,000 ;- ;25 ;11.000 ;;300 ;
51 ;Frösve ;13:69 ;54 ;41 ;4,629 ;15 ;3,101 ;139 ;1.374 ;11 ;;;;;;;443 ;786 ;40 ;50 ;7 ;3 304 ;886 ;;443 ;315 ;- ;1,900 ;- ;40 ;7,000 ;;160 ;
52 ;Fägre 1) ;36:81 ;184 ;44 ;13.423 ;110 ;7,450 ;100 ;3.200 ;25 ;;;;;;;1.100 ;2.000 ;200 ;100 ;30 ;10 300 ;2,500 ;110 ;1.100 ;2,300 ;40 ;3,700 ;- ;;14.000 ;;600 ;
53 ;Götlunda ;27:75 ;141 ;74 ;9.257 ;25 ;3,380 ;100 ;2,275 ;50 ;135 ;;;;;;600 ;1.300 ;100 ;100 ;;100 ;580 ;;600 ;800 ;--- ;2,000 ;- ;- ;13,000 ;;500 ;
;;;;;;;;;;;;;;;;;240 ;;;;;;;;;;;;;;;;;
54 ;Halna ;6:75 ;82 ;84 ;5,554 ;5 ;1,366 ;134 ;2,495 ;52 27 ;86 68 ;;;;;;1.180 ;450 2.230 ;50 ;66 ;6 ;3 ;311 ;;240 ;120 ;- ;1,350 ;- ;5 ;3,320 ;;186 ;
55 ;Hassle, Berga och Färed ;66'75 ;133 ;166 ;82.912 ;45 ;8.740 ;310 ;12,101 ;;;;;;;;;;110 ;200 ;65 ;9 980 ;2,766 ;;1.200 ;1,340 ;;4,580 ;- ;160 ;15,650 ;180 ;250 ;
56 ;Hiälated ;17:38 ;38 ;26 ;3.471 ;15 ;2,510 ;300 ;646 ;;30 ;;;;;;360 ;690 ;30 ;20 ;;350 ;700 ;- ;360 ;410 ;15 ;1,040 ;;15 ;4,500 ;;155 ;
;Hofva och Fagerlid ;56:13 ;338 ;168 ;30.317 ;;6,235 ;;;;;;;;;? ;1.000 ;1.950 ;50 ;130 ;30 ;25 50 ;2,000 ;;1.000 ;300 ;50 ;4,700 ;100 ;100 ;10.900 ;110 ;100 ;
57 ;;18:88 ;72 ;21 ;2.777 ;40 ;1,675 ;325 ;737 ;20 ;38 ;16 ;;10 ;;;210 ;420 ;50 ;100 ;10 ;5 120 ;550 ;;210 ;150 ;;900 ;;;;;;
58 ;Horn ;;;;;;;;;;;;;;;;;;;;;;;- ;;;- ;;- ;100 ;3,500 ;- ;200 ;
59 ;Leksberg ;17:75 ;36 ;59 ;5,554 ;50 ;2.130 ;60 ;3.314 ;;20 ;15 ;;18 ;;1 ;295 ;560 ;30 ;60 ;5 ;150 ;735 ;- ;295 ;368 ;;1.107 ;- ;50 ;4.100 ;;140 ;
60 ;Lerdala ;16:44 ;46 ;89 ;913,886 ;51 ;1.330 ;490 ;1,710 ;38 ;56 ;;;;;;221 ;402 ;18 ;68 ;14 ;19 ;373 ;- ;214 ;280 ;20 ;820 ;20 ;300 ;2.750 ;50 ;100 ;
61 ;Locketorp ;16:50 ;80 ;38 ;8,794 ;50 ;1.803 ;35 ;6.500 ;39 ;38 ;15 ;;;;- ;337 ;500 ;s5 ;120 ;10 ;10 110 ;290 ;5 ;336 ;310 ;45 ;1,380 ;- ;30 ;3.870 ;20 ;200 ;
;;43:75 ;255 ;163 ;19.671 ;80 ;4,070 ;720 ;4.730 ;108 ;245 ;10 ;;;;- ;540 ;1.400 ;GO ;140 ;;10 200 ;1,180 ;;540 ;300 ;;2.840 ;;60 ;11.200 ;;;
62 ;Lyrestad ;11'44 ;34 ;27 ;2.777 ;3 ;995 ;840 ;939 ;;30 ;;;;;;175 ;278 ;53 ;50 ;2 ;8 124 ;130 ;;175 ;262 ;- 10 ;530 ;- ;;;;200 ;
63 64 ;Listad Mo ;11:25 ;16 ;17 ;11) 2.314 ;18 ;1.260 ;;526 ;;;;;;;1 ;183 ;338 ;22 ;35 ;- ;- 190 ;322 ;- - ;170 ;415 ;- ;500 ;- ;30 ;1.600 2.366 ;- - ;118 66 ;
65 ;Mölltorp ;21:13 ;127 ;85 ;13,423 ;60 ;2.857 ;800 ;9.706 ;40 ;65 ;15 ;;;10 ;- ;437 ;725 ;15 ;210 ;99 ;3 55 ;1,000 ;;390 ;40 ;60 ;2.140 ;X 30 ;10 ;6,300 ;50 ;100 ;
66 ;Odensaker ;23:63 ;75 ;13 ;3.934 ;40 ;2.008 ;800 ;1.086 ;2 ;55 ;10 ;;10 ;;- ;332 ;740 ;75 ;55 ;3 ;83 ;390 ;- ;330 ;428 ;- ;1,796 ;;50 ;7.300 ;- ;300 ;
67 ;Ransberg ;31:56 ;290 ;165 ;22.912 ;40 ;4.500 ;960 ;17,412 ;80 ;165 ;25 ;;12 ;10 ;- ;800 120 ;1.200 ;50 ;350 ;;100 200 ;1,000 ;;800 ;;;2,520 ;315 ;- ;9.600 ;;300 ;
68 ;Svenneby ¹ ;8:88 ;8 ;12 ;2,546 ;10 ;1.083 ;480 ;973 ;;2 ;4 ;;;;1 ;;240 ;40 ;20 ;20 ;5 105 ;408 ;5 ;120 ;380 ;- ;250 ;- ;60 ;1.500 ;GO ;100 ;





