Table: Table_1

1. ;81. ;35 ;36. ;;37 ;38. ;39. ;40, ;41. ;44 ;45. ;46, ;47. ;48. ;49 ;50. ;51. ;52. ;53. ;54. ;55. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;75. ;
Härja ....... ... ;200 ;;;;;- ;5,280 ;36 ;- ;;;18,000 ;285 ;200 ;20,000 ;600 ;- ;- ;- ;- ;42.240 ;32 ;3 ;90 ;;290 ;160 ;460 ;2 ;;;
Hömb ;;;;;72 ;- ;1,596 ;;- ;800 ;;3,960 ;;;11,148 ;;;;;;7,980 ;54 ;16 ;80 ;;222 ;116 ;290 ;;;;
Karleby ;490 ;130 ;;;150 ;- ;5,850 ;25 ;- ;24 ;40 ;6,816 ;80 ;4.750 ;31,400 ;X 1,960 ;650 ;- ;X 600 ;- ;35,100 ;80 ;20 ;180 ;10 ;240 ;118 ;280 ;;;;
Kelfvene ;239 ;12 ;;;;;1,197 ;- ;;;;2,000 ;;300 ;8,000 ;957 ;75 ;;;;9,500 ;30 ;4 ;46 ;2 ;90 ;66 ;150 ;;;;
Kungslena ;252 ;63 ;;;;;8,150 ;;- ;;;8,400 ;;600 ;36,500 ;650 ;240 ;;- ;;9,000 ;65 ;18 ;124 ;5 ;450 ;65 ;450 ;;;;
Korsberga ;151 ;57 ;;;;;3,017 ;44 ;- ;1,225 ;346 ;13,570 ;75 ;;27,247 ;529 ;289 ;;- ;- ;19,265 ;54 ;5 ;232 ;10 ;414 ;197 ;510 ;;;;
del ;;;;;;;;;;;;600 ;150 ;150 ;6,500 ;;;;;;;;;;;;;;;;;
Kyliogared, Kymbo ;24 ;;;;;;1,000 1,000 ;3 ;- - ;- ;24 ;2,750 ;;108 ;10,000 ;- 96 ;24 ;- - ;- ;- ;8.000 6,000 ;12 35 ;5 ;36 60 ;2 2 ;58 100 ;30 40 ;80 150 ;;;X ;
Luttra ;35 ;;;;;;2,600 ;4 ;- ;;- ;6,420 ;;5,152 ;15,550 ;280 ;180 ;- ;;;26,000 ;75 ;30 ;110 ;;220 ;75 ;;;;;
Mularp ;140 ;125 ;;;70 ;;1,848 ;18 ;-- ;100 ;;3,430 ;;2,340 ;15,500 ;980 ;625 ;- ;490 ;- ;16,632 ;48 ;14 ;60 ;;120 ;34 ;150 ;;;;
Nykyrka ;320 ;;;;;;4,960 ;;;;;1,800 ;110 ;;3,250 ;1,280 ;;;;- ;29,760 ;18 ;;92 ;;220 ;50 ;;;;;
Nas' ;138 ;;;;15 ;;2,570 ;12 ;;42 ;;4,344 ;;690 ;14,895 ;552 ;350 ;;60 ;- ;10.280 ;40 ;10 ;70 ;3 ;100 ;35 ;120 ;;;;
Ottravad ;;;;;;;1,890 ;12 ;- ;;- ;2.562 ;;60 ;13,545 ;;50 ;;;;7,560 ;;;28 ;;;24 ;;;;;
Sandhem ;1,400 ;;;;;;10,000 ;6 ;;- - ;;8,380 ;125 ;180 ;13,800 ;4,300 ;45 ;;;;60,000 ;50 ;10 ;400 ;15 ;800 ;200 ;1.000 ;;;;
Skörstorp ;189 ;;;;;- ;5,355 ;;;;;3,780 ;;1,260 ;19,562 ;908 ;189 ;;189 ;- ;26,460 ;40 ;10 ;80 ;;145 ;60 ;100 ;;;;
Slöta och Faleqvarna ;500 ;150 ;5 ;;200 ;;8,000 ;15 ;;40 ;40 ;7,500 ;100 ;6,000 ;63,000 ;3,000 ;1,000 ;X 40 ;;- ;40,000 ;200 ;60 ;280 ;10 ;450 ;200 ;600 ;;;;
Suntak ;;10 ;;;;;1,300 ;4 ;- ;50 ;;4,290 ;50 ;;9,175 ;;50 ;;;;6,500 ;20 ;5 ;50 ;;100 ;50 ;100 ;;;;
Tiarp ;60 ;200 ;;;;;1,000 ;15 ;- ;62 ;- ;2,700 ;;1.000 ;18,000 ;300 ;1.000 ;;100 ;- ;4.000 ;50 ;10 ;94 ;3 ;144 ;150 ;160 ;;;;
Tidaholm ;30 ;63 ;;;;- ;2,000 ;26 ;- ;1.430 ;;4,820 ;;260 ;17,300 ;145 ;350 ;- ;;- ;11,200 ;78 ;16 ;75 ;4 ;280 ;120 ;110 ;;;;
Utvängstorp ;100 ;;;;;- ;2,000 ;2 ;- ;;;860 ;170 ;;8.900 ;400 ;;- ;;- ;12,000 ;12 ;;100 ;;140 ;30 ;150 ;;;;
Velinge ;6 ;14 ;;;;;6,048 ;21 ;- ;482 ;;10,250 ;49 ;128 ;29,685 ;36 ;100 ;;94 ;;33.868 ;67 ;3 ;232 ;10 ;408 ;203 ;;;;;
Vistorp ;270 ;16 ;2 ;;;;1,800 ;2 ;- ;12 ;15 ;2,700 ;120 ;300 ;13.200 ;1,350 ;80 ;- ;24 ;;7.200 ;35 ;6 ;90 ;12 ;150 ;100 ;150 ;;;;
Vättak ;30 ;;;;;- ;2,400 ;12 ;- ;50 ;50 ;5,000 ;120 ;;15,000 ;130 ;- ;- ;;;18,000 ;15 ;2 ;60 ;3 ;134 ;43 ;110 ;;;;
Yllestad ;- ;;;;;- ;3,800 ;- ;- ;84 ;;6,510 ;;750 ;21.100 ;- ;;;- ;- ;30,400 ;60 ;12 ;120 ;10 ;210 ;;;;;;
Asaka ;;;;;;- ;2,218 ;;- ;;;5.064 ;- ;2.028 ;31.296 ;;160 ;;;- ;11,090 ;70 ;24 ;96 ;;242 ;150 ;;;;;
Asle' ;120 ;16 ;;;30 ;;4,800 ;;;36 ;30 ;3.780 ;- ;3,125 ;27,000 ;600 ;80 ;- ;150 ;- ;24.000 ;124 ;60 ;110 ;9 ;340 ;140 ;130 ;;;;
Summa Vartofta härad ;6,994 ;1.480 ;10 ;;790 ;- ;150,500 ;627 ;- ;6,872 ;721 ;261,011 ;4,426 ;42,277 ;856,645 ;27,591 ;7,750 ;64 ;3,065 ;- ;844,609 ;2,101 ;457 ;5,618 ;282 ;10,524 ;4,655 ;12,486 ;12 ;3,691 ;;
Brismene ;- ;;;;;- ;913 ;- ;- ;- ;- ;1,250 ;- ;500 ;4,576 ;- ;- ;- ;;- ;5,478 ;45 ;15 ;80 ;3 ;150 ;90 ;125 ;- ;30 ;;
Börstig ;201 ;;13 ;;;- ;2,520 ;;- ;- ;X 126 ;2,520 ;158 ;504 ;11,340 ;806 ;95 ;52 ;;- ;20,160 ;65 ;8 ;80 ;10 ;230 ;100 ;300 ;;100 ;;
Grolanda ;180 ;;;;;- ;1.500 ;20 ;- ;- ;- ;6,000 ;1,500 ;3,000 ;12,000 ;1,000 ;200 ;;400 ;- ;10,500 ;80 ;30 ;156 ;8 ;300 ;100 ;200 ;;28 ;;
Kinneved ;;10 ;;;20 ;- ;3.000 ;40 ;;;- ;5,800 ;;5,800 ;26,500 ;;90 ;- ;105 ;- ;21.000 ;115 ;50 ;155 ;20 ;500 ;260 ;355 ;;130 ;;
Smula Yarkumla ;20 ;13 ;;;;;330 1,071 ;13 ;- ;;;600 1 420 ;- ;400 736 ;1.830 6,741 ;80 ;26 ;;;- - ;1,980 8.568 ;22 ;13 ;;;73 145 ;34 70 ;60 135 ;;70 ;;
Asarp ;10 ;4 ;- ;;4 ;- ;100 ;;- ;- ;- ;450 ;18 ;120 ;1.050 ;50 ;12 ;- ;12 ;;1.000 ;12 ;4 ;20 ;2 ;34 ;12 ;36 ;;6 ;;
Summa Frökinds härad ;411 ;77 ;13 ;;83 ;- ;9,434 ;73 ;- ;- ;126 ;17,540 ;1,676 ;11,080 ;64.037 ;1,936 ;423 ;52 ;574 ;- ;68,686 ;390 ;126 ;589 ;47 ;1,432 ;666 ;1.211 ;- ;382 ;- ;
Amnehärad ;- ;70 ;- ;;25 ;- ;4.200 ;45 ;- ;500 ;- ;9,200 ;- ;400 ;22,000 ;- ;280 ;- ;100 ;- ;25.200 ;61 ;1 ;250 ;5 ;500 ;300 ;550 ;- ;170 ;- ;
Beateberg' ;;50 ;- ;;50 ;- ;2,300 ;50 ;-- ;1,800 ;- ;6,400 ;- ;100 ;22.400 ;;200 ;;200 ;- ;13,800 ;56 ;;251 ;;330 ;400 ;700 ;;150 ;;
Berg ;100 ;200 ;;;15 ;- ;5,400 800 ;9 ;- ;1,200 520 ;- ;10,395 1,280 ;- - ;2,700 ;15,600 7,650 ;450 ;800 ;- ;;- ;40,000 ;80 ;10 ;160 ;10 ;405 ;158 ;180 80 ;2 - ;80 14 ;;
Bellefore ;;140 ;;;;;150 ;;- ;;- ;300 ;;;500 ;-- ;280 ;- - ;- ;- ;4,000 ;34 ;3 ;126 32 ;5 ;150 40 ;15 ;50 ;;;;
Binneberg ;;;;;;- ;;;- ;120 ;- ;;- ;;;- ;40 ;;15 ;- ;1.000 ;10 ;2 ;;1 ;;;;- ;;;
Björkäng ;;840 ;;;50 ;- ;1,700 ;40 ;-- ;3,200 ;;5.200 ;- ;;16,000 ;- ;3,360 ;;200 ;- ;10,200 ;36 ;2 ;180 ;5 ;216 ;140 ;400 ;- ;;;
Björsäter med Gullsäters rotar ;;160 ;30 ;;100 ;- ;2.850 ;33 ;- ;2.000 ;100 ;5,620 ;;800 ;26,000 ;- ;640 ;120 ;400 ;- ;16,500 ;95 ;10 ;150 ;6 ;425 ;210 ;250 ;;125 ;;
Back ;;120 ;10 ;;50 ;- ;560 ;20 ;- ;4,800 ;- ;7,440 ;- ;240 ;15,960 ;- ;480 ;50 ;200 ;- ;3,360 ;30 ;6 ;120 ;;260 ;100 ;250 ;;;;
Böja ;;32 ;;;;;2,140 ;32 ;- ;504 ;- ;2,520 ;- ;126 ;6,300 ;- ;96 ;- ;;- ;6,420 ;18 ;4 ;48 ;i ;110 ;120 ;150 ;;;;
Karlsborg ;;;;;10 ;;450 ;;;;;55 ;- ;;200 ;- ;10 ;- ;70 ;-- ;2,100 ;;;10 ;;;170 ;10 250 ;1 ;;;
Ek ;;40 ;;;40 ;;700 1,170 ;14 ;1 ;240 ;X 500 ;6,540 3,630 ;;360 ;13,850 ;- ;56 ;;240 ;- ;4,200 ;52 ;4 ;130 ;5 ;280 270 ;;260 ;;;;
Ekby Ekeskog ;;475 75 ;;;12 ;;400 ;24 ;- - ;1,435 234 ;;4,500 ;- ;72 ;17,100 14,400 ;;1,325 300 ;24 ;48 ;- ;7,020 2.000 ;62 20 ;;200 140 ;;250 ;120 125 ;225 ;- ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elgaras ;;40 ;;;5 ;;2,000 ;80 ;- - ;100 ;;12,000 ;30 ;;48,000 ;- ;160 ;;20 ;- ;12,000 ;35 ;2 ;200 ;6 ;240 ;100 ;350 ;;80 ;;
Flistad ;;160 ;;;40 ;- ;7,000 ;;;200 ;25 ;6,400 ;20 ;80 ;17,600 ;;640 ;120 ;120 ;- ;42,000 ;;2 ;144 ;3 ;130 ;100 ;230 ;- ;40 ;;
Finnerödja ;;180 ;;;40 ;- ;7,000 ;150 ;- ;225 ;30 ;5,400 ;144 ;375 ;23,000 ;75 ;7,020 ;120 ;120 ;- ;28,000 ;90 ;;300 ;15 ;830 ;400 ;1.100 ;;;;
Fägre ;;1.000 ;;;150 ;;6,000 ;20 ;;4,000 ;- ;6,000 ;;300 ;40,000 ;;3,000 ;100 ;750 ;- ;30,000 ;225 ;18 ;550 ;15 ;800 ;500 ;500 ;;;;
Fredaberg ;;250 112 ;;;72 30 ;- ;1.600 1,800 ;60 20 ;- ;11,134 ;- ;16,800 5.660 ;- ;432 ;36,240 9.630 ;;1,000 ;100 ;288 ;- ;9,600 ;;8 ;340 ;;600 273 ;200 80 ;650 193 ;;;;
Frosve ;;1,200 ;;;50 ;;1,000 ;25 ;- ;705 3,600 ;- ;9,600 ;- ;405 ;39,500 ;;336 4,800 ;40 ;90 ;;9,000 ;44 ;6 3 ;151 ;3 ;450 ;225 ;;;;;
Götlunda ;;;;;;- ;;;- ;;- ;;;;;;;;200 ;- ;S,000 ;53 ;;276 ;;;;;;;;
Halna ;;160 ;;;12 ;- ;2,292 ;35 ;- ;375 ;- ;2,900 ;44 ;24 ;19,600 ;;600 ;126 ;38 ;- ;3,100 ;20 ;;84 ;3 ;225 ;289 ;274 ;;;;
Hjälstad ;;104 ;;;20 ;;306 ;;- ;1,035 ;- ;2,070 ;- ;;8,280 ;--- ;312 ;18 ;;- ;1.836 ;15 ;3 ;102 ;;140 ;50 ;100 ;;;;
Hasle, Berga och Färed ;;300 ;;;400 ;;7,000 ;;- ;5,000 ;- ;10,400 ;- ;1,840 ;36,000 ;;1,200 ;24 ;200 ;- ;42,000 ;30 ;;100 ;8 ;220 ;50 ;150 ;;;;
Hofva med Fagerlid ;X ;240 270 ;;;50 33 ;;6 380 1.500 ;130 ;- ;1,740 ;- ;30,540 3,800 ;- ;960 480 ;127,920 11.200 ;480 ;960 ;60 ;300 ;- ;57,420 ;190 ;10 ;490 ;35 3 ;1.300 250 ;850 100 ;1.450 170 ;;;;
Horn' ;;120 ;;;;;1.000 ;10 ;- ;1,400 ;- ;3.600 ;- ;160 ;18,912 ;;1,180 ;132 ;132 ;- ;9.000 ;55 ;10 ;128 ;;375 ;100 ;140 ;;;;
Lekaberg ;;;;;;;;;- ;600 ;- ;;;;;- ;156 ;- ;;;7,000 ;43 ;4 ;144 ;;;;658 ;;;;
Lyrestad ;;212 ;;;;;3.220 ;35 ;- ;1,200 ;;7.680 ;;200 ;28,800 ;- ;848 ;- ;;- ;21,320 ;50 ;2 ;440 ;;680 ;425 ;;;;;
;;300 ;;;150 ;;3.000 ;12 ;;1,000 ;150 ;7.500 ;;80 ;16.000 ;;;;;;;;;;6 ;250 ;150 ;250 ;;;;
Locketorp ;;;;;;;;;- ;;;;;;;;900 ;- ;450 ;- ;15,000 ;50 ;10 ;130 ;;;;;;;;
Lerdala' ;110 ;100 ;;;40 ;;3,150 ;;- ;950 ;;4.640 ;120 ;800 ;10,000 ;440 ;400 ;;160 ;- ;18,900 ;60 ;;110 ;5 ;340 ;120 ;220 ;;;;
Listad ;;90 ;;;10 ;;970 ;;;786 ;;1,378 ;;60 ;4,000 ;- ;270 ;63 ;35 ;;5.720 ;48 ;3 ;128 ;4 ;145 ;43 ;105 ;;;;
Mo ;;90 ;;;;;150 ;;;2,600 ;;1,630 ;;;9,850 ;;480 ;- ;;- ;3.240 ;22 ;;90 ;;112 ;38 ;;;;;
Mölltoro ;100 ;;;;;;6,000 ;50 ;;200 ;400 ;7.400 ;200 ;;22,400 ;400 ;120 ;;;;36,000 ;47 ;6 ;250 ;12 ;550 ;300 ;400 ;;;;
Odeneaker ;;;;;;;1.890 ;;- ;945 ;- ;4.032 ;;;10,080 ;;252 ;;;;11,340 ;;;150 ;3 ;250 ;100 ;215 ;;;;
Ransberg ;;;;;;;6,800 ;315 ;- ;227 ;- ;12,600 ;500 ;;28,350 ;- ;250 ;;;;31.500 ;;7 ;250 ;9 ;400 ;280 ;1,000 ;;140 ;;





