Table: Table_1

Asarp ;- ;;- ;420 ;;- ;- ;300 ;8 ;200 ;2,100 ;60 ;36 ;- ;;- ;2,100 ;- ;;- ;- ;400 ;18 ;8 ;42 ;30 ;68 ;40 ;45 ;- ;20 ;;
Summa Frökinds härad ;- ;54 ;- ;9,169 ;65 ;130 ;120 ;13,070 ;698 ;5,083 ;90,195 ;1,862 ;327 ;- ;216 ;- ;63,820 ;48 ;133 ;X 45 ;- ;5,400 ;370 ;173 ;615 ;48 ;1,477 ;698 ;1,208 ;- ;416 ;- ;
Amnehärad ;- ;30 ;;3,900 ;10 ;400 ;- ;1,600 ;- ;240 ;25,000 ;- ;150 ;- ;80 ;;25,200 ;- ;15 ;8 ;200 ;30,000 ;98 ;5 ;220 ;8 ;600 ;250 ;200 ;;250 ;- ;
Beateberg ;;200 ;;4,000 ;25 ;400 ;- ;5,750 ;- ;120 ;18,690 ;;690 ;;;;12,000 ;X 1,500 ;;20 ;;;60 ;;180 ;10 ;350 ;300 ;400 ;;120 ;- ;
Berg ;;;;5,300 ;;750 ;;11,700 ;- ;3,500 ;20,000 ;500 ;500 ;;;;32,000 ;;;;;;55 ;15 ;160 ;8 ;325 ;130 ;100 ;- ;100 ;;
Bellefors ;;;;1,000 ;5 ;1,270 ;35 ;2,900 ;- - ;;9,000 4,000 ;;360 1,000 ;;60 8o ;;6,000 7,000 ;- ;15 ;;;;;;122 ;4 ;173 ;25 ;100 ;- ;30 ;;
Binneberg ;10 ;;;.790 ;;60 ;6o ;2,000 ;;90 ;;;;;800 ;;;;;;;;10 ;, ;36 ;;60 ;30 ;70 ;;18 ;;
Björkäng Björsäter ;;;;1,500 3,000 ;50 ;3,500 ;260 ;8,000 2,700 ;- - ;150 ;18,000 ;- ;1,500 ;;200 ;;12,000 24,000 ;1,800 18,100 ;150 ;10 ;7,600 ;40,000 ;150 ;20 ;240 240 ;20 ;438 ;100 240 ;250 ;;;;
Back ;8 ;;;510 ;;3,610 ;100 ;5,000 ;- ;1,000 ;26,150 33-600 ;- ;740 ;;b5 ;;5,500 ;1,600 ;;8 ;230 ;;28 ;7 ;130 ;6 ;300 ;150 ;180 ;;;500 ;
Böja ;;;;1,150 ;25 ;565 ;- ;2,585 ;- ;125 ;8,975 ;- ;155 ;;;;5,750 ;- ;125 ;- ;;;20 ;5 ;40 ;1 ;110 ;100 ;130 ;;;;
Karlaborg ;;;;;;;;65 ;- ;;;- ;;;;;120 ;;;;;;12 ;;6 ;- ;10 ;;;;;;
Ek ;;210 ;;1,000 ;25 ;500 ;X 200 ;7,700 ;- ;1,600 ;25,600 ;- ;150 ;;500 ;;11,050 ;14,000 ;75 ;18 ;;14,000 ;;10 ;148 ;4 ;300 ;100 ;200 ;- ;100 ;;
Bkby ;6 ;;;1,169 ;;3,780 ;- ;4,920 ;- ;90 ;23,750 ;- ;1,818 ;30 ;;;7,014 ;;;;;;49 ;15 ;168 ;3 ;300 ;70 ;;;;;
Ekeskog ;;;;'400 ;;234 ;;3,000 ;;;14,400 ;;150 ;;;;1,200 ;- ;20 ;- ;;- ;;;120 ;6 ;220 ;100 ;180 ;;;;
Elgar&s ;6 ;;;1,260 ;;504 ;72 ;12,600 ;370 ;;18,900 ;;1,260 ;;157 ;;12,600 ;- ;68 ;100 ;50 ;2,000 ;;;200 ;;800 ;80 ;200 ;;;;
Flistad ;12 ;;;'450 ;;1,425 ;;2,972 ;;190 ;10,000 ;2,520 ;940 ;;150 ;;1,850 10,800 ;- ;;;;;;20 ;144 ;2 ;150 ;;150 ;;;;
Finnerödja ;;;;1,800 ;150 ;300 ;60 ;10,800 ;120 ;300 ;20,000 ;75 ;375 ;;;;;- ;650 ;- ;;;;;320 ;10 ;800 ;225 ;400 ;;;;
Fägre. ;;;;500 ;;10,000 ;200 ;17,000 ;;;48,000 ;;2,500 ;;750 ;;35,000 ;- ;40 ;;;;;;550 ;15 ;1,100 ;750 ;650 ;;300 ;;
Fredeberg ;;;;1,800 ;;7,425 ;- ;15,225 ;- ;350 ;40,550 ;160 ;1,525 ;90 ;120 ;;9,850 ;- ;;- ;230 ;;;;510 ;;800 ;250 ;500 ;150 ;;;
Frösve. ;;;;2,100 ;20 ;2,055 ;- ;16,472 ;- ;1,200 ;36,000 ;;700 ;;360 ;;16,800 ;- ;40 ;- ;2,000 ;12,500 ;;;171 ;;255 ;105 ;167 ;;;;
Götlunda ;10 ;;;225 ;;8,500 ;- ;13,400 ;- ;;40,800 ;- ;3,000 ;40 ;800 ;;1,350 ;;;;;;;;272 ;3 ;413 ;148 ;300 ;;;;
Halna ;;;;2,800 ;12 ;725 ;- ;3,100 ;- ;30 ;17,500 ;- ;600 ;60 ;90 ;;16,100 ;;72 ;12 ;;7,500 ;;;120 ;;225 ;270 ;280 ;;;;
Hjälatad ;;;;825 ;- ;1,625 ;- ;6,020 ;- ;;14,245 ;- ;840 ;16 ;60 8oo ;;1,280 ;;;;;;;;148 ;;145 ;70 ;100 ;;;;
Hasle, Berga och Färed ;;;;5,600 ;;;;;;400 ;;;8oo ;;;;30,000 ;;;;;;;;;;850 ;250 ;;;;;
Hofva och Fagerlid ;;;;5.900 ;110 ;2:880 ;350 ;30,000 ;550 ;600 ;60,500 ;500 ;480 ;;300 ;;55,000 ;X 75,000 ;;100 ;;80,000 ;200 ;;;30 ;1,450 ;700 ;1,500 ;;;;
Horn ;;;;1,300 ;20 ;1,600 ;60 ;4,800 ;50 ;600 ;15,000 ;;2,000 ;136 ;210 420 ;;7,500 ;;60 ;;;;;;140 ;;265 ;100 ;125 ;;;;
Lekaberg ;;;;1,200 ;;1,800 ;- ;4,500 ;;80 ;20,370 ;;550 ;;100 ;;11,500 ;2,500 ;;;;9,600 ;;;142 ;;350 ;60 ;;;;;
Lyrestad ;;;;4,668 ;50 ;1,000 ;- ;18,190 ;- ;250 ;54,200 ;;1,690 ;- ;100 ;;20,340 24,500 ;;;50 ;;30,000 ;;;470 ;;700 ;589 ;950 ;;;;
Locketorp ;;;;3,500 ;20 ;1,160 ;X 160 ;6,500 ;- ;80 ;15,440 ;80 ;320 ;- ;;;14,000 ;300 ;;10 ;2,000 ;12,000 ;;;120 ;5 ;300 ;140 ;145 ;;;;
Lerdala ;;;;2,800 ;4 ;1,800 ;- ;4,500 ;- ;1,100 ;13,440 ;375 ;400 ;;;;;;;;;10,000 ;;;100 ;4 ;320 ;120 ;130 ;;;;
Listad ;;;;985 ;;1,250 ;- ;2,000 ;;;5,300 ;;380 ;60 ;5 ;;5,925 ;;;;;;;;128 ;;;;;;;;
;;;;;;;;;- ;100 ;;;;;;;;;;;;;;;;;178 ;40 ;100 ;;;;
Mo. ;;;;1,224 ;;1,480 ;;2,450 ;;;16,170 ;;1,525 ;;;;9,792 ;1,020 ;;;;13,520 ;18 ;;74 ;6 ;193 ;40 ;80 ;;;;
Mölltorp ;;;;5,000 ;85 ;180 ;280 ;10,000 ;X 180 ;50 ;24,000 ;360 ;360 ;;;;35,000 ;;160 ;X 35 ;;35,000 ;;;28o ;8 ;;;;;;;
Odensäker ;;;;1,000 ;;600 ;- ;7,705 ;;325 ;13,500 ;- ;200 ;15 ;120 ;- ;600 ;;;;;;;;150 ;;200 ;;;;;;
Ransberg ;;;;6,800 ;315 ;252 ;;12,600 ;630 ;;31,500 ;;252 ;;;;31,500 ;;945 ;;;;100 ;10 ;300 ;10 ;450 ;300 ;1,000 ;;150 ;;





