Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61 ;66. ;67. ;68. ;69 ;70. ;71 ;72 ;73 ;74. ;75. ;
Hângsdala ;;;;5,393 ;;X ;;8,052 ;;606 ;16,095 ;;304 ;;;;43,144 ;3,080 ;45 ;6 ;- ;1,35° ;;;128 ;;;;192 ;;64 ;;
Harja ;;;;4,875 ;;;;3,200 ;75 ;205 ;24,500 ;;;;;;25,200 ;;5 ;6 ;- ;;;;;;;;515 ;;101 ;;
Hömb ;;;;1,480 ;;X ;;4,134 ;;210 ;16,100 ;;;;;;8,880 ;6,000 ;;- ;;9,000 ;;;;;;;;;;;
Karleby ;;;;5,800 ;;;;7,520 ;;4,800 ;32,800 ;1,200 ;;;;;34,800 ;400 ;50 ;8 ;150 ;350 ;;;;;;;;;;;
Kelfvene ;;;;2,100 ;;;;2,400 ;;570 ;20,700 ;1,260 ;;;;;14,500 ;;;;X 1,600 ;700 ;;;;;;;;;;;
Kungalena ;;;;3,775 ;;;;13,510 ;;1,134 ;26,208 ;1,575 ;;;;;22,650 ;1,890 ;62 ;30 ;;2,200 ;;;;;;;;;;;
Korsberga ;;146 ;;3,188 ;;1.114 ;;13,898 ;;;34,852 ;447 ;;;;;23,096 ;X 3,131 ;;37 ;;29,828 ;;;;;;;;;;;
Kylingared, en del ;;;;1,100 ;;;;564 ;100 ;100 ;4,725 ;;;;;;6,600 ;;;- ;- ;;;;;;;;;;;;
Kymbo ;;;;3,750 ;;;;1,950 ;;140 ;15,680 ;45 ;;;;;18,750 ;- ;;;;2,000 ;29 ;;;;;;;;;;
Luttra ;;;;;;;;6,360 ;;4,800 ;16.400 ;1,200 ;;;X ;;24,000 ;;- ;;- ;;;;;;;;;;;;
Mularp ;;;;;;100 ;;2,840 ;;2,040 ;;990 ;;;;;11,090 ;300 ;14 ;10 ;- ;400 ;;;;;;;;;;;
Nykyrka ;;;;3,960 ;;;;2,880 ;100 ;;12,256 ;2,500 ;;;;;27,720 ;- ;;;- ;800 ;20 ;;;;;;;;;;
Näs. ;;;;1,250 ;;;;5,400 ;;450 ;9,000 ;;;;;;6,500 ;;- ;;--- ;;18 ;;;;;;100 ;;;;
Ottravad ;;;;1,970 ;;70 ;85 ;3,500 ;48 ;125 ;16,850 ;70 ;;;;;13,790 ;;50 ;10 ;;;20 ;;;;;;100 ;;;;
Sandhem Skörstorp ;;150 ;;14,000 8,750 ;;;;;400 ;300 1,600 ;13:388 ;1,200 750 ;400 ;;;;140,000 22,500 ;3,000 ;20 ;4 ;;;;;;;;;1,100 ;;;;
Slöta med Faleqvarna ;;200 ;;12,000 ;10 ;40 ;X 48 ;10,000 ;80 ;5,500 ;120,000 ;1,000 ;625 ;;X 1,000 ;;72,000 ;X 6,000 ;40 ;;1,000 ;15,000 ;200 ;100 ;;;;;1,500 ;;;;
Suntak ;;;;1,200 ;;36 ;;2,700 ;200 ;350 ;12,000 ;120 ;15 ;;210 ;;9,600 ;;;- ;200 ;6,000 ;18 ;;;;;;130 ;;;;
Tiarp ;;;;2,800 ;;60 ;;2,000 ;;880 ;9,000 ;350 ;150 ;;100 ;;11,200 ;- ;95 ;- ;;5,000 ;40 ;;;;;;;;;;
Utvängstorp Velinge ;;;;3,000 6,900 ;;72 ;- ;1,050 10,680 ;150 540 ;60 ;8,050 30,360 ;150 ;;;;;13,500 41,400 ;;8 90 ;65 ;1,000 ;2,500 8,000 ;12 ;;250 ;10 ;147 431 ;209 ;160 560 ;;;;
Visttorp ;;;;1,500 ;;15 ;20 ;1,500 ;60 ;450 ;20,000 ;400 ;30 ;;;;15,000 ;- ;20 ;10 ;;700 ;65 ;;110 ;;190 ;150 ;210 ;;;;
Vättak ;;63 ;;3,780 ;;;;4,610 ;189 ;567 ;22,050 ;68 ;;;36o ;;27,090 ;;13 ;;;;20 ;;;;;45 ;160 ;;;;
Xllestad ;;;;5,400 ;;112 ;;7,500 ;;625 ;17,500 ;;;;;;43,200 ;;;;;3,600 ;65 ;;110 ;12 ;200 ;125 ;250 ;;;;
Asaka ;;;;2,500 ;;;;6,000 ;- ;2,700 ;35,000 ;;80 ;;;;15,000 ;6,300 ;;;;;60 ;;140 ;;355 ;150 ;230 ;;;;
Asle ;;;;5.050 ;;24 ;6 ;5,000 ;- ;3'360 ;30,000 ;480 ;96 ;- ;180 ;;30,300 ;;- ;- ;- ;- ;152 ;8o ;104 ;TO ;360 ;130 ;110 ;;120 ;;
Suma Vartofta härad ;14 ;1,852 ;;167,126 ;488 ;6,705 ;1,332 ;261,154 ;4,769 ;43,803 ;1,007,454 ;20,329 ;6,515 ;07 ;5,728 ;- ;1,142,750 ;46,451 ;831 ;271 ;15,800 ;162,303 ;2,065 ;770 ;6,038 ;287 ;11,791 ;5,354 ;13,293 ;3 ;4,438 ;496 ;
Brismene ;- ;;;800 ;;;;700 ;- ;300 ;7,000 ;300 ;12 ;- ;20 ;- ;4,200 ;- ;- ;- ;- ;- ;50 ;40 ;80 ;12 ;175 ;120 ;200 ;- ;30 ;;
Börstig. ;;;;2.350 ;;X 130 ;X 120 ;2,840 ;X 290 ;610 ;11,350 ;980 ;55 ;- ;28 ;- ;18,500 ;;9 ;;- ;- ;51 ;;117 ;;320 ;110 ;195 ;;125 ;;
Grolanda ;- ;30 ;;1,600 ;25 ;- ;- ;2,250 ;400 ;1,200 ;17,500 ;480 ;80 ;- ;120 ;- ;8,000 ;- ;;20 ;;;70 ;;100 ;6 ;%75 ;125 ;200 ;- ;25 ;;
Kinneved ;;;;3,125 ;30 ;- ;- ;5,950 ;- ;1,872 ;43,250 ;- ;80 ;- ;;- ;25,000 ;- ;100 ;25 ;- ;5,000 ;115 ;40 ;170 ;12 ;425 ;250 ;400 ;;160 ;;
Smula ;- ;;;450 ;;- ;- ;270 ;-- ;;1,350 ;42 ;16 ;- ;;- ;2,700 ;;;- ;- ;;18 ;9 ;30 ;3 ;60 ;17 ;30 ;;10 ;;
Y&rkumla ;- ;14 ;;415 ;6 ;- ;- ;1,260 ;;805 ;7,645 ;;48 ;;48 ;;3,820 ;48 ;24 ;- ;- ;;48 ;18 ;76 ;;154 ;36 ;138 ;- ;46 ;;
