Table: Table_1

1. ;36. ;37. ;39. ;40 ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;55. ;56. ;57. ;58. ;59. ;60. I ;61. ;62. ;GG. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;75. ;
Wedum ;- ;40 ;787 ;23 ;- ;1,269 ;- ;16,000 ;- ;- ;33,165 ;- ;540 ;- ;280 ;7,870 ;- ;- ;- ;46 ;- ;- ;- ;84 ;16 ;88 ;G ;303 ;130 ;250 ;- ;150 ;- ;
Westerplana ;- ;86 ;500 ;X 24 ;- ;150 ;120 ;2,000 ;- ;3,500 ;4,100 ;3,800 ;650 ;-- ;650 ;3,000 ;800 ;- ;100 ;X 15 ;- ;- ;- ;44 ;8 ;18 ;1 ;80 ;50 ;120 ;- ;64 ;- ;
Wättlösa ;- ;63 ;630 ;3 ;- ;882 ;- ;4,032 ;- ;;7,560 ;190 ;252 ;- ;252 ;3,150 ;- ;- ;13 ;- ;- ;- ;- ;50 ;14 ;80 ;1 ;120 ;60 ;150 ;- ;40 ;- ;
Österplana ;- ;102 ;1,000 ;- ;- ;350 ;- ;3,900 ;- ;2,040 ;7,735 ;2,550 ;850 ;- ;- ;6 000 ;20.000 ;- ;8 ;- ;-- ;- ;--- ;70 ;18 ;50 ;3 ;266 ;118 ;300 ;- ;100 ;200 ;
Summa ;X 42 ;418 ;34,031 ;265 ;- ;12,753 ;300 ;53,606 ;800 ;23,196 ;121,794 ;23,440 ;5,875 ;210 ;1,813 ;163,467 ;73,493 ;- ;401 ;1,109,60 ;21.329 ;80,495 ;- ;893 ;188 ;1024 ;64 ;2,981 ;1,555 ;4.243 ;5 ;1,486 ;700 ;
Skänings härad.a ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edsvära ;- ;31 ;5,670 ;-- ;- ;2,772 ;- ;20.888 ;252 ;1,135 ;51,408 ;945 ;567 ;- ;186 ;39,690 ;- ;- ;- ;- ;- ;- ;- ;100 ;20 ;120 ;10 ;480 ;87 ;600 ;- ;120 ;- ;
Fyrunga ;- ;728 ;975 ;30 ;- ;1,575 ;- ;5,450 ;- ;765 ;20,500 ;1,024 ;780 ;- ;2,912 ;5,850 ;- ;- ;X 90 ;X 30 ;- ;18,720 ;- ;78 ;19 ;20 ;4 ;156 ;78 ;312 ;- ;78 ;- ;
Gerum ;- ;189 ;926 ;6 ;- ;1,159 ;- ;6,758 ;- ;315 ;19,938 ;- ;157 ;- ;25 ;6,483 ;- ;- ;- ;X 30 ;- ;- ;- ;89 ;7 ;70 ;6 ;190 ;63 ;193 ;- ;41 ;- ;
Hendene ;- ;- ;1,890 ;56 ;- ;728 ;- ;8,148 ;- ;168 ;16,750 ;- ;126 ;- ;- ;11,340 ;6,300 ;- ;- ;40 ;- ;15,000 ;- ;190 ;4 ;44 ;4 ;300 ;92 ;250 ;- ;100 ;-- ;
Härlunda (Bjerklunda hä-) radsdel) ;- ;- ;2,389 ;- ;- ;90 ;- ;4,496 ;- ;53 ;11,764 ;282 ;67 ;- ;- ;15,142 ;- ;- ;- ;25 ;- ;1,600 ;- ;50 ;1 ;107 ;3 ;284 ;122 ;503 ;- ;99 ;- ;
Härjevad ;- ;125 ;324 ;18 ;- ;1,140 ;- ;2,720 ;- ;3,200 ;18,450 ;- ;460 ;- ;940 ;2,592 ;- ;- ;54 ;- ;- ;- ;- ;66 ;9 ;6 ;2 ;115 ;X 50 ;126 ;- ;45 ;- ;
Jung ;- ;378 ;1,209 ;56 ;- ;3,428 ;312 ;12,249 ;315 ;3,528 ;40,882 ;3,618 ;2,016 ;- ;1,809 ;7,257 ;- ;- ;227 ;- ;- ;- ;- ;200 ;56 ;64 ;10 ;256 ;270 ;320 ;- ;160 ;- ;
Marum ;- ;- ;480 ;-- ;- ;700 ;- ;4,850 ;- ;370 ;10,800 ;- ;175 ;- ;- ;3,000 ;- ;- ;- ;- ;- ;-- ;- ;28 ;;X 36 ;6 ;170 ;65 ;75 ;- ;50 ;- ;
Qvänum ;- ;480 ;1,200 ;- ;- ;2,400 ;- ;10,500 ;- ;1,200 ;51,000 ;2,880 ;960 ;- ;2,880 ;8,400 ;- ;- ;- ;- ;- ;- ;- ;120 ;40 ;80 ;10 ;320 ;200 ;400 ;- ;160 ;- ;
Saleby ;- ;1,932 ;2,000 ;60 ;- ;8,058 ;- ;24,192 ;- ;2,898 ;48,648 ;5,040 ;2,898 ;- ;5,796 ;10,000 ;- ;- ;- ;18 ;- ;- ;- ;288 ;72 ;72 ;8 ;576 ;180 ;1,000 ;- ;288 ;- ;
Skallmeja mml afGerum ;- ;120 ;600 ;12 ;- ;1,440 ;- ;6,400 ;- ;1,800 ;33,000 ;720 ;1,200 ;- ;480 ;3,000 ;- ;- ;X 30 ;- ;- ;- ;- ;90 ;25 ;40 ;4 ;210 ;80 ;350 ;- ;60 ;- ;
Sunerby ;- ;50 ;1,804 ;28 ;- ;1,925 ;25 ;15,085 ;- ;570 ;56,800 ;- ;420 ;- ;400 ;10,824 ;- ;- ;28 ;- ;- ;5,400 ;- ;150 ;35 ;40 ;6 ;400 ;260 ;260 ;- ;80 ;- ;
Trässberg ;- ;192 ;510 ;54 ;- ;950 ;-- ;12,540 ;- ;864 ;43,200 ;- ;540 ;- ;1,152 ;3,060 ;- ;- ;22 ;- ;- ;- ;- ;114 ;10 ;8 ;3 ;180 ;90 ;360 ;- ;100 ;- ;
Winköl ;- ;76 ;1,225 ;63 ;- ;1,512 ;300 ;12,789 ;378 ;1,005 ;76,510 ;565 ;565 ;;450 ;9,824 ;12,600 ;- ;-- ;X 25 ;- ;5,280 ;-- ;148 ;25 ;100 ;5 ;300 ;70 ;450 ;- ;100 ;- ;
