Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;66. ;67. ;68. ;69. ;7Ò. ;71. ;72. ;73. ;74. ;75. ;
Borgunda ;;;- ;3,200 ;15 ;- ;- ;27,100 ;- ;1,200 ;16,000 ;1,600 ;300 ;- ;- ;- ;12,500 ;- ;25 ;? ;60 ;45 ;198 ;6 ;350 ;140 ;300 ;- ;100 ;- ;
Broddetorp ;- ;;;496 ;;161 ;- ;792 ;- ;205 ;3,552 ;;25 ;- ;;- ;4,390 ;;6 ;;20 ;2 ;23 ;;86 ;29 ;18 ;- ;;- ;
Brunnhem ;;X ;;2,040 ;8 ;48 ;- ;3,573 ;- ;1,125 ;7,033 ;1,890 ;540 ;- ;180 ;;10,200 ;700 ;32 ;;40 ;8 ;80 ;2 ;140 ;75 ;100 ;- ;40 ;;
Dala. ;;;;2,500 ;15 ;150 ;- ;7,500 ;- ;2,000 ;27,000 ;- ;1,050 ;- ;- - ;;20,000 ;;;- ;57 ;20 ;148 ;6 ;260 320 ;150 125 ;200 ;- 4 ;50 ;;
Ed&sa ;;;;1,512 ;13 ;504 ;- ;10,885 ;- ;;18,900 ;- ;420 ;- ;70 ;;10,584 ;;78 ;- ;40 ;8 ;116 ;6 ;;;150 ;;80 ;;
Falköpings landsförsamling ;;10 ;;900 ;;;- ;1,680 ;- ;1,000 ;6,000 ;;;- ;;- ;6,800 ;4,000 ;;;39 ;6 ;10 ;2 ;140 ;25 ;100 ;- ;40 ;;
Friggeraker ;;;;1,000 ;5 ;50 ;- ;2,400 ;- ;2,250 ;8,000 ;100 ;75 ;- ;160 ;- ;6,000 ;3,100 ;10 ;2 ;55 ;25 ;80 ;3 ;200 ;80 ;50 ;- ;60 ;;
Gudhem ;;150 ;;1,840 ;;490 ;;6,660 ;;7,200 ;27,600 ;;160 ;- ;;- ;12,880 ;;;2 ;110 ;60 ;60 ;;390 ;150 ;200 ;- ;140 ;;
Hornborga ;;50 ;;5,800 ;;100 ;X 20 ;1,200 ;40 ;750 ;6,100 ;3,000 ;100 ;- ;150 ;- ;3,700 ;200 ;10 ;4 ;45 ;6 ;64 ;3 ;140 ;45 ;125 ;;50 ;;
H&kantorp ;;8 ;;1,000 300 ;3 4 ;60 ;;3,050 340 ;- ;250 150 ;4,600 2,000 ;500 175 ;400 ;- ;40 ;- - ;5,500 1,000 ;- ;;- ;35 50 ;6 12 ;24 ;2 4 ;100 ;40 58 ;60 145 ;- ;30 45 ;;
Högstena ;;;;;;;;;;;;;;;;;;;- ;;;;66 ;;128 ;;;- ;;;
Kyrketorp ;;15 ;- ;1,260 ;3 ;120 ;- ;3,339 ;- ;1,950 ;13,500 ;900 ;160 ;- ;60 ;- ;10,080 ;- ;- ;3 ;34 ;15 ;80 ;;110 ;50 ;90 ;;60 ;;
Ljunghem ;;;;901 ;;500 ;;5,500 ;- ;;11,270 ;- ;102 ;- ;;- ;7,208 ;- ;- ;;34 ;10 ;64 ;3 ;160 ;105 ;120 ;- ;40 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Râdene. ;- ;15 ;;1,300 ;10 ;84 ;- ;4,970 ;- ;880 ;15,400 ;;180 ;- ;105 ;- ;10,400 ;;;5 ;25 ;10 ;74 ;;210 ;65 ;175 ;- ;80 ;;
Segerstad ;-- ;;;1,895 ;;;- ;3,515 ;- ;1,170 ;6,612 ;532 ;90 ;- ;36 ;- ;9,475 ;100 ;31 ;8 ;80 ;20 ;92 ;4 ;180 ;150 ;290 ;- ;84 ;;
Stenstorp ;- ;;- ;1,500 ;20 ;162 ;- ;6,650 ;- ;875 ;17,500 ;250 ;175 ;- ;;- ;15,000 ;600 ;12 ;- ;50 ;20 ;80 ;2 ;200 ;125 ;200 ;- ;70 ;;
Sjögerstad ;- ;60 ;;3,600 ;15 ;560 ;- ;8,100 ;- ;1,080 ;18,336 ;- ;1,250 ;- ;330 ;- ;21,600 ;;50 ;- ;42 ;11 ;120 ;10 ;285 ;140 ;390 ;- ;75 ;;
Satuna ;;;- ;1,800 ;;;;300 ;;150 ;1,850 ;;25 ;;;;9,000 ;300 ;;;20 ;;36 ;;48 ;12 ;12 ;;24 ;;
;- ;35 ;;400 ;2 ;20 ;- 9 ;880 ;- 9 ;328 ;2,260 ;175 ;;- ;210 ;-- ;3,000 ;;- ;- ;48 ;;40 ;3 ;481 ;48 ;;- ;50 ;;
Torbjörntorp Tunhem ;;;- ;1,800 ;;108 ;X 70 ;5,500 ;- ;1,800 ;14,100 ;350 ;45 - ;- - ;- ;- - ;15,200 ;150 - ;35 - ;-- 2,40 ;45 ;30 ;40 ;2 ;140 ;35 ;150 136 ;- - ;95 ;;
Ugglum ;- ;;;1,600 ;5 ;50 ;- ;1,000 ;- ;600 ;3,500 ;;;- ;;- ;8,500 ;;;- ;40 ;10 ;30 ;2 ;100 ;70 ;100 ;- ;50 ;;
Valtorp ;- ;60 ;- ;950 ;- ;125 ;- ;2,000 ;- ;800 ;9,000 ;40 ;150 ;- - ;160 ;- ;3,000 ;600 ;20 ;- ;30 ;8 ;70 ;5 ;150 ;50 ;100 ;- ;35 ;;
Summa Gudhems härad ;- ;885 ;- ;62,379 ;142 ;3,202 ;90 ;124,884 ;1,729 ;26,708 ;284,973 ;9,512 ;6,072 ;- ;1,501 ;- ;392,208 ;9,750 ;309 ;34,40 ;1,079 ;377 ;1,852 ;87 ;4,797 ;1,927 ;3,381 ;4 ;1,477 ;- ;
Bolum ;- ;100 ;- ;2,350 ;- ;90 ;40 ;4,400 ;- ;2,040 ;18,080 ;8,450 ;340 ;- ;300 ;- ;1,880 ;- ;- ;- ;80 ;20 ;110 ;3 ;250 ;160 ;300 ;- ;120 ;;
;- ;;- ;4,800 ;- ;294 ;;10,400 ;- ;1,650 ;18,600 ;720 ;720 ;- ;;- ;30,100 ;- ;- ;;60 ;;100 ;;320 ;100 ;250 ;;;;
Eggby ;;;;;;;- ;;;;;;;;;;;;;- ;;;;;;;;- ;100 ;;
Häggum ;- ;10 ;- ;2,900 ;9 ;125 ;X 90 ;5,460 ;- ;660 ;39,000 ;750 ;300 ;- ;70 ;- ;23,300 ;;- ;5 ;60 ;25 ;40 ;5 ;325 ;250 ;300 ;- ;80 ;;
Istrum ;- ;20 ;- ;2,300 ;;400 ;- ;7,200 ;- ;360 ;12,000 ;- ;420 ;- ;100 ;- ;18,400 ;2,800 ;45 ;70 ;47 ;18 ;96 ;7 ;230 ;60 ;150 ;- ;140 ;;
Lundby ;- ;;- ;800 ;- ;106 ;- ;2,800 ;- ;480 ;5,000 ;;136 ;- ;;- ;6,000 ;- ;-- ;;100 ;10 ;12 ;3 ;325 ;75 ;50 ;- ;25 ;;
Skarke ;- ;200 ;;3,000 ;- ;240 ;50 ;8,250 ;- ;3,000 ;11,000 ;750 ;2,400 ;- ;600 ;- ;15,000 ;;- ;- ;65 ;13 ;90 ;5 ;300 ;112 ;280 ;- ;82 ;;
Skärf. ;- ;;;1,850 ;- ;315 ;- ;4,984 ;- ;1,020 ;10,000 ;- ;360 ;- ;- ;- ;18,500 ;3,000 ;;- ;47 ;12 ;80 ;4 ;248 ;76 ;205 ;- ;76 ;;
Stenum ;- ;- ;- ;2,812 ;- ;360 ;- ;4,116 ;- ;504 ;12,480 ;- ;320 ;- ;- ;- ;28,120 ;5,000 ;- ;- ;50 ;6 ;120 ;2 ;270 ;150 ;282 ;- ;127 ;;
Ying. ;- ;- ;- ;2,590 ;- ;200 ;- ;4,350 ;- ;756 ;14,700 ;;120 ;- - ;- ;- ;27,720 ;1,800 ;;- ;45 ;1 ;50 ;2 ;196 ;53 ;140 ;- ;85 ;;
Öglunda ;- ;- ;- ;1,500 ;- ;150 ;- ;3,780 ;- ;650 ;8,800 ;2,500 ;450 ;- ;- ;- ;12,000 ;;- ;- ;36 ;4 ;48 ;2 ;130 ;50 ;150 ;- ;40 ;;
Summa Valle härad ;- ;335 ;- ;24,402 ;15 ;2,280 ;180 ;55,740 ;- ;11,120 ;149,660 ;8,170 ;5,566 ;- ;1.080 ;- ;181,020 ;12,600 ;45 ;75 ;590 ;114 ;746 ;40 ;2,594 ;1,086 ;2,107 ;- ;875 ;;
Bredvik ;- ;50 ;- ;9,600 ;- ;;- ;7,200 ;- ;;17,280 ;- ;;- ;- ;- ;57,600 ;- ;- ;4 ;30 ;;180 ;5 ;360 ;180 ;450 ;5 ;180 ;;
Forsby ;- ;;- ;450 ;- ;700 ;- ;6,100 ;- ;100 ;15,200 ;- ;350 ;- ;;- ;2,600 ;;- ;- ;28 ;4 ;84 ;5 ;150 ;24 ;160 ;;12 ;;
Fogelas, norra ;- ;85 ;;13,230 ;;3,820 ;;25,600 ;;2,560 ;47,300 ;630 ;250 ;- ;756 ;;126,000 ;6,640 ;- ;- ;74 ;8 ;249 ;12 ;650 ;232 ;635 ;- ;206 ;;
Fogel&s, sodra ;- ;60 ;;11,400 ;30 ;2,000 ;150 ;16,000 ;120 ;36 ;40,650 ;- ;480 ;- ;- ;- ;68,400 ;- ;- ;- ;45 ;8 ;320 ;6 ;400 ;200 ;800 ;-- ;200 ;;
Gredbäck ;- ;;;12,600 ;- ;;;19,200 ;- ;;44,100 ;- ;;;- ;;12,600 ;- ;;- ;41 ;3 ;270 ;6 ;410 ;158 ;400 ;- ;120 ;;
Hagelberg ;- ;;;3,000 ;;300 ;;4,690 ;;- ;19,200 ;;180 ;- ;;;30,000 ;- ;;- ;55 ;12 ;70 ;7 ;300 ;130 ;200 ;- ;100 ;;
Hjo landsförsamling ;- ;200 ;- ;10,500 ;32 ;600 ;400 ;14,616 ;400 ;30 ;32,000 ;300 ;450 ;- ;1,000 ;;84,000 ;- ;- ;;46 ;16 ;110 ;10 ;450 ;180 ;1,000 ;- ;150 ;;
Kyrkefalla ;- ;;;5,700 ;100 ;1,750 ;;30,000 ;;;80,000 ;;1,600 ;- ;;- ;40,130 ;;- ;- ;110 ;12 ;540 ;10 ;1,000 ;340 ;1,400 ;;200 ;;
Kyrketorp ;;;- ;5,000 ;;960 ;;7,700 ;200 ;150 ;21,600 ;- ;878 ;;- ;;35,000 ;- ;- ;- ;110 ;6 ;160 ;3 ;360 ;70 ;410 ;- ;120 ;;
Mofalla ;10 ;20 ;;800 ;15 ;245 ;60 ;1,900 ;150 ;;2,800 ;- ;85 ;X 50 ;- ;- ;5,600 ;- ;- ;- ;22 ;6 ;70 ;2 ;100 ;40 ;130 ;- ;25 ;;
Ryd ;;;;3,200 ;;36 ;;2,016 ;;2,160 ;3,600 ;- ;300 ;;;- ;23,600 ;;;;17 ;;46 ;3 ;135 ;;90 ;;30 ;;
Sköfde landsförsamling ;;72 ;- ;4,500 ;;1,000 ;300 ;13,000 ;600 ;200 ;40,000 ;;550 ;;500 ;- ;36,000 ;- - ;- - ;- - ;60 ;5 ;175 ;5 ;500 ;100 ;125 ;- - ;150 ;;
Suntetorp och Sventorp ;;50 ;- ;4,300 ;50 ;1,100 ;350 ;18,000 ;- ;125 ;50,000 ;;500 ;;200 ;- ;33,000 ;- ;;- ;130 ;15 ;260 ;12 ;850 ;220 ;600 ;- ;20 ;;
Varola ;;40 ;;1,650 ;18 ;1,280 ;;14,840 ;- ;30 ;30,500 ;;480 ;;50 ;- ;19,800 ;- ;- ;- ;53 ;10 ;229 ;;364 ;150 ;345 ;- ;156 ;;
Versas ;;;- ;4,000 ;- ;1,500 ;120 ;23,100 ;- ;;36,000 ;;800 ;;;- ;28,000 ;- ;- ;- ;85 ;20 ;800 ;12 ;650 ;250 ;400 ;- ;150 ;;
