Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66 ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Flo ;12 ;373 ;- ;3,000 ;65 ;6,700 ;;325 ;19,156 ;- ;1,620 ;60,660 ;3,150 ;1,440 ;48 ;1,365 ;- ;15,000 ;36,750 ;450 ;25 ;2,440 ;60,000 ;220 ;45 ;30 ;15 ;520 ;160 ;350 ;- ;170 ;;
Friel ;;60 ;;545 ;;;360 ;;4,060 ;;600 ;15,800 ;700 ;365 ;;300 ;;2,600 ;;;;;;;;;;100 ;60 ;260 ;;50 ;;
Hâle ;;;;;;;808 ;;3,720 ;- ;500 ;14,868 ;2,160 ;510 ;120 ;1,185 ;;2,560 ;;80 ;;;34,400 ;75 ;16 ;;;200 ;73 ;260 ;;45 ;;
Karaby ;;;;700 ;;;300 ;;2,400 ;- ;320 ;6,400 ;;1,300 ;10 ;325 ;;4,000 ;;40 ;10 ;;4,000 ;80 ;12 ;;;95 ;85 ;150 ;;;;
Näs ;;;;2,270 ;;2,100 ;;;8,720 ;- ;1,000 ;18,500 ;;1,150 ;50 ;300 ;- ;11,850 ;10,000 ;80 ;20 ;;- ;176 ;18 ;;18 ;510 ;149 ;537 ;2 ;243 ;;
Sal ;;150 ;;660 ;;;500 ;;8,190 ;;720 ;16,740 ;;1,600 ;;750 ;;3,300 ;;40 ;;;;80 ;11 ;;;136 ;100 ;200 ;;80 ;;
Särestad ;;;;1,080 ;;1,500 ;;;5,350 ;- ;660 ;15,870 ;880 ;2,340 ;180 ;1,075 ;- ;6,480 ;- ;8 ;;;12,000 ;1-10 ;35 ;26 ;;210 ;155 ;395 ;;135 ;;
Tun. ;;;;2,000 ;;3,600 ;;;8,400 ;- ;1,500 ;20,000 ;1,500 ;1,750 ;;2,500 ;- ;10,000 ;- ;- ;;;- ;130 ;;40 ;14 ;500 ;80 ;320 ;;180 ;;
Täng ;;;;600 ;;;750 ;;2,800 ;- ;475 ;7,000 ;1,600 ;1,000 ;15 ;250 ;- ;1,150 ;- ;;- ;- ;;70 ;20 ;12 ;;100 ;40 ;125 ;;30 ;;
As ;;200 ;;600 ;;;350 ;5 ;2,000 ;- ;450 ;20,000 ;600 ;400 ;8 ;350 ;- ;1,800 ;- ;- ;- ;- ;6,000 ;75 ;15 ;40 ;10 ;1GO ;80 ;350 ;;50 ;;
Ase härad ;91 ;2,013 ;- ;12,135 ;171 ;16,968 ;;330 ;64,796 ;- ;7,845 ;195,838 ;10,590 ;11,855 ;431 ;8,400 ;- ;58,210 ;46,750 ;698 ;55 ;2,440 ;116,400 ;1,116 ;198 ;238 ;80 ;2,531 ;992 ;2,947 ;2 ;1,023 ;- ;
Bjerby ;- ;125 ;- ;515 ;20 ;;900 ;- ;4,240 ;- ;450 ;16,000 ;680 ;960 ;- ;625 ;- ;4,120 ;- ;60 ;- ;- ;- ;69 ;15 ;24 ;3 ;156 ;93 ;250 ;;60 ;;
Bäreberg ;- ;;- ;1,000 ;;;210 ;- ;3,200 ;- ;;30,000 ;;350 ;- ;;- ;6,000 ;- ;;;;;100 ;16 ;;5 ;350 ;60 ;360 ;;;;
Flakeberg ;;145 ;- ;1,000 ;30 ;2,520 ;;- ;11,520 ;- ;1,416 ;43,200 ;3,000 ;1,620 ;- ;725 ;- ;6,000 ;- ;90 ;3 ;- ;11,000 ;120 ;12 ;20 ;4 ;257 ;123 ;332 ;- ;107 ;;
Främmestad ;;;- ;;;;;- ;;- ;;;;;;;- ;;;;;- ;- ;;;;;;;;- ;;;
Hyringa ;12 ;353 ;- ;1,350 ;24 ;2,450 ;;-- ;8,100 ;- ;1,890 ;31,995 ;1.890 ;600 ;60 ;1,765 ;- ;8,100 ;3,200 ;192 ;20 ;- ;- ;131 ;19 ;52 ;3 ;354 ;135 ;481 ;- ;125 ;;
Levene, del ;;170 ;;150 ;;1,120 ;;- ;6,400 ;- ;600 ;4,000 ;1,000 ;900 ;;850 ;- ;900 ;;30 ;;- ;- ;65 ;;20 ;;160 ;60 ;170 ;- ;80 ;;
Längjum ;10 ;135 ;;450 ;18 ;2,205 ;;;5,000 ;- ;1,140 ;20,450 ;1,000 ;150 ;50 ;675 ;;2,700 ;3,800 ;144 ;15 ;;- ;;;;8 ;100 ;45 ;100 ;;25 ;;
Malma ;;;- ;1,726 ;;;854 ;- ;8,810 ;...... ;960 ;49,175 ;;612 ;- ;;- ;10,316 ;2,500 ;;;;;152 ;12 ;26 ;10 ;442 ;178 ;430 ;;35 ;;
Sparlösa ;;315 ;;3,420 ;50 ;3,840 ;;- ;15,012 ;- ;2,400 ;64,125 ;3,297 ;3,465 ;;2,205 ;- ;13,680 ;12,000 ;150 ;80 ;;14,000 ;250 ;50 ;;;400 ;200 ;700 ;;300 ;;
Tengene ;;1,500 ;;1,500 ;40 ;2,400 ;;- ;9,000 ;;2,700 ;22,500 ;7,500 ;1,800 ;- ;7,500 ;;20,520 ;;135 ;90 ;;- ;120 ;80 ;30 ;15 ;300 ;120 ;480 ;;90 ;;
Trökörna ;;120 ;- ;4.500 ;;;2,000 ;- ;8,260 ;- ;500 ;27,900 ;1,880 ;800 ;- ;720 ;- ;31,500 ;- ;- ;;- ;;140 ;40 ;16 ;10 ;250 ;100 ;350 ;- ;50 ;;
Viste bärad ;22 ;2,863 ;- ;15,611 ;188 ;18,499 ;;- ;79,542 ;- ;12,136 ;309,345 ;19,747 ;11,257 ;110 ;15,065 ;- ;103,836 ;21,500 ;801 ;162 ;- ;25,000 ;1,185 ;205 ;221 ;65 ;2,769 ;1,114 ;3,653 ;- ;922 ;;
