Table: Table_1

1. ;34. ;35. ;36. ;;37. ;38. ;39, ;40. ;41 ;44. ;45 ;46 ;47. ;48 ;49. ;50. ;51. ;;52. ;53. ;54 ;55. ;66. ;67. ;68. ;69, ;70. ;71. ;72 ;73 ;74 ;75 ;
Flo ;625 ;375 ;10 ;;285 ;- ;3,100 ;50 ;- ;4,250 ;272 ;14,940 ;;975 ;34.950 ;2,186 ;750 ;;30 ;1,140 ;;6,200 ;200 ;40 ;27 ;12 ;500 ;150 ;325 ;- ;160 ;;
Friel* ;140 ;75 ;;;60 ;;545 ;;- ;300 ;;8,480 ;- ;1,300 ;9,480 ;420 ;150 ;;;240 ;- ;2,160 ;70 ;12 ;28 ;;100 ;60 ;260 ;;50 ;;
Hêle ;720 ;180 ;;;295 ;;680 ;38 ;- ;1.000 ;- ;3,700 ;- ;480 ;14,860 ;2,160 ;360 ;;90 ;1,160 ;- ;2.720 ;75 ;16 ;24 ;;200 ;73 ;260 ;;;;
Karaby ;;244 ;;;80 ;;700 ;10 ;- ;300 ;- ;3,200 ;- ;340 ;6.510 ;;488 ;;;300 ;;2,800 ;80 ;12 ;;;;85 ;150 ;;;;
Nas ;;2S0 ;10 ;;60 ;;2,270 ;20 ;;1,400 ;;6,840 ;;600 ;14,800 ;- ;690 ;;50 ;300 ;- ;9,080 ;180 ;20 ;22 ;18 ;520 ;148 ;530 ;;;400 ;
;;300 ;;;200 ;;900 ;10 ;;280 ;- - ;5,250 ;- - ;720 ;12,600 ;- ;450 ;;;600 ;;3,600 ;75 ;15 ;;;140 ;75 ;170 ;;;;
Särestad' ;;390 ;;;215 ;=== ;1,080 ;25 ;;1,050 ;-- ;4,600 ;- - ;440 ;9,600 ;480 ;600 ;;90 ;600 ;- ;4,300 ;140 ;35 ;26 ;8 ;210 ;155 ;395 ;;135 ;;
Tun ;300 ;300 ;;;500 ;;2,000 ;;;3,000 ;;7,200 ;;1,200 ;12,000 ;900 ;600 ;;;2,000 ;- ;8,000 ;130 ;14 ;40 ;14 ;500 ;80 ;320 ;;180 ;;
Täng ;500 ;350 ;8 ;;80 ;;600 ;;;1,250 ;;4,200 ;;600 ;9,300 ;1,500 ;600 ;;6 ;320 ;..... ;2.400 ;70 ;20 ;12 ;2 ;100 ;40 ;125 ;;30 ;;
;220 ;183 ;3 ;;210 ;- ;575 ;;;430 ;15 ;3.050 ;- ;420 ;22,020 ;660 ;366 ;;6 ;630 ;- ;1,725 ;78 ;16 ;44 ;13 ;157 ;90 ;320 ;;60 ;;
Summa Ase härad ;2,665 ;2,627 ;88 ;;1,985 ;-- ;12,450 ;153 ;- ;13,260 ;287 ;56,460 ;- ;7,075 ;146,120 ;8,306 ;5,054 ;;278 ;7,290 ;- ;42,985 ;1,098 ;200 ;243 ;83 ;2,522 ;956 ;2,855 ;3 ;1,000 ;- ;
Bjerby ;170 ;160 ;- ;;125 ;- ;515 ;20 ;-- ;900 ;- ;3,180 ;- ;500 ;16,000 ;680 ;640 ;;- ;500 ;- ;3,090 ;69 ;15 ;24 ;3 ;156 ;93 ;250 ;- ;60 ;;
Bäreberg ;;70 ;;;;;1,000 ;;- ;180 ;- ;2,400 ;- ;50 ;24,000 ;;280 ;;;;;6,000 ;100 ;16 ;12 ;5 ;350 ;60 ;360 ;;50 ;- ;
Flakeberg ;600 ;220 ;15 ;;130 ;- ;10,200 ;60 ;;750 ;;3,600 ;;640 ;24,075 ;1,200 ;280 ;;15 ;200 ;- ;40,800 ;125 ;25 ;25 ;8 ;200 ;125 ;400 ;;150 ;- ;
Främmest ;;;;;;;;;;;- ;;- ;;;;;;;;- ;;;;;;;;;- ;;- ;
Hyringa ;315 ;100 ;12 ;;353 ;- ;1,350 ;24 ;;2,100 ;;6,000 ;;1,500 ;28,000 ;1,200 ;400 ;;48 ;1,400 ;- ;8,100 ;131 ;19 ;52 ;3 ;354 ;135 ;480 ;- ;125 ;- ;
Levene, del* ;200 ;150 ;;;170 ;;150 ;6 ;- ;960 ;- ;4.800 ;- ;500 ;3,200 ;800 ;600 ;;;680 ;- ;900 ;65 ;7 ;20 ;;160 ;60 ;170 ;- ;80 ;;
Längjum ;200 ;25 ;10 ;;135 ;- ;450 ;18 ;- ;1,890 ;- ;3.700 ;;950 ;16,300 ;800 ;100 ;;40 ;500 ;- ;2,700 ;38 ;4 ;9 ;3 ;100 ;45 ;100 ;;;;
Malma' ;;100 ;- ;;;- ;1,726 ;;- ;730 ;- ;8,000 ;- ;800 ;39,000 ;;400 ;;;;- ;10,300 ;152 ;12 ;26 ;10 ;442 ;178 ;430 ;- ;;;
Sparlõsa ;500 ;480 ;- ;;360 ;;3,240 ;50 ;- ;2,500 ;- ;7,940 ;;1,120 ;39,510 ;2,000 ;960 ;;- ;1,800 ;- ;25,920 ;245 ;47 ;12 ;10 ;420 ;170 ;650 ;- ;270 ;;
Tengene ;1,500 ;300 ;- ;;1,500 ;- ;1,500 ;40 ;- ;1,800 ;- ;6,700 ;- ;2,450 ;18.000 ;6,000 ;1,200 ;;- ;6,000 ;- ;9,000 ;120 ;30 ;30 ;15 ;300 ;120 ;480 ;-- ;90 ;;
Trökörna ;230 ;160 ;- ;;120 ;- ;4,500 ;;- ;1,500 ;- ;6.800 ;- ;500 ;20,000 ;920 ;640 ;;;480 ;- ;27,000 ;140 ;40 ;16 ;10 ;250 ;100 ;350 ;- ;50 ;--- ;
Summa Viste härad ;3,715 ;1,765 ;37 ;;2,893 ;- ;24,631 ;218 ;- ;13,310 ;-- ;53,120 ;- ;9,010 ;228,055 ;13,600 ;5,500 ;;103 ;11,560 ;- ;133,810 ;1,183 ;215 ;226 ;71 ;2,732 ;1,086 ;3,670 ;- ;935 ;- ;
Gösslunda ;250 ;600 ;;6 ;675 ;- ;1,340 ;36 ;- ;1,850 ;- ;2,150 ;;800 ;20,130 ;650 ;1,200 ;;26 ;2,075 ;- ;2,890 ;146 ;18 ;;3 ;250 ;140 ;200 ;- ;60 ;- ;
Hjerpãs, Höra och Vedum ;150 ;300 ;;;1,000 ;- ;2,736 ;43 ;;6,300 ;;9,000 ;250 ;900 ;66,000 ;750 ;300 ;;- ;5,000 ;- ;10,944 ;300 ;50 ;;12 ;700 ;200 ;470 ;- ;200 ;;
Häggesled ;170 ;140 ;;1 ;148 ;- ;418 ;3 ;- ;170 ;- ;1 680 ;- ;174 ;8.260 ;370 ;490 ;;3 ;600 ;- ;1.037 ;80 ;17 ;;2 ;262 ;70 ;120 ;- ;31 ;;
Kedum Lavad* ;120 ;157 135 ;- ;;157 ;- ;267 ;40 ;- ;1,200 ;- ;2,268 ;- ;126 ;9,072 ;360 ;130 270 ;;- ;630 ;- ;1,512 ;67 ;14 ;;;124 ;70 90 ;156 ;;18 ;;
;;;- ;;;- ;912 ;- ;;1,150 ;- ;2,700 ;- ;650 ;17,070 ;;;;- ;90 ;- ;4,100 ;73 ;14 ;;;150 ;;200 ;- ;120 ;;
Levene, del* ;400 ;230 350 ;- ;;284 ;- ;1,260 ;- ;- ;2,640 ;- ;7,920 ;- ;1,570 ;15,170 ;1.200 ;440 ;;- ;1.850 ;- ;5.040 ;110 ;16 ;;;260 ;50 ;350 ;- ;;130 ;
Mellby ;550 ;;- ;;330 ;- ;1,330 ;- ;;720 ;- ;2,595 ;- ;1,200 ;10.600 ;1.100 ;350 ;;- ;330 ;- ;6,650 ;100 ;30 ;;;;80 ;260 ;;;;
Otterstad med Senäte* ;700 ;860 ;;;550 ;;2,700 ;;;6,900 ;- ;8,250 ;- ;3.400 ;18,150 ;2,100 ;1,720 ;;- ;1,650 ;- ;8,100 ;170 ;16 ;120 ;10 ;580 ;220 ;580 ;;160 ;;
Rackeby ;400 ;187 ;;;200 ;;1,110 ;15 ;;4,800 ;- ;2,835 ;;3,200 ;15,794 ;1,400 ;736 ;;;820 ;;5,550 ;108 ;12 ;;;330 ;129 ;125 ;;50 ;;
Râda' ;71 ;250 ;;5 ;;- ;2,140 ;;;2,400 ;- ;5,700 ;230 ;2,300 ;16,720 ;210 ;500 ;;20 ;;- ;6.420 ;135 ;32 ;46 ;12 ;380 ;148 ;200 ;;120 ;;
Skalunda ;120 ;340 ;;;365 ;- ;330 ;5 ;- ;700 ;- ;1.300 ;- ;600 ;3,000 ;200 ;350 ;;;400 ;- ;700 ;60 ;8 ;9 ;;70 ;46 ;50 ;;14 ;;
Slädene ;200 ;600 ;- ;;300 ;;5,500 ;5 ;;3,200 ;;11,200 ;;1,000 ;25,200 ;800 ;2,400 ;;- ;1,800 ;;22,000 ;170 ;60 ;25 ;24 ;400 ;300 ;300 ;;170 ;;
Strö ;200 ;300 440 ;15 ;;1,000 ;- - ;1,300 270 ;10 31 ;- ;2,580 ;- ;2,700 6,000 ;- - ;1,600 ;6,120 ;600 ;600 900 ;;- 60 ;4,000 900 ;- - ;3,900 1.180 ;88 194 ;22 31 ;46 66 ;;240 290 ;170 120 ;300 140 ;;125 100 ;;
Sunnersberg Söne ;- ;300 ;40 ;;225 600 ;;;40 ;;3,240 ;;;;1,720 ;3,500 ;;;;80 ;;;1.500 ;;;30 ;;;;600 ;;200 ;200 ;
;;;;;;- ;750 ;;-- ;1,650 ;- ;3,750 ;- ;1,200 ;17,010 ;;1,000 ;;;1,800 ;- ;;120 ;50 ;;;300 ;60 ;;;;;
Tranum ;450 ;540 ;30 ;;450 ;;726 ;42 ;;1,824 ;- ;5,400 ;;3,240 ;37,200 ;2,600 ;340 ;;150 ;2,600 ;- ;4.356 ;115 ;20 ;80 ;;225 ;120 ;160 ;;75 ;;
Tâdene* ;72 ;408 ;- ;;72 ;- ;793 ;16 ;- ;970 ;;2,100 ;- ;890 ;10,500 ;220 ;816 ;;;290 ;- ;2,900 ;56 ;10 ;36 ;;120 ;50 ;170 ;;40 ;- ;
Ufvered ;250 ;300 ;- ;;300 ;- ;1.000 ;16 ;- ;2,250 ;- ;4,950 ;- ;450 ;18,000 ;750 ;600 ;;- ;900 ;- ;3.000 ;170 ;25 ;;;300 ;130 ;300 ;;150 ;;
Väla med Gillstad ;;95 ;- ;;350 ;- ;1,200 ;;- ;1,080 ;60 ;1,930 ;- ;612 ;13,072 ;;95 ;;- ;700 ;- ;3.600 ;172 ;35 ;;;;180 ;300 ;- ;50 ;- ;
Ásaka ;;100 ;;;80 ;- ;1,300 ;10 ;- ;2.750 ;- ;4,820 ;- ;720 ;20,100 ;;400 ;;- ;240 ;- ;5,200 ;90 ;32 ;;;173 ;81 ;190 ;- ;47 ;;
Örslõsa' ;1.000 ;940 ;;;320 ;- ;4,800 ;;- ;3,300 ;- ;4,250 ;- ;1,800 ;8.600 ;3.000 ;1,880 ;;- ;1.280 ;- ;18,400 ;165 ;60 ;;;;190 ;320 ;- ;170 ;- ;
Summa K&llands härad ;5,103 ;7,562 ;97 ;;7,434 ;- ;32,182 ;312 ;- ;51,874 ;60 ;93,998 ;X 480 ;28,152 ;359,268 ;16,310 ;15,447 ;;339 ;27,955 ;- ;118,979 ;2,689 ;572 ;832 ;121 ;5,939 ;2,644 ;5.491 ;- ;2,020 ;- ;
Eling ;756 ;19 ;- ;;;- ;1,669 ;;- ;440 ;65 ;2,500 ;280 ;375 ;16,712 ;3,024 ;76 ;;;- ;- ;10,000 ;100 ;12 ;96 ;;186 ;85 ;79 ;- ;56 ;- ;
Essunga ;260 ;40 ;;2 ;2 ;- ;5,000 ;90 ;- ;50 ;40 ;3,600 ;85 ;100 ;34,500 ;500 ;40 ;;4 ;2 ;- ;40.000 ;170 ;30 ;30 ;;600 ;80 ;400 ;- ;170 ;- ;
Foglum ;136 ;21 ;;2 ;;;2,644 ;70 ;- ;470 ;23 ;3,700 ;35 ;1,474 ;32,150 ;534 ;158 ;;7 ;;;10,555 ;88 ;17 ;30 ;;250 ;155 ;150 ;- ;80 ;- ;
Hällum ;490 ;200 ;- ;;300 ;-- ;600 ;;- ;420 ;20 ;2,670 ;;2,060 ;16,800 ;1,960 ;800 ;;- ;1,200 ;- ;3,600 ;60 ;5 ;16 ;;200 ;56 ;115 ;- ;;- ;
Kedum ;180 ;80 ;- ;;100 ;;2,400 ;80 ;- ;900 ;;5,400 ;50 ;420 ;38,680 ;540 ;160 ;;- ;300 ;- ;14,400 ;130 ;22 ;18 ;;380 ;140 ;200 ;- ;100 ;- ;
Lekisa ;440 ;100 ;;2 ;23 ;- ;1,932 ;- ;- ;210 ;25 ;3,500 ;100 ;1,200 ;26,270 ;1,760 ;400 ;;9 ;90 ;- ;11,600 ;70 ;15 ;20 ;;476 ;238 ;476 ;- ;50 ;- ;
Levene, del' ;60 ;50 ;- ;;30 ;;500 ;;;420 ;- ;2.000 ;;350 ;12,000 ;240 ;200 ;;- ;120 ;- ;3,000 ;44 ;4 ;;;65 ;25 ;;- ;50 ;- ;
Long ;300 ;300 ;;;500 ;;2.500 ;25 ;- ;2,400 ;- ;7,000 ;;2,500 ;33,000 ;1,200 ;600 ;;- ;2,000 ;- ;20,000 ;125 ;20 ;20 ;;270 ;140 ;320 ;- ;60 ;;
Naum ;275 ;92 ;;3 ;;- ;3.230 ;125 ;- ;228 ;60 ;6,935 ;60 ;250 ;30,257 ;825 ;276 ;;9 ;20 ;- ;22,610 ;115 ;40 ;16 ;5 ;370 ;160 ;342 ;- ;91 ;;
Ryda med Halfas ;900 ;600 ;- ;;1,190 ;- ;1,500 ;- ;- ;1,680 ;;8,000 ;;1.500 ;46,400 ;3,600 ;2.400 ;;- ;4,700 ;- ;9,000 ;310 ;55 ;24 ;10 ;550 ;250 ;300 ;;200 ;;
Sandbäck eller Kyrk&e* ;19 ;;;;;;600 ;;- ;;10 ;1.800 ;90 ;80 ;7.200 ;;;;- ;;- ;3,600 ;86 ;5 ;;;;30 ;50 ;;20 ;;
Skarstad ;135 ;518 ;- ;;950 ;;1,475 ;8 ;- ;1.525 ;- ;4.785 ;- ;1.116 ;29,648 ;538 ;1,554 ;;- ;3.567 ;- ;10,725 ;313 ;38 ;14 ;;168 ;172 ;331 ;;108 ;;
Yara ;600 ;100 ;;;200 ;- ;800 ;25 ;;2,000 ;- ;7,000 ;;250 ;26,000 ;2,500 ;350 ;;;1,200 ;- ;3,000 ;126 ;10 ;;;250 ;50 ;;- ;50 ;;
Ásaka ;95 ;55 ;;;;;2,100 ;;- ;100 ;;3,300 ;50 ;350 ;24,000 ;380 ;220 ;;;60 ;- ;12,600 ;110 ;50 ;40 ;;265 ;265 ;330 ;- ;65 ;;
Onum ;400 ;90 ;;3 ;520 ;- ;2,420 ;- ;- ;630 ;- ;6.350 ;100 ;750 ;34,800 ;1.600 ;360 ;;12 ;2.000 ;- ;14,500 ;168 ;13 ;10 ;6 ;300 ;110 ;450 ;- ;50 ;- ;
Summa Barne bärad ;5,046 ;2,268 ;12 ;;3,835 ;- ;29,370 ;423 ;- ;11,487 ;243 ;68,540 ;800 ;12,775 ;408,417 ;19,277 ;7,606 ;;41 ;15,259 ;- ;189,190 ;1.965 ;336 ;344 ;76 ;4,421 ;1.956 ;3.588 ;- ;1,171 ;- ;
Broby ;;25 ;- ;;;- ;320 ;4 ;- ;440 ;- ;2.620 ;- ;140 ;10,050 ;- ;120 ;;- ;28 ;- ;1.280 ;37 ;4 ;16 ;2 ;70 ;40 ;100 ;- ;30 ;- ;
Hangelösa ;315 ;189 ;;;945 ;- ;3,150 ;16 ;- ;882 ;- ;10.647 ;- ;1.260 ;21,420 ;1,260 ;945 ;;- ;3.150 ;- ;16.380 ;200 ;;30 ;;430 ;120 ;300 ;- ;200 ;;
Hasslösa ;;160 ;;;305 ;;1.122 ;32 ;;2.400 ;;6.720 ;- ;720 ;21,360 ;;800 ;;- ;1,220 ;- ;4,488 ;120 ;12 ;16 ;10 ;340 ;100 ;200 ;;80 ;;
Husaby ;350 ;125 ;;2 ;;;8.000 ;;- ;1.020 ;86 ;4.560 ;- ;2,750 ;6,900 ;1,050 ;500 ;;8 ;;;48.000 ;144 ;25 ;116 ;;384 ;180 ;620 ;;96 ;;
Hofby ;50 ;200 ;;5 ;100 ;5 ;1,250 ;10 ;- ;900 ;9 ;1,800 ;- ;1,200 ;13,500 ;100 ;400 ;;15 ;200 ;10 ;3.500 ;90 ;15 ;16 ;4 ;330 ;70 ;150 ;1 ;4 ;;





