Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;;16. ;17. ;18. ;19. ;20. 21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
Ilarja ;13.34 ;106 ;25 ;;4 ;870 ;1,050 ;1,800 ;;100 ;;;16 ;;;3 ;;;;105 ;;;;35 ;;115 ;;;1,660 ;60 ;- ;3,843 ;;;
Homb ;8,75 ;25 ;16 ;3,000 ;11 ;878 ;680 ;750 ;;;;;;;;;;;;;10 ;;50 ;265 ;;;;;695 ;;;2,568 ;;;
Karleby ;30,13 ;102 ;15 ;3,000 ;10 ;1,685 ;295 ;10 ;10 ;;;;;;;;;;1,025 ;X 150 ;;;;;;;;;980 ;20 ;790 ;7.840 ;490 ;130 ;
Kjelfvened ;9,50 ;;;1,024 ;4 ;674 ;80 ;;;;;;;;;;;;;;;;;114 ;;;;;550 ;;605 ;1,714 ;240 ;120 ;
Kougslena ;29,75 ;;;4,033 ;;2,600 ;433 ;100 ;;;;;;;;;;;;;;10 ;;;;;;;2,835 ;;189 ;10,804 ;;;
Korsberga ;20,63 ;;;8,331 ;7 ;2,300 ;1,780 ;3,000 ;;;;;;;;;;;;;;;100 ;831 ;;;;;2,274 ;;;5,045 ;;;
Kylingared, del ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;913 ;;;
Kymbo ;13,75 ;39 ;22 ;3,000 ;;550 ;900 ;650 ;;;;;;;;;;;;;;16 ;100 ;;;;;;;;;2,520 ;;;
Luttra ;20,38 ;45 ;;3,300 ;;910 ;40 ;;;;;;;;;;;;;60 ;;;20 ;80 ;;126 ;;;;;580 ;3,510 ;;12 ;
Mularp ;12,88 ;22 ;27 ;3,600 ;17 ;978 ;103 ;2GO ;;;;;;;;;;;;100 ;39 ;4 ;;200 ;11 ;;20 ;;490 ;;260 ;3,100 ;140 ;125 ;
Nykyrka ;10,38 ;49 ;21 ;4,000 ;15 ;500 ;1,140 ;1,071 ;;;;;;;;;;;;112 ;;;;20 ;;100 ;;;;45 ;;639 ;325 ;;
Nas ;11,25 ;27 ;;1,696 ;4 ;1,042 ;525 ;125 ;;;;;;;;;;115 ;;;;;115 ;345 ;;;;;;;138 ;2,979 ;138 ;;
Ottrava ;8,94 ;;;1,411 ;;500 ;300 ;360 ;;;;;;;;;;;216 ;50 ;;;;;;;;;;;13 ;2,700 ;;10 ;
