Table: Table_1

;17,581 ;32,200 ;2,466 ;4,013 ;506 ;381 ;7,770 ;32.115 ;210 ;17,255 ;17,149 ;667 ;71,714 ;545 ;3,280 ;247,533 ;1.963 ;8,791 ;
;76,099 ;194,407 ;10,364 ;24,202 ;3,421 ;1,208 ;46,692 ;127,118 ;454 ;75,081 ;53,686 ;2,397 ;340,560 ;3,115 ;54,271 ;1,541,439 ;33,775 ;35,141 ;
;120 ;220 ;14 ;12 ;4 ;- ;10 ;310 ;- ;100 ;180 ;- ;400 ;- ;18 ;1,500 ;200 ;24 ;
;175 ;228 ;;20 ;16 ;- ;;439 ;- ;;;- ;800 ;- ;60 ;2,000 ;- ;;
;281 ;533 ;29 ;110 ;10 ;1 ;240 ;481 ;- ;280 ;195 ;- ;1,053 ;- ;175 ;3,270 ;- ;140 ;
;205 ;234 ;5 ;56 ;2 ;- ;194 ;352 ;- ;188 ;45 ;- ;920 ;- ;;3,125 ;- ;32 ;
;110 ;710 ;5 ;50 ;65 ;- ;250 ;450 ;- ;110 ;;;GGO ;;710 ;5,000 ;;30 ;
;110 ;200 ;5 ;130 ;30 ;- ;30 ;135 ;- ;125 ;8 ;X 10 ;600 ;G5 ;- ;1,640 ;25 ;20 ;
;1,001 ;2.125 ;58 ;378 ;127 ;1 ;721 ;2,167 ;- ;803 ;428 ;10 ;4,433 ;05 ;963 ;10,535 ;225 ;246 ;
;77,100 ;196,532 ;10,422 ;24.640 ;3,548 ;1,209 ;47,406 ;120,285 ;454 ;75,684 ;54,114 ;2,407 ;345,002 ;3,180 ;55,234 ;1,557,974 ;34,000 ;35,387 ;
;73,698 ;189,761 ;10,521 ;24.002 ;3,509 ;1,208 ;46,927 ;115,123 ;1,028 ;71,664 ;50,962 ;2.252 ;336,130 ;3,431 ;51.518 ;1,456,425 ;34,078 ;33,400 ;





