Table: Table_1

1. ;2. ;3. ;4. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26, ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Skara ;20,50 ;205 ;17 ;55 ;1,948 ;40 ;573 ;95 ;92 ;16 ;2 ;- ;- ;- ;- ;274 ;506 ;76 ;101 ;25 ;1 ;226 ;452 ;- ;287 ;260 ;- ;944 ;- ;195 ;2,315 ;305 ;155 ;
Sköfde ;;50 ;12 ;23 ;1,260 ;68 ;79 ;8 ;33 ;9 ;;- ;- ;- ;- ;187 ;284 ;9 ;48 ;;- ;168 ;374 ;- ;187 ;50 ;- ;855 ;- ;;3.094 ;- ;40 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falköping ;20.67 ;22 ;20 ;15 ;1.740 ;150 ;49 ;2 ;12 ;4 ;1 ;3 ;4 ;- ;1 ;106 ;700 ;70 ;170 ;70 ;- ;249 ;530 ;- ;100 ;- ;- ;600 ;- ;1,500 ;5,300 ;- ;30 ;
Hjo ;3.25 ;- ;7 ;4 ;765 ;35 ;160 ;8 ;21 ;8 ;;5 ;9 ;- ;- ;125 ;200 ;3 ;140 ;25 ;- ;30 ;140 ;- ;102 ;12 ;10 ;612 ;75 ;12 ;1,650 ;12 ;24 ;
Summa för städerna ;68.42 ;877 ;103 ;154 ;7,431 ;301 ;3.255 ;186 ;207 ;45 ;3 ;34 ;27 ;I ;1 ;1.025 ;2.130 ;162 ;489 ;145 ;1 ;673 ;2,284 ;- ;776 ;482 ;10 ;4.183 ;75 ;1,777 ;15,659 ;317 ;264 ;
Summa för hela länet ;4,783,20 ;19,430 ;12,705 ;5,630 ;504.828 ;103,544 ;342,850 ;2,608 ;9,534 ;2.857 ;272 ;2,300 ;4.274 ;1,143 ;108 ;70,894 ;182.130 ;10,644 ;23.912 ;3,436 ;1.333 ;45.332 ;112.945 ;548 ;68.447 ;52,966 ;1.926 ;332,178 ;3,505 ;49,972 ;1,371,273 ;38,269 ;36,358 ;





