Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26 ;27 ;28. ;29, ;30 ;31. ;32. ;33. ;34. ;35 ;
Broddetorp ;6.88 ;23 ;19 ;1.215 ;15 ;412 ;129 ;659 ;;23 ;;- ;- ;20 ;;;;;;;;;30 ;100 ;;53 ;20 ;;321 ;;70 ;1.336 ;;40 ;
Brunnhem ;12,75 ;;;1.402 ;;;;;;;10 ;;;;;;;;;;;;;;;120 ;;;800 ;;378 ;1.575 ;378 ;94 ;
Dala ;28,69 ;;;3.000 ;;2.150 ;100 ;;;;21 ;;1 ;36 ;25 ;;;;;;;;;600 ;;;;;1,500 ;;;5.300 ;;150 ;
Edasa ;6.75 ;;;4.020 ;11 ;1.430 ;;2.454 ;;10 ;;;;;;;;;;;;;;322 ;;;;;1,291 ;;;3.074 ;;;
Falköpings landssocken ;10,63 ;;;1,000 ;;375 ;220 ;;;;;;;;;;;;;;;;;;;;;;;;;2,000 ;200 ;25 ;
Friggeraker ;17,88 ;;;1,915 ;10 ;1.000 ;895 ;;;;;;;;;;;;;;;;1,000 ;182 ;10 ;;;;500 ;;;4,000 ;;;
Gudhem ;21 ;;;3,507 ;10 ;2,170 ;300 ;1,027 ;;;;;;;;;;;;;;;465 ;400 ;;2G0 ;;;1,159 ;;;4,624 ;;;
Hornborga ;15.63 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H&kantorp ;6,25 ;;;1.000 1.150 ;11 ;515 451 ;460 ;;;;;;;;;;;;;;;;15 ;20 ;;90 ;;;;;;945 ;;;
Högstena ;14,75 ;75 ;;1,096 ;4 ;547 ;355 182 ;340 ;;;;;;;;;;;;;;;;34 ;;;;;405 554 ;;;1,500 3,717 ;;;
Kyrketorp ;10,63 ;;;850 ;10 ;600 ;239 ;;;;;;;;;;;;;;;;36 ;100 ;;;;;453 ;;;1,890 ;;;
Ljunghem ;9,38 ;;;2.626 ;10 ;531 ;629 ;1,456 ;;;;;;;;;;;;;;;35 ;100 ;;100 ;;;661 ;;;1.764 ;;;
Râdene ;17,38 ;;;2.838 ;28 ;775 ;755 ;500 ;;;;;;;;;;;;;;;;101 ;;150 ;;;;;;2.742 ;;;
Segerstad ;24,75 ;63 ;44 ;1,450 ;;720 ;217 ;508 ;;;;;;;;;;;;;;;;150 ;;130 ;;;;;;2.205 ;;;
Stenstorp ;15,50 ;53 ;;1,860 ;7 ;961 ;200 ;692 ;;;;;;;;;;;;;;;;144 ;;;;;;;;4.212 ;;;
Sjögerstad ;19,38 ;45 ;;3,459 ;75 ;1,570 ;1,055 ;759 ;;;;;;;;;;;;;;;;285 ;;300 ;;;;;;3,811 ;;;
Sätuna ;11,88 ;23 ;13 ;1.598 ;4 ;444 ;760 ;390 ;;;;;;;;;;;;;;;;;;;;;;;;1,400 ;;;
Torbjörntorp ;11,88 ;;;1,902 ;8 ;1,272 ;617 ;5 ;;;;;;;;;;;;;;;124 ;322 ;;120 ;;;;;;3,276 ;;;
Tunhem ;12 ;;12 ;1,300 ;20 ;500 ;200 ;580 ;;;;;;;;;;;;;;;;36 ;;80 ;;;500 ;;;2,000 ;;;
Ugglum ;15,50 ;;;2,000 ;10 ;600 ;250 ;10 ;;;;;;;;;;;;;;;;10 ;;90 ;;;240 ;;300 ;1,680 ;;;
Valtorp ;14.50 ;28 ;20 ;1.987 ;15 ;837 ;430 ;707 ;;;;;;;;;;;;;;;;69 ;;210 ;;;634 ;;156 ;2.842 ;;;
Gudhems bärad ;371,75 ;1,023 ;568 ;55,803 ;375 ;24,142 ;10,633 ;15,375 ;67 ;499 ;205 ;10 ;71 ;291 ;108 ;9 ;3,577 ;9,273 ;351 ;1,500 ;324 ;59 ;2.528 ;4,272 ;12 ;3,583 ;449 ;- ;19,314 ;38 ;5,711 ;67,251 ;2,259 ;1,479 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolum ;32.88 ;96 ;29 ;3,175 ;21 ;1.243 ;576 ;1,335 ;22 ;59 ;11 ;;20 ;66 ;13 ;;280 ;544 ;24 ;51 ;;3 ;;94 ;;240 ;30 ;;1,512 ;;645 ;3.012 ;1,400 ;144 ;
Eggby ;20,75 ;33 ;39 ;;;1,565 ;170 ;;5 ;14 ;;;;;2 ;1 ;203 ;417 ;44 ;79 ;;1 ;288 ;300 ;;203 ;50 ;;1,250 ;;400 ;2,950 ;200 ;200 ;
Häggum ;17,28 ;;;4,050 ;10 ;1,670 ;785 ;1,585 ;;;;;;;;;150 ;625 ;10 ;100 ;35 ;;200 ;400 ;- ;150 ;20 ;- ;640 ;- ;80 ;5,000 ;;60 ;
Istrum ;8,25 ;13 ;53 ;4.000 ;15 ;1,125 ;165 ;2,620 ;;;;;;;;;150 ;380 ;20 ;120 ;;10 ;110 ;300 ;- ;150 ;50 ;- ;850 ;- ;60 ;3,330 ;;100 ;
Lundby ;25,63 ;45 ;58 ;2.500 ;12 ;1,450 ;450 ;480 ;;;;;;;;;320 ;350 ;75 ;150 ;25 ;5 ;185 ;200 ;;280 ;42 ;;1,960 ;;840 ;3.420 ;100 ;400 ;
Skarke ;38.50 ;;;4.275 ;29 ;1,490 ;1.120 ;1,716 ;65 ;;;;;;;;295 ;450 ;62 ;150 ;15 ;5 ;25 ;104 ;- ;294 ;40 ;- ;1,770 ;- ;550 ;2,290 ;100 ;500 ;
Skärf ;15,81 ;;65 ;4.360 ;60 ;600 ;300 ;3.400 ;;;;;;;;;150 ;235 ;15 ;50 ;;;100 ;200 ;- ;150 ;;;700 ;;175 ;1,890 ;;67 ;
Stenum ;15,88 ;32 ;61 ;5,130 ;60 ;560 ;1,120 ;3.390 ;;;;;;;;;125 ;220 ;10 ;80 ;;;120 ;1,100 ;- ;125 ;45 ;;575 ;;70 ;1,890 ;;45 ;
Ving ;10.18 ;20 ;;2.055 ;55 ;340 ;360 ;1,300 ;;;;;;;;;100 ;90 ;;;;;100 ;260 ;;100 ;;;570 ;;;720 ;;;
Oglunda ;13.56 ;36 ;14 ;1,730 ;7 ;430 ;670 ;200 ;9 ;;;;;;;;120 ;230 ;20 ;60 ;;;;15 ;- ;120 ;30 ;;575 ;;130 ;1,140 ;1.000 ;;
Valle barad ;198,17 ;428 ;458 ;31,275 ;269 ;10,473 ;5,716 ;16,026 ;102 ;224 ;43 ;5 ;229 ;190 ;22 ;2 ;1,893 ;3,541 ;285 ;890 ;90 ;24 ;1,128 ;2,973 ;- ;1.812 ;375 ;- ;10.402 ;- ;3.020 ;25,642 ;2.800 ;1,614 ;
Bredvik ;17.88 ;133 ;90 ;6,800 ;15 ;1,742 ;80 ;1,000 ;46 ;135 ;;;48 ;87 ;;;400 ;350 ;14 ;170 ;;8 ;30 ;180 ;;396 ;;;1.950 ;170 ;;4,770 ;- ;10 ;
Forsby ;;47 ;19 ;2.250 ;15 ;1,500 ;250 ;485 ;;;;;;;;;350 ;360 ;;40 ;15 ;;250 ;400 ;- ;350 ;120 ;;1,900 ;;;2,600 ;;90 ;
Fogeläs, norra ;38.38 ;65 ;91 ;10.990 ;136 ;3.068 ;1.522 ;6.264 ;;;;;;;;;570 ;985 ;14 ;280 ;40 ;14 ;38 ;616 ;- ;511 ;126 ;;2.400 ;;126 ;6,031 ;200 ;100 ;
sodra ;38.31 ;142 ;;6,343 ;56 ;2,150 ;800 ;3,400 ;;;;;;;;;2,490 ;685 ;16 ;235 ;;;27 ;150 ;- ;228 ;535 ;;15.183 ;370 ;X 756 ;38,050 ;X 1,260 ;630 ;
Gredbäck ;23,81 ;88 ;95 ;7.030 ;32 ;2,100 ;1,050 ;3,852 ;;;;;;;;;409 ;647 ;2 ;260 ;;;;394 ;- ;379 ;;;1,985 ;138 ;;4,700 ;;13 ;
Hagelberg ;;27 ;32 ;3,448 ;;860 ;240 ;2,340 ;11 ;;;;;;;;140 ;315 ;;;;;100 ;100 ;;127 ;50 ;;;;;2,760 ;;;
Hjo landsförsamling ;20,50 ;93 ;51 ;6.666 ;16 ;2.200 ;2,350 ;2,100 ;;;;;;;;;300 ;830 ;;150 ;;;200 ;400 ;;800 ;;;1.675 ;;;3,465 ;X ;;
Kvrkefalla ;45 ;266 ;128 ;9,000 ;45 ;2,700 ;600 ;3,000 ;56 ;133 ;;;;;;;450 ;650 ;25 ;95 ;;;105 ;1,000 ;;450 ;63 ;;2.394 ;;;7,560 ;;;
Kyrketorp ;14.63 ;29 ;36 ;3.669 ;12 ;1,650 ;350 ;1,657 ;;;16 ;;;;;;200 ;450 ;49 ;200 ;;;;500 ;- ;230 ;120 ;;1.100 ;;;3,600 ;;;
Mofalla ;10,13 ;57 ;23 ;2.800 ;2 ;656 ;480 ;1.762 ;;44 ;;;;;;;152 ;108 ;;30 ;;3 ;;;- ;152 ;;;;;;1,000 ;;;
Ryd ;8,88 ;;30 ;1,750 ;4 ;560 ;100 ;1,096 ;3 ;1 ;;;;;;;88 ;200 ;12 ;60 ;;;;140 ;- ;60 ;20 ;;;;378 ;1,134 ;;;
Sköfde landsförsamling Suntetorp och Sventorp ;24,19 27,35 ;95 112 ;137 117 ;7.000 ;36 ;1.150 4.880 ;220 ;2.325 ;11 ;94 ;;;;;;;267 618 ;450 1.402 ;15 ;100 150 ;;;;46 1,240 ;- - ;267 605 ;150 160 ;;1,303 2 900 ;;40 ;3.420 9.790 ;;;
Varola ;16,25 ;96 ;;6,237 ;30 ;2.389 ;386 ;2,791 ;7 ;;;;;;;;461 ;732 ;15 ;;;;;579 ;;473 ;147 ;;1,981 ;;4 ;5,876 ;;;
Versas ;25,50 ;95 ;49 ;9,530 ;;3,700 ;1,850 ;3,980 ;;65 ;;2 ;;;;;;1.000 ;40 ;150 ;;10 ;800 ;900 ;- ;600 ;200 ;;2,900 ;;;9,000 ;;180 ;
Vamb ;13 ;;26 ;1.500 ;20 ;580 ;150 ;750 ;20 ;11 ;;;;;;;100 ;180 ;;40 ;;;;130 ;;;;;600 ;;;1.800 ;;;
Om, Bjerby och Amundtorp ;6,13 ;27 ;24 ;1,903 ;10 ;884 ;114 ;895 ;;;;;;;;;180 ;240 ;10 ;16 ;8 ;;242 ;;;180 ;;;811 ;;;2.160 ;;;
Käkinds härad ;344.44 ;1,366 ;1,083 ;86,416 ;437 ;32,169 ;10,542 ;37,697 ;165 ;739 ;139 ;20 ;121 ;429 ;120 ;11 ;7.850 ;9,584 ;266 ;2,101 ;179 ;112 ;1,754 ;6,789 ;- ;5,388 ;1.817 ;124 ;40.946 ;919 ;1,334 ;107,716 ;1,555 ;1,608 ;
Acklinga ;15 ;32 ;;3.596 ;10 ;9GG ;460 ;1,030 ;3 ;8 ;2 ;;1 ;12 ;4 ;;230 ;411 ;2 ;50 ;2 ;;25 ;100 ;;143 ;;;619 ;;;3,639 ;;;
Augarp (ifr Tidaholm) ;11.56 ;;;11.039 ;G ;829 ;970 ;;;;;;;;;;115 ;330 ;;45 ;;;;188 ;;218 ;;;518 ;;;2,145 ;;;
Baltak ;12,25 ;;;3.610 ;;695 ;332 ;1.290 ;;18 ;;;;;2 ;;122 ;263 ;4 ;60 ;;;20 ;90 ;- ;128 ;10 ;;;;;2,340 ;;;
Bottnaryd ;;;;557 ;1 ;186 ;300 ;400 ;;;;;;;;;36 ;90 ;- ;30 ;;;;12 ;;;;;;;;873 ;;;
Biurbäck ;16.13 ;46 ;39 ;5,000 ;6 ;750 ;1.000 ;1,500 ;;;;;;;;;142 ;360 ;;100 ;;;;46 ;;100 ;;;;;;4.000 ;;;
Brandstorp ;16,84 ;76 ;;7.810 ;10 ;1.600 ;1,400 ;1.500 ;20 ;;;;;;;;320 ;500 ;;200 ;;;;290 ;2 ;320 ;;;;;;3,000 ;;;
Daretorp ;17.13 ;111 ;;15,017 ;13 ;1.145 ;1,325 ;3,275 ;11 ;;;;;;;;240 ;435 ;;95 ;;;;;- ;;;;;;;4.574 ;;;
Dimbo ;26,63 ;50 ;;2.440 ;18 ;1.886 ;196 ;340 ;;;;;;;;;300 ;660 ;25 ;65 ;10 ;;;400 ;;;;;;;;6.100 ;;;
Falköpings landsförsamling ;14,50 ;14 ;;1.900 ;3 ;1.470 ;50 ;;;;;;;;;;120 ;460 ;20 ;30 ;;;;350 ;;;;;;;;3,465 ;;;
Fridene ;12,75 ;57 ;54 ;4.862 ;13 ;1.420 ;492 ;2.500 ;13 ;;;;;;;;236 ;476 ;;16 ;200 ;;100 ;;;;;;;;;3,000 ;;;
Fröjered ;17.69 ;92 ;28 ;11,115 ;29 ;2,712 ;2,120 ;6,254 ;27 ;;;;;;;;500 ;700 ;25 ;275 ;12 ;12 ;;200 ;;500 ;130 ;;2.186 ;;;5,775 ;;;
Gerum ;9,75 ;26 ;;1.284 ;;482 ;400 ;;2 ;;;;;;;;78 ;215 ;10 ;39 ;;2 ;;60 ;;;;;;;X 126 ;1,839 ;;;
Gustaf Adolf (Fiskebäck) ;23,04 ;140 ;101 ;11.445 ;25 ;1.520 ;1.900 ;8,000 ;;;;;;;;;220 ;480 ;;180 ;;;;440 ;;;;;1.260 ;;;2.600 ;;;
Habo ;45,35 ;352 ;329 ;26.043 ;28 ;3.750 ;9,165 ;13,100 ;52 ;235 ;;;;;;;650 ;1.537 ;10 ;337 ;;21 ;;540 ;;;;;3,900 ;;;13.400 ;;;
Hvarf ;12 ;21 ;10 ;1,917 ;;700 ;;83 ;;;;;;;;;100 ;250 ;10 ;100 ;10 ;;90 ;;;;;;600 ;;;3.500 ;;;
Hvalstad ;26,75 ;48 ;31 ;4.000 ;15 ;2.500 ;500 ;1.000 ;;;;;;;;;400 ;800 ;;200 ;;10 ;120 ;500 ;;;;;2.205 ;;;5.040 ;;;
Hângsdala ;16 ;20 ;17 ;1,964 ;5 ;1,285 ;219 ;;;;16 ;;;;;;214 ;307 ;7 ;107 ;5 ;3 ;15 ;X 413 ;;214 ;;;1.342 ;;;3,219 ;;;





