Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14 ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34, ;35. ;
Wättak ;9,50 ;18 ;14 ;1,100 ;2 ;298 ;250 ;550 ;- ;- ;- ;- ;- ;- ;- ;- ;100 ;70 ;- ;50 ;- ;2 ;- ;20 ;- ;58 ;- ;- ;460 ;38 ;- ;920 ;63 ;- ;
Yllestad ;21,56 ;46 ;55 ;6,400 ;50 ;800 ;900 ;800 ;26 ;33 ;1 ;- ;32 ;8 ;1 ;- ;200 ;300 ;- ;100 ;- ;- ;- ;100 ;- ;100 ;- ;- ;950 ;- ;125 ;3,800 ;- ;- ;
Ásaka ;23,50 ;33 ;40 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;1,036 ;- ;444 ;4,747 ;- ;- ;
Asled ;30.13 ;92 ;99 ;3,012 ;31 ;1,210 ;395 ;310 ;6 ;73 ;5 ;1 ;4 ;26 ;1 ;1 ;119 ;704 ;10 ;95 ;X 26 ;3 ;119 ;5 ;- ;119 ;12 ;12 ;724 ;- ;813 ;5,040 ;38 ;63 ;
Summa ;723,89 ;2.252 ;1,678 ;154,754 ;368 ;48.303 ;33,896 ;53.247 ;298 ;1.237 ;212 ;32 ;386 ;399 ;122 ;18 ;7,101 ;16,479 ;496 ;3,497 ;249,5 ;164 ;1,775 ;7,104 ;X 10 ;6,180 ;733 ;119 ;40.552 ;591 ;6,438 ;152,659 ;6,288 ;1,283 ;
Frökinds hilrad. a) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brismene ;12,50 ;54 ;28 ;- ;5 ;- ;- ;100 ;3 ;- ;- ;- ;- ;4 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;163 ;132 ;1,756 ;- ;- ;- ;
Börstig ;13,94 ;61 ;27 ;- ;3 ;390 ;750 ;1,000 ;4 ;54 ;1 ;- ;- ;2 ;- ;- ;40 ;175 ;2 ;37 ;1 ;2 ;- ;2 ;- ;40 ;- ;21 ;252 ;25 ;157 ;3,150 ;207 ;13 ;
Grolanda ;;- ;- ;- ;;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;478 ;31 ;524 ;2,520 ;126 ;25 ;
Kinneved ;30,75 ;90 ;43 ;9,000 ;6 ;1,277 ;2,600 ;20 ;18 ;68 ;1 ;2 ;X 25 ;20 ;1 ;1 ;88 ;916 ;9 ;X 66 ;5 ;4 ;1,500 ;20 ;8 ;194 ;- ;- ;630 ;- ;819 ;7,560 ;- ;13 ;
Smula ;7,68 ;21 ;4 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;
W&rkumla ;18,25 ;34 ;16 ;- ;3 ;301 ;536 ;10 ;6 ;24 ;1 ;- ;10 ;9 ;- ;- ;X 39 ;190 ;2 ;85 ;2 ;2 ;4 ;- ;- ;40 ;- ;- ;283 ;- ;189 ;2.016 ;- ;13 ;
Summa ;83,07 ;260 ;118 ;9,000 ;17 ;1,968 ;3,856 ;1,130 ;31 ;146 ;3 ;2 ;35 ;35 ;1 ;1 ;167 ;1,281 ;6 ;188 ;8 ;8 ;1,504 ;22 ;8 ;274 ;- ;21 ;1,806 ;188 ;3.445 ;15,246 ;333 ;64 ;
Wadsbo hirrad. b) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amnehärad ;32.19 ;282 ;212 ;12,758 ;15 ;2,647 ;3,670 ;6,426 ;26 ;224 ;1 ;1 ;- ;30 ;- ;- ;523 ;696 ;24 ;100 ;3 ;46 ;20 ;840 ;- ;390 ;60 ;-- ;2,318 ;- ;126 ;6,136 ;189 ;630 ;
