Table: Table_1

1. ;2. ;8. ;4. ;5 ;6. ;7. ;8. ;9. ;10. ;11 ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27. ;28. ;29 ;30. ;31. ;32 ;33. ;34. ;35. ;
Borgunda ;33 ;77 ;42 ;6.480 ;16 ;2,104 ;320 ;600 ;20 ;66 ;;;42 ;;;;320 ;;23 ;128 ;;;10 ;600 ;;320 ;- ;- ;1,600 ;;453 ;4,428 ;512 ;92 ;
Broddetorp ;6.88 ;;;2.314 ;;;;;;;;;;;;;;;;;;;;;;;;;264 ;;;1,184 ;;;
Brunnhem ;12,75 ;;;2,083 ;;;;;;;;;;;;;;;;;;;;;;;;;806 ;;200 ;1,670 ;400 ;;
Dala ;28,69 ;;;5,092 ;50 ;2.150 ;100 ;700 ;;;;;;;;;;;;;;;;;;280 ;30 ;;1,500 ;;400 ;5,400 ;;100 ;
Ed&sa ;6,85 ;;;4.020 ;;1,620 ;125 ;2,000 ;;;;;;;;;;;5 ;;;;;;;300 ;50 ;;1,367 ;;;3,750 ;;26 ;
Falköpings landsförsamling ;;;;1,157 ;;;;;;;;;;;;;;;;;;;;;;;;;;;200 ;2,000 ;;;
Friggeräker ;17,88 ;;;4.629 ;;1,030 ;;;;;;;;;;;;;;;;;;;;;12 ;;;;500 ;2,000 ;;15 ;
Gudhem. ;;;;;;;;950 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21 ;;;3.703 ;;2.252 ;178 ;;X ;;;;;;;;;;;100 ;;;400 ;;;270 ;70 ;;1,110 ;;900 ;4,600 ;;32 ;
Hornborga ;15,68 6.81 ;;;;;800 ;158 ;;;;;;;;;;;;;;;;;;;;;;440 ;20 ;;2,000 1.550 ;;;
Hakantorp Högstena ;14,75 ;;;1,389 ;;535 547 ;175 182 ;;;;;;;;;;;500 ;15 ;150 ;;;37 ;;;;;;440 ;;270 ;4.158 ;310 ;40 ;
;;;;2,777 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrketorp ;10,63 ;;;;;536 ;154 ;;;;;;;;;;;370 ;8 ;35 ;;;;170 ;;;;;618 ;;320 ;2,800 ;150 ;40 ;
Ljunghem ;9,75 ;;;3,617 ;;715 ;500 ;1,338 ;;;;;;;;;;230 ;;12 ;;;;169 ;;150 ;;;648 ;;;1.800 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Râdene Segerstad ;17,88 19 ;;;2,314 5,786 ;28 ;900 730 ;730 210 ;500 ;;;;;;;;;;331 245 ;10 ;;;;;;;;;;720 703 ;;234 ;2.875 2,204 ;133 ;30 30 ;
