Table: Table_1

Bellefore ;- ;- ;;- ;535 ;;;;;- ;88 ;- ;189 ;- ;- ;8,966 ;;189 ;;- ;- ;2,268 ;- ;- ;;- ;- ;;;24 ;;122 ;5 ;192 ;69 ;140 ;- ;27 ;- ;
Binneberg ;- ;X 30 ;;- ;330 ;;;;;;150 ;- ;960 ;- ;180 ;1,500 ;- ;100 ;- ;60 ;- ;1,650 ;- ;- ;;- ;500 ;4,500 ;- ;9 ;1 ;32 ;2 ;50 ;10 ;40 ;;30 ;- ;
Björsäter m. Gullsüters rotar ;X 30 ;X 100 ;;- ;2.850 ;33 ;;;- ;;2,280 ;190 ;5,440 ;;1,200 ;40,500 ;- ;800 ;;700 ;- ;11,400 ;2,000 ;- ;66 ;- ;2,000 ;1,500 ;- ;80 ;10 ;220 ;10 ;400 ;200 ;;- ;;- ;
Bück ;- ;- ;;- ;560 ;48 ;;;-- ;;2.760 ;;4,146 ;- ;160 ;23,760 ;- ;480 ;- ;- ;- ;1,680 ;100 ;- ;- ;48 ;4,000 ;5,460 ;- ;25 ;;116 ;6 ;340 ;58 ;340 ;;50 ;- ;
Böja ;6 ;X 31 ;;- ;567 ;95 ;- ;;- ;;441 ;- ;1,713 ;- ;126 ;4,158 ;693 ;226 ;- ;X 95 ;- ;3,780 ;- ;- ;- ;- ;;- ;;19 ;5 ;36 ;1 ;110 ;45 ;125 ;2 ;30 ;- ;
Carlsborg ;;;;;25 ;;;;- ;;- ;- ;69 ;;- ;88 ;- ;- ;- ;;- ;138 ;- ;- ;;- ;;;;21 ;;7 ;;10 ;;11 ;- ;23 ;- ;
Ek ;- ;25 ;;;650 ;X 95 ;;;;;525 ;50 ;4,500 ;;G25 ;6,300 ;- ;375 ;;X 200 ;- ;4,550 ;600 ;- ;100 ;15 ;500 ;10,422 ;;38 ;2 ;140 ;4 ;260 ;65 ;;- ;75 ;- ;
Ekby ;X 8 ;20 ;;- ;1.150 ;;;;;- ;1,434 ;;5,000 ;;G5 ;15,100 ;;1,430 ;27 ;X 85 ;- ;3,300 ;- ;- ;X 4 ;4,50 ;524 ;1,750 ;- ;67 ;6 ;200 ;4 ;287 ;155 ;297. ;- ;40 ;- ;
Ekeskog ;- ;;;- ;380 ;24 ;- ;;- ;;400 ;- ;4,000 ;;;14,400 ;- ;150 ;;;- ;760 ;- ;- ;;10 ;-- ;- ;;17 ;3 ;150 ;3 ;240 ;120 ;300 ;- ;X 20 ;- ;
Elgaras ;- ;- ;;;4,550 ;84 ;- ;;- ;- ;59 ;- ;8,820 ;- ;- ;37,200 ;- ;144 ;- ;- ;- ;16,200 ;- ;- ;252 ;100 ;- ;12,000 ;;35 ;1 ;120 ;4 ;260 ;39 ;360 ;- ;75 ;- ;
Flistad ;- ;;;;756 ;19 ;;;;;1.260 ;- ;2,520 ;;75 ;5,670 ;1,386 ;945 ;;;- ;2,520 ;- ;- ;- ;- ;- ;- ;;60 ;15 ;160 ;4 ;120 ;110 ;200 ;- ;100 ;- ;
Finnerödja ;X 40 ;10 ;;- ;6,500 ;;;;- ;- ;140 ;15 ;6,200 ;15 ;90 ;13,500 ;;320 ;1GO ;X 30 ;- ;26,000 ;2,000 ;- ;300 ;120 ;- ;10,000 ;;100 ;;390 ;13 ;850 ;300 ;1,200 ;X 6 ;200 ;- ;
Fägred ;X 30 ;- ;;- ;5,100 ;250 ;;;;- ;4,800 ;;13,600 ;;- ;59,500 ;- ;7,350 ;;;- ;15,300 ;- ;- ;1,250 ;- ;- ;- ;- ;160 ;9 ;350 ;12 ;660 ;340 ;470 ;- ;140 ;- ;
Fredsberg ;- ;- ;;- ;2,240 ;130 ;;;- ;- ;4,800 ;- ;14,400 ;;240 ;95,760 ;- ;300 ;;;- ;4,480 ;100 ;- ;;130 ;6,600 ;180,000 ;- ;82 ;8 ;450 ;6 ;1,500 ;300 ;1,000 ;;150 ;;
Frösved ;- ;30 ;;- ;1,800 ;40 ;- ;;- ;- ;470 ;- ;3,245 ;- ;810 ;19,270 ;- ;448 ;- ;150 ;- ;8,100 ;- ;- ;90 ;20 ;- ;17,290 ;- ;55 ;8 ;179 ;5 ;224 ;90 ;170 ;- ;60 ;- ;
Götlunda ;X 6 ;50 ;;- ;1,260 ;;- ;;- ;- ;840 ;- ;2,520 ;;;13,440 ;- ;1,200 ;24 ;200 ;- ;6,720 ;- ;- ;- ;- ;- ;- ;- ;35 ;3 ;220 ;4 ;310 ;190 ;500 ;- ;120 ;- ;
Halna ;19 ;12 ;;;2,362 ;50 ;- ;;- ;- ;264 ;- ;2,260 ;38 ;25 ;14,112 ;- ;680 ;X 126 ;31 ;- ;7,560 ;200 ;- ;37 ;11,20 ;;6,000 ;- ;16 ;;120 ;4 ;300 ;210 ;300) ;- ;X 90 ;- ;
Hjälstad ;- ;- ;;- ;1,134 ;;;;- ;- ;2,568 ;- ;6,174 ;;;30,870 ;- ;941 ;- ;- ;- ;6,840 ;- ;- ;;- ;- ;158 ;- ;25 ;12 ;160 ;6 ;220 ;120 ;207 ;- ;90 ;- ;
Hassled, Berga och Färed ;- ;X 300 ;;;6.000 ;50 ;;;;;7,000 ;- ;12,000 ;;3,500 ;70,000 ;- ;1,000 ;;2,000 ;- ;36,000 ;15,000 ;- ;150 ;35 ;- ;100,000 ;- ;180 ;X 30 ;500 ;19 ;1,300 ;300 ;1,000 ;- ;340 ;- ;
Hofva och Fagerlid ;- ;44 ;;;6.484 ;1.320 ;;;-- ;;1.719 ;-- ;15,040 ;- ;371 ;64,984 ;;1.168 ;- ;113 ;- ;35,103 ;1,500 ;- ;;133 ;- ;44,352 ;- ;75 ;- ;507 ;35 ;1,287 ;830 ;1,199 ;- ;420 ;- ;
Horn ;X 34 ;41 ;;- ;680 ;;- ;;- ;;185 ;- ;1,287 ;X 20 ;;8,540 ;55 ;19 ;47 ;163 ;;1,338 ;200 ;- ;7 ;4,60 ;X 30 ;4,300 ;- ;38 ;2 ;120 ;2 ;135 ;52 ;67 ;- ;22 ;- ;
Leksberg ;- ;19 ;;X - ;1,096 ;80 ;- ;;- ;;1,518 ;- ;3,615 ;- ;302 ;13,545 ;- ;352 ;;107 ;- ;5,203 ;- ;- ;- ;- ;;8.744 ;;48 ;;146 ;8 ;340 ;70 ;;- ;25 ;- ;
Lyrestad ;- ;- ;;- ;3,180 ;35 ;;;- ;;1,070 ;;5,695 ;- ;450 ;45,120 ;- ;840 ;;- ;- ;15,900 ;- ;- ;;- ;;;- ;63 ;11 ;435 ;9 ;657 ;421 ;;- ;407 ;- ;
Locketorp ;- ;X 80 ;;X - ;3,000 ;;;;- ;- ;300 ;150 ;2,500 ;- ;;16,000 ;- ;450 ;;- ;- ;9,000 ;- ;- ;;- ;- ;15,000 ;- ;40 ;15 ;100 ;5 ;180 ;100 ;;- ;50 ;- ;
Lerdala. ;- ;X 100 ;;- ;3,000 ;;- ;;- ;;1.500 ;;6,000 ;- ;1,200 ;9,000 ;X 1,600 ;240 ;- ;- ;- ;18,000 ;- ;- ;;5 ;- ;- ;- ;58 ;2 ;100 ;6 ;250 ;X 50 ;300 ;2 ;150 ;;
Lâstad ;X 19 ;12 ;;- ;945 ;19 ;- ;;- ;- ;252 ;;945 ;- ;126 ;4,725 ;- ;220 ;37 ;X 37 ;- ;2,000 ;50 ;- ;19 ;3 ;- ;;- ;47 ;4 ;130 ;2 ;92 ;28 ;80 ;- ;90 ;- ;
Mo ;X - ;- ;;- ;434 ;- ;- ;;- ;- ;4,032 ;- ;2,425 ;- ;;19,845 ;- ;756 ;- ;- ;- ;6.804 ;- ;- ;- ;- ;- ;;- ;25 ;6 ;110 ;6 ;185 ;60 ;110 ;- ;70 ;- ;
Mölltorp ;- ;;;;6,000 ;X 50 ;- ;;;;120 ;150 ;6,400 ;X 90 ;;15,000 ;- ;70 ;;;- ;24,000 ;- ;- ;X 100 ;X 40 ;;16,000 ;;56 ;4 ;86 ;11 ;520 ;150 ;400 ;- ;80 ;- ;
Odensaker ;X 6 ;76 ;;- ;2.520 ;;- ;;;;831 ;- ;6.426 ;- ;952 ;12,600 ;- ;378 ;X 24 ;304 ;- ;10,080 ;- ;- ;;- ;;;- ;50 ;4 ;130 ;3 ;240 ;105 ;200 ;- ;40 ;- ;
Ransberg ;- ;- ;;- ;6,300 ;;- ;;;;189 ;- ;9,576 ;504 ;;28,224 ;- ;189 ;- ;;- ;25,200 ;- ;- ;150 ;- ;;- ;- ;90 ;X 6 ;260 ;8 ;460 ;320 ;1,100 ;- ;X 150 ;- ;
Svenneby ;- ;- ;;- ;756 ;;- ;;- ;- ;3.629 ;;4,851 ;- ;;24,192 ;- ;227 ;- ;- ;- ;5,292 ;- ;- ;;- ;;- ;;20 ;5 ;90 ;5 ;170 ;130 ;100 ;- ;60 ;- ;
Säter ;- ;;;- ;2,640 ;18 ;;;- ;;250 ;- ;8,070 ;;1,102 ;11,600 ;- ;755 ;- ;;- ;13,120 ;- ;- ;79 ;- ;- ;15,000 ;- ;45 ;6 ;132 ;5 ;240 ;165 ;;- ;70 ;- ;
Torsö ;- ;150 ;;- ;7,045 ;;- ;;- ;- - ;475 ;- ;5,660 ;- ;2,400 ;21,800 ;- ;420 ;;1,320 ;- ;26,700 ;14,600 ;- ;- ;- ;5,000 ;12,500 ;- ;49 ;2 ;212 ;11 ;345 ;172 ;;- ;300 ;- ;
Tidavad ;37 ;74 ;;- ;384 ;;;;- ;;471 ;;1,338 ;- ;;3,894 ;- ;453 ;74 ;151 ;- ;768 ;- ;- ;;- ;;- ;- ;30 ;8 ;90 ;2 ;190 ;30 ;X ;- ;13 ;- ;
Tived ;3 ;- ;;- ;4,812 ;72 ;- ;;- ;- ;3 ;24 ;1,050 ;X 150 ;48 ;5,200 ;- ;100 ;10 ;- ;- ;14,321 ;X 600 ;- ;200 ;X 30 ;;- ;- ;70 ;3 ;100 ;8 ;350 ;120 ;X 725 ;- ;78 ;- ;
Trästena ;- ;12 ;;- ;945 ;;el - ;;- ;;1.512 ;- ;3935 ;- ;;17,583 ;- ;300 ;- ;X 60 ;- ;1.890 ;- ;- ;12 ;- ;- ;60 ;- ;56 ;4 ;106 ;6 ;262 ;X 148 ;;- ;45 ;- ;
Timmersdala ;- ;31 ;;- ;500 ;X 25 ;- ;;- ;- ;353 ;- ;1.512 ;- ;100 ;3,780 ;655 ;150 ;- ;93 ;- ;3,465 ;- ;- ;100 ;- ;- ;- ;- ;19 ;4 ;34 ;1 ;98 ;X 35 ;X 120 ;- ;23 ;;
Ullervad ;- ;18 ;;-- ;2,205 ;14 ;- ;;- ;- ;826 ;- ;3.544 ;- ;38 ;13,182 ;- ;354 ;- ;57 ;- ;6,615 ;- ;- ;- ;8.04 ;- ;29.600 ;- ;51 ;4 ;198, ;5 ;300 ;X 150 ;X 300 ;- ;75 ;- ;





