Table: Table_1

1 ;36. ;37. ;38 ;;39. ;40 ;41. ;;42. ;43 ;44 ;45 ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53 ;54. ;55. ;56. ;57 ;58. ;59. ;60. ;61 ;62. ;66. ;67. ;68. ;69. ;70 ;71. ;72. ;73 ;74 ;75 ;
Grolanda ;- ;50 ;;- ;3.874 ;;;;;;- ;;;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;70 ;25 ;140 ;12 ;76 ;40 ;300 ;- ;25 ;- ;
Kinneved ;;40 ;;;3,000 ;50 ;;;-- ;- ;- ;;G10 ;;4,000 ;26,000 ;;- ;- ;160 ;- ;9,000 ;- ;- ;;18 ;- ;- ;- ;100 ;30 ;125 ;6 ;300 ;250 ;200 ;- ;60 ;- ;
Smula ;- ;-- ;;;275 ;6 ;;;- ;- ;--- ;- ;289 ;;272 ;1,647 ;70 ;- ;- ;;- ;1,650 ;- ;- ;;6 ;- ;1,220 ;;20 ;2 ;30 ;2 ;61 ;15 ;61 ;- ;15 ;- ;
Wârkumla ;- ;- ;;;630 ;12 ;;;;;- ;;945 ;;882 ;6,800 ;;25 ;- ;;- ;3,937 ;- ;- ;;7 ;- ;;- ;48 ;6 ;72 ;2 ;128 ;70 ;144 ;- ;72 ;- ;
Äsarp ;- ;- ;;- ;631 ;;;;- ;- ;-- ;-- ;75 ;- ;44 ;326 ;12 ;2 ;;- ;- ;378 ;- ;- ;;- ;200 ;- ;- ;3 ;;4 ;;8 ;3 ;8 ;- ;;- ;
Summa, Frökinds härad ;6 ;X 99 ;;- ;9,662 ;83 ;- ;;;- ;- ;113 ;2,574 ;88 ;6,256 ;50.338 ;302 ;102 ;40 ;207 ;- ;22.915 ;- ;- ;;81 ;200 ;1.220 ;- ;336 ;88 ;567 ;32 ;1,013 ;562 ;1,138 ;- ;263 ;- ;
Amnehärad ;- ;X 40 ;;- ;4,450 ;100 ;- ;;- ;- ;240 ;;14,000 ;- ;400 ;30,000 ;450 ;2,000 ;- ;200 ;- ;22,250 ;- ;- ;-- ;15 ;600 ;21,000 ;- ;80 ;2 ;250 ;6 ;700 ;300 ;900 ;- ;300 ;- ;
Beateberg ;-- ;50 ;;- ;2,300 ;50 ;- ;;;;1.080 ;- ;5,320 ;- ;- ;23,225 ;-- ;480 ;- ;400 ;- ;9,200 ;- ;- ;3.200 ;- ;- ;900 ;;52 ;;254 ;10 ;335 ;335 ;670 ;- ;170 ;- ;
Berg ;- ;X 40 ;;- ;2,200 ;;- ;;- ;- ;1,680 ;- ;5,220 ;- ;2,100 ;14,800 ;300 ;370 ;- ;160 ;- ;10,000 ;- ;-- ;;- ;- ;;;62 ;6 ;130 ;6 ;285 ;130 ;330 ;- ;120 ;- ;
