Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. - ;12. ;13. ;14. ;15 ;16. ;17. ;18. ;19. ;20 ;21. ;22, ;23 ;24, ;25. ;26. ;27. ;28 ;29, ;30. ;31, ;32 ;33. ;34. ;35 ;
Broddetorp ;6.88 ;21 ;24 ;1.215 ;15 ;412 ;129 ;659 ;;;;;;18 ;;;;167 ;;;3 ;;36 ;186 ;;70 ;27 ;;290 ;;63 ;1,161 ;;;
Brunnhem ;12,75 ;;;1,402 ;20 ;655 ;;;;;;;;;;;;;;;;;;;;;;;806 ;;;1,550 ;378 ;113 ;
Dala ;28.69 ;;;3,000 ;50 ;2,150 ;100 ;;;;;;;;;;;;;;;;;;;;;;1,500 ;;;5,300 ;;150 ;
Edasa ;6,75 ;;;4,020 ;12 ;1,400 ;150 ;2.458 ;;;;;;;;;;;;;;;;;;;;;1,260 ;;;3,074 ;;;
Falköpings landsförsamling ;10.03 ;;;1.050 ;;260 ;240 ;544 ;;;;;;X ;;;;;;;;;;;;;;;;;;2,394 ;;126 ;
Friggerâker ;17,88 ;;;1,915 ;10 ;1,000 ;895 ;;;;;;;;;;;;;;;;;1.000 ;;;;;500 ;;;4,000 ;;;
Gudhem ;21 ;;;3.507 ;10 ;2,161 ;306 ;1,030 ;;;;;;;;;;;;;;;;400 ;;;;;1,059 ;;;4.536 ;;;
Hornborga ;15.63 ;;;1.000 ;11 ;515 ;460 ;;;;;;;;;;;;;;;;;;;X ;;;;;;630 ;1.071 ;;
Hâkantorp ;6,25 ;;;1,150 ;;448 ;358 ;340 ;;;;;;;;;;;;;;;;;;;;;;;;1,550 ;;20 ;
;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Högstena ;14,75 ;;;1,096 ;;547 ;182 ;;;;;;;;;;;;;;;;;;;;;;;;283 ;3,717 ;260 ;94 ;
Kyrketorp ;10.63 ;;;850 ;10 ;600 ;239 ;;;;;;;;;;;;;;;;;;;;;;;;;1,890 ;;;
Ljunghem ;9.38 ;;;2,626 ;10 ;531 ;629 ;1.456 ;;;;;;;;;;;;;;;;;;;;;;;;1,600 ;;;
