Table: Table_1

Râdened ;17.38 ;;;2.837 ;27 ;765 ;765 ;500 ;;;;;;;;;;;;;;;;;;;;;;;130 ;2.736 ;;25 ;
Segerstad ;24.75 ;63 ;;1,450 ;5 ;720 ;217 ;508 ;;;;;;;;;;;;;;;;;;;;;;;236 ;2,205 ;132 ;;
Stenstorp ;15,50 ;;;1.860 ;;952 ;210 ;698 ;;;;;;;;;;;;;;;;;;;;;;;;4.420 ;;;
Sjogerstad ;19,38 ;45 ;;3,459 ;75 ;1,570 ;1,055 ;759 ;;;;;;;;;;;;;;;;;;;;;;;;3,812 ;;252 ;
Satuna ;11,88 ;;;1,598 ;;438 ;766 ;390 ;;;;;;;;;;;;;;;;;;;;;;;296 ;1,200 ;387 ;120 ;
Torbjörntorp ;11,88 ;;;1.902 ;§ ;1,272 ;617 ;;;;;;;;;;;;;;;;;;;;;;;;189 ;3.276 ;189 ;31 ;
Tunhem ;12 ;48 ;;1.300 ;20 ;500 ;200 ;780 ;;;;;;;;;;260 ;;;;;;;;;;;;;360 ;1,800 ;;;
Ugglum ;15.50 ;;;1,630 ;10 ;580 ;2G0 ;;;;;;;;;;;340 ;;;;;;;;;;;;;315 ;1.575 ;;;
Valtorp ;14.50 ;28 ;;1,987 ;15 ;835 ;432 ;706 ;;;;;;;;;;406 ;;;;;;;;;;;;;;2,840 ;X ;;
Gudhems harad ;371,75 ;1,030 ;555 ;55,482 ;367 ;23,223 ;11,461 ;16,527 ;71 ;593 ;237 ;12 ;21 ;255 ;153 ;25 ;3,569 ;8,476 ;320 ;1,401 ;256 ;45 ;1,628 ;5,014 ;12 ;3.541 ;407 ;410 ;18,613 ;25 ;5,501 ;65,004 ;3,671 ;1,572 ;
Bolum ;32.88 ;;39 ;3,175 ;21 ;1.230 ;589 ;1,336 ;21 ;59 ;11 ;- ;;;;;;541 ;;43 ;5 ;;;87 ;;247 ;;;1.460 ;;654 ;3,025 ;X 1,340 ;130 ;
Eggby ;20,75 ;;;;;1,515 ;170 ;;;;;;;;;;;417 ;;79 ;;;;;;;;;1.200 ;;402 ;2.880 ;290 ;210 ;
Häggum ;17.28 ;;;4.050 ;10 ;2.260 ;800 ;;;;;;;;;;;350 ;;100 ;40 ;10 ;250 ;100 ;;;;;620 ;;105 ;4.000 ;250 ;60 ;
Istrum ;8,25 ;;;4,000 ;15 ;1,240 ;160 ;2.700 ;;;;;;;;;;380 ;;120 160 ;100 ;X ;110 ;300 ;;150 270 ;;;830 ;;;3,420 ;;100 ;
Lundby ;25,63 ;;;2,500 ;12 ;1,500 ;500 ;480 ;;;;;;;;;;450 449 ;;148 ;15 ;5 ;186 ;125 ;;294 ;;;1,700 ;;838 ;3,450 ;;400 ;
Skarke ;38.13 ;;;4,275 ;29 ;1,400 ;1,130 ;1,716 ;65 ;;;;;;;;;;;;;;;;;;;;1.600 ;- ;600 ;2,600 ;X 100 ;400 ;
Skärf. ;15.31 ;;;4,460 ;60 ;600 ;300 ;3,400 ;;;;;;;;;;;;;;;100 ;200 ;;150 ;;;700 ;;175 ;1.800 ;;67 ;
Stenum ;15,88 ;;;5,130 ;60 ;560 ;1,120 ;3,390 ;;;;;;;;;;220 ;10 ;;;;120 ;1,000 ;;125 ;;;575 ;- ;70 ;1.890 ;;;
Ving ;10,13 ;;;2.055 ;55 ;340 ;360 ;1.300 ;;;;;;;;;;;;;;;100 ;260 ;;100 ;;;570 ;- ;70 ;720 ;;;
Oglunda ;13,56 ;;;1,730 ;7 ;420 ;680 ;200 ;;;;;;;;;;225 ;20 ;60 ;;;;15 ;- ;115 ;25 ;;550 ;- ;130 ;1,100 ;1.000 ;;
Valle harad ;197,80 ;417 ;449 ;31,275 ;X 269 ;11,095 ;5,609 ;14,522 ;104 ;224 ;27 ;6 ;206 ;139 ;75 ;14 ;1,930 ;3,357 ;271 ;880 ;168 ;18 ;866 ;2,312 ;- ;1,591 ;352 ;- ;9,805 ;- ;3,107 ;24,975 ;2.986 ;1,510 ;
Brevik ;17,88 ;133 ;84 ;6,800 ;;1.320 ;172 ;5.294 ;46 ;13% ;1 ;;;;1 ;;300 ;362 ;;130 ;;18 ;GO ;150 ;- ;300 ;;- ;1,500 ;- ;- ;3,096 ;;;
Forsby ;11 ;48 ;;2.250 ;;1.700 ;250 ;285 ;;;;;;;;;;3GO ;;;;;295 ;500 ;;250 ;125 ;;2,000 ;;;2,800 ;;100 ;
Fogelas, norra ;38.38 ;;;10,990 ;136 ;3,068 ;1.522 ;6.264 ;;;;;;;;;;985 ;;280 ;;14 ;;616 ;- ;511 ;126 ;- ;2,400 ;75 ;126 ;6,031 ;200 ;100 ;
Fogelas, sodra Grefbäck ;38,31 23,81 ;140 38 ;95 ;6,343 7,038 ;56 32 ;2,000 2,100 ;950 1,054 ;3.337 3,852 ;;;;;;;;;437 409 ;678 G47 ;;;;;;170 394 ;- ;425 379 ;92 ;;3,018 1.985 ;138 ;63 - ;9,100 4,700 ;X 190 ;50 13 ;
Hagelberg ;;27 ;32 ;3.448 ;8 ;860 ;240 ;2.340 ;;;;;;;;;;315 ;;;;;100 ;100 ;- ;127 ;50 ;;795 ;;;2,760 ;;;
Hio landsförsamling ;20.50 ;93 ;;6,666 ;16 ;2,200 ;2,350 ;2,100 ;;;;;;;;;300 ;830 ;;150 ;;;200 ;400 ;;300 ;;37 ;1,675 ;;;3,465 ;X ;25 ;
Kvrkefalla ;45 ;266 ;128 ;9.000 ;45 ;2,700 ;600 ;3.000 ;;;;;;;;;X 450 ;650 ;;95 ;;;105 ;1,000 ;;450 ;;;2,394 ;;;7.560 ;;63 ;
yrketorp ;14,63 ;29 ;36 ;3.669 ;12 ;1,650 ;350 ;1.657 ;;;;;;;;;;450 ;;200 ;;;;500 ;;230 ;120 ;;1.100 ;;X 30 ;3,600 ;;;
Mofalla ;10.31 ;57 ;;2.500 ;;456 ;442 ;1,600 ;;;;;;;;;;108 200 ;;30 60 ;;;;8 140 ;- ;152 60 ;;;660 ;;;1,000 ;;;
Rvd ;8.88 ;;;1,750 ;4 ;560 ;100 ;1,096 ;;;;;;;;;;450 ;;100 ;;;;46 ;;267 ;;;409 ;;378 ;1.134 ;;;
Sköfde landsförsamling Suntetorp och Sventorp ;24,19 27.35 ;95 112 ;137 117 ;7.000 ;36 ;1,150 ;220 ;2,325 ;;;;;;;;;;1,400 ;;150 ;;;;1.240 ;- ;X GO5 ;150 157 ;X 60 ;1,303 2,850 ;;;3.420 9.800 ;;GO ;
Varola ;16,25 ;95 ;61 ;5.980 ;45 ;2,380 ;375 ;3.180 ;;;;;;;;;;500 ;;;;;;GOO ;;415 ;116 ;;1.858 ;;6 ;4,602 ;;;
Versãs ;25.50 ;95 ;51 ;9.530 ;;3,625 ;1.920 ;3.985 ;;;;;;;;;;1.000 ;;150 ;;;X 600 ;600 ;;600 ;X 300 ;;2.700 ;;;10,000 ;;180 ;
V&mb ;13 ;;;1.500 ;20 ;560 ;150 ;750 ;;;;;X ;;;;100 ;180 ;;;;2 ;X 20 ;130 ;;;;;600 ;;;1.800 ;;80 ;
Om, Bjärby och Amundtorp ;6 13 ;;21 ;1,903 ;10 ;884 ;114 ;895 ;;;;;;;;;180 ;210 ;10 ;16 ;8 ;;242 ;G ;;180 ;95 ;;811 ;;;2,160 ;;;
käkinds härad ;344,65 ;1,364 ;1.095 ;86,367 ;449 ;31,613 ;10,509 ;41.960 ;175 ;717 ;133 ;20 ;156 ;454 ;116 ;11 ;5.463 ;9,355 ;255 ;2.058 ;171 ;131 ;2.146 ;6,600 ;- ;5,331 ;1,445 ;X 97 ;28.058 ;X 379 ;X 603 ;77,028 ;465 ;1,030 ;
Acklinga ;15 ;32 ;59 ;3.598 ;9 ;959 ;470 ;1,030 ;3 ;;2 ;;1 ;12 ;;;233 ;408 ;2 ;;;;19 ;36 ;- ;211 ;39 ;- ;954 ;;X 26 ;2,636 ;;;
Agnetorp ;11.56 ;;;11,139 ;;829 ;970 ;;;;;;;;;;115 ;330 ;;;;;;188 ;;218 ;;;518 ;;121 ;2,145 ;X ;;
Baltack ;12.25 ;31 ;;3,610 ;5 ;690 ;332 ;1,290 ;;;3 ;;;;;;120 ;260 ;4 ;;;;;X 90 ;- - ;128 ;10 ;;610 ;;12 ;2,330 ;;;
Bottnary vd ;;;;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;;;
Biurbäck ;16.13 ;46 ;39 ;5,000 ;G ;750 ;1,000 ;1.500 ;;;4 ;;;;;;142 ;360 ;- ;100 ;;;;46 ;- ;100 ;;;894 ;;;4.009 ;;;
Brandstorp ;16,84 ;7G ;36 ;7.810 ;10 ;3.800 ;1.500 ;2.000 ;;;;;;;;;200 ;297 ;;101) ;;;3,000 ;1,500 ;- ;200 ;13 ;;1.021 ;;;2.558 ;X ;;
Daretorp ;17.19 ;112 ;22 ;8.569 ;13 ;1.125 ;1.325 ;2.150 ;;X ;;;15 ;14 ;;;X ;425 ;;X ;;;;;;262 ;;;;;;4.328 ;;;
Dimbo ;26,63 ;101 ;57 ;11.280 ;72 ;6.000 ;1.440 ;3.000 ;;;;;;;;;1.860 ;2.000 ;144 ;480 ;;;;380 ;;960 ;;;1.700 ;;X ;5,682 ;;;
Falköpings landsförsamling ;14.50 ;14 ;;1.900 ;;1.470 ;50 ;;;;;;;;;;120 ;400 ;8 ;30 ;;;350 ;250 ;;X 120 ;;;;;630 ;3.150 ;;;
Fridened ;12.75 ;41 ;40 ;3.146 ;85 ;1.146 ;150 ;2.000 ;;;;;;;;;500 ;700 ;25 ;275 ;;;;200 ;;;;;;;;2.500 ;;;
Fröjered ;17.69 ;93 ;87 ;11,115 ;29 ;2,712 ;2,120 ;6,254 ;;;;;;;;;;;;;;;;;;X ;;;2.185 ;X ;X ;5.756 ;;;
Gerum ;9.75 ;96 ;;1,284 ;2 ;482 ;400 ;;2 ;;;;;;;;;215 ;10 ;;;;;60 ;;;;;;;126 ;1.839 ;;;
Gustaf Adolf ;23.04 ;140 ;101 ;11,445 ;25 ;1,520 ;1.900 ;8.000 ;;;;;;;;;220 ;480 ;;;;;;440 ;;;;;1.260 ;;;2.600 ;;;
Habo ;45.95 ;352 ;329 ;26.043 ;28 ;3.750 ;9,165 ;13.100 ;52 ;;;;;173 ;;;650 ;1.537 ;10 ;;;;;540 ;;;;;3.900 ;;X ;13400 ;;;
Hvarf ;12 ;21 ;;1,917 ;6 ;700 ;84 ;83 ;;;;;;;;;100 ;250 ;10 ;100 ;;;;;;;24 ;;600 ;;120 ;3.500 ;;;
Hvalstad ;26.75 ;48 ;31 ;4.000 ;15 ;2.500 ;500 ;1,000 ;;40 ;;;;;;;400 ;800 ;;200 ;;;;500 ;;400 ;;;2205 ;;X 126 ;5,040 ;;;
Hângsdala ;16 ;20 ;;1,964 ;5 ;1,285 ;219 ;;;;16 ;;;;;;214 ;307 ;7 ;107 ;;;;413 ;;214 ;;;1.342 ;;101 ;3,219 ;;;





