Table: Table_1

;1. ;36. ;37. ;38. ;39. ;4'0. ;44. ;45. ;46. ;47. ;48. ;49. ;50 ;51 ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;;
19 ;Sparlösa ;;480 ;- ;3,480 ;40 ;1,350 ;- ;4,350 ;- ;1,260 ;69,825 ;5,600 ;400 ;- ;960 ;- ;17,400 ;5,000 ;80 ;- ;8,000 ;25,000 ;250 ;50 ;16 ;10 ;525 ;140 ;800 ;- ;200 ;;
20 ;Tengene ;;50 ;- ;1,800 ;30 ;2,000 ;- ;9,600 ;- ;1,000 ;46,000 ;1,200 ;100 ;- ;200 ;- ;8,000 ;;100 ;;;;150 ;35 ;30 ;10 ;340 ;100 ;420 ;- ;120 ;;
21 ;Trökörna ;- ;150 ;- ;1,750 ;12 ;1,000 ;- ;7,000 ;- ;200 ;37,500 ;100 ;120 ;- ;600 ;;14,000 ;100 ;15 ;12 ;2,000 ;10,000 ;150 ;30 ;16 ;10 ;350 ;100 ;200 ;- ;60 ;;
;Summa för Viste härnd ;23 ;1,797 ;- ;18,086 ;259 ;11,952 ;- ;75,960 ;- ;7,824 ;423,338 ;8,784 ;4,535 ;71 ;5,197 ;- ;120,540 ;21,620 ;428 ;X 60 ;14,200 ;68,040 ;1,581 ;372 ;196 ;91 ;4,410 ;1,378 ;2,935 ;- ;1,019 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 ;GössInnda ;4 ;515 ;- ;1,850 ;6 ;3,080 ;- ;8,020 ;- ;1,550 ;43,780 ;250 ;1,350 ;10 ;2,060 ;- ;7,400 ;200 ;25 ;3 ;200 ;13,800 ;190 ;30 ;34 ;4 ;265 ;175 ;280 ;- ;84 ;;
23 ;Hjerpâs, Höra och Vedum. ;;;- ;2,964 ;20 ;2,500 ;- ;17,550 ;150 ;720 ;67,950 ;3,000 ;540 ;;;- ;8,892 ;12,000 ;40 ;10 ;6,000 ;23,180 ;230 ;50 ;20 ;15 ;620 ;150 ;400 ;- ;300 ;;
24 ;Häggesled ;5 ;100 ;- ;1,500 ;;1,550 ;- ;4,800 ;- ;350 ;8,500 ;600 ;600 ;25 ;500 ;;6,000 ;P ;;- ;;5,000 ;80 ;20 ;8 ;4 ;270 ;70 ;120 ;- ;50 ;;
25 ;Kedum ;2 ;182 ;- ;264 ;2 ;798 ;- ;2,272 ;- ;1,848 ;8,680 ;;264 ;16 ;1,080 ;- ;2,264 ;;20 ;3 ;- ;1,680 ;63 ;20 ;34 ;1 ;135 ;106 ;80 ;- ;18 ;;
26 ;Lava ;;40 ;;956 ;25 ;990 ;- ;3,325 ;;820 ;22,128 ;700 ;1,280 ;- ;200 ;- ;4,780 ;1,080 ;68 ;9 ;;4,950 ;86 ;20 ;39 ;8 ;165 ;;160 ;- ;38 ;;
