Table: Table_1

Flakeberg ;15,25 ;84 ;;;2,958 ;25 ;2,230 ;70 ;;;;;;;;;;;;;;- ;8 ;320 ;500 ;- ;158 ;300 ;;822 ;- ;275 ;7,500 ;
Främmestad ;19,31 ;- ;;;11,100 ;- ;;- ;;;;;;;;;;;;;;- ;- ;;;- ;- ;;- ;;;;- ;
Hyringa* ;16,44 ;51 ;;40 ;3,369 ;to ;2,548 ;10 ;813 ;;;;;;;;;;811 ;;;18 ;4 ;479 ;479 ;- ;318 ;350 ;- ;1,016 ;;315 ;7,000 ;
Levene, del* ;7,88 ;50 ;;15 ;2,111 ;25 ;1,400 ;50 ;;;;;;;;;;;;;;5 ;10 ;100 ;250 ;- ;;160 ;;8oo ;;100 ;8oo ;
Längnum* ;7.13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malma ;14,38 ;90 ;;41 ;;8 ;;18 ;1,800 ;;;;;;;;;;1.600 ;;;;13 ;388 ;350 ;- ;225 ;;;625 1.412 ;;17:0 ;;
Sparlösa. ;22,13 ;96 ;;79 ;6,000 ;50 ;3,620 ;80 ;750 ;;;;;;;;;320 ;1,428 ;130 ;100 ;25 ;18 ;160 ;800 ;- - ;629 ;550 ;;1,370 ;;280 ;13,400 ;
Tengene* ;15,88 ;84 ;;26 ;3,695 ;6o ;3,100 ;155 ;380 ;;;;;;;;;;840 ;;6o ;;15 ;300 ;6oo ;....... - ;300 ;300 ;;1,125 ;;450 ;4,500 ;
Trökörna' ;18,56 ;107 ;;9° ;6,581 ;- ;1,593 ;;4,598 ;;;;;6 ;II ;;;;690 ;13 ;125 ;75 ;To ;200 ;300 ;to ;260 ;250 ;;1,180 ;;100 ;5.490 ;
Summa Viste härad ;157,46 ;715 ;342 ;;47,406 ;215 ;21,104 ;610 ;10.311 ;49 ;480 ;147 ;;7 ;25 ;;3 ;2,286 ;8,279 ;448 ;568 ;130 ;95 ;2,304 ;4,241 ;10 ;2,935 ;2,568 ;- ;9,350 ;;1,932 ;02,699 ;
Gösslunda ;22.63 ;46 ;;66 ;3.291 ;40 ;2.115 ;;;;;;;;;;;;1,185 ;;66 ;2 ;8 ;95 ;480 ;- ;350 ;500 ;;1,200 ;;410 ;7.830 ;
Hjerpas, Höra och Vedum ;28.05 ;172 ;100 ;;8.304 ;88 ;4.802 ;;;;;;;;;;;;1.890 ;;;47 ;;191 ;1,188 ;- ;630 ;600 ;;1,900 ;;200 ;15,750 ;
Hläggesled ;10,88 ;48 ;;20 ;2.143 ;;;;;;;;;;;;;;189 ;;;4 ;;297 ;280 ;- ;144 ;;;440 ;;105 ;4,050 ;
Kedum ;11  ;28 ;;;1,695 ;;970 ;;;;;;;;;;;;346 ;;;;;100 ;238 ;- ;130 ;189 ;;378 ;;63 ;3,050 ;
Lavad* ;9,50 ;40 ;;34 ;3,247 ;27 ;1,164 ;;;;;;;;;;;;608 ;;;;;105 ;244 ;;204 ;192 ;;540 ;;168 ;5,690 ;
Levene, del* ;9,25 ;71 ;;;3,343 ;;2,468 ;;;;;;;;;;;;568 ;;;;;356 ;704 ;- ;35² ;440 ;;1,584 ;;392 ;5,058 ;
Mellby* ;16,38 ;;;;;;;;;;;;;;;;;;;;;20 ;;;;;;140 ;;865 ;;;;
Otterstad med Senäte* ;30,38 ;56 ;;;3,445 ;30 ;2,165 ;;;;;;;;;;;;750 ;;;;;200 ;700 ;;;;;;;400 ;5,300 ;
Rackeby. ;;32 ;161 ;;3.401 ;;2.058 ;;;;;;;;;;;;;;;;3 ;100 52 ;228 ;7 ;;;;1,650 470 ;;800 ;5.030 ;
Râda ;20.13 ;54 ;;72 ;4.815 ;34 ;2,373 ;173 ;2,335 ;;;;;;;;;;930 ;;;;;215 ;520 ;- ;;381 ;;1,153 ;;375 ;5,900 ;
Skalunda ;10,63 ;36 ;;19 ;2.494 ;18 ;1,900 ;15 ;;;;;;;;;;;;;;;10 ;330 ;500 ;- ;300 ;300 ;;400 ;;500 ;2.250 ;
Slädene ;16,50 ;83 ;;;4,380 ;9 ;2.500 ;65 ;1.806 ;;;;;;;;;;700 ;;;75 ;10 ;300 ;530 ;;320 ;400 ;120 ;1,200 ;;200 ;6,300 ;
Strö* ;12,31 ;;;;4,236 ;26 ;993 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sunnersberg. ;27,88 ;;;;5.489 ;14 ;3.020 ;;;;;;;;;;;;1.200 ;;;;;154 ;sed ;15 ;;;;1,600 ;;;1.900 ;
Söne ;15 ;54 ;;35 ;2,037 ;8 ;1,580 ;200 ;;;;;;;;;;;490 ;;;1 ;;50 ;200 ;1 ;120 ;200 ;16 ;600 ;;500 ;2,800 ;
Tranum* ;15,13 ;58 ;;;3,471 ;38 ;2,232 ;90 ;676 ;;;;;;;;;;915 ;;;15 ;;150 ;450 ;;;360 ;;900 ;;54° ;6,200 ;
Tâdene* ;9,25 ;;;;;16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ufvered ;16,25 ;;;;3.200 ;90 ;2.900 ;;;;;;;;;;;;;;;;;;;;;450 ;;1.100 ;;100 ;6'100 ;
Väla Gillstad ;16,76 ;92 ;;;5.744 ;24 ;2.082 ;48 ;3.590 ;;;;;;;;;;;;;;;;599 ;;;;;965 ;;204 ;6,536 ;
Ásaka ;17  ;45 ;;;2.225 ;;1.885 ;;;;;;;;;;;;;;;;;;;;;;;1,100 ;;;6.200 ;
Orslösa ;19,75 ;70 ;;;4,189 ;;3.000 ;;-1,144 ;;;;;;;;;;1,000 ;;;;;500 ;;;;700 ;;1.200 ;;GOO ;6.000 ;
Summa Kâllands härad ;356,16 ;1,292 ;1.068 ;X ;81,991 ;556 ;45,422 ;2,530 ;27,431 ;125 ;6S7 ;240 ;;304 ;331 ;85 ;6 ;5,632 ;16,182 ;2,201 ;1,336 ;493 ;82 ;4,001 ;10,551 ;58 ;3,714 ;8,500 ;154 ;20,250 ;87 ;7,759 ;113,034 ;
Eling ;10.06 ;48 ;;;2.308 ;;760 ;400 ;;;;;;;;;;;400 ;;;5 ;;25 ;70 ;4 ;105 ;;12 ;540 ;;;3.500 ;
Essunga' ;22.69 ;179 ;;;10.465 ;;2,554 ;;;;;;;;;;;;1,963 ;;;20 ;10 ;100 ;220 ;;255 ;60 ;;1,224 ;14 ;202 ;11,565 ;
Foglum ;11 ;77 ;;;3.405 ;;1.125 ;;;;;;;;;;;;715 ;;;5 ;15 ;;;;;;;578 ;8 ;190 ;8.170 ;
Hällum ;7.50 ;39 ;;;1,983 ;25 ;1,818 ;;;;;;;;;;;;GOO ;25 ;;15 ;;300 ;457 ;;200 ;250 ;;500 ;;;3,700 ;
Kedum ;13,56 ;144 ;;;5,346 ;;2.670 ;180 ;;;;;;;;;;;1.000 ;50 ;;6 ;10 ;295 ;630 ;;300 ;150 ;;1,350 ;20 ;140 ;9,670 ;
Lekisa ;11,50 ;51 ;;;2,546 ;;1.349 ;;;;;;;;;;;;726 ;;;;7 ;37 ;126 ;;155 ;30 ;5 ;700 ;20 ;240 ;6,548 ;
Levene, del* ;16 ;;;;3.251 ;;3.041 ;;;;;;;;;;;;1.000 ;;;10 ;4 ;426 ;;;;400 ;;1.388 ;;GOO ;;
Long ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nanm ;13,19 ;89 ;;;5.651 ;;2.275 ;600 ;;;;;;;;;;;992 ;20 ;;4 ;20 ;10 ;525 ;;;;15 ;1.390 ;15 ;50 ;8,950 ;
Ryda med Half&s ;25 ;120 ;;;5.150 ;100 ;3.670 ;;;;;;;;;;;;1.300 270 ;270 ;;25 2 ;15 4 ;270 12 ;880 ;;;240 ;2 ;1,750 450 ;20 ;300 17 ;11,500 2,502 ;
Sandbäck eller Kyrk&s ;;16 ;;;2.450 3763 ;92 ;3.590 ;120 ;;;;;;;;;;;1.171 ;268 ;;8 ;;1.334 ;368 ;;;957 ;;1.217 ;6 ;311 ;7.891 ;
Skarstad Vara ;18.75 10.75 ;156 64 ;;;2.400 ;;2.329 ;;;;;;;;;;;;999 ;100 ;;- ;;125 ;;;;300 ;- ;1.100 680 ;;50 ;7.600 6.000 ;
Asaka ;14.57 ;132 ;;;3.568 ;;1.430 ;615 ;;;;;;;;;;;705 ;;;3 ;16 ;;;;;100 ;8 ;1.390 ;20 ;150 ;8.640 ;
Onum ;11.25 ;77 ;;;4.115 ;;3.500 ;143 ;;;;;;;;;;;1.507 ;;100 ;;;680 ;;;;;;;;;;
Summa Barne härad ;196,82 ;1,270 ;;699 ;57,301 ;433 ;31,401 ;3,355 ;6,410 ;164 ;1,009 ;165 ;;217 ;290 ;32 ;10 ;3,236 ;13,648 ;1,023 ;937 ;110 ;117 ;3,629 ;5.617 ;4 ;3,514 ;1,937 ;31 ;14,469 ;163 ;2,555 ;107,230 ;
Broby ;7.50 ;18 ;;;935 ;9 ;885 ;45 ;;;;;;;;;;124 410 ;337 SGO ;;100 ;3 ;16 ;50 274 ;285 ;;;110 178 ;- ;599 1.804 ;- ;X 3G 310 ;3.350 G.400 ;
Hangelösa ;16.50 ;;;;5.116 ;;2.810 ;390 ;1.916 ;;;;;;;;;;;49 ;;19 ;;463 ;700 ;;;200 ;;850 ;- ;280 ;G.000 ;
Hasslosa .. ;12.25 ;;;;8.956 ;;2.596 ;;621 ;;;;;;;;;;775 580 ;30 ;46 ;50 ;;450 ;580 560 ;;;287 ;20 ;1,200 ;- ;500 ;2,400 ;
Husaby ;23,75 ;;;;4.488 ;20 ;2,000 ;100 ;300 ;;;;;;;;;300 ;;;;2 ;;;;;;;40 ;720 ;- ;X 300 ;8,600 ;
Hofby ;12,88 ;46 ;;;2,800 ;;2,652 ;33 ;91 ;;;;;;;;;;850 ;4 ;50 ;;;400 ;700 ;8 ;;300 ;;;;;;





