Table: Table_1

1. ;2. ;3. ;4. ;;5. ;6. ;7. ;8. ;9 ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18 ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27 ;28. ;29. ;30, ;31. ;32 ;33. ;
Flo ;33,78 ;68 ;63 ;;7,000 ;85 ;4,575 ;140 ;2,200 ;;15 ;25 ;- ;- ;15 ;8 ;5 ;600 ;1,300 ;100 ;100 ;50 ;5 ;550 ;1,340 ;15 ;GOO ;900 ;100 ;2,000 ;- ;200 ;8,500 ;
Friel* ;11,06 ;;35 ;;1,512 ;6 ;1,121 ;;205 ;;;46 ;;;;;;160 ;`430 ;30 ;;;;320 ;;;160 ;6o ;;580 ;;120 ;3,160 ;
Hâle* ;12,50 ;;;;3,193 ;;;26 ;37 ;;;17 ;;;;;;;;97 ;;;;;;- ;;;;;;;;
Karaby ;;;;;;;1.940 ;;;;;;;;;;;;1.091 ;;;;material ;330 ;33 ;- ;;;;250 ;;;;
Näs ;24,13 ;;65 ;;9.470 ;25 ;2.060 ;160 ;4,000 ;;;;;;;;;;;;;10 ;10 ;200 ;500 ;;;300 ;;1,200 ;;;4,000 ;
Sal ;10,13 ;;;;1.733 ;33 ;1,700 ;;;;;;;;;;;;;;;;2 ;216 ;497 ;- ;;;;1,0G0 ;;;4.220 ;
Särestad ;18.50 ;;;;3.295 ;31 ;2,275 ;18 ;;;;;;;;;;;;;;;;650 ;650 ;- ;;190 ;;750 ;;;3.210 ;
Tun ;22.38 ;;;;4.965 ;55 ;3,536 ;446 ;928 ;;;;;;;;;;;;;72 ;;;2.048 ;;;;;1.300 ;;;475 ;
Täng ;9,75 ;;;;2.112 ;;1.745 ;7 ;50 ;;;;;;;;;;;;;;;90 ;360 ;;;200 ;;;;;4.427 ;
As ;17,88 ;68 ;;2 ;2,500 ;15 ;2,460 ;25 ;;;;;;5 ;;;;;550 ;50 ;36 ;5 ;4 ;650 ;750 ;10 ;280 ;230 ;10 ;925 ;;;7.750 ;
Summa Ase härad ;169,11 ;693 ;273 ;;36,730 ;289 ;22,638 ;827 ;7,491 ;10 ;243 ;175 ;7 ;78 ;X 200 ;82 ;9 ;2,599 ;7,240 ;531 ;471 ;168 ;41 ;3,106 ;6,506 ;23 ;2,59S ;2,942 ;110 ;0,355 ;- ;1,562 ;42,878 ;
Bjerby ;8,25 ;39 ;;5 ;2,118 ;16 ;1,480 ;92 ;530 ;2 ;;12 ;;;;;;200 ;600 ;50 ;30 ;5 ;2 ;155 ;238 ;- ;200 ;200 ;- ;600 ;- ;100 ;4,000 ;
Bäreberg ;12,25 ;;;;;;1,200 ;100 ;;;;;;;;;;;;;;;TO ;too ;260 ;- ;;;;400 ;;;6,000 ;
