Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29 ;30. ;31. ;32. ;33. ;
Svenneby* ;8.88 ;;;2,780 ;20 ;1,100 ;6oo ;1,060 ;;;;;;;;;;366 ;;;;;;;;16: ;;;;;;;
Säter ;22,31 ;;;4.312 ;30 ;1.208 ;1.055 ;2.019 ;;;;;;;;;;394 ;;62 80 ;10 ;- ;- - ;300 160 ;- - ;230 ;322 50 ;- - ;122 1.660 ;- ;315 ;2,196 2.441 ;
Torsö ;31,44 ;103 ;163 ;11,805 ;55 ;2,320 ;930 ;9.000 ;;;;;;;;;;780 ;45 ;100 ;15 ;10 ;;640 ;;350 ;284 ;;1 682 ;;GO ;5.506 ;
Tidavad ;12.25 ;48 ;;1.910 ;10 ;676 ;612 ;612 ;7 ;;;;;;;;103 ;206 ;;35 ;16 ;;;206 ;12 ;103 ;176 ;25 ;378 ;;;1,298 ;
Tived ;13,89 ;180 ;;2,142 ;3 ;898 ;1,241 ;- ;;;;;;;;;;220 ;12 ;80 ;15 ;;;300 ;- ;120 ;20 ;30 ;616 ;;40 ;1,400 ;
Trästena ;15,88 ;28 ;35 ;;13 ;1,690 ;100 ;;;;;;;;;;;570 ;10 ;50 ;20 ;;100 ;480 ;- ;210 ;500 ;;750 ;;75 ;5,400 ;
Timmersdala ;9,50 ;46 ;12 ;862 ;14 ;492 ;140 ;216 ;17 ;;;;;;;;;120 ;10 ;40 ;6 ;;100 ;218 ;- ;80 ;114 ;- ;380 ;;;720 ;
Ullervad. ;24,88 ;74 ;66 ;6,076 ;50 ;2,545 ;607 ;1,590 ;13 ;;;;;;;;393 ;590 ;32 ;70 ;6 ;2 ;272 ;800 ;- ;380 ;466 ;;1.398 ;;15 ;4,120 ;
Utby ;17,27 ;38 ;26 ;3,181 ;11 ;1,733 ;184 ;900 ;;;;;;;;;288 ;461 ;60 ;31 ;2 ;;114 ;488 ;- ;288 ;350 ;10 ;725 ;;20 ;2,011 ;
Undenäs ;43,88 ;311 ;199 ;- ;- ;5,330 ;2.145 ;- ;11 ;184 ;;;;;;;1,010 ;1,358 ;70 ;305 ;- ;93 ;125 ;1,542 ;- ;827 ;180 ;35 ;5,325 ;210 ;95 ;11,440 ;
