Table: Table_1

1. ;2. ;3. ;4. ;6. ;7. ;8. ;9. ;10. ;11 ;12 ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
Härene med Skofteby ;30,75 ;71 ;60 ;51 ;4.360 ;140 ;843 ;2 ;27 ;18 ;4 ;- ;6 ;18 ;1 ;558 ;1,590 ;35 ;30 ;15 ;2 ;530 ;1,050 ;;550 ;450 ;25 ;2,400 ;;600 ;9,500 ;200 ;200 ;
Källby ;14.13 ;;;;1.250 ;100 ;565 ;;;;;;;;;150 ;432 ;20 ;40 ;4 ;;50 ;400 ;;150 ;126 ;10 ;560 ;;190 ;3,200 ;60 ;180 ;
Lindärfva ;6,50 ;;;;1.000 ;;200 ;;;;9 ;;;2 ;;143 ;355 ;50 ;12 ;;;143 ;143 ;- ;143 ;15 ;;570 ;- ;75 ;2,770 ;60 ;30 ;
Skeby ;7,63 ;;;;1,000 ;60 ;703 ;;;;;;2 ;;;160 ;400 ;10 ;30 ;8 ;;25 ;205 ;- ;160 ;35 ;;500 ;;;3.400 ;;40 ;
Skelfvum ;11,25 ;;;10 ;1,500 ;5 ;485 ;;12 ;10 ;;13 ;13 ;10 ;;210 ;400 ;10 ;30 ;;;140 ;500 ;;210 ;100 ;10 ;700 ;5 ;60 120 ;3.300 6.400 ;300 ;50 500 ;
Säfvare ;18,25 ;74 ;;40 ;2,423 ;50 ;2,434 ;14 ;35 ;16 ;2 ;;;8 ;1 ;363 ;690 ;100 ;125 ;;10 ;100 ;680 ;;343 ;380 ;;710 ;;90 ;;;;
Ofva. ;8,25 ;14 ;20 ;16 ;1.136 ;94 ;1,300 ;2 ;;2 ;;4 ;10 ;1 ;;189 ;299 ;12 ;44 ;25 ;;20 ;358 ;- ;189 ;40 ;;905 ;- ;;2.400 ;;84 ;
Summa Kinnefjerdings härad ;169,39 ;540 ;446 ;218 ;24,167 ;970 ;9,275 ;87 ;256 ;142 ;13 ;26 ;75 ;48 ;6 ;3,209 ;8,491 ;415 ;743 ;171 ;38 ;2,774 ;6,220 ;- ;3,228 ;2,266 ;205 ;10.935 ;10 ;2,105 ;59,278 ;1,020 ;1,724 ;
Bredsäter ;9,88 ;26 ;;;1,529 ;;;;;;;;;- ;- ;210 ;420 ;12 ;36 ;8 ;3 ;210 ;420 ;- ;210 ;70 ;- ;940 ;- ;69 ;3.900 ;;54 ;
Forshem ;27.75 ;;141 ;50 ;4.200 ;350 ;8.360 ;7 ;32 ;;3 ;11 ;124 ;6 ;;600 ;900 ;50 ;120 ;125 ;;300 ;1,500 ;- ;600 ;720 ;- ;2,270 ;- ;250 ;4,200 ;300 ;250 ;
Fullõsa. ;16.88 ;22 ;30 ;;1.988 ;50 ;1.441 ;;;;;;;- ;;230 ;455 ;60 ;62 ;58 ;2 ;80 ;338 ;- ;245 ;315 ;10 ;850 ;- ;157 ;4.096 2,600 ;;126 100 ;
Götene ;7 ;20 ;;;1.568 ;59 ;800 ;;;;;;;;;210 ;390 ;;;;;180 ;480 ;- ;270 ;190 ;;650 ;;40 20 ;;;;
Holmestad ;14,81 ;101 ;;13 ;2,800 ;200 ;2,160 ;;;;;;;10 ;;400 ;700 ;;130 ;;10 ;450 ;675 ;;360 ;300 ;50 ;2,100 ;- ;;8,400 ;;60 ;
Keatad ;8,50 ;;;;800 ;11 ;;;10 ;;;;;4 ;;100 ;266 ;;;;2 ;50 ;250 ;- ;100 ;50 ;;500 ;- ;150 ;2,200 ;;30 ;
Klefva ;12.2% ;;;10 ;1,200 ;47 ;40 ;;;;;;;;;180 ;450 ;12 ;;10 ;;100 ;240 ;;180 ;100 ;;800 ;;250 ;2,800 ;;50 ;
Ledsjö ;16,87 ;56 ;60 ;;2,150 ;170 ;1,400 ;10 ;25 ;;;;30 ;7 ;;300 ;500 ;20 ;400 ;;4 ;180 ;390 ;- ;300 ;250 ;- ;1,250 ;300 ;400 ;5,200 ;;170 ;
Lugnas ;13,06 ;110 ;193 ;;911 ;246 ;915 ;;;;;;;;;152 ;270 ;10 ;;;;10 ;262 ;- ;150 ;60 ;;750 ;- ;20 ;4,000 ;;45 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;623 ;;;;;;
Medelplana ;17,88 ;19 ;;80 ;1,600 ;500 ;2,000 ;;9 ;;;;;2 ;;216 ;620 ;30 ;115 ;;3 ;80 ;300 ;- ;170 ;139 ;20 ;;- ;800 ;107 ;3,000 ;150 ;
Sil. Vedum ;13.81 ;40 ;;27 ;1,100 3,048 ;50 - ;141 999 ;15 ;10 ;;;;;;;120 435 ;;;20 ;;2 ;141 435 ;500 870 ;- - ;120 435 ;108 300 ;;450 2,310 ;- - ;100 ;2,000 6,584 ;;25 50 ;
Vesterplans ;10.50 ;27 ;;;1.170 ;;;;;;;;10 ;;;146 ;;;;;;;370 ;;151 ;;;576 ;- ;570 ;388 ;676 ;;
Vättlösa ;16,81 ;;;;1.535 ;100 ;2.525 ;;;;;;;;;;;;;;10 ;200 ;400 ;;240 ;200 ;25 ;500 ;;60 ;3,000 ;;;
Österplana ;17,88 ;;106 ;;1.200 ;130 ;900 ;;;;;;11 ;;;;;;;;2 ;6 ;394 ;- ;200 ;60 ;;1.100 ;- ;560 ;560 ;1.030 ;80 ;
Summa Kinne härad ;211,88 ;670 ;902 ;312 ;26,799 ;1,913 ;21,681 ;122 ;293 ;150 ;15 ;;249 ;44 ;3 ;3,759 ;7,425 ;347 ;1,205 ;416 ;48 ;2,496 ;7,389 ;- ;3,731 ;2,910 ;116 ;15,669 ;305 ;3,446 ;50,035 ;5,041 ;1.326 ;
Edavära ;30,50 ;;125 ;;5,520 ;195 ;6.518 ;;;;;;;;;810 ;1.550 ;50 ;215 ;15 ;10 ;2,000 ;25 ;- ;845 ;334 ;;2.457 ;126 ;334 ;11.844 ;283 ;95 ;
Fyrunga ;9,75 ;;;;2.402 ;;154 ;;;;;;;;;;1,000 ;136 ;39 ;;;235 ;485 ;;;;;1.052 ;;125 ;4,748 ;256 ;200 ;
Gerum ;13,88 ;;;;1.588 ;215 ;810 ;;;;;;;;;;586 ;13 ;;33 ;;43 ;466 ;;;;;600 ;;70 ;5,020 ;;30 ;
Händene ;;;;;;288 ;2,500 ;;;;;;;;;278 ;462 ;4 ;62 ;20 ;;16 ;540 ;;;;;1,751 ;;;4,345 ;;21 ;
Härlunda ;17,81 ;155 ;;;1.000 ;600 ;4,061 ;;;;;;;;;175 ;270 ;;260 ;5 ;;75 ;80 ;50 ;;;;1.200 ;;50 ;3,600 ;;40 ;
Härjevad ;8,38 ;;;;1.767 ;36 ;;;;;;;;;;240 ;611 ;76 ;20 ;;;150 ;430 ;;;200 ;;1.000 ;;250 ;3.300 ;126 ;178 ;
Jung ;16,69 ;80 ;;;3.061 ;10 ;;;;;;;;;;368 ;969 ;80 ;;;;500 ;770 ;- ;;392 ;;2,000 ;25 ;250 ;9,250 ;400 ;420 ;
;;10 ;;;1.015 ;130 ;1.373 ;;;;;;;;;150 ;350 ;;;20 ;;20 ;290 ;;;;;700 ;;50 ;2,400 ;;30 ;
Marum ;10,28 ;;;;;;;;;;;;;;;;2.100 ;108 ;50 ;;;;;;;;;;;;;;;
Qvänum ;20  ;73 ;;;5,300 8.774 ;128 40 ;150 ;;;;;;;;;550 1.267 ;3.612 ;200 ;;;10 ;788 ;1,250 1.606 ;;;;;1,800 ;- ;300 ;16,200 ;500 ;250 ;
