Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74 ;75 ;
Svenneby ;6 ;38 ;- ;690 ;;2,280 ;;1,375 ;- ;420 ;5,040 ;400 ;47° ;18 ;228 ;- ;4,830 ;- ;6 ;- ;- ;- ;;16 ;8c ;;28o ;40 ;6o ;- ;36 ;;
Säter ;;;;5457 ;24 ;300 ;;11,620 ;- ;4,080 ;16,410 ;;460 ;;;;43,656 ;- ;96 ;-- ;- ;7,000 ;;16 ;142 ;4 ;365 ;140 ;400 ;- ;;;
Torsö. ;;30 ;;5,850 ;;1,360 ;;13,120 ;- ;148 ;25,980 ;- ;735 ;;145 ;;52,000 ;7,000 ;- ;- ;- ;4,000 ;;;263 ;;583 ;;58o ;- ;187 ;;
Tidavad ;13 ;;;378 ;;561 ;93 ;1.384 ;;100 ;6,424 ;;;26 ;X 315 ;;1,890 ;;;;;;;;;3 ;;133 ;;;;;
Tived ;20 ;;;4,000 ;40 ;120 ;;3,000 ;85 ;70 ;12,000 ;100 ;40 ;X 25 ;;;34,000 ;- ;;- ;- ;- ;;13 ;100 ;;200 ;;120 ;- ;25 ;;
;;;;;;;106 ;;;;;;;;;;;;80 ;- ;- ;- ;47 ;4 ;200 ;8 ;400 ;250 ;600 ;- ;100 ;;
Trästena ;;45 ;;1,500 ;8 ;2,000 ;;4,500 ;- ;;34,000 ;800 ;200 ;;150 ;;6,000 ;600 ;;9 ;- ;;30 ;5 ;90 ;8 ;250 ;115 ;120 ;- ;50 ;;
Timmersdala ;;13 ;;510 ;18 ;240 ;- ;1,140 ;- ;75 ;2,880 ;432 ;100 ;;30 ;;2,040 ;- ;54 ;;;- ;20 ;4 ;36 ;1 ;100 ;30 ;100 ;;20 ;;
Ullervad ;;75 ;;3,000 ;;4,000 ;;12,600 ;- ;900 ;30.500 ;- ;600 ;;400 ;;18,000 ;- ;- ;- ;- ;;80 ;12 ;200 ;6 ;350 ;125 ;150 ;- ;200 ;;
Utby ;;30 ;;643 ;3 ;1,400 ;40 ;2,900 ;;160 ;10,055 ;- - ;1,350 ;15 ;240 ;;5,144 ;- ;9 ;- ;- ;- ;31 ;e ;132 ;5 ;350 ;41 ;55 ;;50 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Undenäs Vad ;20 - ;492 ;- ;11,700 900 ;135 ;700 900 ;90 ;22,500 1.200 ;200 -- ;168 ;56,844 6,000 ;- - ;720 300 ;X 160 - ;;- - ;81,900 4,000 ;- - ;- - ;150 ;- ;;97 ;10 ;560 ;26 ;1,321 ;375 ;1,500 ;7 ;491 ;;
Väring ;;50 ;- ;1.760 ;- - ;2,880 ;120 ;5,700 ;- ;120 ;16,660 ;- ;420 ;- ;350 ;- ;8,800 ;- ;- ;- - ;- - ;50,000 ;20 50 ;6 25 ;100 250 ;3 5 ;175 400 ;30 100 ;90 200 ;;20 85 ;;
Summa Vadsbo häradi ;252 ;2.941 ;- ;109,794 ;1,161 ;76,331 ;2.286 ;366,793 ;2,185 ;18,811 ;1,034,798 ;6,502 ;33,717 ;X 1,083 ;7,795 ;- ;761,881 ;123,420 ;2,703 ;541 ;12.310 ;357,120 ;2,412 ;507 ;9,312 ;309 ;18,416 ;7,650 ;13,578 ;157 ;4.749 ;500 ;
Summa för landshygden ;610 ;20,845 ;12 ;675,460 ;4,026 ;246,003 ;11,276 ;1,845,209 ;14,584 ;270,782 ;6,621,275 ;181,935 ;118,134 ;2,897 ;106,148 ;X 38 ;4,376,345 ;721,409 ;9,478 ;3,473 ;117,981 ;1,735,267 ;22,078 ;5,823 ;27,487 ;1,701 ;83,332 ;33,299 ;68,562 ;165 ;24,831 ;5,552 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;-- ;48 ;- ;400 ;- ;1,250 ;- ;2,500 ;- ;125 ;7,500 ;1,200 ;180 ;- ;- ;- ;2,800 ;2,500 ;- ;- ;500 ;13,500 ;60 ;6 ;36 ;4 ;125 ;30 ;30 ;- ;70 ;- ;
Lidköping ;- ;;- ;800 ;- ;;- ;7,500 ;- ;500 ;12,000 ;;;;;;5,200 ;12,500 ;- ;- ;1,000 ;13,500 ;110 ;2 ;4 ;4 ;330 ;15 ;10 ;- ;60 ;- ;
Skara ;1 ;152 ;- ;3,850 ;....... - ;1,134 ;;9,369 ;- ;950 ;14.388 ;1,575 ;480 ;4 ;760 ;;34,650 ;- ;- ;- ;8oo ;7,000 ;77 ;3 ;33 ;3 ;215 ;32 ;30 ;- ;22 ;- ;
Sköfde ;;- ;- ;1,60 ;- ;310 ;- ;6,440 ;- - ;;1,280 ;;110 ;- ;- ;;9,800 ;;- ;- ;;;45 ;5 ;32 ;3 ;240 ;25 ;12 ;;40 ;;
Falköping ;- ;;;1.800 ;- ;;;3,960 ;;3,900 ;30,000 ;;60 ;- ;;;12,600 ;22.000 ;- ;- ;1,350 ;;70 ;10 ;30 ;5 ;235 ;38 ;50 ;;70 ;- ;
Hjo ;==== ;30 ;- ;5.500 ;- ;60 ;40 ;3.500 ;200 ;40 ;9.800 ;PO ;50 ;- ;100 ;- ;33,000 ;10,000 ;- ;- ;1.000 ;4,000 ;45 ;2 ;30 ;3 ;155 ;24 ;30 ;- ;150 ;- ;
Summa för staderna ;I ;230 ;- ;13,950 ;- ;2,754 ;40 ;33,269 ;200 ;5,515 ;74,968 ;2,855 ;880 ;4 ;860 ;- ;98,050 ;47,000 ;- ;- ;4,650 ;38.000 ;407 ;28 ;165 ;22 ;1,300 ;164 ;162 ;-- ;412 ;- ;
Summa för hela länet ;611 ;27,075 ;12 ;689,410 ;4.026 ;248,757 ;11,316 ;1,878,478 ;14,784 ;276,297 ;6.696,243 ;184,790 ;119,014 ;2,901 ;107,008 ;38 ;4,474,395 ;768,409 ;9,478 ;3,473 ;122.631 ;1,773,267 ;22,485 ;5,851 ;27,052 ;1,723 ;84,632 ;33,463 ;68,724 ;165 ;25,243 ;5,552 ;





