Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12 ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21 ;22. ;23 ;24, ;25. ;26. ;27. ;28. ;29 ;30 ;31. ;32 ;33 ;31 ;35. ;
Ase härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flo ;33,78 ;62 ;75 ;7,000 ;50 ;4,500 ;488 ;1,962 ;;.15 ;20 ;1 ;- ;13 ;8 ;- ;560 ;1,600 ;50 ;100 ;50 ;10 ;500 ;1,000 ;X 16 ;560 ;900 ;X 50 ;1,900 ;- ;450 ;11,300 ;800 ;350 ;
Friel ;11,06 ;58 ;35 ;3.512 ;6 ;2,432 ;X 30 ;806 ;1 ;56 ;- ;1 ;- ;- ;2 ;- ;304 ;812 ;- ;40 ;- ;- ;912 ;- ;;304 ;- ;- ;1,520 ;- ;180 ;6,793 ;320 ;120 ;
Hâle ;12,50 ;97 ;5 ;2,193 ;24 ;1,550 ;X 40 ;45 ;1 ;35 ;17 ;- ;- ;2 ;- ;- ;131 ;588 ;X 96 ;25 ;- ;3 ;317 ;260- ;- ;130 ;174 ;- ;583 ;- ;302 ;5,312 ;595 ;268 ;
Karaby ;9 ;;4 ;1,950 ;3 ;1,946 ;- ;- ;3 ;40 ;7 ;- ;- ;5 ;1 ;- ;100 ;1,100 ;- ;14 ;- ;3 ;340 ;300 ;- ;100 ;60 ;- ;540 ;- ;120 ;2,160 ;- ;244 ;
Näs ;24,13 ;74 ;62 ;9,470 ;22 ;1,500 ;200 ;5,000 ;5 ;34 ;5 ;1 ;47 ;X 42 ;- ;- ;190 ;600 ;65 ;50 ;15 ;18 ;72 ;300 ;- ;190 ;120 ;- ;675 ;- ;189 ;4,950 ;160 ;300 ;
Sal ;10,13 ;36 ;1 ;1,635 ;30 ;1,605 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;120 ;130 ;30 ;40 ;- ;10 ;260 ;240 ;- ;275 ;120 ;- ;600 ;- ;180 ;3,600 ;- ;90 ;
Särestad ;17,25 ;87 ;18 ;3,295 ;21 ;2,197 ;12 ;20 ;5 ;57 ;25 ;- ;3 ;12 ;2 ;1 ;212 ;764 ;68 ;85 ;8 ;9 ;415 ;424 ;- ;212 ;227 ;- ;857 ;- ;158 ;63,000 ;190 ;322 ;
Tun ;22,38 ;36 ;X 49 ;4,415 ;30 ;2,930 ;338 ;1,117 ;- ;9 ;- ;2 ;11 ;40 ;9 ;- ;450 ;790 ;60 ;70 ;60 ;15 ;- ;- ;- ;450 ;882 ;- ;1,512 ;- ;567 ;3,780 ;819 ;315 ;
