Table: Table_1

1 ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27. ;28. ;29 ;30. ;31. ;32. ;33. ;
Broddetorp ;6,88 ;21 ;14 ;1,215 ;15 ;412 ;129 ;659 ;1 ;21 ;1 ;;;7 ;1 ;;49 ;162 ;7 ;12 ;- ;;28 ;109 ;;45 ;16 ;- ;270 ;- ;69 ;1,224 ;
Brunnhem ;12.75 ;41 ;5 ;1.402 ;20 ;655 ;25 ;702 ;5 ;30 ;10 ;;;;;;120 ;258 ;25 ;70 ;;;;60 ;;120 ;13 ;;806 ;;364 ;1,750 ;
;;;;;;;;;;;;;;;24 ;;280 ;570 ;30 ;GO ;20 ;;300 ;600 ;;;;;1,500 ;;400 ;5,400 ;
Dala ;28.69 ;63 ;33 ;3,000 ;50 ;2,150 ;100 ;700 ;;;;;;35 ;;;;;;;;;;;;;;;;;;;
Edâsa ;6.75 ;22 ;41 ;4,020 ;11 ;1,450 ;125 ;2,433 ;4 ;;;;;;;;295 ;395 ;15 ;41 ;;;;322 ;;;;;1,543 ;;;3.112 ;
Falköpings landsförsamling ;10,63 ;50 ;;1,000 ;;400 ;195 ;398 ;;;;;;;;;70 ;290 ;15 ;10 ;10 ;;200 ;;;;;;350 ;;400 ;2.000 ;
Friggeraker ;17,88 ;68 ;10 ;1,915 ;10 ;1.000 ;895 ;10 ;;;21 ;;;;;;80 ;200 ;5 ;30 ;12 ;;1,000 ;500 ;;;;;500 ;;300 ;4.000 ;
;;;;;;;;;;;;;;;;;260 ;634 ;5 ;42 ;190 ;;;400 ;;;63 ;;1,159 ;;882 ;4,624 ;
Gudhem ;21 ;52 ;27 ;3,507 ;10 ;2.170 ;300 ;1,027 ;45 ;;;;;;;;90 ;;10 ;140 ;;;465 ;20 ;;;30 ;;;;;;
Hornborga ;15.69 ;42 ;49 ;1,000 ;11 ;525 ;404 ;40 ;;;;;;;;;;165 ;;;5 ;;10 ;;;;;;480 ;;180 ;480 ;
Hâkantorp ;6,81 ;16 ;26 ;1.150 ;;452 ;360 ;340 ;;;;;;;;;;;;;;;;;;;;;410 ;;;1,510 ;
Högstena ;14,75 ;75 ;;1.096 ;4 ;547 ;182 ;;;;;;;;;;88 ;800 ;15 ;120 ;;;;34 ;;;;;;;;590 ;
Kyrketorp ;10,68 ;32 ;;850 ;10 ;600 ;239 ;6 ;;;;;;;;;80 ;260 ;10 ;30 ;2 ;;250 ;136 ;;;10 ;;400 ;;270 ;1,290 ;
Ljunghem ;9,88 ;16 ;;2,626 ;10 ;531 ;629 ;1,456 ;;;;;;;;;113 ;170 ;11 ;;;;35 ;100 ;;100 ;;;661 ;;;1,764 ;
Râdene ;17,88 ;28 ;;2,838 ;28 ;775 ;775 ;500 ;;;;;;;;;152 ;318 ;5 ;38 ;14 ;;;101 ;;145 ;14 ;;700 ;;120 ;2.750 ;
Segerstad ;24,75 ;63 ;;1.450 ;5 ;720 ;217 ;508 ;;;;;;;;;130 ;244 ;10 ;50 ;2 ;;;50 ;;130 ;;;700 ;;236 ;2.205 ;
Stenstorp ;15,50 ;53 ;;1,860 ;10 ;1.050 ;150 ;;;;;;;;;;155 ;300 ;2 ;40 ;6 ;;10 ;379 ;;155 ;;;1.228 ;;94 ;4,423 ;
Sjögerstad ;19,19 ;45 ;;3.459 ;75 ;1,580 ;1.050 ;754 ;;;;;;;;;305 ;500 ;50 ;100 ;30 ;5 ;;285 ;;305 ;100 ;;1.350 ;;189 ;3.820 ;
Sätuna ;11.88 ;23 ;13 ;1,598 ;4 ;447 ;757 ;390 ;;;;;;;;;79 ;199 ;22 ;16 ;;;;68 ;;;25 ;;440 ;;264 ;1,364 ;
Torbjörntorp ;11,88 ;37 ;;1.902 ;8 ;1.280 ;610 ;;;;;;;;;;124 ;516 ;6 ;40 ;26 ;;120 ;322 ;;124 ;13 ;;630 ;;189 ;3,276 ;
Tunhem ..... ;12 ;48 ;12 ;1,300 ;20 ;500 ;200 ;580 ;;;;;;;;;80 ;260 ;10 ;50 ;6 ;;;36 ;;;;;500 ;;300 ;2,400 ;
Ugglum ........... ;15,50 ;58 ;12 ;2,000 ;10 ;600 ;240 ;;;;;;16 ;21 ;20 ;1 ;100 ;360 ;10 ;40 ;;;;20 ;- ;100 ;;;550 ;;300 ;1,700 ;
Valtorp ;14,50 ;28 ;22 ;1,987 ;15 ;837 ;430 ;706 ;;;;;;5 ;;;106 ;408 ;16 ;27 ;3 ;;;69 ;;210 ;;;635 ;;160 ;2,350 ;
Summa Gudhems härad ;371,69 ;1,039 ;570 ;55,803 ;391 ;24,308 ;10,552 ;14,683 ;117 ;512 ;228 ;12 ;74 ;257 ;109 ;6 ;3,614 ;8.549 ;342 ;1,603 ;333 ;44 ;2,930 ;4,791 ;7 ;3,663 ;473 ;6 ;18,995 ;- ;5,298 ;63,390 ;
Bolum ;32,88 ;97 ;40 ;3,175 ;22 ;1,250 ;569 ;1,334 ;22 ;59 ;11 ;;19 ;66 ;13 ;;247 ;553 ;23 ;49 ;8 ;3 ;- ;112 ;- ;255 ;37 ;- ;1,440 ;- ;518 ;3.500 ;
Eggby ;20,75 ;33 ;;;;1,585 ;170 ;;5 ;13 ;;;;;2 ;1 ;203 ;417 ;44 ;79 ;3 ;1 ;;;- ;203 ;50 ;;1,300 ;;400 ;2,950 ;
Häggum ;17,28 ;72 ;;4,050 ;10 ;2.260 ;800 ;980 ;;;;;;;;;160 ;625 ;50 ;150 ;60 ;;300 ;755 ;- ;160 ;;;650 ;;115 ;5,000 ;
Istrum ;8.25 ;13 ;;4,000 ;15 ;1.125 ;165 ;2.620 ;;;;;;;;;150 ;380 ;20 ;120 ;;10 ;110 ;300 ;- ;150 ;50 ;;850 ;;60 ;3,330 ;
Lundby ;25,68 ;37 ;;2.500 ;;1,500 ;450 ;480 ;;37 ;;;;;;;370 ;450 ;75 ;160 ;100 ;;186 ;225 ;- ;280 ;380 ;;1.700 ;;838 ;3.450 ;
;;;;4.275 ;12 ;1,500 ;1,110 ;1,716 ;;;;;110 ;;;;295 ;450 ;62 ;150 ;15 ;5 ;35 ;104 ;;295 ;40 ;;1,770 ;;550 ;2,290 ;
Skarke ;38,50 ;49 27 ;96 ;;29 ;;;3.400 ;66 ;;;;;;;;150 ;228 ;15 ;50 ;;;100 ;200 ;;150 ;45 ;;712 ;;170 ;2,000 ;
Skärf ;15.81 ;;61 ;4,360 ;60 ;600 ;300 ;;;21 ;;;;;;;125 ;220 ;;76 ;;;;;;125 ;45 ;;588 ;;72 ;2,080 ;
Stenum ;15.88 ;35 ;;5.130 ;60 ;560 ;1,120 ;3,390 ;;;;;30 ;;;;;;10 ;;4 ;;120 ;1,000 ;;;;;;- ;;;
Ving ;10,13 ;23 ;30 ;2.055 ;55 ;640 ;360 ;1,000 ;;20 ;2 ;;14 ;16 ;;;150 ;265 ;5 ;70 ;;;100 ;260 ;;150 ;25 ;;725 ;- ;108 ;2.470 ;
Oglunda ;13,56 ;36 ;14 ;1,730 ;7 ;440 ;660 ;200 ;9 ;19 ;3 ;;9 ;18 ;;;125 ;235 ;20 ;GO ;- ;- ;- ;15 ;- ;125 ;30 ;;600 ;- ;130 ;1,150 ;
Summa Valle härad ;198,17 ;422 ;. 477 ;31,275 ;270 ;11,460 ;5,704 ;15,120 ;111 ;239 ;51 ;6 ;222 ;181 ;22 ;8 ;1,975 ;3.823 ;324 ;964 ;197 ;19 ;951 ;2,971 ;- ;1,893 ;727 ;- ;10,335 ;- ;2,961 ;28,220 ;
Bredvik ;17,88 ;133 ;88 ;6,300 ;15 ;1.752 ;70 ;1,000 ;46 ;135 ;1 ;1 ;;;;- ;410 ;530 ;14 ;180 ;;8 ;40 ;170 ;- ;400 ;;- ;1,960 ;170 ;;4,790 ;
Forsby ;;48 ;20 ;2,250 ;15 ;1.500 ;250 ;485 ;;;;;;;;;350 ;350 ;;50 ;15 ;;250 ;400 ;- - ;350 ;130 ;;1,800 ;;;2,520 ;
Fogelâa, norra Fogel&s, sodra ;38.98 38,31 ;65 144 ;90 ;10,990 6.343 ;136 56 ;3,068 2.170 ;1,522 780 ;6.264 3,400 ;;40 95 ;5 ;;1 ;46 ;43 ;;570 250 ;985 700 ;14 18 ;280 240 ;40 ;14 26 ;38 25 ;616 155 ;- ;511 230 ;126 80 ;7 ;2,400 2,415 ;75 55 ;126 120 ;6,031 6,050 ;
Gredbäck ;23,81 ;38 ;95 ;7,030 ;;2,100 ;1.050 ;3.859 ;;14 ;;;;;;;409 ;647 ;;260 ;3 ;6 ;;394 ;- ;379 ;;- ;1,935 ;138 ;;4,700 ;
;;;;;32 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hagelberg ;;27 ;32 ;3,448 ;;860 ;240 ;2.340 ;11 ;20 ;4 ;;6 ;23 ;2 ;;150 ;305 ;3 ;65 ;8 ;2 ;100 ;100 ;- ;197 ;150 ;;750 ;;;2,440 ;
Hjo landsförsamling ;20,50 ;93 ;51 ;6,666 ;16 ;2.200 ;2,350 ;2.100 ;;;;;;;;;300 ;830 ;5 ;150 ;10 ;20 ;200 ;400 ;;300 ;31 ;37 ;1,675 ;63 ;--- ;3.465 ;
;;225 ;;23,304 ;45 ;5,782 ;;;10 ;;51 ;15 ;19 ;165 ;;1 ;964 ;1,928 ;45 ;130 ;;45 ;278 ;1,528 ;- ;964 ;252 ;;5,040 ;;;18,220 ;
Kyrkefalla ;45 14,68 ;23 ;165 36 ;3,669 ;12 ;1,650 ;6,920 350 ;10,557 1.657 ;;149 15 ;16 ;3 ;8 ;1 ;4 ;;200 ;450 ;49 ;200 ;20 ;1 ;;500 ;- ;230 ;120 ;- ;1.100 ;40 ;X 30 ;3.600 ;
Kyrketorp ;;;;;;;;;6 ;;;;;;;;;;;;;;;;;;;;;;;;
