Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12 ;13. ;14 ;15. ;16 ;17. ;18. ;19. ;20. ;21. ;22 ;23. ;24 ;25. ;26 ;27. ;28. ;29. ;30 ;31. ;32. ;33 ;34 ;35. ;
Flo ;33,78 ;69 ;;61 ;85 ;4,575 ;140 ;2,200 ;;16 ;25 ;;3 ;14 ;8 ;8 ;600 ;1,300 ;100 ;100 ;50 ;5 ;550 ;1,340 ;15 ;600 ;900 ;100 ;2,000 ;;200 ;8,500 ;300 ;450 ;
Friel. ;11,06 ;;;29 ;;1,180 ;;205 ;3 ;;;;;;;;195 ;430 ;35 ;23 ;4 ;;331 ;;;161 ;200 ;;930 ;- ;210 ;2,880 ;320 ;125 ;
Hale ;12,50 ;;;;;1.236 ;21 ;32 ;;;16 ;;;;;;145 ;590 ;90 ;30 ;;;100 ;133 ;- ;145 ;200 ;- ;550 ;-- ;;4,900 ;700 ;180 ;
Karaby ;9,00 ;;;;10 ;1,940 ;;;4 ;;;;;;;;110 ;1,000 ;94 ;15 ;;;320 ;288 ;- ;110 ;200 300 ;;400 1,200 ;- ;300 300 ;8,000 4,000 ;;250 250 ;
Näs ;24,13 ;;125 ;;35 ;2,080 ;150 ;4,000 ;5 ;;;;;;;1 ;300 ;700 ;20 65 ;;;;200 ;500 ;;260 214 ;70 ;50 ;1,050 ;;160 ;4,230 ;;300 ;
Sal ;10,13 ;;;;;1,700 ;;;;;;;;;;;212 ;500 ;;;;;215 ;432 ;;;;;;;;;;;
Särestad ;18,50 ;124 ;;;;2,278 ;18 ;67 ;;;;;;;;;284 ;582 ;70 ;;;;;;;284 ;250 ;;1,454 ;;115 ;3,809 ;150 ;350 ;
Tun ;22,88 ;;;;;2,975 ;390 ;1,015 ;;;;;;;;;410 ;700 ;;;40 ;;;1,345 ;;370 ;157 ;;2,268 ;;315 ;4,095 ;;189 ;
Täng ;9,75 ;;;10 ;;1,752 ;;200 ;6 ;;;;;;;;212 ;650 ;55 ;;;;205 ;410 ;;200 ;200 ;;1,123 ;;120 ;4,146 ;158 ;360 ;
As ;17,88 ;67 ;;;15 ;2,460 ;25 ;;5 ;30 ;;;;;15 ;2 ;250 ;550 ;40 ;36 ;5 ;4 ;560 ;750 ;15 ;250 ;200 ;10 ;1,100 ;- ;150 ;7,700 ;210 ;180 ;
