Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14 ;15. ;16. ;17. ;18. ;19. ;20. ;21, ;22. ;23. ;24 ;25 ;26. ;27 ;28. ;29. ;30. ;;31. ;;32. ;33. ;34. ;35 ;;
;Härene med Skofteby ;30:75 ;71 ;60 ;5,786 ;51 ;4,360 ;140 ;843 ;2 ;27 ;18 ;4 ;- ;6 ;18 ;1 ;558 ;1,590 ;35 ;30 ;15 ;2 ;530 ;1,050 ;- ;550 ;450 ;25 ;2,400 ;;- ;;600 ;9,500 ;200 ;200 ;;
;Källby ;14'1 3 ;;;2,777 ;;1,250 ;100 ;365 ;;;;;;;;;150 ;432 ;20 ;40 ;;4 ;50 ;400 ;;150 ;126 ;10 ;;560 ;;;190 ;3,200 ;60 ;180 ;;
;Lindärfva ;6'50 ;;;3,009 ;11 ;1,000 ;;;;;;2 ;;;;1 ;143 ;355 ;50 ;12 ;;, ;143 ;143 ;;143 ;;;;570 ;;;75 ;2,770 ;60 ;30 ;;
;Skeby ;7:63 ;;;2,083 ;;1,000 ;60 ;703 ;;;;;;;;;160 ;400 ;10 ;30 ;;2 ;;205 ;;160 ;;;500 ;;;;;3,400 ;;40 ;;
;Skelfvum ;11:26 ;;;3,009 ;10 ;1.607 ;;385 ;;;;;13 ;;;;210 ;450 ;10 ;30 ;;;190 ;500 ;;210 ;60 ;;800 ;;;;60 ;3,000 ;20 ;40 ;;
;Säfvare ;18:as ;;;6,017 ;40 ;2,423 ;50 ;2,434 1,424 ;;4 ;;;10 ;24 ;1 ;1 ;363 170 ;690 390 ;100 ;125 ;10 ;10 ;100 ;680 ;;343 ;380 ;;710 ;;;;120 ;6,400 2,960 ;300 - ;500 60 ;;
;Ofva ;8:25 ;88 ;34 ;2,546 ;10 ;1,028 ;- ;;2 ;;3 ;;;;;;;;10 ;45 ;25 ;- ;40 ;205 ;- ;143 ;450 ;;700 ;;- ;;150 ;;;;;
;Kinnefjerdings härad ;169-39 ;564 ;471 ;43,509 ;210 ;24,158 ;801 ;9,336 ;85 ;265 ;143 ;13 ;40 ;84 ;51 ;7 ;3,117 ;8,462 ;378 ;689 ;170 ;35 ;2,613 ;5,591 ;- ;3,047 ;2,596 ;170 ;11,280 ;;5 ;;2,138 ;61,188 ;1,240 ;1,610 ;;
;Bredsäter ;9:88 ;26 ;26 ;6,711 ;;1,534 ;;;;;;;;;;- ;210 ;442 ;13 ;14 ;12 ;3 ;210 ;420 ;- ;210 ;35 ;35 ;940 ;;- ;;69 ;4,154 ;;54 ;;
;Forshem ;27:68 ;60 ;150 ;12,960 ;50 ;4,245 ;300 ;8,340 ;;;;;;;;;610 ;950 ;;115 ;75 ;5 ;300 ;1,528 ;2 ;610 ;650 ;;2,300 ;;;;65 ;5,500 ;75 ;190 ;;
;Fullösa ;16'88 ;23 ;30 ;3,934 ;45 ;1,492 ;42 ;1,436 ;;;;;;;;P ;250 ;465 ;;42 ;58 ;;62 ;365 ;- ;225 ;150 ;;1,100 ;;- ;;360 ;3,560 ;96 ;50 ;;
;Götene ;7 ;20 ;34 ;2,314 ;22 ;1,710 ;30 ;688 ;;;;;;;;;250 ;450 ;;45 ;5 ;2 ;210 ;428 ;- ;270 ;190 ;20 ;680 ;;4 ;;40 ;2,750 ;6 ;100 ;;
;Holmestad Kestad ;14'81 8'50 ;101 18 ;78 8 ;8,332 1,620 ;14 4 ;2,860 800 ;140 ;2,800 ;15 ;104 ;;;;;;;;700 266 ;;120 20 ;30 2 ;15 2 ;480 50 ;680 250 ;;380 100 ;420 ;;1,850 500 ;;- - ;;20 150 ;4,860 2.200 ;20 - ;100 30 ;;
;Klefva ;12:95 ;23 ;;1,851 ;10 ;1,200 ;;40 ;;;;;;;;;;450 ;;;10 ;- ;100 ;230 ;;180 ;100 ;;800 ;;- ;;250 ;2,800 ;;50 ;;
;Ledejö ;16:87 ;58 ;69 ;5,554 ;20 ;2,150 ;150 ;1,400 ;;;;;;;;;;675 ;;200 ;10 ;5 ;145 ;500 ;;290 ;158 ;;1,260 ;;- ;;473 ;5,670 ;;158 ;;
;Lugnas ;13:06 ;110 ;193 ;10,646 ;;912 ;245 ;915 ;;;;;;;;;;;;53 ;;;;262 ;;150 ;;30 ;750 ;;- ;;20 ;4,000 ;;45 ;;
