Table: Table_1

1. ;34. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;35. ;36. ;37. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51: ;52. ;53. ;55. ;58. ;6G. ;;;;;;;;;
Flo: Friel*. ;300 ;450 ;10 ;500 ;3,000 ;- ;6,000 ;500 ;15,000 ;- ;1,000 ;50,000 ;1,500 ;2,000 ;;;;;;67 ;68, ;69. ;70. ;71. ;72. ;73. ;74. ;
Hâle* ;625 ;375 ;10 ;285 ;3,too ;;480 ;- ;4,640 ;;840 ;;;;50 ;2,500 ;15,000 ;- ;250 ;50 ;25 ;10 ;550 ;150 ;350 ;- ;160 ;
;140 ;;;;;;;;;;;15,800 ;5,000 ;3,000 ;5° ;1,425 ;15,500 ;- ;70 ;;18 ;;;;;;;
Karaby ;;;2 ;80 ;205 ;;1.498 210 ;- ;4,920 ;- ;;34,692 ;840 ;600 ;;;;- ;;;;;100 ;6o ;160 ;- ;5° ;
Näs ;;230 ;10 ;60 ;2,000 ;- ;1,800 ;;;-- ;;5,000 ;;500 ;8 ;390 ;;- ;;;;m ;;72 ;260 150 ;;# ;
Sal ;;300 ;;190 ;875 ;- ;;;9,600 ;;450 ;20,000 ;- ;1,150 ;50 ;300 ;16,000 ;- ;180 ;;;20 ;550 ;158 ;;;;
Särestad ;155 ;;25 ;212 ;1,800 ;- ;400 950 ;;6,360 3,750 ;- - ;850 444 ;21,100 ;;1.500 ;;950 ;6,125 ;;;;;;150 ;100 ;500 170 ;3 ;225 80 ;
Tun ;255 ;275 ;;600 ;1,850 ;- ;7,040 ;- ;10,000 ;- ;1,750 ;9,630 ;465 ;1.185 ;60 ;636 ;9,000 ;- ;;;;10 ;;145 ;330 ;;;
Täng ;1,000 ;400 ;3 ;90 ;;- ;800 ;;3,000 ;- ;606 ;2,375 ;2,000 ;2,200 ;;4,800 ;18,500 ;- ;125 ;;;;;;300 ;3 ;173 ;
As. ;175 ;150 ;2 ;150 ;500 ;- ;1,200 ;50 ;5,550 ;- ;600 ;14,000 26,000 ;4,000 700 ;2,400 600 ;10 ;450 750 ;700 3,000 ;- - ;80 80 ;;;;;;200 ;;;
Summa Ase härad ;2,630 ;2,894 ;62 ;2,227 ;14,450 ;- ;20,280 ;550 ;63,550 ;- ;7,205 ;198,597 ;14,503 ;15,135 ;240 ;12,351 ;$8,650 ;- - ;1,143 ;20 224 ;223 ;69 ;;200 ;500 ;;250 ;
Bjerby ;200 ;200 ;- ;150 ;600 ;- ;800 ;- ;2,100 ;;;;;;;;;;;;;;2,760 ;1,118 ;3,010 ;0 ;1,230 ;
Bareberg* ;;;;;;- ;;;;- ;300 ;12,000 ;700 ;600 ;- ;600 ;3,000 ;- ;;;20 ;3 ;150 ;100 ;250 ;;GO ;
Flakeberg ;500 ;300 ;10 ;125 ;1,000 ;;180 2,100 ;- ;3-499 5,754 ;- - ;1,375 ;;;280 ;;;6,000 ;- ;;;;;;;360 ;- ;;
Främmestad* ;;;;;;;;;;;;;3,000 ;1,800 ;40 ;525 ;6,000 ;- ;;;;10 ;318 ;;;;;
Ilyringa* ;- ;- ;- ;;;- ;;- ;;;;- ;- ;- ;- ;- ;;;;;;;;120 ;500 ;;130 ;
;315 ;100 ;I2 ;353 ;1,350 ;- ;2,100 ;- ;6,000 ;- ;1,500 ;28,000 ;1,200 ;;;;;;;;;;;;;;;
Levene, del* ;200 ;150 ;- ;170 ;150 ;- ;960 ;;4,800 ;;500 ;;8oo ;400 6oo ;48 ;1,400 ;8,100 ;;;;;;;135 ;480 ;;125 ;
Längnum* ;200 ;;to ;;;- ;1,890 ;- ;;- ;;3,200 ;;;;68o ;900 ;- ;;;;;;6o ;170 ;;;
Malma ;;167 ;;135 ;1,670 ;- ;565 ;- ;7,260 ;- ;;39,915 ;8oo ;;- ;500 ;;;;;;;;;;;80 ;
Sparlõsa. ;600 ;480 ;- ;568 ;3,000 ;- ;3,300 ;- ;8,220 ;- ;1,680 ;67,000 ;4,200 ;835 2,880 ;;4,076 ;10,020 ;- ;;;;10 ;;131 ;461 ;;34 ;
Tengene* ;1,500 ;300 ;- ;1,500 ;1,500 ;- ;1,800 ;;6,700 ;- ;2,450 ;18,000 ;;;- ;;18,000 ;- ;;;;8 ;500 ;150 ;500 ;;250 ;
Trökörna ;230 ;160 ;- - ;120 ;4,500 ;- - ;1,500 ;- ;6,800 ;;;;4,200 ;1,200 ;- ;6,000 ;9,000 ;;110 ;;;;;120 ;480 ;;9° ;
Summa Viste hürad ;3,745 ;1,952 ;32 ;3,121 ;15,220 ;- ;15,193 ;;53,734 ;;500 ;20,000 ;640 ;640 ;- ;480 ;27,000 ;- ;140 ;;;;;too ;350 ;;;
;;;;;;;;-- ;;- ;9,803 ;273,415 ;15,540 ;9,333 ;88 ;14,201 ;90,720 ;- ;1,190 ;210 ;234 ;71 ;2,837 ;1,084 ;3,651 ;;;
Gösslunda ;250 ;600 ;5 ;675 ;1,350 ;- ;2,050 ;- ;3,075 ;- ;830 ;20,140 ;675 ;1,200 ;20 ;675 ;1,350 ;;;;;;;;;;948 ;
Hjerpâs, Ilöra och Vedum ;;378 ;- ;1,470 ;2,888 ;- ;4,200 ;;15,200 ;250 ;1,200 ;78,750 ;;1,890 ;- ;7,560 ;14,410 ;- ;140 ;;;;;150 ;205 ;;;
