Table: Table_1

;1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51, ;52. ;53. ;51. ;55. ;56. ;58. ;59. ;60. ;61. ;66 ;67. ;68. ;69 ;70. ;71. ;72 ;73. ;74. ;75. ;
;Härene med Skofteby ;- ;180 ;;900 ;5 ;2,700 ;125 ;14.400 ;- ;3,250 ;51,250 ;920 ;600 ;- ;720 ;- ;6,300 ;1,500 ;10 ;- ;- ;20,000 ;180 ;40 ;60 ;6 ;310 ;200 ;170 ;- ;400 ;;
;Källby ;;50 ;;1,200 ;10 ;750 ;50 ;4,200 ;;1,000 ;16.000 ;200 ;500 ;;200 ;_____ - ;9,600 ;;25 ;;;12,000 ;70 ;25 ;30 ;;190 ;90 ;200 ;;50 ;;
;Lindärfva ;;150 ;;400 ;;300 ;;3,360 ;;350 ;13,500 ;260 ;1,000 ;- ;600 ;;3,200 ;;10 ;;;3,000 ;50 ;9 ;20 ;;260 ;70 ;50 ;;;;
;Skeby ;;30 ;;900 ;;300 ;50 ;4.480 ;;300 ;16,000 ;;225 ;;120 ;- ;7,200 ;;12 ;5 ;500 ;6,000 ;55 ;12 ;27 ;2 ;120 ;50 ;100 ;;;;
;Skelfvum ;;10 ;;900 ;10 ;600 ;50 ;9,460 ;;250 ;10,500 ;80 ;160 ;- ;40 ;- ;9,000 ;;;- ;;;50 ;14 ;40 ;;180 ;100 ;200 ;;;;
;Säfvare ;;;;4,000 ;60 ;2,400 ;;4.500 ;;480 ;26,000 ;950 ;2,000 ;- ;;;25,000 ;;230 ;- ;;;130 ;15 ;50 ;;350 ;;250 ;;;;
;Ofva ;;292 ;;1,300 ;? ;3,250 ;;3.800 ;- ;990 ;10.400 ;;850 ;- ;657 ;- ;4,800 ;25,000 ;? ;- ;- ;4,000 ;72 ;6 ;24 ;;260 ;98 ;45 ;;;;
;S:a för Kinnefjerdings härad ;- ;1,186 ;- ;19,675 ;138 ;19,980 ;1,115 ;75,564 ;40 ;11,530 ;308,650 ;3,660 ;7,579 ;- ;4,309 ;- ;143,550 ;39,775 ;362 ;5 ;500 ;102,720 ;1,154 ;282 ;481 ;50 ;3,288 ;1,211 ;2,219 ;- ;1,096 ;? ;
;Bredsäter ;- ;25 ;- ;584 ;15 ;180 ;180 ;8,200 ;- ;360 ;23,760 ;180 ;260 ;- ;150 ;- ;2,920 ;3,000 ;30 ;- ;;;X 40 ;8 ;96 ;;240 ;90 ;100 ;- ;60 ;;
;Forshem ;;275 ;;2,500 ;20 ;5,200 ;;17,500 ;;400 ;40.000 ;1,000 ;750 ;- ;1,400 ;- ;12,000 ;50,000 ;45 ;5 ;15,000 ;45,000 ;150 ;40 ;200 ;15 ;700 ;200 ;275 ;;180 ;;
;Fullösa. Götene ;;78 ;;1,836 ;12 ;1,148 ;110 ;7,620 ;;2.700 ;20.867 ;1,872 ;260 ;;312 ;- ;7,344 ;71,400 ;40 ;8 ;8,820 ;16,000 ;58 ;22 ;62 ;6 ;312 ;64 140 ;80 240 ;;65 ;10 ;
;;5 ;55 ;;790 ;;2,030 ;90 ;7,350 ;15 ;250 ;20,100 ;;890 ;25 ;;- ;5,750 ;450 ;;8 ;7,000 ;20,000 ;54 ;18 ;48 ;4 ;260 ;;;- ;;;
;Holmestad ;;180 ;;2,800 ;50 ;3,360 ;60 ;10,920 ;;250 ;42,000 ;250 ;1,000 ;- ;1,800 ;- ;22,400 ;8,000 ;250 ;;5,000 ;50,000 ;130 ;75 ;200 ;;420 ;225 ;750 ;;100 ;13 ;
