Table: Table_1

;1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;AG. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55 ;57. ;58 ;59. ;60. ;61. ;66. ;67. ;68. ;69 ;70. ;71 ;72. ;73. ;74 ;;
1 ;Härene med Skofteby ;;180 ;;900 ;5 ;1,800 ;75 ;12,000 ;- ;2,600 ;41,000 ;920 ;240 ;;360 ;- ;4,500 ;1,000 ;10 ;- ;- ;15,000 ;180 ;40 ;60 ;6 ;310 ;200 ;170 ;;300 ;;
;Källby ;5 ;70 ;;1,200 ;8 ;600 ;25 ;2,000 ;- ;750 ;18.200 ;250 ;300 ;15 ;220 ;- ;6,000 ;;40 ;- ;- ;;75 ;20 ;30 ;4 ;200 ;85 ;190 ;- ;50 ;;
;Lindärfva ;- ;180 ;;432 ;;1,890 ;;5,628 ;- ;780 ;20,115 ;;540 ;;780 ;- ;1,782 ;? ;;;;;70 ;15 ;27 ;5 ;250 ;70 ;60 ;- ;35 ;;
;Skeby ;;30 ;;900 ;4 ;250 ;40 ;3,200 ;- ;300 ;16,000 ;;90 ;- ;60 ;- ;4,500 ;;12 ;4 ;300 ;3,000 ;55 ;12 ;27 ;2 ;120 ;50 ;100 ;;25 ;;
;Skelfvum ;- ;10 ;- ;900 ;10 ;240 ;40 ;6,020 ;- ;300 ;12,000 ;80 ;80 ;- ;10 ;- ;7.200 ;;;- ;;;50 ;12 ;40 ;3 ;150 ;75 ;200 ;;50 ;;
;Säfvare ;- ;;;4,000 ;GO ;1.960 ;;5,760 ;- ;480 ;26.200 ;1,200 ;500 ;- ;;- ;25,000 ;;230 ;- ;- ;;130 ;15 ;50 ;5 ;360 ;80 ;250 ;;60 ;;
;Ofva ;- ;250 ;- ;1,300 ;2 ;2,000 ;- ;4,000 ;- ;1,400 ;18,000 ;;60 ;- ;grönfoder ;- ;5,200 ;30,000 ;? ;- ;- ;? ;75 ;10 ;24 ;4 ;275 ;102 ;42 ;- ;78 ;;
;S:a för Kinnefjerdings härad ;5 ;1,646 ;- ;18,773 ;121 ;14,526 ;505 ;69,352 ;80 ;13,176 ;301,954 ;3,725 ;3,735 ;15 ;4.126 ;- ;98,272 ;46,000 ;328 ;24 ;300 ;49,720 ;1,373 ;293 ;513 ;61 ;3,863 ;1,144 ;1,936 ;- ;982 ;;
;Bredsäter ;- ;;- ;584 ;15 ;300 ;180 ;5,000 ;- ;420 ;21,312 ;- ;200 ;- ;- ;- ;2,336 ;? ;30 ;- ;- ;13,000 ;50 ;10 ;84 ;5 ;230 ;80 ;100 ;- ;65 ;;
;Forshem ;- ;225 ;- ;2,000 ;;3,450 ;;13,825 ;- ;450 ;37,900 ;1,000 ;350 ;- ;grönfoder ;- ;10,000 ;;;- ;16,000 ;39,000 ;145 ;38 ;180 ;17 ;650 ;175 ;250 ;- ;190 ;;
10 ;Fullösa ;- ;;- ;1,470 ;12 ;520 ;27 ;5,420 ;- ;1,575 ;13,700 ;1,734 ;35 ;- ;;- ;5,880 ;18,600 ;27 ;7 ;2,400 ;24,160 ;68 ;33 ;64 ;4 ;303 ;128 ;96 ;- ;62 ;;
11 ;Götene ;6 ;57 ;- ;790 ;7 ;1,250 ;75 ;5,260 ;15 ;240 ;17,340 ;55 ;280 ;18 ;70 ;- ;7.450 ;480 ;29 ;8 ;7,500 ;25,000 ;50 ;13 ;58 ;3 ;275 ;140 ;280 ;- ;85 ;;
12 ;Holmestad ;- ;100 ;- ;3,200 ;25 ;800 ;80 ;9,000 ;;300 ;40,000 ;- ;200 ;- ;100 ;- ;20,200 ;6,000 ;;- ;3,000 ;25,000 ;135 ;70 ;150 ;8 ;450 ;190 ;700 ;- ;150 ;;
13 ;Kestad ;- ;25 ;- ;600 ;10 ;150 ;;3,000 ;- ;750 ;8,800 ;- ;15 ;- ;100 ;- ;4,200 ;6,000 ;40 ;- ;500 ;4,800 ;32 ;10 ;22 ;1 ;105 ;30 ;50 ;- ;14 ;;
14 ;Klefva ;- ;70 ;- ;1,000 ;;500 ;- ;4,000 ;- ;1.000 ;15,000 ;- ;120 ;- ;140 ;- - ;5,500 ;- ;;- ;400 ;4,000 ;45 ;8 ;36 ;1 ;140 ;60 ;150 ;- ;50 ;;
15 ;Ledsjö ;;;- ;7.200 ;20 ;900 ;;6,800 ;- ;1,800 ;26.100 ;;320 ;;;- ;36,000 ;;30 ;- ;;7,500 ;88 ;25 ;80 ;5 ;420 ;146 ;321 ;- ;160 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Lugnas Medelplana ;1 ;20 ;;1,500 ;15 ;300 ;100 ;2,000 ;- ;120 ;20,000 ;100 ;125 ;10 ;100 ;- ;7,000 ;460 ;40 ;- ;- ;10,000 ;75 ;10 ;140 ;5 7 ;560 ;200 ;100 ;- ;100 250 ;;
17 ;;;;;5,000 ;;1,000 ;180 ;4,000 ;;6,000 ;780 ;16,200 ;300 ;;;- ;30,000 ;70,000 ;;- ;- ;;90 ;20 ;50 ;;300 ;100 ;200 ;;;;
18 ;Sil ;5 ;50 ;- ;180 ;12 ;1,300 ;80 ;3,200 ;85 ;1,450 ;8,000 ;60 ;130 ;20 ;300 ;- ;1.800 ;2.220 ;10 ;- ;- ;5,920 ;46 ;15 ;34 ;3 ;130 ;48 ;140 ;- ;40 ;;
19 ;Vedum ;- ;50 ;;800 ;12 ;600 ;;6,900 ;;;28,000 ;;50 ;-- ;50 ;- ;3.200 ;1,500 ;8 ;- ;- ;;93 ;34 ;66 ;7 ;420 ;120 ;400 ;- ;90 ;;
20 ;Vesterplana Vättlosa ;- ;67 80 ;- ;1,227 2.500 ;60 ;142 4.280 ;6 ;3,665 10,080 ;- ;2,984 624 ;730 ;6,500 ;180 500 ;- ;120 160 ;- ;5,000 15,000 ;16,500 ;;- ;- ;;44 ;11 ;16 70 ;1 ;92 475 ;46 90 ;86 120 ;- ;39 45 ;;
21 ;;- ;;- ;;;;;;- ;;30.000 ;- ;;- ;;- ;;;;;;;120 ;20 ;;5 ;;;;- ;;;
22 ;Österplana ;- ;70 ;- ;2,250 ;4 ;240 ;40 ;5,500 ;- ;3,360 ;3,360 ;6,720 ;80 ;- ;grönfoder ;- ;13,500 ;30,000 ;20 ;3 ;1.000 ;5,000 ;75 ;10 ;20 ;4 ;300 ;100 ;150 ;- ;25 ;;
;Summa för Kinne härad ;12 ;814 ;- ;30,301 ;192 ;15,732 ;768 ;87,150 ;100 ;21,073 ;271,022 ;32,369 ;2,885 ;48 ;1,140 ;-- ;167,066 ;151,760 ;234 ;18 ;30,800 ;163,380 ;1,156 ;327 ;1,070 ;76 ;4,850 ;1.653 ;3.143 ;- ;1,365 ;;
23 ;Edsvära ;- ;126 ;- ;7,623 ;? ;1,384 ;- ;15,120 ;504 ;1,575 ;59,220 ;1,415 ;570 ;- ;756 ;-- ;60.984 ;1,500 ;- ;40 ;- ;4,050 ;150 ;50 ;76 ;10 ;575 ;100 ;225 ;- ;175 ;;
24 ;Fyrunga ;- ;628 ;- ;975 ;10 ;1,054 ;- ;3,180 ;- ;756 ;24,315 ;1,285 ;804 ;- ;1,884 ;- ;4,875 ;400 ;20 ;3 ;;5,000 ;120 ;45 ;16 ;7 ;200 ;80 ;280 ;- ;70 ;;
25 ;Gerum ;- ;310 ;- ;2,250 ;63 ;600 ;- ;7,200 ;- ;480 ;40,200 ;- ;100 ;- ;310 ;- ;6.750 ;15,000 ;10 ;10 ;4,000 ;7,000 ;75 ;30 ;50 ;7 ;270 ;55 ;150 ;- ;100 ;;
26 ;Händene ;- ;21 ;- ;1,848 ;48 ;350 ;- ;10,506 ;- ;;17,380 ;;105 ;- ;105 ;- ;11,088 ;2,000 ;;36 ;;13,344 ;115 ;8 ;20 ;5 ;300 ;50 ;200 ;- ;50 ;;
27 ;Härjevad ;- ;125 ;- ;610 ;- ;500 ;;2,600 ;;950 ;21,000 ;650 ;450 ;- ;575 ;- ;5.300 ;;- ;- ;100 ;5,000 ;79 ;21 ;8 ;2 ;168 ;125 ;155 ;- ;45 ;;
28 ;Härlunda ;- ;100 ;- ;7,400 ;;250 ;200 ;4,500 ;300 ;350 ;15,000 ;500 ;200 ;- ;600 ;;66,600 ;;;;300 ;500 ;55 ;10 ;84 ;5 ;300 ;150 ;160 ;- ;50 ;;
29 ;Jung. ;- ;325 ;;1,680 ;24 ;1,290 ;;6,300 ;36 ;600 ;47 500 ;2,00 ;1,000 ;- ;975 ;;8,400 ;2,500 ;72 ;12 ;;15,000 ;207 ;63 ;26 ;8 ;450 ;200 ;380 ;- ;150 ;;
30 ;Marum. ;- ;25 ;- ;500 ;5 ;240 ;- ;2,800 ;;200 ;10,000 ;;130 ;- ;150 ;;2,500 ;;;4 ;- ;1,500 ;28 ;2 ;30 ;3 ;180 ;15 ;50 ;- ;50 ;;
31 ;Qvänum ;;550 ;;1,400 ;40 ;800 ;;3,600 ;- ;800 ;61,000 ;1,500 ;300 ;- ;800 ;- ;4,000 ;? ;70 ;;;;140 ;60 ;52 ;7 ;400 ;130 ;350 ;- ;145 ;;
82 ;Saleby ;;;;1.500 ;;3,600 ;;18,750 ;___ ;2,600 ;90,000 ;4,400 ;1,600 ;;;- ;6,000 ;;;;- ;65,000 ;350 ;72 ;66 ;9 ;760 ;243 ;535 ;- ;120 ;;
33 ;Skallmeja ;X 30 ;470 ;;2,400 ;15 ;2,480 ;60 ;3,400 ;;2,500 ;24,000 ;400 ;1,000 ;60 ;1,880 ;;14,400 ;500 ;30 ;60 ;- ;26,800 ;150 ;65 ;40 ;6 ;300 ;150 ;325 ;;150 ;;
34 ;Skara landsförsamling ;;95 ;;800 ;;400 ;;4.056 ;- - ;600 ;12,520 ;;360 ;;;;4,800 ;;;;;4,000 ;52 ;6 ;24 ;G ;215 ;;105 ;- ;30 ;;
35 ;Synnerby ;4 ;256 ;;3.000 ;20 ;3,000 ;150 ;15,000 ;- ;1.200 ;58.632 ;600 ;300 ;12 ;1.024 ;- ;18.000 ;260 ;80 ;8 ;4,000 ;15,000 ;168 ;67 ;40 ;10 ;570 ;210 ;200 ;- ;100 ;;
36 ;Travad (del) ;- ;;;1,100 ;7 ;560 ;- ;8,000 ;- ;800 ;30,800 ;;100 ;- ;;- ;5.500 ;60 ;28 ;- ;- ;14,000 ;75 ;15 ;20 ;4 ;250 ;40 ;120 ;- ;45 ;;
37 ;Trässberg ;;150 ;;1.800 ;;1,500 ;;6,700 ;- ;1,600 ;46,000 ;710 ;500 ;- ;400 ;- ;14.400 ;;;- ;- ;;150 ;40 ;12 ;3 ;200 ;100 ;175 ;- ;75 ;;
38 ;Vinköl ......... ;- ;170 ;;5,250 ;30 ;1,500 ;125 ;13,500 ;;1,000 ;66.950 ;250 ;260 ;- ;1,020 ;- ;25,000 ;13,000 ;80 ;- ;- ;;165 ;67 ;108 ;6 ;380 ;150 ;450 ;-- ;150 ;;
39 ;yânga ;;200 ;;5,000 ;40 ;750 ;- ;16,480 ;;450 ;45,000 ;4.500 ;320 450 ;- ;400 400 ;- ;25,000 63,000 ;;100 ;;;;210 ;75 ;180 ;8 ;500 ;150 ;350 ;- ;200 ;;
40 ;Asaka ;;100 ;;9,000 ;20 ;1,400 ;350 ;12,360 ;150 ;1,500 ;35,000 ;3.000 ;;- ;;- ;;4,000 ;10 ;30 ;1,200 ;30,000 ;140 ;40 ;200 ;6 ;450 ;130 ;350 ;- ;180 ;;
41 ;Ottum ;;525 ;- ;3,450 ;10 ;807 ;- ;9.520 ;- ;475 ;46.500 ;;1.600 ;- ;2.100 ;- ;18.500 ;;5 ;;- ;? ;150 ;75 ;25 ;10 ;325 ;100 ;225 ;- ;100 ;;
;Summa för Skänings härad ;34 ;4,176 ;- ;57,586 ;332 ;22.465 ;885 ;163,572 ;990 ;17,936 ;751,017 ;21,510 ;10,149 ;72 ;13.379 ;- ;365.097 ;39,220 ;505 ;203 ;9.600 ;206,194 ;2,579 ;811 ;1,077 ;122 ;6,793 ;2,208 ;4,785 ;- ;1,985 ;;
42 ;Bitterna, Vestra- ;6 ;50 ;- ;2,000 ;? ;100 ;- ;4.060 ;- ;150 ;30,000 ;150 ;16 ;50 ;200 ;- ;8,000 ;600 ;, ;- ;- ;p ;90 ;20 ;30 ;5 ;330 ;130 ;230 ;- ;80 ;;
43 ;Bitterna, Ostra- ;2 ;50 60 ;- -- ;2.160 5,000 ;20 40 ;450 960 ;100 ;5,400 ;400 ;700 1,250 ;37,250 110.000 ;2,000 1,650 ;150 80 ;20 - ;350 120 ;- ;8.640 30,000 ;200 1.000 ;60 120 ;- - ;- ;15,000 13,000 ;75 330 ;10 50 ;30 270 ;4 8 ;200 860 ;135 430 ;300 600 ;- ;60 300 ;;
44 ;Larf ;- ;;;;;;240 ;9,000 ;;;;;;;;- ;;;;;;;;;;;;;;- ;;;
45 ;Lundby ;- ;40 ;- ;3,500 ;15 ;600 ;25 ;7,000 ;60 ;400 ;40,000 ;1.000 ;175 ;- ;200 ;- ;21.000 ;? ;50 ;;1.000 ;?1,000 ;125 ;20 ;20 ;5 ;350 ;120 ;200 ;- ;150 ;;
46 ;Längjum med Vessby ;;90 ;;3.480 ;12 ;300 ;;3,600 ;- ;360 ;107,875 ;360 ;150 ;- ;270 ;- ;20,880 2.000 ;;24 ;5 ;4,000 ;10,000 ;170 ;25 ;30 ;6 ;384 ;120 ;365 ;- ;110 ;;
47 ;Trâvad (dcl), ;;;;400 ;3 ;400 ;- ;5,500 ;- ;200 ;17,500 ;;130 ;- ;80 ;- ;11.100 ;20 ;12 ;;;8,250 ;60 ;7 ;4 ;1 ;160 ;30 ;150 ;- ;35 ;;
48 ;Vedum ;- ;40 ;- ;3,700 ;20 ;200 ;- ;8.050 ;- ;275 ;38,400 ;- ;100 ;- ;;- ;;? ;? ;- ;- ;? ;120 ;20 ;15 ;5 ;300 ;125 ;300 ;- ;160 ;;
;Summa för Laske härad ;8 ;330 ;- ;20,240 ;110 ;3,010 ;365 ;42.610 ;460 ;3,335 ;381.025 ;5,160 ;801 ;70 ;1,220 ;- ;101,620 ;1,820 ;266 ;5 ;5.000 ;47,250 ;970 ;152 ;399 ;34 ;2,584 ;1,090 ;2,145 ;- ;895 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49 ;Floby ;- ;180 ;- ;5,000 ;, ;240 ;- ;7,800 ;- ;2,150 ;68,000 ;;450 ;- ;900 ;- ;30.000 ;150 ;, ;;;16,000 ;120 ;15 ;100 ;3 ;400 ;200 ;150 ;- ;100 ;;
50 ;Gökhem ;- ;25 ;;4,100 ;12 ;140 ;80 ;5,225 ;120 ;10,400 ;79,250 ;2,400 ;200 ;- ;50 ;- ;24,600 ;;24 ;16 ;500 ;4,500 ;150 ;70 ;160 ;6 ;500 ;140 ;325 ;- ;175 ;;
51 ;Göteve ;- ;;- ;2,400 ;, ;;- - ;4.608 ;;1,636 ;31,680 ;;12 ;- ;16 ;- ;14.400 ;24 ;30 ;;5,595 ;2.700 ;92 ;18 ;45 ;2 ;260 ;75. ;195 ;- ;70 ;;
52 ;Jüla ;- ;;- ;4,000 ;24 ;;;1,680 ;- ;780 ;11,500 ;690 ;95 ;- ;24 ;;20,500 ;? ;100 ;25 ;150 ;1,900 ;70 ;30 ;105 ;3 ;285 ;180 ;275 ;- ;80 ;;
53 ;Klefva ;- ;50 ;;3,000 ;;200 ;100 ;9,180 ;- ;4.500 ;40.000 ;2,750 ;300 ;- ;200 ;;15,000 ;;;;- ;;80 ;40 ;100 ;4 ;225 ;200 ;300 ;- ;150 ;;
54 ;Marka ;- ;125 ;- ;3.575 ;;- ;;1.950 ;- ;2.100 ;21.200 ;300 ;40 ;- ;200 ;- ;10.725 ;;;- ;- ;? ;80 ;35 ;80 ;5 ;250 ;170 ;150 ;;75 ;;
55 ;Sörby ;- ;95 ;- ;1,250 ;19 ;- ;- ;3.072 ;;1,280 ;21,299 ;;102 ;;grönfoder ;- ;8.192 ;2.000 ;;- ;- ;3.100 ;64 ;32 ;64 ;7 ;160 ;68 ;128 ;- ;40 ;;
56 ;Trevattna ;- ;25 ;- ;1.600 ;3 ;- ;- ;2.800 ;140 ;250 ;16.500 ;450 ;100 ;- ;grönfoder ;- ;11,200 ;1,000 ;, ;- ;25 ;2.000 ;75 ;35 ;80 ;;320 ;100 ;100 ;- ;50 ;;
57 ;Ullene ;- ;6 ;- ;945 ;9 ;- ;18 ;2,360 ;48 ;376 ;15,275 ;- ;12 ;- - ;12 ;- ;4.725 ;;10 ;- ;- ;1.000 ;48 ;9 ;50 ;1 ;157 ;137 ;140 ;- ;40 ;;
;Summa för Vilske härad ;- ;446 ;- ;25,870 ;67 ;580 ;198 ;38,675 ;308 ;23,472 ;304,704 ;6,590 ;1,311 ;- ;1.402 ;- ;139,342 ;3,174 ;164 ;41 ;6.270 ;31,200 ;779 ;284 ;784 ;36 ;2.557 ;1,270 ;1,763 ;- ;780 ;;
58 ;Bierka ;- ;315 ;- ;8.190 ;, ;- ;- ;10,710 ;178 ;504 ;31.500 ;- ;308 ;- ;grönfoder ;- ;78.750 ;18,000 ;- ;16 ;- ;4,000 ;50 ;5 ;156 ;5 ;310 ;80 ;240 ;- ;90 ;;
59 ;Bjurum ;- ;;;12,500 ;- ;;- ;6.000 ;- ;3.600 ;24,000 ;- ;1,000 ;- ;-- ;;112,000 ;;- ;;- ;;GO ;15 ;130 ;3 ;250 ;150 ;130 ;- ;100 ;;





