Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22 ;23. ;24. ;25. ;26 ;27. ;28. ;29 ;30. ;31. ;32 ;33. ;34. ;35 ;
Borgunda ;33 ;;;;16 ;2,104 ;320 ;600 ;20 ;60 ;;;42 ;;17 ;;320 ;620 ;;128 ;;;10 ;600 ;;320 ;;;1,600 ;;403 ;4.428 ;512 ;;
Broddetorp ;6,88 ;;;;;424 ;;;;;;;;;;;;;;;;;;;;;;;;;;1.184 1,674 ;;;
Brunnhem ;12.75 ;;;;;655 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dala ;28,69 ;;;;;2,150 ;;;;;;;;;;;;;;;;;;;;;;;;;;5.400 3,150 ;;150 ;
Ed&sa ;6,85 ;;;;;1,510 ;;2,373 ;;;;;;;;;;;;;;;;;;;;;;;;2,000 ;;;
Falköpings landsförsamling Friggeräker ;10 17,88 ;;;;;500 1,024 ;170 869 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gudhem ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.600 ;;;
;21 ;;;;;2,200 ;;;;;;;;;;;;;;;;;;;;;;;;;;2,000 ;;;
Hornborga ;15,68 ;;;;;650 ;;;;;;;;;;;;;;;;;;;;;;;;;;1,560 ;;;
Hâkantorp ;6,81 ;;;;;520 ;290 ;340 ;;;;;;;;;;;;;;;;;;;;;;;;590 ;;;
Högstena ;14,75 ;;;;;547 ;182 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrketorp ;10,63 ;;;;;650 ;194 ;;;;;;;;;;;;;;;;;;;;;;;;;2,700 ;;;
Ljunghem ;9,75 ;;;;;630 ;580 ;1.406 ;;;;;;;;;;;;;;;;;;;;;;;;1.565 ;;;
Râdene ;17,88 ;;;;;895 ;735 ;500 ;;;;;;;;;;;;;;;;;;;;;;;;2,850 ;;;
