Table: Table_1

1. ;2. ;3. ;4. ;5. 6. ;;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29, ;30. ;31. ;32. ;33. ;34 ;35. ;;
Borgunda ;33 ;77 ;42 ;6.480 16 ;;2.104 ;320 ;600 ;20 ;60 ;17 ;;42 ;60 ;17 ;;320 ;620 ;23 ;128 ;;;10 ;600 ;;320 ;;- ;1,600 ;- ;403 ;4,428 ;512 ;;;
Broddetorp ;6'88 ;;;2.314 ;;424 ;;;;;;;;;;;;;;;;;;109 ;;;;;264 ;;;1.184 ;;;;
Brunnhem ;12:75 ;;;2,083 ;;655 ;;;;;;;;;;;;;;;;;;;;;;;;;;1,760 ;400 ;;;
Dala ;28:69 ;;;5,092 ;;2.150 ;;;;;;;;;;;;;;;;;;;;;;;1,500 ;;;5.400 ;;150 ;;
Ed&sa (del) Falköpings landsförsamling (del) ;6'85 10 ;;;4.020 1,157 ;;1,630 700 ;170 ;;;;;;;;;;;200 ;;;;;;200 ;;;;;1,395 ;;;3,720 2,000 ;;26 ;;
Friggeraker ;17:88 ;;;4.629 ;;1.915 ;860 ;;;;;;;;;;;555 ;;;;;990 ;160 ;;;;;;;;2,000 ;;;;
Gudhem ;20:50 ;66 ;;3,703 28 ;;2,380 ;180 ;1,115 ;;;;;;;;;;700 ;;;100 ;;470 ;417 ;;;;;1,330 ;;;4,400 ;;;;
Hornborga ;15:68 ;;;694 ;;650 ;;;;;;;;;;;;208 ;;;;;;;;;;;;;;2,000 ;500 ;;;
Hâkantorp ;6:31 ;;19 ;1,389 ;6 ;520 ;290 ;340 ;;;;;;;;;100 ;160 ;;;;;;;;;;;440 ;;;1,560 ;100 ;;;
Högstena ;14:75 ;65 ;;2,777 ;3 ;1,000 ;150 ;448 ;;;;;;;;;;760 ;;;;;;;;;;;540 ;;230 ;4,158 ;310 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrketorp ;10:63 ;;;694 ;;529 ;160 ;;;;;;;;;;;339 ;;;;;;;;;;;600 ;;320 ;2,800 ;150 ;35 ;;
Ljunghem ;9:75 ;;;3,617 12 ;;818 ;400 ;1,338 50 ;;;;;;;;;150 ;280 ;;;;;15 ;199 ;;;;;750 ;;;2,240 ;;;;
Râdene ;17:38 ;;;2.314 28 ;;913 ;722 ;;;;;;;;;;;350 ;;;;;;166 ;;;;;720 ;;100 ;2,875 ;;;;
Segerstad Stenstorp 1) ;15:50 ;;;5.786 2,777 ;ber ;730 1,010 ;210 150 ;505 692 ;;;;;;;;;;248 420 ;10 ;;;;;150 203 ;;;;;819 ;;189 ;2,110 ;473 50 ;31 ;;
Sjogerstad ;18:19 ;46 ;;3,703 76 ;;1,590 ;1,040 ;997 ;;;;;;;;;;500 ;55 ;100 ;35 ;;;212 ;;;;;1.390 ;;;;;210 ;;
Sätuna ;10:88 ;30 ;;1,620 10 ;;500 ;500 ;90 ;;;;;;;;;100 ;185 ;10 ;50 ;;;;50 ;;;;;600 ;;150 ;1.300 ;;50 ;;
Torbjörntorp ;11:88 ;34 ;;1,851 10 ;;1,302 ;106 ;50 ;;;;;;;;;;115 ;8 ;90 ;30 ;2 ;250 ;304 ;;120 ;;;100 ;;42 ;508 ;;;;
Tunhem ;12 ;50 ;;1,620 20 ;;507 ;200 ;;;;;;;;;;;266 ;10 ;46 ;;;;15 ;;;;;420 ;;360 ;1,740 ;;GO ;;
Ugglum ;15:50 ;;;2,314 10 ;;600 ;220 ;10 ;;;;;;;;;;320 ;;;;;;;;;;4 ;540 ;;150 ;;;;;
Valtorp ;14:50 ;26 ;;2,083 15 ;;917 ;400 ;655 ;;;;;;;;;150 ;444 ;16 ;48 ;;2 ;16 ;85 ;;150 ;38 ;;750 ;;150 ;1,900 2,650 ;14 ;40 48 ;21 22 ;
Gudhems härad ;302-96 ;1,019 ;519 ;73,363 383 ;;27,444 ;7,399 ;13,622 ;127 ;541 ;212 ;15 ;94 ;246 ;103 ;6 ;3,978 ;9,265 ;291 ;1,998 ;258 ;43 ;2,572 ;4,805 ;4 ;3,845 ;515 ;10 ;19,633 ;260 ;5,107 ;65,613 ;2.559 ;1,278 ;;
Bolum ;33:25 ;124 ;54 ;4.397 18 ;;1,550 ;390 ;1,530 ;20 ;;;;9 ;24 ;10 ;;310 ;670 ;;80 ;14 ;6 ;25 ;170 ;- ;254 ;50 ;10 ;1.855 ;- ;600 ;5,000 ;1,250 ;200 ;23 ;
