Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Flo ;33,78 ;67 ;55 ;;50 ;4,800 ;150 ;2,000 ;- ;15 ;24 ;;- ;14 ;11 ;8 ;600 ;1,300 ;200 ;100 ;50 ;5 ;600 ;1,300 ;45 ;600 ;1,000 ;100 ;2,500 ;- ;500 ;10,000 ;300 ;1,000 ;
Friel ;11,06 ;54 ;29 ;;8 ;1,180 ;5 ;205 ;3 ;9 ;41 ;1 ;- ;;1 ;1 ;200 ;430 ;30 ;20 ;2 ;;;330 ;- ;167 ;200 ;- ;960 ;- ;180 ;2,880 ;290 ;90 ;
Hâle ;12,60 ;99 ;;;22 ;1,236 ;21 ;32 ;2 ;54 ;16 ;- ;;;;;145 ;590 ;90 ;30 ;;3 ;100 ;133 ;- ;145 ;200 ;- ;570 ;- ;90 ;4,900 ;720 ;175 ;
Karaby ;;61 ;;;10 ;1,940 ;;;4 ;46 ;6 ;;;;;;100 ;1,000 ;94 ;14 ;;2 ;340 ;300 ;- ;100 ;60 ;- ;440 ;- ;120 ;2,500 ;- ;250 ;
Näs ;24,13 ;74 ;65 ;;35 ;2,090 ;140 ;3,500 ;5 ;36 ;5 ;2 ;48 ;;;;300 ;700 ;50 ;60 ;35 ;5 ;180 ;500 ;- ;260 ;240 ;;1,400 ;- ;360 ;5,000 ;- ;150 ;
Sal ;10,13 ;42 ;;;33 ;1,700 ;;;;15 ;17 ;;;;;;212 ;500 ;65 ;50 ;5 ;4 ;216 ;432 ;;216 ;70 ;- ;1,050 ;- ;160 ;4,230 ;;290 ;
Särestad ;18,50 ;123 ;19 ;;32 ;2,278 ;18 ;67 ;1 ;64 ;35 ;;12 ;4 ;2 ;1 ;280 ;584 ;72 ;74 ;22 ;5 ;250 ;560 ;32 ;285 ;245 ;- ;1,450 ;- ;118 ;3,900 ;150 ;350 ;
Tun ;22,88 ;41 ;66 ;;35 ;2,975 ;390 ;1,015 ;;9 ;;2 ;11 ;41 ;9 ;;410 ;700 ;35 ;70 ;40 ;5 ;;1,345 ;;370 ;150 ;- ;2,268 ;- ;315 ;4,095 ;;189 ;
Täng ;9,75 ;52 ;12 ;;8 ;1,755 ;6 ;200 ;6 ;43 ;11 ;;;2 ;2 ;;200 ;673 ;60 ;20 ;;;200 ;400 ;- ;200 ;180 ;;990 ;;130 ;4,500 ;120 ;360 ;
As ;17,88 ;66 ;;;15 ;2,460 ;25 ;- ;5 ;29 ;29 ;3 ;5 ;21 ;15 ;2 ;250 ;565 ;40 ;36 ;5 ;4 ;560 ;750 ;- ;250 ;200 ;10 ;1,100 ;- ;150 ;7,750 ;210 ;180 ;
Summa Ase härad ;169,11 ;679 ;262 ;;248 ;22,414 ;755 ;7,019 ;26 ;320 ;184 ;8 ;76 ;124 ;43 ;7 ;2,697 ;7,042 ;736 ;474 ;160 ;35 ;2,446 ;6,050 ;77 ;2,593 ;2,545 ;110 ;12,728 ;- ;2,123 ;49,755 ;1,790 ;3,034 ;
Bjerby ;8,25 ;40 ;4 ;;16 ;1,480 ;92 ;530 ;- ;- ;- ;- ;- ;- ;- ;- ;185 ;500 ;100 ;25 ;7 ;3 ;185 ;300 ;- ;185 ;200 ;- ;800 ;- ;100 ;4,000 ;200 ;160 ;
Bäreberg ;13,38 ;101 ;37 ;;18 ;1,590 ;100 ;1,000 ;7 ;89 ;5 ;- ;- ;- ;- ;- ;200 ;700 ;20 ;60 ;- ;10 ;200 ;350 ;- ;200 ;80 ;- ;900 ;- ;15 ;7,700 ;;75 ;
Flakeberg ;15,25 ;88 ;11 ;;25 ;2,280 ;;190 ;4 ;60 ;22 ;2 ;- ;- ;1 ;- ;279 ;890 ;146 ;50 ;;;400 ;600 ;- ;350 ;576 ;- ;1,467 ;- ;275 ;7,600 ;200 ;732 ;
Främmestad ;19,69 ;131 ;81 ;;;3,800 ;75 ;;- ;;;1 ;- ;- ;- ;;475 ;1,200 ;50 ;150 ;20 ;5 4 ;475 ;950 ;- ;475 ;100 ;- ;2,275 ;- ;480 ;8,960 ;;300 ;
Hyringa ;16,44 ;53 ;40 ;;10 ;2,550 ;10 ;811 ;- ;28 ;20 ;;;2 ;;2 ;320 ;800 ;80 ;44 ;17 ;;358 ;600 ;- ;397 ;350 ;- ;1,000 ;- ;300 ;7,000 ;300 ;100 ;
Levene, del ;7,88 ;50 ;15 ;;15 ;1,400 ;50 ;300 ;- ;26 ;1 ;1 ;- ;- ;2 ;;125 ;540 ;30 ;45 ;5 ;10 ;100 ;250 ;- ;125 ;160 ;- ;800 ;- ;100 ;800 ;200 ;150 ;
Längnum ;13,89 ;63 ;;;20 ;2,400 ;30 ;50 ;1 ;48 ;14 ;;- ;1 ;;- ;146 ;1,637 ;13 ;20 ;- ;;146 ;292 ;- ;146 ;78 ;- ;780 ;- ;78 ;3,600 ;100 ;80 ;
Malma ;13,75 ;90 ;44 ;;;;;;10 ;70 ;6 ;;;;2 ;- ;;;;;;- ;;;- ;;150 ;- ;1,550 ;- ;105 ;9,000 ;20 ;125 ;
Sparlösa ;22,18 ;113 ;83 ;;55 ;3,710 ;50 ;730 ;24 ;72 ;15 ;1 ;- ;8 ;1 ;- ;345 ;1,423 ;130 ;105 ;20 ;;274 ;905 ;- ;530 ;560 ;- ;1,372 ;- ;300 ;13,177 ;500 ;400 ;
Tengene ;15,88 ;84 ;44 ;;60 ;3,100 ;155 ;380 ;12 ;53 ;18 ;;;2 ;3 ;- ;400 ;1,140 ;30 ;60 ;- ;15 ;355 ;700 ;- ;400 ;400 ;40 ;1,560 ;- ;450 ;7,500 ;500 ;270 ;
