Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. 24. ;25. ;26. ;27. ;28. ;29. ;30. 31. ;32. ;33. ;34. ;35. ;
1 ;Borgunda ;33:00 ;81 ;45 ;6,480 ;20 ;2,928 ;427 ;1,635 ;20 ;60 ;22 ;;38 ;63 ;26 ;;485 ;995 ;35 ;175 ;12 ;1 16 ;745 ;- ;464 ;15 ;15 ;2,425 ;330 ;6,536 ;660 ;120 ;
;Broddetorp 1) ;688 ;;18 ;2,314 ;;424 ;129 ;655 ;1 ;21 ;;;;;;;42 ;140 ;;14 ;;10 ;90 ;10 ;42 ;40 ;;265 ;88 ;1.764 ;;44 ;
;Brunnhem ;12:75 ;;;2,083 ;20 ;655 ;25 ;1,383 ;4 ;30 ;;;;;;;120 ;258 ;25 ;70 ;;;60 ;- ;120 ;;;806 - ;200 ;1,670 ;400 ;150 ;
;Dala ;28.69 ;60 ;35 ;5,092 ;57 ;2,755 ;1,380 ;900 ;1 ;31 ;;;;;;;300 ;900 ;50 ;70 ;30 ;300 ;800 ;- ;300 ;30 ;- ;1,500 - ;400 ;5,400 ;;100 ;
6 ;Ed&sa (del) Falköpings landsförs. 1) ;6:85 10:64 ;17 35 ;38 4 ;4,020 1,157 ;18 10 ;1,650 700 ;100 432 ;2,252 15 ;4 3 ;11 32 ;;;;;;;290 80 ;476 300 ;5 5 ;30 50 ;5 ;84 ;466 175 ;- ;298 80 ;30 ;- ;1,420 - 400 ;200 ;3,808 2,600 ;;42 15 ;
7 ;Friggeräker ;17:88 ;56 ;;2 4,629 ;15 ;1.100 ;790 ;10 ;1 ;30 ;16 ;;;;;;100 ;510 ;10 ;50 ;20 ;100 ;200 ;5 ;100 ;20 ;;450 ;600 ;3,200 ;200 ;30 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8 ;Gudhem ;20:50 ;66 ;38 ;;28 ;2,510 ;180 ;1,382 ;5 ;62 ;;;;;;;280 ;826 ;10 ;120 ;100 ;4 470 ;420 ;- ;280 ;70 ;;1,330 ;1,000 ;4,900 ;;50 ;
9 ;Hornborga 1) ;15:68 ;33 ;40 ;694 ;15 ;694 ;375 ;412 ;- ;;;;;;;;120 ;250 ;12 ;150 ;5 ;12 ;36 ;- ;104 ;5 ;5 ;480 - ;150 ;1,800 ;100 ;45 ;
10 ;H&kantorp 1) ;6:31 ;17 ;19 ;1,389 ;6 ;514 ;400 ;469 ;;17 ;;;12 ;;;;90 ;160 ;6 ;133 ;5 ;5 10 ;20 ;- ;85 ;15 ;- ;440 - ;80 ;1,560 ;100 ;45 ;
11 ;Högstena ;14:75 ;65 ;8 ;2,777 ;3 ;1,000 ;150 ;1,176 ;2 ;24 ;39 ;;;;;;90 ;560 ;12 ;125 ;11 ;21 ;90 ;- ;90 ;6 ;- ;534 - ;228 ;6,000 ;144 ;36 11 ;
12 ;Kyrketorp ;10:63 ;31 ;12 ;694 ;5 ;549 ;141 ;;;19 ;;;;;;;68 ;225 ;8 ;30 ;9 ;60 ;85 ;- ;70 ;20 ;- ;320 - ;110 ;1,600 ;80 ;40 ;
;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;
13 14 ;Ljunghem Râdene ;9:13 17:38 ;18 34 ;29 44 ;3,617 42,314 ;12 27 ;900 772 ;200 752 ;2,505 1,286 ;10 ;18 ;;;;;;;170 150 ;294 318 ;15 ;17 50 ;3 8 ;24 - ;220 90 ;- ;171 140 ;10 ;;850 665 ;120 ;2,352 2,820 ;- ;13 25 ;
15 ;Segerstad 1) ;19/00 ;57 ;43 ;5,786 ;5 ;730 ;210 ;505 ;11 ;50 ;;;;;;;133 ;248 ;10 ;50 ;5 ;2 ;150 ;2 ;132 ;19 ;- ;819 - ;189 ;2.110 ;473 ;31 ;
16 ;Sjogerstad ;19:19 ;47 ;43 ;3,703 ;76 ;1.590 ;1,040 ;997 ;6 ;31 ;;;;;;;320 ;512 ;55 ;100 ;23 ;2 46 ;212 ;- ;320 ;110 ;- ;1,390 - ;180 ;3.820 ;;210 ;
17 ;Stenstorp ;15:50 ;67 ;;2,777 ;8 ;1,927 ;150 ;692 ;2 ;44 ;11 ;;;;;;270 ;749 ;7 ;50 ;6 ;5 30 ;540 ;- ;270 ;57 ;- ;1,050 - ;475 ;4,600 ;150 ;35 ;
18 19 ;Sätuna Torbjörntorp ;10:88 11:88 ;30 34 ;10 9 ;51 1,620 1,851 ;10 8 ;610 1,311 ;390 100 ;90 65 ;2 - ;20 17 ;16 ;;;;;;105 142 ;285 362 ;12 4 ;53 70 ;3 33 ;- 190 ;62 365 ;- - ;90 150 ;8 4 ;6 - ;630 - 782 - ;114 260 ;2,451 3,405 ;- 10 ;55 20 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
