Table: Table_1

1. ;36. ;37. ;38. ;39. ;;40 ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56 ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75 ;
H&ngsdala ;;;- ;5,393 ;;9 ;36 ;- ;9,394 ;;606 ;19,314 ;- ;456 ;- ;;- ;43,144 ;3,000 ;45 ;6 ;- ;5,400 ;64 ;18 ;128 ;;192 ;96 ;256 ;;64 ;;
Härja ;;;;2,510 ;;;;;7,938 ;;250 ;31,368 ;;;;280 ;;21,680 ;3,420 ;;;;1,125 ;;;170 ;;315 ;165 ;500 ;;;;
Hömb ;;;;1,200 ;;;;;4,000 ;;;10,000 ;;;;grönfoder ;;6,000 ;3,000 ;;;;4,800 ;;;;;200 ;;;;;;
Karleby ;;;;6,200 ;;;;;8,680 ;;3,600 ;32,400 ;;840 ;;300 ;;62,000 ;500 ;X ;;X ;10,000 ;;;150 ;;280 ;140 ;;;;;
Kelfvene ;;;;1,675 ;;;;;3,024 ;;570 ;26,000 ;1,260 ;126 ;;132 ;;13,400 ;275 ;;;1,000 ;1,900 ;;;;;145 ;;;;;;
Kungelend ;;;;3,220 ;;;;;13,650 ;;1,600 ;31,750 ;1,920 ;665 ;;380 ;;25,760 ;2,000 ;;;X 500 ;16,800 ;;;148 ;;;;;;;;
Korsberga Kylingared (länsdel) ;;;;3,052 1,950 ;;;;X ;13,243 600 ;100 ;125 ;43,470 4,500 ;821 - ;435 ;;grönfoder 30 ;;24,809 11,700 ;712 300 ;;;900 ;8,792 400 ;;;245 ;;;;;;;;
Kymbo ;;;;2,615 ;;;;;1,980 ;;150 ;15,300 ;;10 ;;grönfoder ;;18,500 ;1,920 ;;;;2,400 ;;;;;;;;;;;
Luttra ;;;;2,000 ;;;;;9,000 ;;6,000 ;31,200 ;1,600 ;100 ;;90 ;- ;20,000 ;;;;;;;;100 ;;;;200 ;;;;
Mularp ;;150 ;;1,855 ;;15 ;110 ;;2,850 ;;2,060 ;15,600 ;960 ;2,000 ;;1,000 ;;11,100 ;1,200 ;;;X 200 ;1,960 ;;;;;;;145 ;;;;
Tykyrka Nas ;;;;6,120 1,380 ;;6 ;;;3,000 4,900 ;120 ;375 ;12,500 12,000 ;2,000 165 ;120 ;- ;20 ;- ;61,200 11,040 ;;;;;900 ;;;132 ;;100 ;;110 ;;;;
Ottravad ;;;;1,970 ;;;;40 ;3,000 ;50 ;100 ;16,900 ;60 ;60 ;;40 ;- ;13,800 ;;;;;: ;;;;;;;;;;;
Sandhem ;;X ;;12,450 ;;6 ;;- ;10,500 ;400 ;500 ;38,000 ;1,200 ;;;120 ;- ;112,050 ;;;;;2,700 ;;;400 ;;800 ;300 ;1,100 ;;;;
Skörstorp ;;;;3,150 ;;;;;4,992 ;;2,080 ;17,500 ;900 ;480 ;;grönfoder ;;22,600 ;18,000 ;;;;2,780 ;;;;;200 ;;200 ;;;;
Slöta med Faleqvarna ;;;;10,800 ;;10 ;;75 ;18,500 ;50 ;9,800 ;145,200 ;1,140 ;575 12 ;;1,800 ;;86,400 ;6,500 ;50 ;;6,000 ;54,000 ;;;390 ;;720 ;440 ;940 ;;;;
Suntak ;;26 ;;1,500 ;;;;;2,475 ;140 ;336 ;17,325 ;90 ;;;102 ;;12,000 ;1,600 ;;;;;;;;;;;150 ;;;;
Tiarp ;;20 ;;1,900 ;;16 ;150 ;- ;2,600 ;;830 ;11,300 ;450 ;200 ;- ;115 ;;11,400 ;70 ;27 ;;;5,500 ;;;80 ;;155 ;;190 ;;;;
Utvängstorp ;;;;2,600 ;;3 ;;;1,140 ;140 ;50 ;8,180 ;130 ;;- ;;;11,000 ;360 ;;;;3,000 ;;;185 ;;150 ;;160 ;;;;
Velinge ;;;;7,200 ;;30 ;90 ;15 ;10,680 ;540 ;;31,620 ;;54 ;;;- ;57,600 ;1,000 ;90 ;;150 ;6,000 ;;;250 ;;425 ;208 ;560 ;;;;
Visttorp ;2 ;;;1,200 ;;3 ;- ;16 ;1,800 ;60 ;400 ;14,800 ;320 ;30 ;5 ;[grönfoder ;- ;12,000 ;600 ;;;;1,800 ;;;110 ;;190 ;150 ;175 ;;;;
Vättak ;;31 ;;3,780 ;;6 ;;- ;3,780 ;158 ;504 ;22,050 ;63 ;- ;- ;grönfoder ;- ;37,800 ;;32 ;;X 200 ;3,200 ;;;76 ;;140 ;45 ;160 ;;;;
Yllestad ;;;- ;3,650 ;;- ;75 ;- ;3,696 ;- ;750 ;18,500 ;- ;;- ;- ;- ;36,500 ;- ;;;;5,000 ;;;120 ;;270 ;130 ;28 ;;;;
Asaka (länsdel) ;;;;2,500 ;;;;- ;5,400 ;- ;2,250 ;36,000 ;;120 ;- ;;- ;20,000 ;6,000 ;;;;;;;140 ;;350 ;150 ;230 ;- ;;;
Asle ;;24 ;- ;8,000 ;;12 ;- ;- ;6,170 ;;4,160 ;34,200 ;350 ;150 ;- ;120 ;- ;80,000 ;6,000 ;35 ;8 ;100 ;8,000 ;166 ;;110 ;;400 ;150 ;200 ;- ;200 ;;
