Table: Table_1

Lundby ;;;;800 ;;;840 ;;6,200 ;;720 ;4.800 ;800 ;70 ;- ;10 ;- ;6,400 ;;- ;- ;;60,000 ;100 ;10 ;105 ;6 ;350 ;80 ;250 ;;;;
;;;;;;;;100 ;;;;;X ;;;;;;;;;;;;;;;;;;;;;
Skarke ;;160 ;;4,000 ;- ;;240 ;X 50 ;11,400 ;- ;3,060 ;15,120 ;660 ;200 ;- ;650 ;- ;24,000 ;500 ;- ;;;13,720 ;80 ;16 ;90 ;en ;360 ;160 ;300 ;;;;
Skärf ;;;- ;1,850 ;- ;;315 ;;4,984 ;- ;1,020 ;12,000 ;-- ;360 ;- ;;- ;18,500 ;3,000 ;- ;- ;;- ;47 ;12 ;80 ;;240 ;70 ;205 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stenum ;;;;2,812 ;- ;;360 ;;4,116 ;- ;504 ;14,560 ;- ;320 ;- ;;- ;28,120 ;5,000 ;- ;- ;500 ;;50 ;6 ;120 ;5 ;265 ;151 ;261 ;;;;
Ying ;;;- ;2,590 ;- ;;200 ;- ;4,350 ;- ;756 ;14,700 ;;120 ;- ;;;20,720 ;1,800 ;- ;;IOO ;1.000 ;45 ;;50 ;;196 ;53 ;140 ;;;;
Oglunda ;- ;- ;- ;1,200 ;- ;;120 ;- ;4,380 ;;625 ;10,000 ;2.500 ;300 ;- ;;- ;7.200 ;;;;- ;;27 ;5 ;50 ;2 ;140 ;50 ;80 ;;;;
Summa Valle härad ;- ;342 ;- ;25,087 ;17 ;;3,270 ;X 360 ;59,470 ;110 ;12,165 ;156,430 ;11,440 ;2,020 ;- ;1,355 ;- ;168,520 ;13,150 ;X 77 ;110 ;1,800 ;78,170 ;608 ;133 ;893 ;47 ;2,639 ;1,258 ;2,226 ;- ;894 ;;
Bredvik ;- ;X 50 ;- ;11,520 ;- ;;- ;- ;6,750 ;- ;- ;22,640 ;- ;;;;- ;57,600 ;- ;- ;- ;200 ;6,000 ;30 ;1 ;190 ;6 ;350 ;160 ;450 ;;125 ;;
Forsby ;;;;400 ;- ;;;- ;10,800 ;- ;100 ;15,000 ;;320 ;;300 ;;2,400 ;;;;- ;- ;18 ;;98 ;;200 ;40 ;140 ;;;;
Om, Bjärby och Amundtorp ;;;;700 ;- ;;300 ;- ;7,800 ;;;7,500 ;400 ;100 ;;60 ;- ;4,200 ;2,000 ;;;;;24 ;, ;60 ;;165 ;60 ;120 ;;;200 ;
