Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8, ;9. ;10. I ;11. ;12. ;13. ;14 ;15. ;16. ;17. ;18. ;19. ;20 ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Härja ;13,84 ;103 ;;20 ;;1.135 ;1,150 ;1.316 ;;20 ;50 ;;16 ;28 ;54 ;5 ;200 ;480 ;;125 ;;;;;;200 ;;;1,400 ;X 30 ;50 ;6,000 ;30 ;;
Hömb ;8,75 ;;;;;972 ;649 ;722 ;;;;;;;;;156 ;;;;;;;;;;;;682 ;;;2,800 ;;;
Karleby ;30,13 ;;;;;9,800 ;1.377 ;39 ;;;;;;;;;1,120 ;6.116 ;280 ;840 ;;;;;;840 ;;;1,220 ;10 ;1.000 ;7,900 ;450 ;140 ;
Kelfvene ;9.50 ;26 ;;;;700 ;180 ;;;;;;;;;;;;;44 ;;;;;;;;;450 ;;94 ;2,500 ;;;
Kungslena ;29,75 ;;;;;2,600 ;433 ;400 ;;;;;;;;;;1.800 ;;100 ;;;;;;;100 ;;2.735 ;;189 ;10,804 ;;;
Korsberga ;20,63 ;;;;;2,300 ;1,700 ;3.080 ;;;;;;;;;320 ;1,530 ;;108 ;;;;;;;;;2.607 ;;;7,632 ;;;
del ;;;;;;150 ;49 ;200 ;;;;;;X ;X ;;;;;;;;;;;;;;94 ;;;945 ;;;
Kylingared, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kymbo ;13.75 ;;;;;847 ;625 ;900 ;;;;;;;;;;;;;;;;;;;;;550 ;;;3,500 ;;;
Luttra ;20,98 ;;;;;960 ;40 ;;;;;;;;;;;;;;;;;;;;;;800 ;;600 ;4,700 ;200 ;;
Mularp ;12,88 ;;;;;973 ;102 ;1.260 ;;;;;;;;;;329 ;100 ;;;;;;;;;;550 ;;250 ;3,200 ;100 ;;
Nykyrka ;10,88 ;;;;;520 ;1,100 ;1,000 ;;;;;;;;;;220 ;;;;;;;;;;;360 ;X 60 ;;1,400 ;700 ;;
Näs ;11,25 ;;;;;1,050 ;50 ;125 ;;;;;;;;;150 ;250 ;;;;;;;;;;;900 ;;190 ;2,200 ;;60 ;
