Table: Table_1

Ottravad ;8,94 ;;;;;525 ;250 ;300 ;;;;;;;;;100 ;;;;;;;;;;;;450 ;10 ;12 ;2,400 ;;6 ;
Sandhem ;43,18 ;130 ;;;;2,300 ;4,500 ;10,650 ;;;;;;;;;350 ;850 ;;;;;;;;;;;1,800 ;100 ;60 ;8,000 ;300 ;;
Skörstorp ;10,88 ;;;;;2,196 ;100 ;;;;;;;;;;125 ;1,000 ;;100 ;;;;;;;;;130 ;;30 ;750 ;30 ;8 ;
Slöta med Faleqvarna ;45,88 ;137 ;;;20 ;3.160 ;1,240 ;80 ;32 ;86 ;;;;;11 ;;280 140 ;1,500 ;50 ;;;;100 ;;;681 ;;10 ;1,720 ;X 24 ;1.200 ;19,000 ;200 ;120 ;
Suntak ;9,68 ;;;;;1,588 ;272 ;912 ;;;;;;;;;;500 ;6 ;;;;100 ;;;140 ;;;680 ;;24 ;1,688 ;;;
Tiarp ;11,75 ;;;;;1.000 ;300 ;195 ;;;;;;;;;;;;;;;;;;;;;450 ;;200 ;3,600 ;400 ;200 ;
Tidaholm ;9,88 ;;;;;1,510 ;390 ;;;;;;;;;;;405 ;;;;;;;;300 ;;;910 ;;75 ;3.500 ;50 ;30 ;
Utvängatorp ;7,44 ;;;;;486 ;486 ;;;;;;X ;;;;;168 ;;;;;;;;;;;240 ;;;1,350 ;45 ;;
Velinge ;19,79 ;;111 ;;;1,495 ;1.390 ;3,350 ;;;;;;;;;;525 ;;;;;;;;;;;1,908 ;;10 ;5,710 ;;14 ;
Visttorp ;11,50 ;;;;;860 ;540 ;850 ;;;;;;;;;;350 ;;;;;150 ;150 ;;;;;500 ;30 ;;3.500 ;180 ;25 ;
Vättak ;9,50 ;;;;;737 ;;1,433 ;;;;1 ;;;;;160 ;260 ;;;2 ;;;;;160 ;;;750 ;10 ;;3,000 ;12 ;;
Yllestad ;21,56 ;54 ;;;;950 818 ;650 ;750 ;28 ;40 ;;;70 ;44 ;4 ;;;384 700 ;;77 ;;;;;;150 ;;;930 ;;125 ;3,500 ;;5 ;
Asaka Asle ;23,50 30.13 ;99 ;115 ;;32 ;1,458 ;258 ;318 ;10 ;70 ;4 ;2 ;6 ;26 ;1 ;;125 ;770 ;7 ;140 ;20 ;;145 ;5 ;;128 ;4 ;;888 650 ;- ;441 420 ;5,922 5,610 ;80 ;38 16 ;
Summa Vartofta härad ;744,76 ;2,467 ;1,606 ;;545 ;68,331 ;51,740 ;62,009 ;222 ;951 ;335 ;X 35 ;X 268 ;512 ;181 ;16 ;9,265 ;29,046 ;663 ;5,780 ;420 ;190 ;4,751 ;9.211 ;40 ;8,534 ;1,593 ;192 ;44,558 ;953 ;7,546 ;201,953 ;5.033 ;1,387 ;
Brismene ;12,50 ;42 ;;27 ;;550 ;600 ;- ;- ;- ;;;;;-- ;- ;30 ;200 ;;100 ;;;180 ;;- ;30 ;;- ;180 ;;90 ;2,000 ;60 ;- ;
Börstig. ;13,88 ;61 ;;17 ;;520 ;1,240 ;908 ;;;- ;;;;;- ;65 ;280 ;3 ;260 ;8 ;;10 ;30 ;;60 ;;30 ;360 ;50 ;60 ;1.800 ;150 ;;
Grolanda ;19 ;87 ;;40 ;;340 ;;- ;8 ;38 ;- ;;22 ;55 ;;- ;40 ;160 ;10 ;80 ;10 ;;;;;35 ;;;550 ;;250 ;;;;
Kinneved ;30,75 ;84 ;;27 ;;1.130 ;1,570 ;10 ;8 ;71 ;;;;79 ;;- ;128 ;716 ;2 ;70 ;8 ;;;50 ;- ;152 ;;- ;806 ;200 ;310 ;3,000 8,390 ;190 ;30 10 ;
Smnla ;7,69 ;23 ;;;;137 ;334 ;381 ;;;;;;;;;;;;;;;- ;;- ;;;;140 ;- ;90 ;700 ;X 20 ;8 ;
V&rkumla ;18,95 ;;;;;376 ;525 ;10 ;;;;;;;;;30 ;211 ;;85 ;2 ;;;;- ;40 ;- ;;184 ;;189 ;2,079 ;;13 ;
Asarp ;4.50 ;12 ;;8 ;3 ;68 ;72 ;8 ;- ;8 ;;;;4 ;- ;- ;10 ;33 ;2 ;4 ;1 ;1 ;- ;;- ;15 ;- ;- ;88 ;3 ;30 ;350 ;12 ;5 ;
Summa Frökinds härad ;106,51 ;337 ;;130 ;21 ;3,121 ;4,341 ;1,317 ;16 ;117 ;4 ;- ;51 ;138 ;7 ;- ;303 ;1,600 ;19 ;599 ;29 ;16 ;190 ;86 ;- ;332 ;- ;X 30 ;2,308 ;253 ;1,019 ;18,319 ;432 ;74 ;
Amnehärad ;30.19 ;301 ;185 ;;15 ;2.666 ;3.660 ;6.426 ;26 ;262 ;- ;;;38 ;- ;;536 ;700 ;17 ;100 ;3 ;30 ;30 ;800 ;- ;450 ;100 ;;2,044 ;;40 ;5,560 ;;;
Beateberg ;16,75 ;48 ;;57 ;;2,197 ;834 ;3,000 ;;15 ;;;18 ;;;;450 ;610 ;50 ;100 ;12 ;15 ;600 ;;;;500 ;- - ;;- ;;;- ;50 ;
Berg ;34.44 ;99 ;;61 ;50 ;1,780 ;1,140 ;;46 ;77 ;12 ;;;;;;317 ;585 ;45 ;150 ;;;90 ;329 ;- - ;360 280 ;151 ;- ;1.650 1,732 ;- - ;500 ;5,400 3,830 ;100 ;115 200 ;
Bellefors ;20,25 ;54 ;;51 ;;1,440 ;;4.420 ;;;;;;30 ;;;180 ;366 ;47 ;50 ;10 ;;170 ;434 ;- ;180 ;260 ;- ;650 ;- ;;2,500 ;;;
Binneberg ;5,50 ;23 ;;;;350 ;200 ;200 ;3 ;;;;;;;;;125 ;25 ;25 ;;;;;;;;- ;380 ;- ;30 ;900 ;- ;130 60 ;
Björkäng ;18 ;140 ;;67 ;;2,810 ;140 ;2,000 ;;;;;;;;;405 ;588 ;135 ;60 ;10 ;;400 ;800 ;10 ;400 ;600 ;;1.500 ;- ;60 ;4.700 ;;500 ;
Björsäter med Gullsäters rotar. ;28,88 ;100 ;;105 ;;2,622 ;30 ;2,850 ;;;;;;;;;370 ;800 ;50 ;100 ;35 ;16 ;156 ;725 ;;370 ;470 ;20 ;1,350 ;- ;200 ;5,600 ;;;
Back ;14,50 ;34 ;;42 ;;2,600 ;100 ;1,500 ;;;;;;;;;374 ;665 ;42 ;;20 ;;343 ;744 ;6 ;374 ;400 ;- ;1,200 ;- ;;4.025 ;- - ;90 120 ;
Böja ;8,75 ;40 ;;;;845 ;40 ;259 ;3 ;;;;;;;;;205 ;5 ;105 ;15 ;;160 ;150 ;;100 ;113 ;;517 ;- ;25 ;1,575 ;;31 ;
Karlsborg ;;;;;;;;900 ;;;;;;;;;;;;;;;;;- ;;;;;- ;;;- ;;
Ek ;11 ;38 ;;;;1,600 ;10 ;2.300 ;;;;;;;;;;460 ;;;15 ;5 ;150 ;;;;;;;;;;;;
Ekby ;21.38 ;80 ;;;;1,827 ;323 ;1.304 ;;;;;;;;;;585 ;136 ;;;;;450 ;;230 ;150 ;X 80 ;1,125 ;- ;100 ;3.200 ;- ;75 ;
Ekeskog ;15,18 ;;;;;1,771 ;30 ;1,900 ;;;;;;;;;;;;;;;100 417 ;315 61 ;;328 323 ;485 117 ;;1,210 1,500 ;;18 ;4,825 4,800 ;;475 ;
Elgarãs ;19.81 ;103 ;;;;2,092 ;200 ;6,150 ;100 ;;;;;;;;;;;;;;350 ;400 ;;;;;;;;;;75 ;
Flistad ;18,75 ;60 ;;;;1.698 ;500 ;175 ;;;;;;;X ;;;;;;;;140 ;300 ;;250 ;90 ;12 ;1,380 ;60 ;;3.600 ;;120 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;242 ;472 ;;724 ;;31 ;2,772 ;680 ;472 ;
Finnerödja ;24,96 ;209 ;;;;1,870 ;;;;;;;;;;;;;;;;;;400 ;;250 ;50 ;15 ;1,800 ;30 ;60 ;5,000 ;;;
Fägre ;36,81 ;149 ;;;;7,200 ;140 ;3.350 ;;;;;;;;;;1,800 ;;;;;340 ;2,500 ;20 ;1,100 ;2.700 ;50 ;3,300 ;;50 ;12,000 ;X ;125 ;
Fredsberg ;42.69 ;254 ;;;;;170 ;3,500 ;;;;;;;;;;;;;;;646 ;1,672 ;3 ;840 ;1,395 ;- ;2,790 ;- ;;;;600 ;
Frösve ;13,69 ;54 ;;;;1,975 ;139 ;1.513 ;;;;;;;;;;;;;;;165 ;493 ;- ;328 ;235 ;- ;1.415 ;;162 ;9,175 4,815 ;;250 ;
Götlunda ;27.75 ;136 ;;;;4.000 ;100 ;1,275 ;;;;;;;;;;1.500 ;;;;;150 ;668 ;- ;600 ;1.200 ;- ;2,400 ;;;13,500 ;;118 ;
Halna ;7,50 ;84 ;;;;1,377 ;143 ;2,495 ;;;;;;;;;;;;;;;;300 ;- ;243 ;135 ;- ;1.000 ;;;;;1,200 ;
Hiäletad ;17,25 ;;;;;;300 ;460 ;;;;;;;;;;;;;;;;;- ;;825 ;- ;755 ;- -- ;6 ;3,000 2,035 ;;168 120 ;
Hasle. Berga och Färed Hofva och Fagerlid ;66,75 56,13 ;133 329 ;;;;7,600 5,450 ;470 ;12.260 ;;;;;;X ;;;;2.180 1.550 ;;;;;;2.180 ;- ;1.124 ;1.200 ;;4.500 ;;110 ;14,070 ;;400 ;
Horn ;18.88 ;;;;;1.617 ;;;;;;;;;;;;;;;;;;1.900 ;;950 ;300 ;50 ;4.000 ;100 ;120 ;8,184 ;;200 ;
Lekaberg ;17.75 ;36 ;;;;1,715 ;;2.400 ;;;;;;;;;;;;;;;;140 ;;252 ;280 ;;950 ;;120 ;2,800 ;;270 ;
Lyrestad ;43.75 ;248 ;;210 ;;3.860 ;743 ;4,740 ;;;;;;;;;;1,310 ;;;;;;600 ;;240 ;350 ;;900 ;;;3,445 ;;80 ;
Locketorp ;16,50 ;81 ;;;;1.760 ;60 ;3.450 ;;;;;;;;;;480 ;;;;;;1,078 250 ;40 ;539 ;324 300 ;50 ;2.910 1.300 ;;;11,754 ;;318 ;
Lerdala ;16.44 ;39 ;;;;1,305 ;446 ;1,982 ;;;;;;;;;;;;;;;;;;;;;;;;3,800 ;;200 ;
L&stad ;;;;;;;;549 ;;;;;;;;;;;;;;;;354 ;;;200 ;;1,100 ;X 25 ;200 ;2.304 ;;100 ;
;11,44 ;33 ;;;;585 ;840 ;;;;;;;;;;;178 ;;;;;;74 ;;;262 ;;530 ;;30 ;1,600 ;;98 ;
Mo ;11.25 ;16 ;;16 ;;1.270 ;- ;526 ;;;;;;;;;;322 ;;;;;;;;;;;;;;;;;
Mölltorp ;21.18 ;115 ;;;;2.618 ;;;;;;;;;;;;650 ;;;;;;372 925 ;;184 375 ;450 ;;455 ;;;2.254 ;;280 ;
Odensaker ;23.63 ;75 ;;;;1,500 ;195 ;341 ;;;;;;;;;X ;560 ;;;;;;380 ;;240 ;30 ;100 ;2,000 ;50 ;;5.600 ;125 ;30 ;
Ransberg ;31,56 ;310 ;;150 ;40 ;3,500 ;960 ;4,000 ;;;;;;;;;;1,000 ;;300 ;;100 ;100 ;800 ;;580 ;157 50 ;;1.134 2,520 ;126 ;63 ;3.024 6,300 ;;63 63 ;





