Table: Table_1

1 ;2. ;3 ;4 ;5. ;6 ;7. ;8 ;9. ;10 ;11 ;12 ;13. ;14. ;15 ;16 ;17 ;18 ;19 ;20 ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29 ;30. ;31 ;32 ;33 ;34 ;35. ;
Ed&sa ;4,88 ;16 ;26 ;;8 ;900 ;160 ;1,900 ;4 ;5 ;- ;1 ;- ;6 ;1 ;- ;138 ;300 ;2 ;18 ;- ;2 ;50 ;250 ;- ;140 ;25 ;- ;693 ;- ;1 - ;2,362 ;;9 ;
Falköping* landssocken ;10,63 ;32 ;3 ;700 ;5 ;345 ;150 ;200 ;- ;;- ;- ;- ;- ;;;42 ;233 ;- ;60 ;- ;- ;- ;- ;- ;42 ;;- ;264 ;- ;264 ;1,587 ;132 ;- ;
Friggeräker ;17,88 ;68 ;10 ;1,315 ;10 ;915 ;300 ;- ;1 ;34 ;21 ;- ;- ;9 ;2 ;1 ;80 ;200 ;5 ;25 ;12 ;3 ;100 ;400 ;10 ;80 ;10 ;- ;500 ;- ;500 ;4,000 ;50 ;25 ;
Gudhem ;21 ;52 ;27 ;3,507 ;7 ;1,951 ;332 ;1,227 ;- ;452 ;2 ;- ;- ;2 ;1 ;2 ;250 ;415 ;5 ;42 ;100 ;4 ;475 ;400 ;- ;250 ;38 ;- ;1,027 ;- ;838 ;3,830 ;63 ;31 ;
Hornborga ;15,63 ;41 ;48 ;1,000 ;10 ;515 ;460 ;15 ;- ;33 ;1 ;- ;- ;5 ;1 ;- ;90 ;205 ;10 ;80 ;10 ;- ;14 ;20 ;- ;X 90 ;- ;- ;630 ;- ;252 ;630 ;1,071 ;31 ;
Häkantorp ;6,25 ;17 ;26 ;1,150 ;5 ;430 ;365 ;350 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;12 ;- ;370 ;- ;65 ;1,440 ;80 ;19 ;
Högatena ;14,75 ;75 ;7 ;1,096 ;3 ;547 ;182 ;- ;- ;27 ;47 ;- ;- ;- ;4 ;- ;88 ;800 ;15 ;120 ;- ;2 ;87 ;84 ;- ;88 ;;- ;554 ;- ;283 ;1,197 ;390 ;94 ;
Kyrketorp ;10,63 ;32 ;9 ;850 ;10 ;600 ;239 ;1 ;1 ;27 ;4 ;- ;- ;8 ;;- ;80 ;260 ;10 ;30 ;2 ;2 ;- ;136 ;- ;80 ;10 ;- ;400 ;- ;270 ;1,200 ;400 ;60 ;
Ljunghem ;9,88 ;15 ;22 ;2,626 ;10 ;515 ;642 ;1,459 ;1 ;2 ;6 ;2 ;- ;- ;4 ;- ;104 ;145 ;- ;14 ;6 ;2 ;X 38 ;114 ;- ;106 ;6 ;- ;459 ;- ;- ;1,694 ;;- ;
Râdened ;17,38 ;30 ;37 ;2,837 ;27 ;750 ;774 ;781 ;10 ;18 ;2 ;1 ;- ;7 ;1 ;- ;140 ;300 ;10 ;36 ;25 ;2 ;- ;1/7 ;-- ;140 ;- ;-- ;660 ;;130 ;2,650 ;;50 ;
