Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;;15. ;16. ;17. ;18. ;19. ;20. ;21, ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32 ;33. ;
Flo ;33.78 ;;75 ;7.000 ;83 ;4.510 ;147 ;2,260 ;;;24 ;;3 ;;8 ;14 ;3 ;568 ;1,400 ;95 ;105 ;45 ;5 ;570 ;1,130 ;14 ;568 ;850 ;68 ;2.490 ;- ;325 ;11,650 ;
Friel* ;11,06 ;;;1,512 ;;1.121 ;;205 ;;;;;;;;;;160 ;430 ;30 ;20 ;;;320 ;;- ;160 ;60 ;;580 ;;120 ;3.160 ;
H&le* ;12,50 ;;;2,193 ;;1,226 ;;37 ;;;;;;;;;;135 ;590 ;97 ;28 ;;3 ;100 ;133 ;- ;138 ;202 ;;620 ;;85 ;4.956 ;
Karaby ;;;;1,952 ;;1,946 ;;;;;;;;;;;;100 ;110 ;;14 ;;;340 ;300 ;;100 ;60 ;;540 ;- ;120 ;2,170 ;
Näs. ;24.13 ;;;9.470 ;;2.060 ;160 ;4,980 ;;;;;;;;;;310 ;480 ;5 ;60 ;15 ;10 ;220 ;570 ;- ;290 ;350 ;- ;1,140 ;- ;200 ;3,700 ;
Sal ;10,13 ;;;1,733 ;;1,700 ;;;;;;;;;;;;212 ;500 ;65 ;50 ;5 ;4 ;220 ;432 ;- ;212 ;70 ;;1,050 ;- - ;180 ;4,200 ;
Särestad' ;18,50 ;;;3,295 ;;2.213 ;20 ;70 ;;;;;;;;;;210 ;390 ;67 ;85 ;16 ;9 ;608 ;618 ;- ;210 ;210 ;- ;770 ;- ;110 ;3,200 ;
Tun* ;22,88 ;;;4,415 ;;2,930 ;500 ;1,015 ;;;;;;;;;;340 ;730 ;62 ;81 ;70 ;5 ;1,317 ;;- ;340 ;600 ;;1,200 ;- ;300 ;4,000 ;
Täng ;9,75 ;;;2.112 ;;1,745 ;;200 ;;;;;;;;;;160 ;780 ;40 ;;;;434 ;;;160 ;250 ;;700 ;;152 ;3,100 ;
As ;17,88 ;;;2,500 ;16 ;2,459 ;25 ;;5 ;29 ;;3 ;;;32 ;27 ;3 ;189 ;540 ;36 ;34 ;8 ;5 ;670 ;750 ;20 ;248 ;174 ;6 ;930 ;- ;140 ;7,340 ;
Summa Ase härad ;169,11 ;661 ;283 ;36,182 ;252 ;21,910 ;890 ;8,767 ;31 ;321 ;196 ;7 ;69 ;;146 ;58 ;8 ;2,384 ;5,950 ;497 ;480 ;159 ;45 ;4,799 ;3,933 ;34 ;2,426 ;2,826 ;74 ;10,020 ;- ;1,732 ;47,476 ;
Bjerby ;8,25 ;;;2,118 ;16 ;1,480 ;92 ;520 ;2 ;;12 ;;1 ;;;1 ;- ;170 ;600 ;25 ;20 ;- ;2 ;155 ;288 ;- ;170 ;150 ;- ;530 ;- ;100 ;4.000 ;
Bäreberg ;12,25 ;;;3,000 ;15 ;1.200 ;100 ;800 ;2 ;;;;;;;;;100 ;500 ;20 ;;;10 ;100 ;260 ;- ;150 ;30 ;- ;400 ;- ;10 ;6,000 ;
Flakeberg ;15,95 ;;;2,958 ;27 ;2,229 ;75 ;180 ;2 ;;;;;;;1 ;1 ;250 ;931 ;58 ;48 ;;8 ;260 ;500 ;- ;250 ;150 ;- - ;1,200 ;- ;325 ;8,025 ;
