Table: Table_1

1 ;2. ;3. ;4. ;5. ;6. ;;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14 ;15. ;16. ;17 ;18. ;19. ;20 ;21 ;22. ;23. ;24 ;25 ;26. ;27. ;28. ;29 ;30 ;31 ;32. ;33 ;34. ;85 ;
Wednm ;13,81 ;33 ;54 ;4,074 ;26 ;;2,756 ;250 ;1,042 ;14 ;9 ;30 ;3 ;;- ;3 ;- ;393 ;737 ;26 ;18 ;- ;5 ;393 ;- ;- ;393 ;141 ;- ;2,000 ;- ;- ;6,633 ;- ;90 ;
Westerplana ;10,50 ;26 ;12 ;1,410 ;1 ;;1,017 ;48 ;343 ;2 ;10 ;7 ;2 ;2 ;18 ;6 ;- ;80 ;310 ;20 ;42 ;12 ;7 ;80 ;372 ;- ;94 ;30 ;X 20 ;480 ;- ;460 ;800 ;710 ;84 ;
Wattlösa ;16,19 ;80 ;34 ;4,200 ;20 ;;1,400 ;100 ;2,680 ;60 ;140 ;500 ;200 ;20 ;80 ;120 ;300 ;200 ;380 ;20 ;20 ;10 ;10 ;180 ;400 ;- ;200 ;252 ;- ;1,008 ;- ;- ;2,520 ;63 ;63 ;
Österplana ;17.88 ;37 ;85 ;- ;25 ;;- ;- ;- ;13 ;20 ;3 ;;X 3 ;13 ;1 ;- ;123 ;274 ;49 ;23 ;14 ;4 ;10 ;357 ;- ;123 ;70 ;- ;650 ;- ;340 ;1,547 ;510 ;170 ;
Summa ;185,83 ;586 ;506 ;39,125 ;252,5 ;;18,442 ;1,745 ;21,407 ;127 ;288 ;666 ;218 ;X 50 ;209 ;148 ;301 ;2,822 ;5,674 ;419 ;787 ;360 ;92 ;2,009 ;5,038 ;X 67 ;2,664 ;2,047 ;X 50 ;8,747 ;160 ;3,539 ;30,809 ;3,783 ;1,064 ;
Skänings härad. a) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edsvära ;29,50 ;101 ;121 ;12,058 ;25 ;;5,355 ;200 ;6,478 ;9 ;77 ;43 ;8 ;- ;- ;- ;- ;870 ;1,400 ;40 ;150 ;5 ;10 ;2,000 ;10 ;- ;870 ;X 369 ;- ;3,648 ;X 63 ;189 ;12,852 ;189 ;95 ;
Fyrunga ;13 ;59 ;29 ;2,751 ;14 ;;2,400 ;10 ;154 ;8 ;40 ;4 ;1 ;- ;3 ;3 ;- ;231 ;1,025 ;156 ;39 ;4 ;6 ;234 ;468 ;- ;234 ;315 ;- ;1,108 ;- ;255 ;5,125 ;X 256 ;260 ;
Gerum ;13,88 ;19 ;51 ;2,679 ;26 ;;1,588 ;215 ;810 ;;10 ;4 ;2 ;19 ;25 ;1 ;- ;215 ;586 ;13 ;X 26 ;33 ;4 ;43 ;466 ;- ;202 ;X 145 ;- ;844 ;- ;63 ;4,977 ;- ;31 ;
Hendene ;12 ;52 ;49 ;4,500 ;44 ;;1,656 ;300 ;2,500 ;8 ;40 ;4 ;2 ;12 ;34 ;1 ;- ;276 ;450 ;4 ;X 45 ;X 45 ;8 ;- ;552 ;- ;276 ;91 ;- ;1,358 ;- ;21 ;3,350 ;- ;21 ;
Hürlunda (Bjerklunda hä-  radsdel) ;17,56 ;151 ;151 ;5,692 ;42 ;;800 ;1,015 ;3,835 ;6 ;40 ;2 ;;92 ;11 ;;- ;200 ;250 ;10 ;80 ;- ;10 ;25 ;25 ;- ;200 ;22 ;- ;849 ;- ;11 ;3,211 ;72 ;25 ;
Härjevad ;8,63 ;35 ;23 ;1,683 ;17 ;;1,688 ;38 ;- ;3 ;25 ;9 ;1 ;;2 ;1 ;- ;201 ;615 ;45 ;10 ;- ;2 ;193 ;387 ;- ;175 ;189 ;- ;453 ;- ;400 ;3,690 ;- ;92 ;
Jung ;16,69 ;68 ;63 ;3.101 ;32 ;;3,061 ;8 ;- ;6 ;40 ;20 ;2 ;- ;3 ;2 ;1 ;378 ;1,034 ;100 ;32 ;- ;3 ;378 ;756 ;- ;378 ;422 ;51 ;1,827 ;63 ;482 ;8,167 ;630 ;252 ;
Marum ;10,28 ;10 ;45 ;2,526 ;7 ;;1,005 ;141 ;1,873 ;- ;2 ;7 ;1 ;X 8 ;6 ;- ;- ;95 ;420 ;10 ;20 ;20 ;2 ;20 ;323 ;- ;95 ;97 ;- ;704 ;- ;60 ;2,420 ;- ;35 ;
Qvänum ;20,63 ;66 ;50 ;5,628 ;150 ;;3,800 ;200 ;150 ;7 ;18 ;42 ;4 ;7 ;19 ;X 42 ;5 ;400 ;1,420 ;200 ;40 ;- ;- ;300 ;700 ;- ;740 ;300 ;- ;1,500 ;- ;240 ;10,800 ;480 ;240 ;
Saleby ;36,38 ;140 ;54 ;8,872 ;36 ;;8,606 ;176 ;54 ;13 ;60 ;59 ;;10 ;42 ;6 ;4 ;1,075 ;2,885 ;227 ;100 ;- ;15 ;1,075 ;2,151 ;- ;1,075 ;1,843 ;- ;4,032 ;- ;966 ;16,216 ;1,680 ;966 ;
Skallmeja 11 mtl af Gerum ;17,25 ;65 ;27 ;3,863 ;25 ;;2,838 ;200 ;- ;;29 ;26 ;2 ;;16 ;6 ;;288 ;1,000 ;60 ;25 ;- ;3 ;300 ;400 ;- ;250 ;240 ;- ;1,080 ;- ;360 ;7,200 ;120 ;240 ;
Sunnerby ;18,75 ;205 ;120 ;5,600 ;40 ;;3,753 ;94 ;1,410 ;31 ;73 ;22 ;2 ;X 42 ;31 ;X 4 ;;489 ;1,438 ;24 ;41 ;- ;5 ;200 ;1,267 ;- ;489 ;275 ;5 ;2,155 ;- ;114 ;11,360 ;- ;70 ;
Trüssberg ;18,88 ;85 ;18 ;5,400 ;40 ;;4,000 ;110 ;50 ;8 ;30 ;43 ;1 ;- ;2 ;1 ;- ;570 ;1,142 ;50 ;42 ;- ;6 ;571 ;1,142 ;- ;477 ;190 ;- ;2,090 ;- ;216 ;10,800 ;- ;108 ;
Winköl ;22,56 ;103 ;38 ;7,879 ;10 ;;3,692 ;677 ;3,000 ;20 ;70 ;11 ;2 ;- ;6 ;7 ;- ;330 ;2,496 ;40 ;195 ;15 ;10 ;150 ;456 ;- ;330 ;252 ;X 50 ;1,827 ;X 63 ;201 ;15,302 ;113 ;- ;
Wânga ;54,75 ;120 ;98 ;13,500 ;20 ;;7,500 ;480 ;5,500 ;8 ;61 ;X 30 ;5 ;X 8 ;71 ;X 36 ;5 ;937 ;2,500 ;60 ;200 ;51 ;4 ;937 ;1,874 ;- ;937 ;1,124 ;- ;3,373 ;- ;315 ;16,000 ;3,600 ;250 ;
Äsaka ;24,88 ;78 ;63 ;5,615 ;18 ;;2:845 ;1,510 ;1,242 ;;- ;- ;- ;- ;- ;- ;;490 ;990 ;36 ;120 ;3 ;11 ;100 ;595 ;- ;490 ;195 ;- ;2,148 ;- ;176 ;12,000 ;108 ;144 ;
Öttum ;14,88 ;68 ;21 ;4,027 ;15 ;;3,000 ;12 ;- ;16 ;42 ;20 ;- ;- ;6 ;2 ;1 ;200 ;1,290 ;360 ;100 ;100 ;- ;250 ;500 ;- ;200 ;400 ;- ;650 ;- ;150 ;9,000 ;1,500 ;140 ;
Summa ;349 ;1,425 ;1,021 ;94,374 ;561 ;;57,537 ;5,386 ;26,556 ;143 ;657 ;346 ;33 ;198 ;277 ;112 ;X 16 ;7,248 ;20,941 ;1,435 ;1.265 ;276 ;X 99 ;6,776 ;12.072 ;- ;7,418 ;5,969 ;106 ;29,646 ;189 ;4,219 ;152,470 ;8,748 ;2,969 ;
Laske härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitterna, Wester ;14,59 ;57 ;35 ;2,806 ;4 ;;899 ;270 ;195 ;3 ;24 ;X 26 ;- ;- ;1 ;3 ;- ;30 ;X 667 ;6 ;171 ;12 ;6 ;14 ;14 ;- ;48 ;12 ;X 6 ;108 ;X 12 ;65 ;4,284 ;85 ;20 ;
Bitterna, Öster ;16,81 ;87 ;41 ;2,550 ;7 ;;967 ;663 ;- ;3 ;45 ;X 39 ;- ;- ;2 ;1 ;- ;143 ;904 ;5 ;58 ;- ;10 ;6 ;41 ;- ;44 ;13 ;- ;435 ;- ;145 ;4,469 ;264 ;12 ;
Lengjum och Wessby ;24,38 ;93 ;33 ;3,852 ;40 ;;3,700 ;100 ;125 ;3 ;35 ;X 50 ;- ;- ;;5 ;- ;260 ;1,600 ;100 ;140 ;10 ;5 ;10 ;30 ;- ;250 ;50 ;X 5 ;210 ;10 ;100 ;1,200 ;150 ;20 ;
Lundby ;15,50 ;60 ;44 ;3,200 ;5 ;;2,010 ;170 ;20 ;6 ;59 ;6 ;2 ;- ;2 ;2 ;- ;100 ;1,410 ;20 ;100 ;7 ;3 ;70 ;200 ;- ;100 ;80 ;;500 ;- ;240 ;11,450 ;750 ;60 ;
Larf ;47 ;196 ;95 ;7,050 ;6 ;;3,080 ;210 ;1,100 ;55 ;150 ;36 ;;;. ;- ;- ;260 ;1,900 ;20 ;150 ;- ;- ;50 ;400 ;- ;300 ;- ;- ;- ;- ;- ;- ;- ;- ;
Trâfva ;18,81 ;89 ;25 ;3,840 ;27 ;;3,888 ;35 ;462 ;6 ;50 ;14 ;1 ;X 15 ;10 ;X 2 ;- ;207 ;917 ;40 ;33 ;3 ;18 ;822 ;1,100 ;- ;248 ;X 240 ;- ;1,000 ;- ;70 ;8,616 ;- ;240 ;
Wedum ;19,88 ;120 ;62 ;3,000 ;10 ;;3,315 ;50 ;625 ;;100 ;10 ;1 ;- ;9 ;- ;- ;80 ;2,000 ;- ;100 ;;10 ;X 25 ;50 ;- ;50 ;- ;- ;504 ;- ;- ;6,300 ;- ;- ;
Summa ;156,47 ;702 ;335 ;26,298 ;99 ;;17,359 ;1,498 ;2,527 ;76 ;463 ;181 ;4 ;15 ;24 ;X 13 ;- ;1,050 ;9,398 ;191 ;752 ;32 ;X 52 ;997 ;1,833 ;- ;1,040 ;X 395 ;11 ;2,757 ;X 22 ;620 ;36,319 ;1,249 ;352 ;
Wilske härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floby ;27,83 ;81 ;55 ;3,800 ;5 ;;800 ;1,350 ;- ;- ;X 54 ;1 ;- ;- ;X 19 ;- ;- ;100 ;400 ;5 ;70 ;- ;- ;10 ;50 ;- ;165 ;X 12 ;- ;600 ;X 30 ;540 ;4,200 ;60 ;30 ;
Gökhem ;39,68 ;104 ;30 ;5,250 ;10 ;;4,490 ;600 ;100 ;2 ;5 ;X 43 ;- ;- ;- ;- ;- ;150 ;3,950 ;55 ;140 ;5 ;- ;X 30 ;X 50 ;- ;140 ;81 ;X 31 ;913 ;- ;2,520 ;14,773 ;1,260 ;157 ;
Göteved ;16,83 ;68 ;8 ;4,372 ;- ;;600 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;96 ;384 ;3 ;64 ;2 ;X 4 ;- ;- ;- ;- ;- ;- ;604 ;- ;403 ;4,032 ;403 ;12 ;
Jila ;- ;- ;- ;- ;- ;;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;88 ;- ;70 ;460 ;- ;- ;
Klefva ;26,25 ;86 ;47 ;5,590 ;9 ;;X 1,300 ;4,100 ;181 ;23 ;X 68 ;4 ;1 ;19 ;X 63 ;X 4 ;1 ;228 ;645 ;26 ;84 ;1 ;- ;- ;97 ;- ;219 ;25 ;X 25 ;1,300 ;- ;900 ;7,200 ;600 ;100 ;
Marka ;19,13 ;45 ;25 ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;
Sörby ;15,88 ;42 ;2 ;80 ;0,5 ;;34 ;45 ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;X 6 ;- ;- ;37 ;- ;25 ;201 ;- ;- ;
Trevattna ;18,44 ;47 ;27 ;4,700 ;12 ;;600 ;2,000 ;400 ;9 ;31 ;2 ;- ;19 ;X 9 ;- ;- ;X 110 ;X 346 ;4 ;X 35 ;- ;- ;X 20 ;X 40 ;- ;- ;3 ;- ;610 ;5 ;130 ;3,360 ;157 ;8 ;
Ullened ;12.13 ;55 ;26 ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;37 ;- ;110 ;2,180 ;63 ;19 ;
Summa ;175,62 ;528 ;220 ;23,792 ;36,5 ;;7,824 ;8,095 ;681 ;34 ;158 ;X 50 ;1 ;X 38 ;91 ;X 4 ;1 ;684 ;5,725 ;93 ;393 ;8 ;X 4 ;X 60 ;237 ;- ;530 ;71 ;X 56 ;4,189 ;X 35 ;4,698 ;36,406 ;2,543 ;326 ;





