Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66 ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Säter ;;60 ;- ;4,680 ;12 ;630 ;630 ;8,715 ;- ;3,000 ;11,088 ;- ;600 ;;120 ;- ;37,440 ;3,000 ;24 ;4 ;1,560 ;9,000 ;42 ;19 ;150 ;4 ;376 ;136 ;400 ;- ;75 ;;
Tidavad ;X 20 ;57 ;- ;624 ;P ;990 ;112 ;3,075 ;- - ;120 ;13,230 ;;756 ;80 ;292 ;;3,120 ;;;- ;-- ;7,200 ;36 ;9 ;130 ;4 ;212 ;57 ;135 ;;X 30 ;;
Timmersdala ;;14 ;- ;510 ;18 ;342 ;;1,040 ;- ;80 ;2,500 ;400 ;150 ;;50 ;- ;1,600 ;300 ;54 ;- ;- ;6,540 ;24 ;5 ;36 ;1 ;100 ;25 ;100 ;;16 ;;
Tived ;15 ;;- ;4,700 ;50 ;300 ;150 ;4,590 ;75 ;105 ;14,650 ;120 ;180 ;75 ;;;37,600 ;600 ;150 ;X 50 ;- ;;45 ;5 ;225 ;7 ;460 ;270 ;620 ;;X 125 ;;
Torsö ;;90 ;- ;5,000 ;10 ;1,320 ;;6,000 ;- ;250 ;24,400 ;;900 ;;360 ;---- ;40,000 ;7,000 ;20 ;- ;- ;10,000 ;50 ;5 ;270 ;10 ;600 ;200 ;600 ;;180 ;;
Trästena ;1 ;50 ;- ;1,500 ;4 ;2,050 ;;4,550 ;- ;75 ;34,500 ;600 ;200 ;4 ;100 ;;7,000 ;300 ;7 ;- ;- ;;40 ;5 ;94 ;6 ;275 ;125 ;124 ;;40 ;;
Ullervad ;;75 ;- ;3,000 ;10 ;4,000 ;;14,400 ;- ;900 ;29,000 ;- ;900 ;- ;400 ;;18,000 ;2,880 ;;X 30 ;;36,800 ;80 ;15 8 ;200 ;5 ;410 ;130 ;150 ;;150 ;;
Undenäs ;;200 ;- ;12,600 ;60 ;750 ;120 ;23,610 ;192 ;240 ;54,872 ;- ;1,120 ;- ;grönfoder ;;75,600 ;;90 ;- ;- ;;105 ;;560 ;20 ;1,300 ;300 ;1,320 ;5 ;420 ;;
Utby ;;;- ;744 ;5 ;2,184 ;48 ;7,683 ;- ;224 ;26,752 ;- ;1,980 ;- ;;- ;6,696 ;;35 ;4 ;- ;10,890 ;29 ;10 ;128 ;4 ;252 ;85 ;48 ;- ;58 ;;
Vad ;- ;;- ;800 ;;2,625 ;;3,500 ;- ;;17,550 ;- ;860 ;- ;;- ;4,000 ;2,000 ;- ;- ;- ;4,800 ;18 ;4 ;100 ;4 ;180 ;50 ;75 ;-- ;20 ;;
Väring ;- ;70 ;- ;1,200 ;- ;3,550 ;100 ;7,680 ;- ;100 ;17,850 ;- ;780 ;- ;280 ;- ;8,200 ;500 ;- ;- ;- ;20,000 ;60 ;25 ;280 ;6 ;450 ;120 ;200 ;- ;70 ;;
Summa för Vadsbo härad ;207 ;2,900 ;- ;135,212 ;1.058 ;96,179 ;3,015 ;458,093 ;1,797 ;17,885 ;1,435,154 ;8,980 ;48,691 ;936 ;10,258 ;-- ;951,604 ;101,785 ;3,250 ;358 ;23,510 ;700,640 ;2,436 ;536 ;9,778 ;313 ;19,377 ;7.639 ;13,273 ;X 13 ;5,045 ;500 ;
Summa för landsbygden ;569 ;26,953 ;X 14 ;788,027 ;3,974 ;339,239 ;11,022 ;2,228,831 ;12,569 ;302,871 ;7,933,302 ;168,823 ;199,000 ;3,130 ;124,686 ;57 ;5,903,437 ;1.098,745 ;10,576 ;1,775 ;169,485 ;2,713,047 ;22,854 ;6,118 ;28,096 ;1,809 ;88,651 ;34,536 ;07,541 ;X 10 ;26,800 ;7,259 ;
Mariestad ;- ;60 ;- ;400 ;- ;1,800 ;- ;3,600 ;- ;108 ;9,000 ;1,400 ;100 ;- ;grönfoder ;- ;4,800 ;1,600 ;- ;- ;300 ;7,000 ;64 ;8 ;36 ;3 ;130 ;30 ;20 ;- ;50 ;;
Lidköping ;- ;- ;- ;800 ;- ;;- ;10,000 ;- ;500 ;16,000 ;- ;;- ;;- ;10,000 ;12,500 ;- ;- ;1,500 ;17,520 ;110 ;2 ;4 ;4 ;350 ;10 ;10 ;- ;60 ;- ;
Skara ;- ;152 ;- ;3,550 ;1 ;1,950 ;-- ;8,423 ;- ;875 ;19,620 ;- ;1,400 ;- ;760 ;- ;35,500 ;? ;2 ;- ;1,100 ;10,000 ;80 ;5 ;33 ;3 ;225 ;20 ;28 ;- ;25 ;- ;
Sköfde ;- ;- ;- ;1,612 ;- ;315 ;- ;5,520 ;- ;;12,500 ;- ;128 ;- ;- ;- ;11,284 ;500 ;- ;- ;3,000 ;20,000 ;35 ;2 ;25 ;2 ;195 ;20 ;10 ;- ;40 ;- ;
;;;;1,800 ;;;- ;5,280 ;- ;5,680 ;35,000 ;- ;150 ;- ;;;18,000 ;25,800 ;- ;- ;1,350 ;;75 ;15 ;30 ;8 ;240 ;40 ;50 ;- ;75 ;- ;
Falköping ;- ;;- ;;- ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hjo ;- ;30 ;- ;5,000 ;- ;50 ;40 ;8,000 ;100 ;;8,000 ;X 60 ;90 ;- ;130 ;- ;28,000 ;10,000 ;- ;- ;600 ;2,000 ;27 ;- ;26 ;2 ;130 ;12 ;10 ;- ;65 ;;
Summa för städerna ;- ;242 ;- ;13,162 ;I ;4,115 ;40 ;35,823 ;X 100 ;7.163 ;100,120 ;1,460 ;1,808 ;- ;890 ;-- ;107,584 ;50,400 ;2 ;- ;7,850 ;56,520 ;391 ;32 ;154 ;22 ;1,270 ;132 ;128 ;- ;315 ;? ;
Summa för hela länet &r 1880 ;569 ;X 27,195 ;X 14 ;801,189 ;3,975 ;343,354 ;11,962 ;2.264.654 ;12,669 ;310.034 ;8,033,422 ;170,283 ;200,868 ;X 3,130 ;125,576 ;57 ;6,011,021 ;1,149,145 ;10,578 ;1,775 ;177,335 ;2,769,567 ;23,245 ;6,150 ;28,250 ;1,831 ;89,921 ;34,668 ;67,669 ;X 10 ;27,124 ;7,259 ;
" " 1879 ;498 ;28,290 ;X 14 ;702,111 ;3,647 ;269,927 ;9,392 ;1,859,078 ;12,878 ;280,456 ;7,063,969 ;163,193 ;128,605 ;2,418 ;113,128 ;52 ;2,684,642 ;407,393 ;7,403 ;1,638 ;114,530 ;1,952,818 ;22,476 ;6,107 ;27,729 ;1,768 ;87,111 ;34,478 ;67,591 ;X 17 ;25,854 ;? ;





