Table: Table_1

1. ;36. ;37. ;39 ;40 ;41 ;44. ;45 ;46 ;47. ;48. ;49. ;50 ;51 ;52. ;53 ;55. ;56. ;57. ;58. ;59. ;60. ;61. ;62 ;66. ;67. ;68 ;69. ;70. ;71. ;72 ;73. ;74. ;75 ;
Wättak ;- ;-- ;1,840 ;- ;- ;- ;- ;2,000 ;120 ;;4,600 ;220 ;- ;- ;- ;14,400 ;- ;- ;32 ;- ;- ;1,200 ;- ;18 ;4 ;60 ;4 ;130 ;60 ;120 ;- ;50 ;;
Yllestad ;- ;- ;3,800 ;- ;- ;- ;- ;5,700 ;- ;625 ;19,000 ;- ;- ;- ;- ;22,800 ;- ;- ;- ;- ;- ;- ;;60 ;6 ;110 ;5 ;200 ;50 ;350 ;- ;80 ;;
Äsaka ;- ;- ;2,221 ;- ;- ;- ;- ;4,589 ;- ;2,211 ;14,213 ;- ;- ;- ;- ;13,324 ;- ;- ;- ;- ;- ;;- ;71 ;23 ;94 ;7 ;282 ;94 ;282 ;- ;94 ;;
Äsled ;- ;X 38 ;3,685 ;28 ;- ;63 ;66 ;4.725 ;- ;5,897 ;27,720 ;227 ;315 ;- ;264 ;22,050 ;- ;- ;- ;- ;- ;- ;- ;120 ;75 ;130 ;10 ;367 ;205 ;186 ;;127 ;;
Summa ;8 ;1.514 ;139,016 ;579 ;- ;4.735 ;551 ;219,149 ;2,420 ;33,729 ;676,717 ;25,292 ;6.449 ;50 ;7,014 ;880.907 ;27,355 ;4,945 ;939 ;416,85 ;856 ;51,988 ;- ;1.987 ;425 ;5,621 ;303 ;10,202 ;4,458 ;12,773 ;10 ;4,024 ;;
Frükinds härad. a) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brismene ;- ;- ;922 ;- ;- ;- ;- ;819 ;636 ;1,756 ;;- ;- ;- ;- ;6,804 ;- ;- ;- ;- ;- ;- ;- ;40 ;10 ;84 ;2 ;150 ;74 ;150 ;- ;25 ;;
Börstig ;6 ;- ;882 ;14 ;- ;- ;84 ;1,260 ;75 ;628 ;12,600 ;819 ;65 ;X 37 ;- ;6,300 ;- ;- ;- ;11 ;- ;- ;- ;57 ;15 ;112 ;7 ;280 ;100 ;300 ;- ;61 ;;
Grolanda ;- ;52 ;1,260 ;31 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;76 ;6 ;152 ;6 ;200 ;100 ;300 ;- ;20 ;;
Kinneved ;- ;X 50 ;9,450 ;37 ;- ;- ;- ;3,780 ;- ;1.121 ;37,800 ;- ;63 ;- ;252 ;56,700 ;- ;- ;- ;20 ;- ;- ;- ;110 ;30 ;175 ;10 ;310 ;400 ;250 ;- ;100 ;;
Smula ;- ;- ;;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;;- ;;- ;;;
W&rkumla ;- ;- ;6.679 ;13 ;- ;- ;- ;1.138 ;- ;882 ;6.394 ;- ;25 ;- ;- ;4,007 ;- ;- ;- ;7 ;- ;- ;- ;48 ;6 ;72 ;2 ;128 ;70 ;144 ;- ;72 ;;
Summa ;6 ;102 ;19,193 ;95 ;- ;- ;84 ;6,997 ;711 ;4,387 ;56,794 ;819 ;153 ;37 ;252 ;73,811 ;- ;- ;- ;X 38 ;- ;- ;-- ;331 ;67 ;595 ;27 ;1,068 ;744 ;1,144 ;- ;278 ;;
Wadsbo härad.b) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
