Table: Table_1

;1. ;36. ;37. ;38. ;39, ;;40. ;44. ;45. ;46. ;47. ;48. ;49 ;50. ;51. ;52. ;53. ;54. ;55 ;57. ;58. ;59. ;60. I ;61. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;;
;Borgunda ;;20 ;;;4,800 ;8 ;45 ;45 ;7,275 ;- ;1,320 ;22,900 ;2,300 ;120 ;- ;40 ;;14,400 ;4,125 ;15 ;5 ;;5,400 ;70 ;40 ;200 ;6 ;450 ;125 ;400 ;-- ;90 ;;
;Broddetorp ;;25 ;;;441 ;;160 ;;1,325 ;- ;440 ;8,820 ;;80 ;;50 ;;1,800 ;;;;;1,500 ;24 ;8 ;27 ;2 ;84 ;56 ;56 ;;42 ;;
;Brunnhem ;;;;;2,000 ;6 ;;;2.418 ;- ;1,000 ;6,680 ;1,600 ;300 ;;;;14,000 ;;24 ;;;;40 ;10 ;70 ;;140 ;75 ;100 ;;40 ;;
;Dala ;;200 ;;;2,500 ;15 ;60 ;;4.500 ;- ;2,400 ;27.000 ;;missväxt ;- ;missväxt ;;10,000 ;? ;37 ;45 ;;;60 ;29 ;148 ;6 ;300 ;170 ;200 ;;60 ;;
;Ed&sa (del) ;;;;;900 ;5 ;180 ;;8,520 ;;;36,656 ;;210 ;;;;5,400 ;;25 ;;;9,150 ;46 ;;108 ;7 ;360 ;105 ;189 ;3 ;300 ;;
;;;;;;;;;;;- ;;;- ;;-- ;;;;;;;;;;;;;;;;;;;
;Falküpings landsförs Friggerâker ;;15 40 ;;;1.500 2.000 ;20 25 ;100 ;;1.600 2,000 ;- - ;800 3,200 ;10,400 13,000 ;1,000 ;45 175 ;- - ;45 240 ;- ;7,500 12,000 ;1,200 6,000 ;40 75 ;30 ;2,000 ;2,500 7,000 ;40 80 ;10 25 ;10 80 ;9 6 ;140 250 ;40 85 ;80 100 ;;40 75 ;;
8 ;Gudhem ;- ;200 ;;;4,320 ;6 ;350 ;;7,980 ;- ;6,000 ;34,300 ;;grönfoder ;- ;grönfoder ;;25,920 ;76,000 ;;;- ;;110 ;45 ;60 ;8 ;400 ;120 ;150 ;;180 ;;
;;;;;;;;;;;;;;;;;40 ;;;;;;;;;;;;;;;;;;
9 ;Hornborga ;- ;20 ;;;4.000 ;1 3 ;25 ;20 ;2,400 2,200 ;- ;750 ;9,000 ;400 400 ;90 90 ;- ;20 ;;20,000 20,500 ;100 ;5 ;- ;- ;600 ;40 23 ;10 8 ;GO 24 ;2 2 ;140 90 ;50 30 ;120 50 ;;75 20 ;;
;H&kantorp Högstena ;2 ;40 ;;;4,100 3,000 ;1 ;17 ;- ;1.602 ;- - ;400 912 ;7,800 21,000 ;576 ;54 ;- 6 ;120 ;;12,000 ;? ;;;- ;;36 ;28 ;50 ;3 ;120 ;35 ;140 ;;45 ;10 ;
12 ;;- ;15 ;;;1,000 ;? ;80 ;- ;1.600 ;- ;440 ;9,600 ;400 ;120 ;- ;80 ;;8,000 ;300 ;10 ;- ;- ;1,800 ;32 ;6 ;50 ;2 ;120 ;40 ;100 ;- ;50 ;;
;Kyrketorp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13 14 ;Ljunghem Radene ;- - ;50 ;;;510 1,800 ;6 3 ;70 ;- - ;5,100 3,325 ;- - ;720 ;16,464 14,100 ;- ;75 ;- - ;250 ;- - ;3,060 7,200 ;1,400 ;30 12 ;;- ;5,060 1,500 ;38 25 ;8 8 ;20 86 ;3 ;242 210 ;100 120 ;125 ;2 - ;80 90 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 ;Segerstad ;;;;;1,915 ;6 ;47 ;;3,276 ;;756 ;8,440 ;1,892 ;62 ;;120 ;- ;9,575 ;200 ;12 ;- ;;1,500 ;50 ;20 ;92 ;3 ;112 ;110 ;190 ;;57 ;;
16 ;Sjogerstad ;- ;100 ;;;3,600 ;3 ;660 ;- ;6,950 ;- ;1,260 ;22,920 ;;420 ;- ;200 ;;25.200 ;;6 ;;- ;2,600 ;48 ;11 ;110 ;5 ;286 ;140 ;390 ;;96 ;;
17 ;Stenstorp ;;25 ;- ;;1,500 ;20 ;340 ;;6,300 ;;2,375 ;18,400 ;600 ;140 ;;grönfoder ;- ;12,000 ;600 ;- ;12 ;- ;12,000 ;50 ;20 ;80 ;2 ;200 ;125 ;300 ;;70 ;;
18 ;Sätuna ;9 ;20 ;- ;;1.484 ;- ;40 ;36 ;3,780 ;- ;912 ;14,706 ;;110 ;4 ;d:o ;;5,936 ;600 ;- ;- ;- ;1,900 ;32 ;14 ;60 ;2 ;90 ;20 ;60 ;;25 ;;
19 ;Torbjörntorp ;;14 ;- ;;1.512 ;;16 ;- ;4.308 ;- ;1,135 ;20,700 ;60 ;130 ;- ;85 ;- ;8,390 ;20,000 ;;- ;- ;20,000 ;45 ;16 ;54 ;4 ;145 ;52 ;150 ;;55 ;;
;Tunhem ;- ;;- ;;1.620 ;5 ;;- ;2,100 ;- ;1,800 ;8,700 ;- ;120 ;- ;;- ;8,100 ;;15 ;5 ;;150 ;50 ;6 ;48 ;2 ;9G ;40 ;120 ;;50 ;20 ;
;Ugglum ;- ;20 ;- ;;1,700 ;;30 ;- ;3,990 ;-- ;980 ;12,600 ;- ;120 ;- ;grönfoder ;;9,600 ;2,500 ;;;100 ;800 ;46 ;20 ;34 ;;125 ;100 ;100 ;;80 ;;
;Valtorp ;- ;80 ;- ;;1,340 ;4 ;120 ;- ;5,360 ;- ;1,100 ;18,120 ;75 ;62 ;- ;200 ;- ;9,387 ;4.500 ;17 ;7 ;- ;2,900 ;40 ;9 ;62 ;10 ;185 ;95 ;100 ;;36 ;;
;Summa för Gudhems härad ;4 ;1,270 ;- ;;68,232 ;137 ;2,415 ;101 ;104,619 ;178 ;32,804 ;417,806 ;9,303 ;3,831 ;10 ;1,490 ;- ;440,718 ;135,525 ;337 ;120 ;2,100 ;80,360 ;1,135 ;378 ;1,819 ;93 ;4,845 ;2,063 ;3,710 ;5 ;1,846 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bolum ;- ;150 ;- ;;2,600 ;3 ;300 ;50 ;9,000 ;- ;2,500 ;22,400 ;2,500 ;540 ;- ;250 ;- ;14,000 ;150 ;20 ;- ;800 ;5,000 ;80 ;26 ;130 ;3 ;170 ;240 ;175 ;- ;100 ;;
;Eggby ;- ;;- ;;6,200 ;;100 ;;5,200 ;- ;1,400 ;21,700 ;1,750 ;;- ;;- ;43,400 ;: ;- ;- ;;;60 ;5 ;100 ;7 ;320 ;100 ;230 ;;100 ;;
;Häggum ;- ;111 ;- ;;3.750 ;10 ;120 ;150 ;5,160 ;- ;2,250 ;33,990 ;;120 ;- ;222 ;;21,800 ;;6 ;- ;100 ;15,000 ;51 ;24 ;54 ;2 ;334 ;274 ;260 ;- ;70 ;;
26 ;Jstrum ;- ;;- ;;2,400 ;8 ;240 ;60 ;3,000 ;60 ;450 ;19,140 ;;120 ;- ;;;16.800 ;1.100 ;82 ;40 ;;7,120 ;60 ;20 ;90 ;8 ;270 ;80 ;250 ;- ;130 ;;
27 ;Lundby ;- ;100 ;- ;;3,780 ;12 ;420 ;;4,680 ;- ;2,500 ;18,200 ;1,825 ;600 ;- ;800 ;;30,240 ;12,000 ;45 ;15 ;4,000 ;10,000 ;150 ;10 ;50 ;8 ;400 ;80 ;150 ;- ;70 ;;
28 ;Skarke ;- ;150 ;- ;;4,600 ;8 ;200 ;150 ;8,200 ;- ;3,000 ;19,200 ;500 ;100 ;- ;grönfoder ;;23,000 ;6.000 ;? ;;4,000 ;8,000 ;100 ;25 ;100 ;10 ;450 ;150 ;200 ;- ;200 ;;
29 ;Skärf ;;;- ;;1.850 ;- ;225 ;;2,848 ;- ;720 ;9,000 ;- ;180 ;- ;;- ;14,800 ;G.000 ;;- ;;: ;40 ;8 ;80 ;4 ;210 ;54 ;150 ;- ;70 ;;
30 ;Stenum ;;;- ;;2,872 ;- ;270 ;144 ;3,480 ;- ;360 ;13,230 ;- ;160 ;- ;- ;- ;22.976 ;5,000 ;- ;- ;500 ;P ;50 ;6 ;120 ;4 ;260 ;140 ;270 ;- ;120 ;;
